Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,58.87,59.55,58.52,59.48,1055100,59.48
2015-02-12,57.99,59.07,57.62,59.03,898500,59.03
2015-02-11,57.95,58.23,57.37,57.66,982500,57.66
2015-02-10,58.81,58.81,57.50,57.80,1128300,57.80
2015-02-09,59.14,59.14,57.66,57.69,1115300,57.69
2015-02-06,58.83,59.46,58.01,59.45,1505200,59.45
2015-02-05,58.29,58.52,57.45,58.16,1396700,58.16
2015-02-04,52.84,58.49,52.72,57.71,3158200,57.71
2015-02-03,54.15,54.87,53.83,54.75,1185200,54.75
2015-02-02,52.99,54.06,51.96,54.05,1923100,54.05
2015-01-30,54.12,54.71,52.64,52.77,1100200,52.77
2015-01-29,54.33,54.68,53.32,54.62,841100,54.62
2015-01-28,54.60,55.18,53.91,54.14,815700,54.14
2015-01-27,53.64,54.57,53.32,54.24,779700,54.24
2015-01-26,54.32,54.65,53.72,54.36,1105000,54.36
2015-01-23,54.00,54.85,53.87,54.38,1162900,54.38
2015-01-22,53.89,54.02,52.75,54.01,1280100,54.01
2015-01-21,53.97,54.50,53.41,53.64,919100,53.64
2015-01-20,53.52,54.42,51.95,54.27,1821400,54.27
2015-01-16,53.11,53.94,52.90,53.60,1173500,53.60
2015-01-15,53.08,53.54,52.40,53.00,1376500,53.00
2015-01-14,53.16,53.86,52.60,53.04,1486500,53.04
2015-01-13,54.84,55.42,53.68,54.11,1192100,54.11
2015-01-12,56.02,56.22,54.06,54.39,1471200,54.39
2015-01-09,56.98,57.14,55.71,55.76,638000,55.76
2015-01-08,56.78,57.81,56.75,56.90,1003500,56.90
2015-01-07,55.29,56.74,54.75,56.61,1454500,56.61
2015-01-06,56.09,56.64,54.50,55.08,1741200,55.08
2015-01-05,57.49,57.60,55.33,55.54,1639600,55.54
2015-01-02,58.25,58.29,56.00,56.94,1146100,56.94
2014-12-31,59.28,60.18,58.23,58.29,1114900,58.29
2014-12-30,59.96,60.45,59.05,59.07,741500,59.07
2014-12-29,117.87,119.98,117.01,119.35,677400,59.67
2014-12-26,117.63,118.66,117.15,118.52,423200,59.26
2014-12-24,117.62,117.69,116.27,117.25,353000,58.62
2014-12-23,118.18,118.41,116.70,117.02,760600,58.51
2014-12-22,117.32,117.94,116.26,117.42,633200,58.71
2014-12-19,117.25,117.87,115.75,116.50,2165200,58.25
2014-12-18,113.88,117.37,113.75,117.25,1193200,58.62
2014-12-17,110.91,113.68,109.28,113.45,1139000,56.72
2014-12-16,109.46,111.36,108.42,110.28,1158600,55.14
2014-12-15,110.42,110.60,108.01,109.54,1054400,54.77
2014-12-12,109.57,112.31,109.51,110.26,742000,55.13
2014-12-11,112.70,114.20,112.70,113.02,623800,56.51
2014-12-10,113.92,114.80,112.40,112.63,776800,56.31
2014-12-09,114.56,114.94,112.74,114.06,888000,57.03
