Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,23.00,23.34,22.90,23.16,17200,23.16
2015-02-12,22.89,23.42,22.89,23.00,9600,23.00
2015-02-11,22.79,23.00,22.60,22.88,35200,22.88
2015-02-10,23.14,23.14,22.66,22.79,12900,22.79
2015-02-09,23.00,23.61,22.90,22.90,16100,22.90
2015-02-06,23.24,23.48,23.00,23.13,22800,23.13
2015-02-05,22.93,23.23,22.93,23.20,9300,23.20
2015-02-04,22.92,23.25,22.89,22.91,11900,22.91
2015-02-03,22.49,23.12,22.49,22.85,16800,22.85
2015-02-02,22.51,22.88,22.15,22.50,22100,22.50
2015-01-30,23.00,23.41,22.21,22.38,31300,22.38
2015-01-29,22.35,23.22,22.35,23.22,16300,23.22
2015-01-28,23.87,23.87,22.91,22.92,16200,22.92
2015-01-27,24.05,24.28,23.81,23.98,22000,23.98
2015-01-26,24.75,24.75,24.06,24.22,21500,24.22
2015-01-23,24.84,25.05,24.63,24.63,8400,24.63
2015-01-22,24.78,25.10,24.49,25.09,18000,25.09
2015-01-21,24.74,24.97,24.16,24.48,19000,24.48
2015-01-20,24.53,24.86,24.06,24.62,17000,24.62
2015-01-16,23.56,24.70,23.56,24.45,21100,24.45
2015-01-15,23.90,25.30,23.41,23.63,20000,23.63
2015-01-14,24.19,24.80,23.66,23.96,17200,23.96
2015-01-13,24.67,24.67,23.83,24.41,18500,24.41
2015-01-12,23.53,24.33,23.53,24.09,17800,24.09
2015-01-09,24.51,25.00,24.34,24.39,18200,24.39
2015-01-08,24.56,24.83,24.56,24.78,11800,24.78
2015-01-07,24.57,24.57,24.08,24.40,19900,24.40
2015-01-06,25.25,25.39,24.42,24.56,16000,24.56
2015-01-05,25.80,25.80,25.23,25.26,6800,25.26
2015-01-02,26.27,26.27,25.37,25.86,19400,25.86
2014-12-31,26.06,26.43,26.05,26.14,10200,26.14
2014-12-30,26.29,26.58,26.29,26.51,5800,26.51
2014-12-29,26.42,26.75,26.35,26.73,4600,26.59
2014-12-26,26.29,26.50,26.26,26.42,8500,26.28
2014-12-24,26.56,26.56,26.24,26.24,4000,26.10
2014-12-23,26.24,26.75,25.95,26.61,41800,26.47
2014-12-22,26.37,26.60,26.13,26.22,65100,26.08
2014-12-19,25.90,26.45,25.77,26.44,46300,26.30
2014-12-18,25.65,26.00,25.08,26.00,17100,25.86
2014-12-17,24.85,25.67,24.81,25.66,19900,25.53
2014-12-16,24.89,25.01,24.70,24.84,11500,24.71
2014-12-15,24.75,24.94,24.66,24.74,15800,24.61
2014-12-12,24.75,24.99,24.60,24.70,13200,24.57
2014-12-11,24.56,24.94,24.56,24.84,16100,24.71
2014-12-10,24.87,25.09,24.55,24.56,13400,24.43
2014-12-09,24.56,25.00,24.42,24.98,23600,24.85
2014-12-08,24.68,25.08,24.52,24.74,16300,24.61
2014-12-05,24.87,25.35,24.70,25.01,23100,24.88
