Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,33.23,33.40,33.02,33.14,339800,33.14
2015-02-12,33.41,33.48,33.03,33.36,338400,33.36
2015-02-11,33.65,33.92,33.24,33.24,444300,33.24
2015-02-10,33.32,34.14,33.32,33.86,466400,33.86
2015-02-09,33.63,33.90,33.26,33.36,310900,33.36
2015-02-06,34.40,34.48,33.62,33.74,487200,33.74
2015-02-05,34.43,34.68,34.25,34.49,277500,34.49
2015-02-04,34.45,34.74,34.26,34.41,538700,34.41
2015-02-03,34.29,34.69,34.29,34.63,326600,34.63
2015-02-02,34.20,34.55,33.85,34.32,467800,34.32
2015-01-30,34.72,34.85,34.29,34.30,587800,34.30
2015-01-29,34.10,34.86,34.03,34.83,889500,34.83
2015-01-28,34.32,34.71,34.01,34.08,433200,34.08
2015-01-27,34.00,34.49,34.00,34.32,341600,34.32
2015-01-26,34.03,34.15,33.83,34.13,473300,34.13
2015-01-23,34.29,34.52,34.08,34.09,365900,34.09
2015-01-22,34.35,34.53,34.17,34.35,395200,34.35
2015-01-21,34.06,34.43,33.77,34.34,507100,34.34
2015-01-20,34.07,34.25,33.70,34.14,557800,34.14
2015-01-16,33.68,34.15,33.61,34.11,1061000,34.11
2015-01-15,33.85,33.94,33.50,33.70,482800,33.70
2015-01-14,33.60,33.97,33.41,33.85,996900,33.85
2015-01-13,33.71,34.20,33.56,33.77,493300,33.77
2015-01-12,33.55,33.74,33.29,33.64,562400,33.64
2015-01-09,33.65,33.73,33.28,33.48,520500,33.48
2015-01-08,33.56,34.11,33.51,33.55,1380200,33.55
2015-01-07,33.26,33.94,33.22,33.79,743200,33.79
2015-01-06,33.32,33.81,33.13,33.25,1612600,33.25
2015-01-05,33.49,33.63,33.15,33.37,1069300,33.37
2015-01-02,33.56,33.77,33.15,33.61,939700,33.61
2014-12-31,34.26,34.46,33.45,33.48,433500,33.48
2014-12-30,34.33,34.53,33.95,34.10,627500,34.10
2014-12-29,33.87,35.00,33.77,34.62,775200,34.62
2014-12-26,33.42,34.10,33.42,33.87,712800,33.87
2014-12-24,32.95,33.55,32.95,33.35,354900,33.35
2014-12-23,32.84,33.33,32.84,33.18,625400,33.18
2014-12-22,32.73,33.21,32.69,33.09,1809300,33.09
2014-12-19,32.84,33.03,32.59,32.74,1574600,32.74
2014-12-18,32.94,33.06,32.75,32.95,853800,32.95
2014-12-17,32.67,33.01,32.40,32.89,1030600,32.89
2014-12-16,32.73,33.06,32.58,32.62,1347900,32.62
2014-12-15,33.00,33.33,32.77,32.89,1316800,32.89
2014-12-12,32.97,33.84,32.78,32.98,2092100,32.98
2014-12-11,32.99,33.55,32.86,33.18,1688100,33.18
2014-12-10,33.12,33.31,32.75,32.90,2151900,32.90
2014-12-09,32.80,33.32,32.73,33.13,2409500,33.13
2014-12-08,32.49,33.70,32.36,33.10,2903700,33.10
2014-12-05,32.18,32.78,32.02,32.78,3947800,32.78
2014-12-04,32.11,33.50,31.95,32.22,14515900,32.22
2014-12-03,28.11,28.31,28.06,28.19,643100,28.19
2014-12-02,27.66,28.43,27.54,28.20,1014000,28.20
2014-12-01,26.98,27.89,26.87,27.73,1991700,27.73
2014-11-28,27.49,28.29,27.46,28.19,580100,28.19
2014-11-26,27.51,27.72,27.42,27.63,362700,27.63
2014-11-25,27.45,27.50,27.33,27.48,408500,27.48
2014-11-24,27.64,27.83,27.26,27.31,581900,27.31
2014-11-21,27.57,27.62,27.36,27.51,554100,27.51
2014-11-20,27.30,27.53,27.26,27.34,482200,27.34
2014-11-19,27.36,27.58,27.25,27.28,562700,27.28
2014-11-18,27.60,27.81,27.38,27.71,1253500,27.40
2014-11-17,27.24,27.60,27.21,27.44,720500,27.13
2014-11-14,27.05,27.32,27.04,27.21,632200,26.91
2014-11-13,27.46,27.65,27.07,27.18,698600,26.88
2014-11-12,28.10,28.29,27.50,27.56,757500,27.25
2014-11-11,28.14,28.29,27.95,28.27,415700,27.95
2014-11-10,28.32,28.38,28.10,28.20,550000,27.88
2014-11-07,27.88,28.49,27.78,28.30,1245400,27.98
2014-11-06,28.12,28.28,27.45,27.48,461800,27.17
2014-11-05,27.71,28.13,27.71,28.12,552300,27.81
2014-11-04,28.19,28.44,27.64,27.68,786000,27.37
2014-11-03,28.20,28.38,28.11,28.26,488800,27.94
2014-10-31,28.12,28.27,27.90,28.16,625900,27.84
2014-10-30,27.61,28.05,27.61,28.03,760500,27.72
2014-10-29,27.83,27.98,27.35,27.59,908800,27.28
2014-10-28,27.50,27.81,27.44,27.81,424900,27.50
2014-10-27,27.46,27.69,27.30,27.46,481600,27.15
2014-10-24,27.30,27.58,27.26,27.51,313800,27.20
2014-10-23,27.41,27.58,27.09,27.25,790800,26.95
2014-10-22,27.28,27.61,27.15,27.33,590100,27.02
2014-10-21,27.23,27.47,27.10,27.26,570000,26.96
2014-10-20,26.93,27.27,26.82,27.22,694500,26.92
2014-10-17,26.97,26.99,26.53,26.93,1105700,26.63
2014-10-16,26.24,26.76,26.04,26.76,1293400,26.46
2014-10-15,27.12,27.41,26.28,26.61,1527200,26.31
2014-10-14,27.41,27.92,27.20,27.29,2001100,26.98
2014-10-13,26.77,27.77,26.77,27.47,1155400,27.16
2014-10-10,26.65,26.99,26.63,26.89,449900,26.59
2014-10-09,27.07,27.40,26.62,26.62,594000,26.32
2014-10-08,26.36,27.12,26.32,27.10,967400,26.80
2014-10-07,26.35,26.73,26.30,26.39,479000,26.09
2014-10-06,26.51,26.61,26.20,26.41,475700,26.11
2014-10-03,26.62,26.62,26.36,26.49,774100,26.19
2014-10-02,26.47,26.72,26.35,26.56,732300,26.26
2014-10-01,26.55,26.81,26.43,26.46,1281000,26.16
2014-09-30,26.69,26.88,26.50,26.55,833800,26.25
2014-09-29,26.48,26.69,26.33,26.63,479500,26.33
2014-09-26,26.69,26.70,26.39,26.56,504000,26.26
2014-09-25,26.60,26.69,26.33,26.64,750900,26.34
2014-09-24,26.52,26.89,26.34,26.69,894600,26.39
2014-09-23,26.52,26.62,26.31,26.49,932200,26.19
2014-09-22,26.07,26.76,25.85,26.56,1668900,26.26
2014-09-19,25.80,26.00,25.65,25.99,1348500,25.70
2014-09-18,25.39,25.77,25.35,25.76,823000,25.47
2014-09-17,25.36,25.59,25.31,25.41,589600,25.13
2014-09-16,24.93,25.36,24.92,25.31,843700,25.03
2014-09-15,25.08,25.25,24.91,24.93,842900,24.65
2014-09-12,25.35,25.40,24.97,25.03,507800,24.75
2014-09-11,25.19,25.43,25.19,25.41,717000,25.13
2014-09-10,25.42,25.49,24.94,25.16,997600,24.88
2014-09-09,25.57,25.60,25.29,25.38,701500,25.10
2014-09-08,25.68,25.74,25.54,25.67,747800,25.38
2014-09-05,25.42,25.80,25.32,25.75,789100,25.46
2014-09-04,25.28,25.37,25.12,25.31,646400,25.03
2014-09-03,25.53,25.53,25.27,25.33,753000,25.05
2014-09-02,25.50,25.64,25.10,25.44,1353600,25.16
2014-08-29,25.35,25.41,25.25,25.39,647100,25.11
2014-08-28,25.16,25.39,25.03,25.37,1171400,25.09
2014-08-27,24.70,25.18,24.53,25.17,1377300,24.89
2014-08-26,24.54,24.73,24.42,24.48,411400,24.21
2014-08-25,24.51,24.63,24.39,24.56,714700,24.29
2014-08-22,24.45,24.53,24.22,24.50,870800,24.23
2014-08-21,24.29,24.50,24.25,24.44,694800,24.17
2014-08-20,24.20,24.34,24.05,24.33,628200,24.06
2014-08-19,24.30,24.60,24.26,24.48,889800,23.90
2014-08-18,24.15,24.37,24.03,24.28,778000,23.70
