Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,38.00,38.21,37.71,38.05,162500,38.05
2015-02-12,37.35,38.11,37.11,38.00,155900,38.00
2015-02-11,37.15,37.42,36.98,37.21,200700,37.21
2015-02-10,37.14,37.35,36.70,37.25,151800,37.25
2015-02-09,36.65,37.15,36.54,36.80,148000,36.80
2015-02-06,36.13,36.88,36.01,36.88,191700,36.88
2015-02-05,35.39,36.37,35.39,36.00,170900,36.00
2015-02-04,34.60,35.50,34.55,35.16,230500,35.16
2015-02-03,34.50,34.90,34.17,34.76,202700,34.76
2015-02-02,34.06,34.60,33.60,34.59,272800,34.59
2015-01-30,34.38,34.81,33.86,33.97,319400,33.97
2015-01-29,35.05,35.26,34.06,34.72,369100,34.72
2015-01-28,36.87,36.87,36.32,36.73,632000,34.93
2015-01-27,36.91,37.08,36.15,36.63,582500,34.83
2015-01-26,38.51,38.79,36.75,37.29,272300,35.46
2015-01-23,37.98,39.47,37.69,38.51,289600,36.62
2015-01-22,36.43,37.74,36.10,37.72,498100,35.87
2015-01-21,35.80,36.60,35.77,36.17,288500,34.40
2015-01-20,35.84,35.93,34.26,35.75,252300,34.00
2015-01-16,34.39,36.40,34.39,35.69,299400,33.94
2015-01-15,34.56,35.52,33.77,34.55,238500,32.86
2015-01-14,33.30,34.75,33.29,34.56,205400,32.87
2015-01-13,34.44,34.88,33.23,33.71,106000,32.06
2015-01-12,34.43,34.71,33.91,34.04,113700,32.37
2015-01-09,34.30,34.68,33.83,34.46,172500,32.77
2015-01-08,34.74,35.10,34.29,34.37,397400,32.69
2015-01-07,34.17,34.55,33.67,34.24,139500,32.56
2015-01-06,35.32,35.32,33.63,33.85,170400,32.19
2015-01-05,35.50,36.14,35.13,35.28,190900,33.55
2015-01-02,36.06,36.71,35.49,35.90,221200,34.14
2014-12-31,36.31,36.79,35.81,35.92,155000,34.16
2014-12-30,36.17,36.65,35.92,36.11,56600,34.34
2014-12-29,36.91,37.22,36.19,36.36,67700,34.58
2014-12-26,36.32,37.05,36.27,36.92,74000,35.11
2014-12-24,35.86,36.16,35.49,36.08,50200,34.31
2014-12-23,35.48,36.00,34.97,35.62,95300,33.87
2014-12-22,35.02,35.34,34.66,35.17,87100,33.45
2014-12-19,35.79,35.79,34.98,35.01,280500,33.29
2014-12-18,36.04,36.11,35.30,35.90,157200,34.14
2014-12-17,33.85,35.96,33.85,35.70,223500,33.95
2014-12-16,33.54,34.12,33.23,33.85,229500,32.19
2014-12-15,34.06,34.13,33.44,33.63,202100,31.98
2014-12-12,34.68,34.82,33.92,33.95,94600,32.29
2014-12-11,34.76,35.59,34.76,35.17,83200,33.45
2014-12-10,35.03,35.29,34.57,34.57,118900,32.88
2014-12-09,34.95,35.42,34.39,35.15,342000,33.43
2014-12-08,35.43,35.98,35.12,35.43,129400,33.69
2014-12-05,34.70,36.08,34.70,35.59,132100,33.85
2014-12-04,35.30,35.60,34.62,34.74,95100,33.04
2014-12-03,34.98,35.67,34.95,35.43,113500,33.69
2014-12-02,33.63,34.99,33.59,34.94,148200,33.23
2014-12-01,34.28,34.58,33.60,33.62,195200,31.97
2014-11-28,34.52,34.75,34.17,34.48,105500,32.79
2014-11-26,33.87,34.40,33.74,34.33,132200,32.65
2014-11-25,34.40,34.40,33.68,33.90,156600,32.24
2014-11-24,34.04,34.65,34.04,34.46,142000,32.77
2014-11-21,34.73,34.85,33.77,33.95,126200,32.29
2014-11-20,33.58,34.26,33.40,34.23,140700,32.55
2014-11-19,34.25,34.28,33.31,33.79,131500,32.13
2014-11-18,34.03,34.41,33.98,34.31,179600,32.63
2014-11-17,34.38,34.71,33.64,33.96,185500,32.30
2014-11-14,35.22,35.22,34.49,34.58,235500,32.89
2014-11-13,35.56,35.56,35.18,35.20,231500,33.47
2014-11-12,34.25,35.65,33.83,35.44,256500,33.70
2014-11-11,33.48,34.58,32.62,34.37,228300,32.69
2014-11-10,32.28,32.78,32.07,32.65,198000,31.05
2014-11-07,31.06,32.27,31.04,32.19,215600,30.61
2014-11-06,31.36,31.83,31.04,31.21,235000,29.68
2014-11-05,31.70,31.89,31.26,31.59,105500,30.04
2014-11-04,31.94,32.29,31.22,31.43,182300,29.89
2014-11-03,31.61,32.16,31.33,31.98,233400,30.41
2014-10-31,31.83,32.03,31.37,31.48,308600,29.94
2014-10-30,30.24,31.71,30.12,31.25,260500,29.72
2014-10-29,30.15,30.94,29.90,30.30,159400,28.82
2014-10-28,29.23,30.16,28.91,30.00,513500,28.53
2014-10-27,28.90,29.17,28.30,28.98,232200,27.56
2014-10-24,29.07,29.22,28.82,28.98,156500,27.56
2014-10-23,29.50,29.54,28.80,28.98,201800,27.56
2014-10-22,29.74,29.93,29.12,29.16,189800,27.73
2014-10-21,28.71,29.39,28.59,29.13,194700,27.70
2014-10-20,28.12,28.57,27.91,28.46,302400,27.07
2014-10-17,27.77,28.34,27.77,28.20,260500,26.82
2014-10-16,26.34,27.53,26.29,27.36,424900,26.02
2014-10-15,26.64,26.98,25.78,26.75,310100,25.44
2014-10-14,26.85,27.95,26.68,27.04,373700,25.71
2014-10-13,27.44,27.69,26.70,26.76,298200,25.45
2014-10-10,28.01,28.54,27.43,27.45,197500,26.10
2014-10-09,29.03,29.33,28.13,28.23,174000,26.85
2014-10-08,28.78,29.25,28.56,28.96,398000,27.54
2014-10-07,29.68,29.68,28.90,28.92,341900,27.50
2014-10-06,30.42,30.50,29.75,29.89,247300,28.43
2014-10-03,30.00,30.52,29.85,30.30,251100,28.82
2014-10-02,28.73,29.77,28.73,29.76,308400,28.30
2014-10-01,29.00,29.32,28.46,28.80,221100,27.39
2014-09-30,29.88,29.88,28.75,28.95,599600,27.53
2014-09-29,30.13,30.36,29.56,29.90,174700,28.43
2014-09-26,30.06,30.63,29.68,30.51,199600,29.01
2014-09-25,30.35,30.66,29.74,30.20,199100,28.72
2014-09-24,30.24,30.84,29.89,30.50,226000,29.01
2014-09-23,30.30,30.40,29.92,30.22,205000,28.74
2014-09-22,30.05,30.44,29.52,30.31,347100,28.82
2014-09-19,30.25,30.34,29.21,29.36,454700,27.92
2014-09-18,29.93,30.38,29.75,30.06,138600,28.59
2014-09-17,29.47,30.10,29.28,29.86,165500,28.40
2014-09-16,29.52,30.07,29.30,29.41,172100,27.97
2014-09-15,30.31,30.58,29.42,29.60,175400,28.15
2014-09-12,31.49,31.49,30.15,30.30,99200,28.82
2014-09-11,30.92,31.76,30.84,31.41,148200,29.87
2014-09-10,31.84,31.92,30.88,31.11,125900,29.59
2014-09-09,31.17,32.43,31.17,31.83,282800,30.27
2014-09-08,31.55,31.81,31.00,31.32,268200,29.79
2014-09-05,31.17,31.69,31.12,31.57,135600,30.02
2014-09-04,30.65,31.45,30.24,31.34,348900,29.80
2014-09-03,30.88,31.01,30.33,30.49,152900,29.00
2014-09-02,30.04,31.53,30.04,30.87,340600,29.36
2014-08-29,30.64,30.68,29.69,30.00,550400,28.53
2014-08-28,31.44,31.44,30.57,30.65,181300,29.15
2014-08-27,32.44,32.52,31.43,31.52,131200,29.98
2014-08-26,32.08,32.56,32.08,32.25,156900,30.67
2014-08-25,32.06,32.31,31.77,32.12,88800,30.55
2014-08-22,32.46,32.46,31.94,31.99,125800,30.42
2014-08-21,32.11,32.55,31.50,32.51,160300,30.92
2014-08-20,32.01,32.58,31.42,32.11,119300,30.54
2014-08-19,33.00,33.00,31.93,32.30,218300,30.72
2014-08-18,31.54,32.87,31.24,32.87,262200,31.26
2014-08-15,31.93,31.93,30.59,31.20,245200,29.67
2014-08-14,32.67,32.67,31.32,31.64,201700,30.09
2014-08-13,32.35,32.71,32.27,32.55,112800,30.95
2014-08-12,32.32,32.54,31.96,32.15,251300,30.57
