Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,18.88,18.93,18.22,18.70,37800,18.58
2015-02-12,19.24,19.64,18.60,18.67,64700,18.55
2015-02-11,19.70,19.93,19.00,19.06,21300,18.94
2015-02-10,19.30,19.67,19.00,19.60,25100,19.48
2015-02-09,19.23,19.52,19.20,19.32,12600,19.20
2015-02-06,19.50,19.75,19.25,19.40,22100,19.28
2015-02-05,20.00,20.00,19.50,19.52,30300,19.40
2015-02-04,20.00,20.00,19.60,19.93,38900,19.81
2015-02-03,19.60,19.94,19.13,19.50,35900,19.38
2015-02-02,19.64,19.64,19.02,19.25,24000,19.13
2015-01-30,19.60,20.00,19.05,19.50,32300,19.38
2015-01-29,19.34,19.43,19.00,19.20,38700,19.08
2015-01-28,19.04,19.50,19.00,19.18,28700,19.06
2015-01-27,18.98,19.49,18.75,19.48,53300,19.36
2015-01-26,18.90,19.07,18.60,18.62,27100,18.50
2015-01-23,19.20,19.40,18.76,19.06,32300,18.94
2015-01-22,19.41,19.60,19.26,19.45,26500,19.33
2015-01-21,18.86,20.00,18.01,19.60,70600,19.48
2015-01-20,18.43,18.75,17.51,18.75,131900,18.63
2015-01-16,19.40,19.40,18.76,18.76,57400,18.53
2015-01-15,19.03,19.24,18.81,18.83,22600,18.60
2015-01-14,18.81,19.04,18.58,18.98,63400,18.75
2015-01-13,19.92,19.95,19.30,19.42,106600,19.18
2015-01-12,19.52,20.35,19.52,19.91,22600,19.66
2015-01-09,19.32,19.70,19.16,19.59,53600,19.35
2015-01-08,19.30,19.50,19.25,19.47,72600,19.23
2015-01-07,19.40,19.43,19.35,19.40,112800,19.16
2015-01-06,19.60,19.69,19.50,19.50,88100,19.26
2015-01-05,19.89,19.90,19.75,19.75,99600,19.51
2015-01-02,19.90,20.22,19.90,19.90,104300,19.65
2014-12-31,20.15,20.20,20.00,20.00,89800,19.75
2014-12-30,20.04,20.40,20.00,20.01,72800,19.76
2014-12-29,19.95,20.40,19.88,20.10,384400,19.85
2014-12-26,20.01,20.10,20.00,20.04,33000,19.79
2014-12-24,20.00,20.09,20.00,20.00,24700,19.75
2014-12-23,20.02,20.15,20.00,20.00,40300,19.75
2014-12-22,20.21,20.30,20.00,20.00,90700,19.75
2014-12-19,20.35,20.49,20.21,20.31,15900,20.06
2014-12-18,20.19,20.28,20.05,20.25,39200,20.00
2014-12-17,21.22,21.22,20.00,20.01,125200,19.76
2014-12-16,21.00,21.70,20.04,21.46,46500,21.20
2014-12-15,21.00,21.00,20.68,20.79,28400,20.53
2014-12-12,20.30,20.92,20.30,20.85,21500,20.59
2014-12-11,21.49,21.75,20.87,21.06,36200,20.80
2014-12-10,20.80,21.80,20.34,21.60,35200,21.33
2014-12-09,22.50,22.50,20.56,20.89,48300,20.63
2014-12-08,21.50,22.50,20.49,20.60,49100,20.35
2014-12-05,20.35,20.75,20.25,20.75,39600,20.49
2014-12-04,20.15,20.39,20.10,20.10,29300,19.85
2014-12-03,20.10,20.19,20.01,20.10,38500,19.85
2014-12-02,20.01,20.09,20.00,20.00,31900,19.75
2014-12-01,20.10,20.36,20.00,20.00,50700,19.75
2014-11-28,20.05,20.10,20.05,20.10,6400,19.85
2014-11-26,20.00,20.09,20.00,20.05,23800,19.80
