Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,33.22,33.22,33.13,33.13,1500,33.13
2015-02-12,32.78,33.03,32.75,32.95,5400,32.95
2015-02-11,32.45,32.53,32.45,32.50,1800,32.50
2015-02-10,32.25,32.60,32.23,32.43,1800,32.43
2015-02-09,31.92,32.37,31.89,32.30,4000,32.30
2015-02-06,32.47,32.65,32.12,32.13,6800,32.13
2015-02-05,31.60,31.92,31.56,31.91,2300,31.91
2015-02-04,31.80,32.14,31.70,31.90,8800,31.90
2015-02-03,30.99,31.59,30.94,31.45,481200,31.45
2015-02-02,30.77,31.36,30.77,31.30,7800,31.30
2015-01-30,31.25,31.62,30.95,30.96,6700,30.96
2015-01-29,31.21,31.35,31.01,31.35,1600,31.35
2015-01-28,32.00,32.00,31.37,31.37,9500,31.37
2015-01-27,31.41,32.07,31.40,31.83,12000,31.83
2015-01-26,31.88,32.01,31.88,31.95,1500,31.95
2015-01-23,32.42,32.46,32.42,32.46,600,32.46
2015-01-22,31.95,32.49,31.95,32.49,7800,32.49
2015-01-21,31.76,31.78,31.63,31.63,4300,31.63
2015-01-20,31.70,31.70,31.63,31.63,400,31.63
2015-01-16,31.50,31.83,31.46,31.83,2700,31.83
2015-01-15,31.98,31.98,31.54,31.55,2000,31.55
2015-01-14,31.62,31.72,31.24,31.62,9500,31.62
2015-01-13,32.81,32.81,31.95,32.27,54500,32.27
2015-01-12,32.24,32.24,32.07,32.17,2300,32.17
2015-01-09,32.79,33.07,32.62,33.04,1100,33.04
2015-01-08,32.82,33.20,32.82,32.95,3900,32.95
2015-01-07,32.39,32.46,32.30,32.37,10000,32.37
2015-01-06,32.08,32.26,32.02,32.20,22200,32.20
2015-01-05,33.54,33.54,32.66,32.82,3100,32.82
2015-01-02,34.00,34.04,33.59,33.75,7100,33.75
2014-12-31,34.17,34.30,33.90,33.90,1300,33.90
2014-12-30,34.01,34.25,34.01,34.25,000,34.25
2014-12-29,34.20,34.33,34.20,34.23,000,34.23
2014-12-26,34.01,34.07,33.94,34.07,000,34.07
2014-12-24,34.21,34.25,33.97,34.16,000,34.16
2014-12-23,33.35,34.42,33.35,34.24,000,34.24
2014-12-22,33.56,34.04,33.56,33.72,4700,33.72
2014-12-19,33.62,33.87,33.40,33.87,4600,33.87
2014-12-18,33.30,33.68,33.27,33.68,4500,33.68
2014-12-17,31.67,32.97,31.67,32.90,2200,32.90
2014-12-16,32.00,32.22,31.75,31.75,4100,31.75
2014-12-15,32.25,32.29,31.96,32.22,2700,32.22
2014-12-12,32.95,32.95,32.45,32.59,11000,32.59
2014-12-11,33.02,33.46,32.99,33.16,6200,33.16
2014-12-10,33.65,33.65,33.29,33.29,2100,33.29
2014-12-09,33.48,33.49,33.32,33.49,1300,33.49
2014-12-08,33.70,34.21,33.70,34.17,5700,34.17
2014-12-05,32.99,33.84,32.99,33.49,6900,33.49
2014-12-04,33.38,33.38,33.15,33.15,700,33.15
2014-12-03,33.42,33.46,33.33,33.39,1700,33.39
2014-12-02,33.05,33.19,32.95,33.19,2500,33.19
2014-12-01,32.95,33.02,32.69,33.02,7500,33.02
2014-11-28,33.16,33.42,33.16,33.42,1200,33.42
2014-11-26,33.07,33.10,32.93,33.01,3900,33.01
2014-11-25,33.31,33.31,32.95,33.20,20500,33.20
2014-11-24,33.08,33.36,33.08,33.34,29300,33.34
2014-11-21,32.90,33.13,32.88,33.08,140400,33.08
2014-11-20,32.22,32.74,32.22,32.60,8800,32.60
2014-11-19,32.28,32.65,32.27,32.57,6800,32.57
2014-11-18,31.77,32.33,31.77,32.28,17600,32.28
2014-11-17,31.57,31.83,31.50,31.78,26300,31.78
2014-11-14,31.63,31.69,31.50,31.51,3700,31.51
2014-11-13,31.65,31.78,31.40,31.61,5800,31.61
2014-11-12,31.62,31.96,31.62,31.65,10900,31.65
2014-11-11,31.72,32.17,31.72,31.88,20200,31.88
2014-11-10,31.47,31.92,31.47,31.75,587400,31.75
2014-11-07,30.96,31.91,30.96,31.90,121700,31.90
2014-11-06,31.24,31.56,31.14,31.56,8200,31.56
2014-11-05,31.47,31.58,31.47,31.58,1400,31.58
2014-11-04,31.38,31.42,31.34,31.42,28000,31.42
2014-11-03,31.36,31.36,31.25,31.25,3800,31.25
2014-10-31,31.37,31.37,31.09,31.23,1700,31.23
2014-10-30,30.61,30.85,26.05,30.75,4600,30.75
2014-10-29,30.40,30.41,30.26,30.34,2300,30.34
2014-10-28,29.32,30.40,29.32,30.40,48000,30.40
2014-10-27,29.37,29.37,29.29,29.33,3500,29.33
2014-10-24,28.54,29.13,28.54,29.13,5200,29.13
2014-10-23,28.96,28.96,28.70,28.70,3500,28.70
2014-10-22,28.59,28.63,28.59,28.61,1200,28.61
2014-10-21,28.35,28.57,28.34,28.57,2200,28.57
2014-10-20,27.89,28.23,27.84,28.01,20700,28.01
2014-10-17,27.56,27.66,27.56,27.66,3500,27.66
2014-10-16,26.52,27.42,26.52,27.13,2400,27.13
2014-10-15,27.19,27.19,26.42,27.07,18900,27.07
2014-10-14,27.07,27.75,27.04,27.40,5300,27.40
2014-10-13,27.47,27.53,27.07,27.07,5200,27.07
2014-10-10,27.95,28.10,27.51,27.57,55200,27.57
2014-10-09,28.00,28.32,27.96,28.11,65200,28.11
2014-10-08,28.18,28.20,28.18,28.20,1600,28.20
2014-10-07,28.47,28.59,28.04,28.04,58900,28.04
2014-10-06,28.97,28.97,28.97,28.97,000,28.97
2014-10-03,28.25,29.00,28.25,28.97,2200,28.97
2014-10-02,27.95,28.49,27.95,28.26,2300,28.26
2014-10-01,28.68,28.68,28.32,28.32,1100,28.32
2014-09-30,29.00,29.17,28.86,28.95,3100,28.95
2014-09-29,29.05,29.25,29.05,29.25,700,29.25
2014-09-26,29.10,29.21,29.10,29.21,2300,29.21
2014-09-25,28.83,29.03,28.66,28.75,4500,28.75
2014-09-24,28.75,29.16,28.75,29.14,527400,29.14
2014-09-23,29.00,29.00,28.70,28.70,1600,28.70
2014-09-22,29.14,29.14,28.94,28.94,3100,28.94
2014-09-19,29.70,29.70,29.34,29.34,28300,29.34
2014-09-18,29.49,29.66,29.49,29.57,4700,29.57
2014-09-17,29.04,29.23,28.94,29.17,104200,29.17
2014-09-16,28.70,28.92,28.69,28.92,1800,28.92
2014-09-15,28.80,28.82,28.73,28.80,8700,28.80
2014-09-12,28.75,28.98,28.70,28.80,7800,28.80
2014-09-11,28.80,28.82,28.80,28.82,8500,28.82
2014-09-10,28.16,28.98,28.16,28.70,3100,28.70
2014-09-09,28.33,28.45,28.33,28.45,1100,28.45
2014-09-08,28.35,28.46,28.32,28.46,500,28.46
2014-09-05,28.27,28.36,28.26,28.36,6200,28.36
2014-09-04,28.64,28.70,28.61,28.64,1000,28.64
2014-09-03,28.74,28.74,28.39,28.40,800,28.40
2014-09-02,28.73,29.05,28.60,28.71,9000,28.71
2014-08-29,28.42,28.82,28.42,28.64,6800,28.64
2014-08-28,28.46,28.54,28.45,28.46,2700,28.46
2014-08-27,28.67,28.72,28.67,28.72,13400,28.72
2014-08-26,28.25,28.69,28.25,28.59,6400,28.59
2014-08-25,27.97,28.17,27.97,28.17,1800,28.17
2014-08-22,27.77,27.85,27.73,27.82,3300,27.82
2014-08-21,27.47,27.85,27.47,27.77,60100,27.77
2014-08-20,27.32,27.55,27.32,27.55,42800,27.55
2014-08-19,26.99,27.32,26.95,27.27,95500,27.27
2014-08-18,27.00,27.11,26.95,27.01,30800,27.01
2014-08-15,26.89,26.89,26.40,26.51,8600,26.51
2014-08-14,26.43,26.76,26.42,26.76,3500,26.76
2014-08-13,26.19,26.39,26.14,26.26,13600,26.26
2014-08-12,25.92,26.03,25.86,25.98,5800,25.98
2014-08-11,25.50,25.96,25.50,25.96,3700,25.96
2014-08-08,25.17,25.35,25.14,25.35,4500,25.35
2014-08-07,25.79,25.89,25.16,25.20,12700,25.20
2014-08-06,25.24,25.83,25.24,25.83,19300,25.83
2014-08-05,25.46,25.75,25.41,25.46,7900,25.46
2014-08-04,25.71,25.80,25.40,25.80,6200,25.80
2014-08-01,25.41,25.50,25.22,25.46,10900,25.46
2014-07-31,25.87,26.37,25.55,25.75,19900,25.75
2014-07-30,26.55,26.55,25.95,25.95,9200,25.95
2014-07-29,26.89,26.90,26.79,26.79,2200,26.79
2014-07-28,26.56,26.88,26.56,26.88,6700,26.88
2014-07-25,27.24,27.24,26.70,26.70,3500,26.70
2014-07-24,27.50,27.50,27.27,27.31,5900,27.31
2014-07-23,27.50,27.50,27.34,27.34,1600,27.34
2014-07-22,27.81,27.81,27.81,27.81,700,27.81
2014-07-21,27.53,27.71,27.34,27.71,3500,27.71
2014-07-18,27.32,27.54,27.32,27.53,13500,27.53
2014-07-17,27.65,27.68,27.18,27.23,1000,27.23
