Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,22.81,23.09,22.48,22.53,28700,22.53
2015-02-12,23.11,23.55,22.39,22.68,19300,22.68
2015-02-11,23.10,23.28,22.82,22.84,80600,22.84
2015-02-10,23.33,23.59,22.65,23.25,140200,23.25
2015-02-09,22.85,23.50,22.48,22.92,20900,22.92
2015-02-06,22.60,23.20,21.98,22.80,45400,22.80
2015-02-05,23.45,23.97,22.60,22.64,40200,22.64
2015-02-04,22.30,22.72,21.50,22.50,44100,22.50
2015-02-03,22.71,22.71,21.61,21.61,13700,21.61
2015-02-02,22.37,22.63,21.54,21.85,58900,21.85
2015-01-30,21.23,23.34,20.78,21.96,83800,21.96
2015-01-29,20.91,22.66,20.91,21.68,23600,21.34
2015-01-28,21.04,21.98,20.88,21.10,38600,20.77
2015-01-27,22.35,22.35,21.06,21.48,56100,21.15
2015-01-26,21.74,22.32,21.20,21.92,65400,21.58
2015-01-23,20.68,21.68,19.70,20.93,41900,20.60
2015-01-22,19.51,20.57,18.25,20.35,42500,20.03
2015-01-21,19.37,20.20,19.23,19.67,32700,19.36
2015-01-20,20.95,20.95,18.77,19.20,23500,18.90
2015-01-16,18.56,20.87,17.80,20.60,767800,20.28
2015-01-15,20.49,20.49,18.94,18.94,117800,18.64
2015-01-14,20.08,20.37,18.60,20.18,20800,19.87
2015-01-13,20.41,21.30,19.85,20.05,17300,19.74
2015-01-12,20.10,20.70,19.51,20.01,25100,19.70
2015-01-09,20.68,21.70,19.22,20.31,42400,19.99
2015-01-08,19.97,20.95,19.83,20.00,41600,19.69
2015-01-07,20.49,21.11,18.70,20.00,36500,19.69
2015-01-06,20.14,20.30,18.79,19.73,30500,19.42
2015-01-05,20.45,20.85,19.34,19.93,36900,19.62
2015-01-02,20.55,20.81,20.24,20.48,11500,20.16
2014-12-31,20.30,21.55,19.94,20.64,16500,20.32
2014-12-30,19.70,20.49,19.61,20.00,40100,19.69
2014-12-29,19.43,21.06,18.89,19.88,208100,19.57
2014-12-26,18.47,20.26,17.97,19.69,46000,19.38
2014-12-24,18.70,19.75,17.81,18.25,22100,17.97
2014-12-23,18.03,19.45,18.01,18.44,59000,18.15
2014-12-22,18.25,19.33,17.60,18.35,174300,18.06
2014-12-19,18.52,20.13,18.36,18.39,24600,18.10
2014-12-18,18.07,18.73,17.97,18.27,104500,17.99
2014-12-17,17.54,18.40,17.30,18.17,67400,17.89
2014-12-16,16.98,18.00,16.71,17.19,67600,16.92
2014-12-15,16.90,17.30,16.80,16.80,28600,16.54
2014-12-12,16.49,17.66,16.47,16.81,79600,16.55
2014-12-11,17.06,18.29,16.60,16.64,72600,16.38
2014-12-10,17.05,17.47,16.57,16.97,116300,16.71
2014-12-09,17.20,17.53,16.26,17.04,160800,16.77
2014-12-08,19.08,19.30,16.81,17.25,58100,16.98
2014-12-05,18.26,18.99,18.25,18.80,35500,18.51
2014-12-04,18.25,19.03,18.25,18.26,31300,17.98
2014-12-03,17.88,18.78,17.48,18.55,68700,18.26
2014-12-02,16.96,18.64,16.90,18.24,47200,17.96
2014-12-01,19.00,19.00,16.45,16.84,206800,16.58
2014-11-28,19.75,19.75,18.17,18.40,19400,18.11
2014-11-26,20.04,20.33,19.90,20.23,20100,19.91
2014-11-25,19.75,20.80,19.75,20.56,70900,20.24
2014-11-24,21.13,21.42,18.84,19.63,152000,19.32
2014-11-21,22.49,23.16,21.04,21.08,29200,20.76
2014-11-20,22.38,23.30,22.06,22.82,47700,22.46
2014-11-19,21.50,22.93,21.50,22.28,56100,21.93
2014-11-18,22.31,22.31,21.80,21.80,27100,21.46
2014-11-17,22.10,22.39,21.95,22.00,12600,21.66
2014-11-14,22.49,22.56,22.06,22.07,4900,21.73
2014-11-13,23.47,23.47,22.20,22.38,43100,22.03
2014-11-12,23.41,24.22,23.37,23.46,53200,23.09
2014-11-11,23.60,24.73,23.30,23.55,41400,23.18
2014-11-10,23.52,23.66,23.11,23.35,39300,22.99
2014-11-07,22.50,24.45,22.02,23.56,45200,23.19
2014-11-06,21.26,22.47,21.20,22.47,25900,22.12
2014-11-05,21.75,21.75,21.47,21.70,40500,21.36
2014-11-04,21.85,21.91,21.49,21.51,64400,21.17
2014-11-03,21.65,22.59,21.31,21.79,100200,21.45
2014-10-31,20.91,21.58,20.91,21.01,28100,20.68
2014-10-30,21.49,21.49,20.78,21.31,12100,20.80
2014-10-29,21.67,21.67,21.32,21.35,26700,20.84
2014-10-28,21.61,21.83,21.28,21.28,22300,20.77
2014-10-27,21.48,21.66,21.04,21.40,31600,20.89
2014-10-24,21.02,21.67,21.00,21.65,43200,21.13
2014-10-23,20.72,21.39,20.54,21.30,45500,20.79
2014-10-22,21.00,21.07,20.72,20.72,57400,20.22
