Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,51.00,52.30,49.00,49.42,1744100,49.42
2015-02-12,54.00,55.16,53.96,55.13,337500,55.13
2015-02-11,52.53,53.99,52.24,53.85,375500,53.85
2015-02-10,52.78,52.78,51.86,52.30,204600,52.30
2015-02-09,52.80,53.34,52.27,52.35,176900,52.35
2015-02-06,53.18,53.75,52.38,52.85,252900,52.85
2015-02-05,52.87,53.57,52.63,53.09,176400,53.09
2015-02-04,51.63,53.01,51.42,52.30,141200,52.30
2015-02-03,51.10,51.92,51.08,51.76,197300,51.76
2015-02-02,49.89,50.92,49.14,50.85,380200,50.85
2015-01-30,51.15,51.40,49.65,49.77,406100,49.77
2015-01-29,51.81,51.81,50.81,51.30,238000,51.30
2015-01-28,52.50,52.81,51.56,51.74,131900,51.74
2015-01-27,52.05,52.81,51.91,52.16,201600,52.16
2015-01-26,53.19,53.38,52.43,52.71,221300,52.71
2015-01-23,54.37,54.96,53.22,53.25,246100,53.25
2015-01-22,53.11,54.58,52.45,54.32,149800,54.32
2015-01-21,52.67,53.13,52.41,52.74,174100,52.74
2015-01-20,53.25,53.39,52.07,52.89,158300,52.89
2015-01-16,51.44,53.18,51.28,53.09,154800,53.09
2015-01-15,53.58,53.58,51.54,51.56,220600,51.56
2015-01-14,53.51,54.24,53.13,53.39,306600,53.39
2015-01-13,52.95,54.34,52.72,54.15,214100,54.15
2015-01-12,53.33,53.95,51.58,52.48,373500,52.48
2015-01-09,54.53,54.73,53.71,53.79,180800,53.79
2015-01-08,53.87,55.04,53.27,54.62,253500,54.62
2015-01-07,52.69,53.28,51.94,53.21,356200,53.21
2015-01-06,52.78,52.78,51.72,52.25,251200,52.25
2015-01-05,53.07,53.68,52.47,52.70,174600,52.70
2015-01-02,54.04,54.25,52.67,53.48,148700,53.48
2014-12-31,54.88,55.50,53.80,53.95,178600,53.95
2014-12-30,54.95,55.62,54.44,54.87,115200,54.87
2014-12-29,55.50,55.57,54.68,55.14,117200,55.14
2014-12-26,55.40,55.70,55.07,55.53,77600,55.53
2014-12-24,55.00,55.44,54.21,55.09,71500,55.09
2014-12-23,54.41,55.03,54.38,54.75,92200,54.75
2014-12-22,54.42,55.07,53.70,54.30,85500,54.30
