Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,9.14,9.18,9.14,9.18,56800,9.18
2015-02-12,9.10,9.12,9.07,9.11,47600,9.11
2015-02-11,9.09,9.11,9.07,9.08,36700,9.08
2015-02-10,9.10,9.18,9.10,9.18,88800,9.12
2015-02-09,9.12,9.18,9.09,9.09,35800,9.03
2015-02-06,9.11,9.14,9.11,9.14,30700,9.08
2015-02-05,9.06,9.14,9.06,9.14,38400,9.08
2015-02-04,9.08,9.11,9.06,9.06,56600,9.00
2015-02-03,9.07,9.14,9.05,9.09,48400,9.03
2015-02-02,9.05,9.08,9.04,9.08,37300,9.02
2015-01-30,9.03,9.05,9.00,9.05,33600,8.99
2015-01-29,8.98,9.06,8.98,9.03,51900,8.97
2015-01-28,9.00,9.04,8.97,8.97,45300,8.91
2015-01-27,9.00,9.03,8.97,9.01,37100,8.95
2015-01-26,8.96,9.03,8.96,9.03,77100,8.97
2015-01-23,8.92,8.97,8.91,8.96,53100,8.90
2015-01-22,8.91,8.94,8.90,8.91,82100,8.85
2015-01-21,8.98,8.98,8.84,8.91,222400,8.85
2015-01-20,9.00,9.00,8.95,8.95,24400,8.89
2015-01-16,8.96,9.00,8.96,9.00,32300,8.94
2015-01-15,9.00,9.00,8.90,8.96,39500,8.90
2015-01-14,8.93,8.99,8.90,8.99,46700,8.93
2015-01-13,9.05,9.05,8.99,9.01,53200,8.95
2015-01-12,9.06,9.06,9.00,9.02,52300,8.96
2015-01-09,9.03,9.03,8.95,9.02,35100,8.96
2015-01-08,8.93,9.01,8.93,9.01,44000,8.95
2015-01-07,8.84,8.91,8.84,8.89,150300,8.83
2015-01-06,8.85,8.85,8.75,8.82,111500,8.76
2015-01-05,8.93,8.93,8.76,8.83,183100,8.77
2015-01-02,8.94,9.06,8.91,8.98,109300,8.92
2014-12-31,8.85,8.94,8.84,8.94,204000,8.88
2014-12-30,8.88,8.89,8.83,8.86,109500,8.80
2014-12-29,8.87,8.94,8.81,8.88,117300,8.82
2014-12-26,8.93,9.09,8.93,9.01,126500,8.83
2014-12-24,8.92,8.94,8.87,8.90,100100,8.72
2014-12-23,8.88,8.91,8.84,8.88,224200,8.70
2014-12-22,9.00,9.00,8.86,8.86,94600,8.68
2014-12-19,8.95,9.00,8.94,9.00,116600,8.82
2014-12-18,8.89,9.04,8.89,8.93,103700,8.75
2014-12-17,8.67,8.85,8.66,8.84,236600,8.66
2014-12-16,8.68,8.71,8.58,8.65,194300,8.47
2014-12-15,8.76,8.81,8.67,8.71,143200,8.53
2014-12-12,8.88,8.88,8.79,8.82,106900,8.58
2014-12-11,8.95,9.01,8.83,8.92,224700,8.67
2014-12-10,9.09,9.09,8.91,8.97,201200,8.72
2014-12-09,9.09,9.11,9.08,9.08,87100,8.83
2014-12-08,9.29,9.29,9.12,9.12,139800,8.87
2014-12-05,9.30,9.32,9.26,9.32,144100,9.06
2014-12-04,9.35,9.36,9.28,9.28,55400,9.02
2014-12-03,9.38,9.39,9.32,9.32,73600,9.06
2014-12-02,9.45,9.45,9.38,9.38,79500,9.12
2014-12-01,9.44,9.47,9.41,9.45,100900,9.19
2014-11-28,9.47,9.49,9.43,9.44,101700,9.18
2014-11-26,9.44,9.47,9.43,9.45,69600,9.19
2014-11-25,9.45,9.46,9.39,9.44,65100,9.18
2014-11-24,9.44,9.45,9.42,9.44,105300,9.18
2014-11-21,9.40,9.44,9.40,9.44,28600,9.18
2014-11-20,9.32,9.39,9.32,9.39,55500,9.13
2014-11-19,9.35,9.39,9.30,9.34,57400,9.08
2014-11-18,9.32,9.39,9.31,9.35,55400,9.09
2014-11-17,9.38,9.41,9.33,9.35,62900,9.09
2014-11-14,9.44,9.46,9.35,9.37,82200,9.11
2014-11-13,9.54,9.56,9.45,9.45,59300,9.19
2014-11-12,9.60,9.60,9.53,9.53,50400,9.27
2014-11-11,9.55,9.65,9.54,9.63,129700,9.30
2014-11-10,9.56,9.59,9.52,9.55,56200,9.22
2014-11-07,9.50,9.55,9.50,9.55,45600,9.22
2014-11-06,9.56,9.56,9.48,9.48,36800,9.16
2014-11-05,9.59,9.59,9.53,9.55,46300,9.22
2014-11-04,9.54,9.57,9.51,9.51,43700,9.19
2014-11-03,9.55,9.60,9.54,9.57,81300,9.24
2014-10-31,9.65,9.65,9.55,9.55,68700,9.22
2014-10-30,9.60,9.63,9.57,9.58,35700,9.25
2014-10-29,9.64,9.65,9.57,9.58,52300,9.25
2014-10-28,9.56,9.65,9.56,9.61,59200,9.28
2014-10-27,9.52,9.56,9.48,9.55,27600,9.22
2014-10-24,9.56,9.57,9.48,9.52,41500,9.20
2014-10-23,9.55,9.55,9.52,9.54,43100,9.21
2014-10-22,9.52,9.53,9.46,9.53,45800,9.21
2014-10-21,9.47,9.49,9.44,9.48,69600,9.16
2014-10-20,9.42,9.47,9.41,9.47,55600,9.15
2014-10-17,9.38,9.44,9.38,9.38,64800,9.06
2014-10-16,9.14,9.29,9.11,9.28,89000,8.96
2014-10-15,9.22,9.28,9.04,9.18,127000,8.87
2014-10-14,9.30,9.37,9.26,9.26,67700,8.88
2014-10-13,9.34,9.42,9.25,9.29,54800,8.91
2014-10-10,9.39,9.42,9.31,9.34,71400,8.96
2014-10-09,9.52,9.52,9.36,9.38,59200,9.00
2014-10-08,9.48,9.52,9.43,9.50,46100,9.11
2014-10-07,9.51,9.51,9.45,9.48,52800,9.09
2014-10-06,9.49,9.53,9.48,9.51,87200,9.12
2014-10-03,9.38,9.50,9.38,9.44,78600,9.05
2014-10-02,9.38,9.42,9.33,9.41,143900,9.03
2014-10-01,9.38,9.43,9.36,9.41,73700,9.03
2014-09-30,9.43,9.43,9.36,9.41,42800,9.03
2014-09-29,9.35,9.41,9.35,9.41,83200,9.03
2014-09-26,9.43,9.46,9.35,9.42,46300,9.04
2014-09-25,9.57,9.57,9.43,9.43,62700,9.04
2014-09-24,9.59,9.59,9.53,9.57,51800,9.18
2014-09-23,9.52,9.57,9.51,9.57,70100,9.18
2014-09-22,9.55,9.56,9.50,9.53,61000,9.14
2014-09-19,9.52,9.55,9.49,9.53,57700,9.14
2014-09-18,9.52,9.57,9.52,9.52,44400,9.13
2014-09-17,9.58,9.60,9.52,9.52,49500,9.13
2014-09-16,9.58,9.60,9.56,9.56,63800,9.17
2014-09-15,9.68,9.68,9.60,9.63,41700,9.24
2014-09-12,9.67,9.69,9.65,9.66,48100,9.27
2014-09-11,9.72,9.72,9.70,9.71,46900,9.25
2014-09-10,9.71,9.74,9.69,9.74,48100,9.28
2014-09-09,9.74,9.74,9.67,9.72,36000,9.26
2014-09-08,9.75,9.76,9.71,9.72,34400,9.26
2014-09-05,9.73,9.75,9.71,9.75,65300,9.29
2014-09-04,9.76,9.78,9.72,9.74,51400,9.28
2014-09-03,9.75,9.77,9.73,9.76,43600,9.30
2014-09-02,9.75,9.77,9.74,9.77,66900,9.31
2014-08-29,9.75,9.75,9.72,9.75,56600,9.29
2014-08-28,9.72,9.74,9.72,9.73,33200,9.27
2014-08-27,9.70,9.75,9.70,9.75,39600,9.29
2014-08-26,9.67,9.70,9.66,9.68,85200,9.22
2014-08-25,9.68,9.73,9.63,9.65,104200,9.19
2014-08-22,9.73,9.75,9.64,9.64,52400,9.18
2014-08-21,9.74,9.75,9.73,9.75,41600,9.29
2014-08-20,9.72,9.72,9.70,9.71,22300,9.25
2014-08-19,9.72,9.73,9.69,9.72,48300,9.26
2014-08-18,9.76,9.76,9.68,9.69,133400,9.23
2014-08-15,9.72,9.74,9.65,9.70,60500,9.24
2014-08-14,9.65,9.73,9.65,9.68,49200,9.22
2014-08-13,9.66,9.70,9.65,9.65,41700,9.19
2014-08-12,9.70,9.72,9.69,9.72,32900,9.20
2014-08-11,9.61,9.74,9.61,9.73,43900,9.21
2014-08-08,9.57,9.64,9.57,9.62,46500,9.10
2014-08-07,9.57,9.71,9.57,9.57,34400,9.06
2014-08-06,9.50,9.60,9.50,9.57,30300,9.06
2014-08-05,9.59,9.60,9.53,9.55,79200,9.04
2014-08-04,9.71,9.74,9.57,9.60,132000,9.08
2014-08-01,9.67,9.82,9.55,9.71,153700,9.19
2014-07-31,9.78,9.81,9.62,9.66,154000,9.14
2014-07-30,9.84,9.86,9.78,9.78,49400,9.26
2014-07-29,9.84,9.88,9.84,9.86,32700,9.33
2014-07-28,9.92,9.92,9.84,9.84,45700,9.31
