Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,321.89,323.55,318.13,323.46,819700,323.46
2015-02-12,319.99,320.57,315.77,320.42,728000,320.42
2015-02-11,318.18,322.49,315.45,317.25,1221500,317.25
2015-02-10,316.43,319.26,314.43,318.26,847200,318.26
2015-02-09,314.19,317.46,313.08,313.41,1081400,313.41
2015-02-06,319.91,322.82,314.79,315.59,1030700,315.59
2015-02-05,314.71,320.49,313.67,319.91,932100,319.91
2015-02-04,310.13,314.68,305.01,312.55,3174800,312.55
2015-02-03,320.83,322.00,310.13,317.79,3071900,317.79
2015-02-02,323.65,324.45,315.39,319.58,1893300,319.58
2015-01-30,323.93,329.16,321.06,321.65,1688500,321.65
2015-01-29,319.88,323.01,314.74,322.85,1187600,322.85
2015-01-28,327.80,328.55,318.61,318.98,1412400,318.98
2015-01-27,323.62,329.20,323.62,325.98,1432600,325.98
2015-01-26,323.13,328.32,321.15,328.00,1306100,328.00
2015-01-23,320.50,322.99,319.24,322.41,756100,322.41
2015-01-22,319.88,321.03,311.12,320.97,1660900,320.97
2015-01-21,321.40,323.31,317.56,318.49,1471300,318.49
2015-01-20,320.28,323.82,314.83,323.23,1675600,323.23
2015-01-16,307.53,317.97,307.50,317.82,1930700,317.82
2015-01-15,317.38,318.28,307.30,307.70,1801700,307.70
2015-01-14,311.42,316.94,310.56,315.57,1480600,315.57
2015-01-13,319.17,322.46,311.38,314.97,2376300,314.97
2015-01-12,315.54,317.94,312.33,315.06,2214600,315.06
2015-01-09,316.60,317.08,310.22,313.32,1035800,313.32
2015-01-08,315.95,316.70,311.66,314.44,1410700,314.44
2015-01-07,304.46,312.00,304.26,312.00,1547700,312.00
2015-01-06,307.23,309.36,298.04,300.81,1883500,300.81
2015-01-05,304.00,309.42,303.50,305.85,1543400,305.85
2015-01-02,306.39,309.39,303.47,306.34,928100,306.34
2014-12-31,305.70,309.42,303.15,303.35,1251600,303.35
2014-12-30,307.58,308.09,304.24,304.53,25600,304.53
2014-12-29,307.06,308.94,305.19,308.01,717700,308.01
2014-12-26,302.23,307.06,301.52,306.61,833600,306.61
2014-12-24,293.07,302.56,293.00,299.80,1260900,299.80
2014-12-23,309.21,309.94,292.04,294.68,3636000,294.68
