Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,18.44,18.50,18.35,18.47,8900,18.47
2015-02-12,18.43,18.50,17.99,18.27,52000,18.27
2015-02-11,18.39,18.50,18.11,18.24,20400,18.24
2015-02-10,18.55,18.55,18.02,18.49,46300,18.49
2015-02-09,18.51,18.53,18.22,18.37,37400,18.37
2015-02-06,18.48,18.55,18.37,18.45,35100,18.45
2015-02-05,18.63,18.65,18.37,18.42,83500,18.42
2015-02-04,18.79,18.83,18.30,18.53,57000,18.53
2015-02-03,18.30,18.87,18.09,18.72,41700,18.72
2015-02-02,17.99,18.29,17.80,18.18,28600,18.18
2015-01-30,18.21,18.55,17.80,17.85,39600,17.85
2015-01-29,18.11,18.46,18.03,18.42,46000,18.42
2015-01-28,18.36,18.36,17.88,17.96,63300,17.96
2015-01-27,17.90,18.35,17.90,18.27,48200,18.27
2015-01-26,17.38,18.13,17.38,18.10,21000,18.10
2015-01-23,17.89,18.02,17.45,17.54,30200,17.54
2015-01-22,17.16,17.86,17.16,17.80,32200,17.80
2015-01-21,17.15,17.36,16.97,17.14,31900,17.14
2015-01-20,17.35,17.45,16.88,17.37,53600,17.37
2015-01-16,17.50,17.66,17.03,17.25,144600,17.25
2015-01-15,17.71,17.72,17.44,17.61,111100,17.61
2015-01-14,17.82,18.00,17.49,17.88,53500,17.88
2015-01-13,18.42,18.71,17.58,18.06,86300,18.06
2015-01-12,18.74,18.74,18.02,18.25,43700,18.25
2015-01-09,18.85,18.90,18.60,18.68,63800,18.68
2015-01-08,17.88,19.04,17.88,18.71,86500,18.71
2015-01-07,17.74,17.79,17.43,17.72,49100,17.72
2015-01-06,17.62,17.75,17.15,17.58,174200,17.58
2015-01-05,17.70,17.84,17.43,17.52,32800,17.52
2015-01-02,17.86,18.15,17.35,17.76,115700,17.76
2014-12-31,18.10,18.89,17.75,17.82,90200,17.82
2014-12-30,18.07,18.29,17.93,17.96,64300,17.96
2014-12-29,17.80,18.15,17.80,18.09,28500,18.09
2014-12-26,18.46,18.46,17.78,17.85,26900,17.85
2014-12-24,18.08,18.52,17.66,18.47,30400,18.47
2014-12-23,17.86,18.03,17.61,18.01,30200,18.01
2014-12-22,18.08,18.14,17.47,17.83,41600,17.83
2014-12-19,18.21,18.24,17.89,18.16,65700,18.16
2014-12-18,18.33,18.45,17.90,18.22,43500,18.22
2014-12-17,17.44,18.18,17.12,18.09,45000,18.09
2014-12-16,17.37,17.69,17.21,17.50,37300,17.50
2014-12-15,17.56,17.82,17.30,17.44,40100,17.44
2014-12-12,17.58,17.78,17.36,17.58,24400,17.58
2014-12-11,17.59,18.25,17.39,17.61,51600,17.61
2014-12-10,18.04,18.20,17.31,17.42,94100,17.42
2014-12-09,17.65,18.41,17.48,18.12,60000,18.12
2014-12-08,17.92,18.19,17.66,17.82,87700,17.82
2014-12-05,17.60,18.13,17.60,18.01,41500,18.01
2014-12-04,17.45,17.75,17.30,17.58,55100,17.58
2014-12-03,17.20,17.54,17.19,17.44,81000,17.44
2014-12-02,16.93,17.37,16.93,17.29,29300,17.29
2014-12-01,17.04,17.39,16.76,16.93,145700,16.93
2014-11-28,17.07,17.50,16.95,17.00,29700,17.00
2014-11-26,16.81,17.09,16.81,17.05,52100,17.05
2014-11-25,16.98,17.08,16.39,16.75,181200,16.75
2014-11-24,16.66,17.10,16.47,16.85,110600,16.85
2014-11-21,16.89,17.07,16.33,16.60,118600,16.60
2014-11-20,15.72,16.85,15.72,16.72,129600,16.72
2014-11-19,16.50,16.63,15.61,15.82,110600,15.82
2014-11-18,16.96,17.12,16.60,16.65,109500,16.65
2014-11-17,17.12,17.27,16.73,16.78,127800,16.78
2014-11-14,17.23,17.68,17.11,17.19,99700,17.19
2014-11-13,16.31,17.54,16.31,17.18,323800,17.18
2014-11-12,15.50,16.50,14.87,16.28,211200,16.28
2014-11-11,15.50,15.93,15.46,15.63,140800,15.63
2014-11-10,15.55,15.67,15.25,15.47,85300,15.47
2014-11-07,15.04,15.74,15.04,15.49,85400,15.49
2014-11-06,15.08,15.22,14.60,15.00,65300,15.00
2014-11-05,14.99,15.13,14.89,15.11,52400,15.11
2014-11-04,14.55,15.23,14.55,14.86,116900,14.86
2014-11-03,14.57,14.91,14.39,14.63,60100,14.63
2014-10-31,14.43,14.79,14.34,14.51,72900,14.51
2014-10-30,14.45,14.57,14.07,14.24,96300,14.24
