Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,40.66,40.99,40.02,40.50,14100,40.50
2015-02-12,39.98,40.30,39.75,40.30,4200,40.30
2015-02-11,39.72,39.72,39.32,39.56,23300,39.56
2015-02-10,39.16,39.72,39.16,39.72,4300,39.72
2015-02-09,39.08,39.29,39.05,39.05,21100,39.05
2015-02-06,40.15,40.15,39.50,39.50,8200,39.50
2015-02-05,39.87,40.61,39.87,40.60,14100,40.60
2015-02-04,40.01,40.02,39.85,39.85,12500,39.85
2015-02-03,39.93,40.32,39.84,40.30,20000,40.30
2015-02-02,38.74,39.57,38.70,39.57,8400,39.57
2015-01-30,39.06,39.08,38.50,38.62,98400,38.62
2015-01-29,38.99,39.51,38.99,39.27,99700,39.27
2015-01-28,39.00,39.50,38.63,38.67,8500,38.67
2015-01-27,39.11,39.14,38.89,38.89,6100,38.89
2015-01-26,38.59,39.34,38.59,39.23,12600,39.23
2015-01-23,38.72,38.80,38.47,38.47,16600,38.47
2015-01-22,38.41,38.61,38.30,38.54,9200,38.54
2015-01-21,38.03,38.29,37.99,38.22,30700,38.22
2015-01-20,38.01,38.19,38.01,38.11,2100,38.11
2015-01-16,37.37,37.80,37.24,37.80,5000,37.80
2015-01-15,37.07,37.16,37.04,37.10,4100,37.10
2015-01-14,36.60,36.85,36.60,36.70,3900,36.70
2015-01-13,36.95,36.95,36.70,36.70,2900,36.70
2015-01-12,36.82,36.82,36.65,36.65,4900,36.65
2015-01-09,36.57,36.60,36.57,36.58,2900,36.58
2015-01-08,36.38,36.52,36.30,36.51,9500,36.51
2015-01-07,35.97,36.42,35.78,36.33,20500,36.33
2015-01-06,36.08,36.08,35.70,35.76,1600,35.76
2015-01-05,36.26,36.26,35.79,36.01,12100,36.01
2015-01-02,36.29,36.31,36.29,36.31,1600,36.31
2014-12-31,36.70,36.70,36.50,36.50,1800,36.50
2014-12-30,36.61,36.75,36.61,36.75,700,36.75
2014-12-29,36.90,36.90,36.70,36.70,2800,36.70
2014-12-26,37.14,37.14,37.11,37.12,3700,37.12
2014-12-24,36.89,37.00,36.87,37.00,5900,37.00
2014-12-23,36.91,36.91,36.91,36.91,000,36.91
2014-12-22,37.00,37.00,36.87,36.91,800,36.91
2014-12-19,36.43,36.94,36.43,36.93,7000,36.93
2014-12-18,36.04,36.49,36.04,36.31,2400,36.28
2014-12-17,35.74,35.74,35.74,35.74,1200,35.71
2014-12-16,35.61,35.91,35.61,35.73,2400,35.70
2014-12-15,36.00,36.27,35.58,35.58,8900,35.55
2014-12-12,36.60,36.60,35.95,36.03,4900,36.00
2014-12-11,36.41,36.56,36.38,36.56,1100,36.53
2014-12-10,36.89,36.89,36.71,36.71,600,36.68
2014-12-09,36.69,36.76,36.56,36.76,1800,36.73
2014-12-08,36.98,36.98,36.75,36.93,6200,36.90
2014-12-05,37.16,37.16,36.86,36.90,35300,36.87
2014-12-04,37.03,37.45,37.03,37.24,10700,37.21
2014-12-03,37.28,37.34,37.06,37.34,3000,37.31
2014-12-02,37.46,37.47,37.38,37.38,8100,37.35
2014-12-01,37.43,37.43,37.26,37.39,7000,37.36
2014-11-28,37.05,37.06,37.05,37.06,500,37.03
2014-11-26,36.78,36.82,36.68,36.82,4400,36.79
2014-11-25,36.68,36.68,36.49,36.49,2200,36.46
2014-11-24,36.11,36.46,36.11,36.45,19800,36.42
2014-11-21,35.94,35.94,35.82,35.82,3600,35.79
2014-11-20,36.35,36.35,35.99,35.99,5300,35.96
2014-11-19,36.06,36.38,36.06,36.25,1100,36.22
2014-11-18,35.92,36.30,35.92,36.30,8600,36.27
2014-11-17,35.83,35.86,35.52,35.86,2600,35.83
2014-11-14,35.67,35.90,35.66,35.88,33800,35.85
2014-11-13,35.56,35.73,35.56,35.65,80200,35.62
2014-11-12,35.40,35.55,35.40,35.42,10800,35.39
2014-11-11,35.49,35.90,35.49,35.79,10800,35.76
2014-11-10,35.52,35.52,35.39,35.47,1500,35.44
2014-11-07,35.53,35.53,35.00,35.00,1500,34.97
2014-11-06,35.81,35.81,35.45,35.45,2000,35.42
2014-11-05,35.67,35.99,35.67,35.88,13600,35.85
2014-11-04,35.49,35.91,35.49,35.91,23900,35.88
2014-11-03,35.72,35.72,35.41,35.41,3400,35.38
2014-10-31,35.70,35.90,35.32,35.90,11800,35.87
2014-10-30,35.24,35.63,35.24,35.55,11400,35.52
2014-10-29,35.68,35.70,35.24,35.38,20400,35.35
2014-10-28,35.15,35.68,35.15,35.67,29400,35.64
2014-10-27,35.15,35.15,35.00,35.01,4300,34.98
2014-10-24,35.19,35.23,35.06,35.23,6100,35.20
2014-10-23,35.02,35.16,34.97,35.07,14900,35.04
2014-10-22,35.02,35.02,34.60,34.61,12300,34.58
2014-10-21,34.78,34.94,34.78,34.93,4200,34.90
2014-10-20,33.86,34.34,33.76,34.27,13700,34.24
2014-10-17,33.72,33.84,33.72,33.84,2200,33.81
2014-10-16,32.89,33.69,32.89,33.60,8300,33.57
2014-10-15,32.79,33.52,32.64,32.72,5200,32.69
2014-10-14,33.43,33.58,33.31,33.31,5900,33.28
2014-10-13,33.72,33.75,33.60,33.60,31900,33.57
2014-10-10,33.75,33.99,33.60,33.60,9600,33.57
2014-10-09,34.29,34.29,33.63,33.83,6000,33.80
2014-10-08,34.16,34.53,33.97,34.53,3200,34.50
2014-10-07,34.27,34.27,33.99,34.02,2000,33.99
2014-10-06,34.49,34.49,34.27,34.27,600,34.24
2014-10-03,34.91,34.91,34.25,34.29,6000,34.26
2014-10-02,34.73,34.74,34.43,34.58,2000,34.55
2014-10-01,34.84,34.94,34.76,34.83,5600,34.80
2014-09-30,35.13,35.13,35.04,35.05,700,35.02
2014-09-29,35.12,35.31,35.12,35.17,1500,35.14
2014-09-26,35.24,35.50,35.24,35.44,3400,35.41
2014-09-25,35.43,35.43,35.06,35.19,2700,35.16
2014-09-24,35.60,35.84,35.60,35.72,14900,35.69
2014-09-23,35.95,35.95,35.70,35.75,5200,35.65
2014-09-22,36.08,36.29,36.08,36.13,2700,36.03
2014-09-19,36.51,36.65,36.10,36.28,4600,36.18
2014-09-18,36.11,36.52,36.11,36.46,22000,36.36
2014-09-17,36.26,36.29,36.06,36.06,3500,35.96
2014-09-16,36.08,36.17,35.82,36.17,21000,36.07
2014-09-15,36.40,36.41,36.35,36.35,1300,36.25
2014-09-12,36.49,36.57,36.48,36.57,1500,36.47
2014-09-11,36.58,36.58,36.39,36.55,2400,36.45
2014-09-10,36.45,36.58,36.38,36.58,8400,36.48
2014-09-09,36.44,36.66,36.44,36.60,209700,36.50
2014-09-08,36.98,36.98,36.63,36.69,2700,36.59
2014-09-05,37.29,37.35,37.29,37.35,1200,37.25
2014-09-04,37.50,37.50,37.32,37.32,5500,37.22
2014-09-03,37.64,37.66,37.46,37.65,25600,37.55
2014-09-02,37.48,37.48,37.21,37.39,6900,37.29
2014-08-29,37.71,37.71,37.54,37.62,2400,37.52
2014-08-28,37.77,37.84,37.50,37.69,8000,37.59
2014-08-27,37.71,38.00,37.71,38.00,3600,37.90
2014-08-26,37.75,37.93,37.60,37.61,49500,37.51
2014-08-25,37.51,37.88,37.51,37.81,111600,37.71
2014-08-22,37.20,37.62,37.20,37.52,6800,37.42
2014-08-21,37.59,37.60,37.59,37.60,1800,37.50
2014-08-20,37.46,37.46,37.09,37.21,1900,37.11
2014-08-19,37.48,37.76,37.48,37.69,8100,37.59
2014-08-18,37.76,37.81,37.49,37.57,10500,37.47
2014-08-15,38.13,38.13,36.79,37.67,2700,37.57
2014-08-14,37.25,37.73,37.25,37.54,4100,37.44
2014-08-13,37.25,37.25,37.00,37.00,1800,36.90
2014-08-12,37.01,37.15,36.78,36.92,11200,36.82
2014-08-11,37.14,37.14,36.75,36.75,3900,36.65
2014-08-08,36.22,36.80,36.22,36.63,14300,36.53
2014-08-07,36.72,36.72,36.23,36.24,5500,36.14
