Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,19.31,19.81,19.20,19.26,302300,19.26
2015-02-12,19.18,19.25,19.10,19.25,168500,19.25
2015-02-11,18.99,18.99,18.85,18.95,132300,18.95
2015-02-10,19.06,19.06,18.82,18.99,107700,18.99
2015-02-09,18.87,18.87,18.68,18.84,34900,18.84
2015-02-06,19.05,19.05,18.87,18.91,103700,18.91
2015-02-05,19.10,19.11,18.98,19.11,37100,19.11
2015-02-04,18.90,19.07,18.90,18.94,294200,18.94
2015-02-03,18.89,18.98,18.76,18.97,116300,18.97
2015-02-02,18.73,18.74,18.57,18.72,48500,18.72
2015-01-30,18.67,18.70,18.47,18.50,75300,18.50
2015-01-29,18.64,18.81,18.58,18.76,70300,18.76
2015-01-28,18.89,18.89,18.61,18.61,197100,18.61
2015-01-27,18.75,18.82,18.64,18.77,255200,18.77
2015-01-26,18.77,18.84,18.68,18.80,21300,18.80
2015-01-23,18.47,18.70,18.47,18.64,68600,18.64
2015-01-22,18.39,18.63,18.39,18.51,168500,18.51
2015-01-21,18.52,18.53,18.34,18.53,33700,18.53
2015-01-20,18.49,18.49,18.30,18.42,21100,18.42
2015-01-16,18.30,18.30,18.06,18.27,140800,18.27
2015-01-15,18.22,18.26,18.04,18.20,37700,18.20
2015-01-14,18.05,18.10,17.92,18.09,94900,18.09
2015-01-13,18.21,18.24,18.01,18.05,10800,18.05
2015-01-12,18.27,18.27,18.00,18.04,43200,18.04
2015-01-09,18.30,18.30,18.04,18.16,21600,18.16
2015-01-08,18.12,18.16,18.00,18.06,41600,18.06
2015-01-07,18.00,18.00,17.85,17.95,21700,17.95
2015-01-06,18.03,18.04,17.63,17.77,16900,17.77
2015-01-05,18.06,18.06,17.87,17.97,24300,17.97
2015-01-02,18.30,18.30,18.06,18.09,50300,18.09
2014-12-31,18.30,18.36,18.18,18.20,73000,18.20
2014-12-30,18.22,18.26,18.15,18.17,17300,18.17
2014-12-29,18.33,18.47,18.28,18.37,21000,18.37
2014-12-26,18.59,18.59,18.44,18.56,2200,18.56
2014-12-24,18.50,18.50,18.40,18.48,4100,18.48
2014-12-23,18.39,18.41,18.29,18.35,25400,18.35
2014-12-22,18.47,18.53,18.38,18.52,20700,18.48
2014-12-19,18.81,18.81,18.12,18.31,154000,18.27
2014-12-18,18.18,18.40,18.18,18.33,226600,18.29
2014-12-17,18.16,18.16,17.97,18.10,28900,18.06
2014-12-16,18.02,18.23,18.01,18.05,15500,18.01
2014-12-15,18.21,18.21,18.00,18.04,23400,18.00
2014-12-12,18.40,18.40,18.17,18.19,225600,18.15
2014-12-11,18.51,18.52,18.41,18.47,18200,18.43
2014-12-10,18.66,18.66,18.34,18.44,12600,18.40
2014-12-09,18.36,18.58,18.36,18.58,15500,18.54
2014-12-08,18.78,18.78,18.61,18.65,15600,18.61
2014-12-05,18.92,18.93,18.87,18.90,399100,18.86
2014-12-04,18.89,18.89,18.78,18.82,17000,18.78
2014-12-03,18.85,18.85,18.69,18.82,41800,18.78
2014-12-02,18.77,18.79,18.73,18.77,111200,18.73
2014-12-01,18.78,18.80,18.71,18.77,17300,18.73
2014-11-28,18.98,18.98,18.88,18.89,15600,18.85
2014-11-26,19.03,19.03,18.91,19.00,76600,18.96
2014-11-25,19.00,19.00,18.86,18.88,57700,18.84
2014-11-24,18.96,18.96,18.80,18.89,54100,18.85
2014-11-21,18.97,18.97,18.77,18.81,45800,18.77
2014-11-20,18.60,18.65,18.55,18.62,199900,18.58
2014-11-19,18.54,18.68,18.54,18.64,189400,18.60
2014-11-18,18.55,18.70,18.55,18.61,93200,18.57
2014-11-17,18.57,18.57,18.46,18.48,17300,18.44
2014-11-14,18.34,18.58,18.34,18.58,7500,18.54
2014-11-13,18.62,18.62,18.43,18.51,11200,18.47
2014-11-12,18.52,18.53,18.43,18.50,30800,18.46
2014-11-11,18.63,18.63,18.52,18.61,6400,18.57
2014-11-10,18.51,18.55,18.41,18.53,372300,18.49
2014-11-07,18.46,18.46,18.38,18.39,7400,18.35
2014-11-06,18.38,18.43,18.37,18.40,6200,18.36
2014-11-05,18.46,18.51,18.46,18.49,3100,18.45
2014-11-04,18.36,18.45,18.36,18.44,3200,18.40
2014-11-03,18.54,18.57,18.39,18.41,46300,18.37
2014-10-31,18.42,18.58,18.36,18.52,98400,18.48
2014-10-30,18.23,18.45,18.16,18.35,6000,18.31
2014-10-29,18.43,18.43,18.14,18.21,12200,18.17
2014-10-28,18.19,18.30,18.19,18.24,20700,18.20
2014-10-27,17.97,18.04,17.97,18.03,14800,17.99
2014-10-24,18.11,18.17,18.06,18.17,15500,18.13
2014-10-23,18.08,18.10,17.98,18.02,4300,17.99
2014-10-22,18.02,18.04,17.89,17.89,1300,17.85
2014-10-21,17.96,18.05,17.89,18.05,12100,18.01
2014-10-20,17.70,17.77,17.67,17.69,5100,17.65
2014-10-17,17.68,17.68,17.51,17.56,34400,17.52
2014-10-16,17.15,17.42,17.14,17.29,11200,17.25
2014-10-15,17.16,17.40,16.91,17.40,24200,17.36
2014-10-14,17.39,17.59,17.37,17.45,13800,17.41
2014-10-13,17.61,17.64,17.50,17.58,570500,17.54
2014-10-10,17.74,17.74,17.45,17.46,12200,17.42
2014-10-09,18.23,18.23,17.83,17.88,11600,17.84
2014-10-08,18.20,18.37,17.90,18.36,478600,18.32
2014-10-07,18.36,18.36,18.10,18.10,13800,18.06
2014-10-06,18.47,18.47,18.26,18.38,46800,18.34
2014-10-03,18.21,18.34,18.21,18.33,43000,18.29
2014-10-02,18.42,18.42,18.20,18.37,28800,18.33
2014-10-01,18.51,18.51,18.33,18.35,504800,18.31
2014-09-30,18.60,18.66,18.60,18.62,6300,18.58
2014-09-29,18.68,18.72,18.64,18.66,30400,18.62
2014-09-26,18.72,18.83,18.67,18.83,11700,18.79
2014-09-25,18.90,18.91,18.76,18.76,18000,18.72
2014-09-24,19.00,19.13,18.93,19.10,30700,19.06
2014-09-23,19.10,19.15,19.01,19.02,18900,18.98
2014-09-22,19.45,19.45,19.13,19.16,16800,19.12
2014-09-19,19.42,19.50,19.30,19.34,233600,19.30
2014-09-18,19.90,19.90,19.39,19.51,102800,19.47
2014-09-17,19.43,19.45,19.23,19.34,27400,19.30
2014-09-16,19.72,19.72,19.29,19.45,38200,19.41
2014-09-15,19.42,19.42,19.32,19.32,12500,19.28
2014-09-12,19.40,19.47,19.31,19.42,18500,19.38
2014-09-11,19.47,19.47,19.42,19.43,990000,19.39
2014-09-10,19.62,19.62,19.47,19.56,4300,19.52
2014-09-09,19.97,19.97,19.50,19.55,5100,19.51
2014-09-08,19.77,19.82,19.62,19.62,9200,19.58
2014-09-05,19.89,19.89,19.79,19.88,9100,19.84
2014-09-04,20.00,20.00,19.76,19.76,21000,19.72
2014-09-03,20.10,20.10,19.97,20.00,16300,19.96
2014-09-02,19.88,19.88,19.81,19.82,4900,19.78
2014-08-29,19.84,19.88,19.81,19.88,9500,19.84
2014-08-28,19.93,19.93,19.83,19.89,13700,19.85
2014-08-27,19.91,19.99,19.91,19.96,4800,19.92
2014-08-26,19.99,19.99,19.89,19.91,17700,19.87
2014-08-25,19.85,19.93,19.84,19.91,31900,19.87
2014-08-22,19.83,19.83,19.75,19.75,2700,19.71
2014-08-21,19.77,19.78,19.76,19.76,1400,19.72
2014-08-20,19.78,19.78,19.73,19.76,600,19.72
2014-08-19,19.82,19.84,19.75,19.78,7100,19.74
2014-08-18,19.84,19.84,19.69,19.82,4600,19.78
2014-08-15,19.71,19.71,19.48,19.62,4500,19.58
