Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,25.89,25.93,25.86,25.87,38600,25.87
2015-02-12,25.84,25.92,25.84,25.89,54000,25.89
2015-02-11,25.80,25.85,25.78,25.85,61600,25.85
2015-02-10,25.84,25.85,25.75,25.80,30700,25.80
2015-02-09,25.81,25.85,25.80,25.85,28500,25.85
2015-02-06,25.85,25.87,25.80,25.84,24900,25.84
2015-02-05,25.87,25.87,25.83,25.87,36800,25.87
2015-02-04,25.85,25.85,25.80,25.84,52600,25.84
2015-02-03,25.86,25.86,25.82,25.85,20700,25.85
2015-02-02,25.80,25.87,25.79,25.87,28100,25.87
2015-01-30,25.78,25.85,25.78,25.80,15400,25.80
2015-01-29,25.87,25.87,25.77,25.80,34500,25.80
2015-01-28,25.88,25.88,25.80,25.82,27800,25.82
2015-01-27,25.80,25.89,25.80,25.89,20500,25.89
2015-01-26,25.84,25.95,25.80,25.89,55100,25.89
2015-01-23,25.80,25.87,25.80,25.87,22300,25.87
2015-01-22,25.78,25.85,25.78,25.80,31200,25.80
2015-01-21,25.75,25.83,25.75,25.82,8900,25.82
2015-01-20,25.75,25.80,25.74,25.79,39400,25.79
2015-01-16,25.76,25.85,25.75,25.85,51600,25.85
2015-01-15,25.70,25.85,25.69,25.82,76000,25.82
2015-01-14,25.62,25.76,25.62,25.74,30400,25.74
2015-01-13,25.67,25.67,25.61,25.67,12700,25.67
2015-01-12,25.59,25.68,25.59,25.64,16200,25.64
2015-01-09,25.62,25.64,25.56,25.62,18300,25.62
2015-01-08,25.68,25.74,25.64,25.66,26700,25.66
2015-01-07,25.66,25.75,25.63,25.66,37200,25.66
2015-01-06,25.62,25.70,25.62,25.70,23300,25.70
2015-01-05,25.59,25.69,25.59,25.66,46700,25.66
2015-01-02,25.68,25.69,25.62,25.67,28800,25.67
2014-12-31,25.58,25.67,25.58,25.64,30200,25.64
2014-12-30,25.55,25.61,25.52,25.61,000,25.61
2014-12-29,25.52,25.57,25.50,25.55,000,25.55
2014-12-26,25.49,25.66,25.48,25.50,000,25.50
2014-12-24,25.52,25.52,25.49,25.51,000,25.51
2014-12-23,25.59,25.63,25.49,25.53,000,25.53
2014-12-22,25.67,25.67,25.58,25.63,26200,25.63
2014-12-19,25.48,25.73,25.48,25.68,576800,25.68
2014-12-18,25.48,25.53,25.47,25.52,37600,25.52
2014-12-17,25.47,25.51,25.44,25.47,42600,25.47
2014-12-16,25.47,25.49,25.41,25.43,63900,25.43
2014-12-15,25.52,25.52,25.44,25.50,39600,25.50
2014-12-12,25.43,25.52,25.43,25.52,27500,25.52
2014-12-11,25.48,25.56,25.46,25.51,130700,25.51
