Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,62.21,62.26,61.26,61.46,174800,61.46
2015-02-12,62.15,62.73,61.81,61.89,75500,61.89
2015-02-11,61.04,62.10,61.04,61.59,217700,61.59
2015-02-10,61.77,61.77,60.62,61.45,143000,60.97
2015-02-09,61.45,62.37,61.09,61.31,95700,60.83
2015-02-06,62.89,63.29,61.22,61.40,165000,60.92
2015-02-05,61.65,63.21,61.57,62.62,203700,62.13
2015-02-04,60.33,61.70,60.33,61.26,241000,60.78
2015-02-03,60.22,60.84,60.03,60.40,202500,59.93
2015-02-02,59.47,60.04,59.25,60.02,98100,59.55
2015-01-30,59.55,60.24,58.92,59.54,151800,59.07
2015-01-29,59.76,60.06,59.24,60.01,105400,59.54
2015-01-28,60.60,61.24,59.31,59.53,105900,59.06
2015-01-27,59.50,60.49,59.50,60.28,112500,59.81
2015-01-26,60.20,60.58,59.53,60.20,179300,59.73
2015-01-23,61.26,61.78,60.28,60.42,94200,59.95
2015-01-22,60.78,61.84,59.78,61.25,123900,60.77
2015-01-21,61.38,61.59,60.20,60.50,166800,60.03
2015-01-20,62.04,62.15,60.92,61.37,128000,60.89
2015-01-16,59.50,61.83,59.50,61.73,204000,61.25
2015-01-15,60.60,60.65,59.31,59.59,138300,59.12
2015-01-14,59.51,61.20,59.51,60.55,139300,60.08
2015-01-13,60.11,61.20,59.57,60.19,142200,59.72
2015-01-12,59.62,59.62,58.21,59.57,135100,59.10
2015-01-09,60.36,60.83,58.79,59.77,144300,59.30
2015-01-08,59.03,60.42,58.80,60.36,179600,59.89
2015-01-07,58.86,58.86,57.98,58.51,95300,58.05
2015-01-06,59.03,59.03,57.74,58.60,144100,58.14
2015-01-05,58.72,59.47,58.35,59.05,163100,58.59
2015-01-02,58.58,59.54,58.28,59.09,163800,58.63
2014-12-31,59.76,60.00,58.26,58.45,307100,57.99
2014-12-30,59.20,59.99,58.92,59.46,134800,59.00
2014-12-29,59.60,59.95,58.90,59.32,137300,58.86
2014-12-26,58.87,59.97,58.87,59.51,60200,59.05
2014-12-24,59.87,59.87,58.63,58.76,58400,58.30
2014-12-23,57.77,59.69,57.67,59.59,138300,59.12
2014-12-22,56.90,57.43,56.25,57.37,83800,56.92
2014-12-19,56.25,57.11,55.59,57.00,413000,56.55
2014-12-18,55.80,56.42,55.00,56.26,99400,55.82
