Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,67.75,68.03,66.96,67.69,2065900,67.69
2015-02-12,67.15,67.83,66.72,67.63,3518800,67.63
2015-02-11,66.69,67.06,66.61,66.66,1988400,66.66
2015-02-10,66.78,67.07,66.32,66.99,1658100,66.99
2015-02-09,66.55,67.26,66.00,66.40,2257700,66.40
2015-02-06,66.89,67.14,66.45,66.59,2628000,66.59
2015-02-05,66.91,67.33,66.74,66.84,1890200,66.84
2015-02-04,67.50,67.50,66.47,66.81,2005900,66.81
2015-02-03,66.59,67.58,66.52,67.45,2650100,67.45
2015-02-02,66.50,66.53,64.95,66.16,3059200,66.16
2015-01-30,65.89,66.54,64.85,66.40,4296000,66.40
2015-01-29,63.79,64.75,63.31,64.66,2840000,64.66
2015-01-28,65.15,65.47,63.80,63.85,2025700,63.85
2015-01-27,64.45,65.11,63.78,64.76,1696800,64.76
2015-01-26,64.67,65.37,63.96,65.33,1669400,65.33
2015-01-23,64.50,65.60,64.35,64.66,3152700,64.66
2015-01-22,63.75,64.76,63.41,64.74,2714100,64.74
2015-01-21,62.06,63.28,61.85,63.12,1864100,63.12
2015-01-20,62.19,62.71,61.43,62.37,2466800,62.37
2015-01-16,61.31,61.70,60.15,61.62,2902900,61.62
2015-01-15,61.72,62.17,60.92,61.55,2753900,61.55
2015-01-14,60.73,61.49,60.53,61.43,1577400,61.43
2015-01-13,62.84,63.25,61.11,61.89,1329400,61.89
2015-01-12,62.94,62.97,61.44,62.20,2258400,62.20
2015-01-09,62.62,62.62,61.62,61.75,966900,61.75
2015-01-08,61.69,62.46,61.65,62.43,1716800,62.43
2015-01-07,61.51,61.78,61.02,61.19,1715200,61.19
2015-01-06,62.22,62.36,60.36,60.86,2216900,60.86
2015-01-05,62.70,62.99,61.89,62.16,1761800,62.16
2015-01-02,63.49,64.00,62.64,63.26,1104100,63.26
2014-12-31,64.58,64.63,63.35,63.39,679400,63.39
2014-12-30,64.45,64.64,63.94,64.25,1132200,64.25
2014-12-29,64.48,65.07,64.28,64.59,868000,64.59
2014-12-26,64.81,65.00,64.49,64.59,738100,64.59
2014-12-24,64.41,64.74,64.24,64.49,379200,64.49
2014-12-23,64.34,64.94,64.25,64.47,1206700,64.47
2014-12-22,64.04,64.42,63.94,64.19,1376400,64.19
2014-12-19,63.78,64.16,63.48,63.99,2287000,63.99
2014-12-18,62.98,63.54,62.28,63.52,1462900,63.52
2014-12-17,60.92,62.16,60.57,61.98,1958600,61.98
2014-12-16,61.29,62.33,60.73,60.78,1930000,60.78
2014-12-15,62.23,62.64,61.19,61.58,1549900,61.58
2014-12-12,62.35,62.81,62.04,62.07,2107300,62.07
2014-12-11,62.53,63.58,62.53,63.10,2314600,63.10
2014-12-10,62.61,62.73,61.99,62.29,2438600,62.29
2014-12-09,62.25,63.04,61.80,62.96,1871500,62.71
2014-12-08,63.42,63.62,62.44,62.57,1293800,62.32
2014-12-05,63.28,63.87,63.19,63.60,1364600,63.35
2014-12-04,63.54,63.74,63.07,63.28,1546600,63.03
2014-12-03,63.06,64.45,62.98,63.81,1638500,63.56
2014-12-02,62.54,63.28,62.36,63.06,1326700,62.81
2014-12-01,62.86,62.95,61.64,62.12,1406000,61.87
2014-11-28,63.34,63.39,62.80,63.06,640400,62.81
2014-11-26,63.84,63.93,63.36,63.49,1041000,63.24
2014-11-25,63.80,64.15,63.53,63.84,1462600,63.59
2014-11-24,63.73,63.89,63.49,63.77,1237700,63.52
2014-11-21,63.73,64.17,63.35,63.47,1150900,63.22
2014-11-20,62.28,63.23,62.01,63.02,1190900,62.77
2014-11-19,62.68,62.72,61.98,62.70,1271700,62.45
2014-11-18,62.66,63.21,62.35,62.76,1322300,62.51
2014-11-17,62.50,62.65,62.22,62.52,1531200,62.27
2014-11-14,62.42,62.95,62.42,62.59,1085000,62.34
2014-11-13,63.14,63.14,62.33,62.53,1294600,62.28
2014-11-12,62.83,63.43,62.65,63.00,1465200,62.75
2014-11-11,63.67,63.76,62.91,63.05,1541500,62.80
2014-11-10,63.51,63.86,63.34,63.42,1628400,63.17
2014-11-07,63.16,63.77,63.07,63.51,1465800,63.26
2014-11-06,62.12,63.20,61.98,63.16,1855600,62.91
2014-11-05,61.80,62.41,60.64,62.20,3315300,61.95
2014-11-04,61.68,61.81,61.01,61.34,1588400,61.10
2014-11-03,62.59,62.67,61.56,61.81,2350200,61.56
2014-10-31,62.38,62.82,62.12,62.62,2368000,62.37
2014-10-30,61.29,62.01,60.95,61.73,1509200,61.48
2014-10-29,61.98,62.18,60.71,61.48,1602200,61.24
2014-10-28,60.60,62.10,60.50,62.00,2121400,61.75
2014-10-27,60.02,60.39,59.59,60.18,1989500,59.94
2014-10-24,60.23,60.33,59.34,60.26,1734800,60.02
2014-10-23,58.26,60.84,58.25,60.01,2757000,59.77
2014-10-22,57.15,60.10,56.80,57.74,7247700,57.51
2014-10-21,57.85,59.13,57.77,58.34,3758500,58.11
2014-10-20,56.38,57.25,56.09,57.15,2675800,56.92
2014-10-17,55.54,56.87,55.41,56.48,2981000,56.26
2014-10-16,53.00,55.12,52.99,54.91,2755000,54.69
2014-10-15,53.27,54.31,52.47,53.94,3232300,53.73
2014-10-14,54.01,54.64,53.83,54.08,3778900,53.87
2014-10-13,54.75,54.94,53.48,53.57,3067700,53.36
2014-10-10,55.77,55.97,54.61,54.67,2854700,54.45
2014-10-09,57.42,57.48,55.70,55.84,3209600,55.62
2014-10-08,55.95,57.62,55.72,57.60,3403100,57.37
2014-10-07,56.97,57.17,55.91,55.95,2808900,55.73
2014-10-06,56.59,57.06,56.40,56.67,3239100,56.44
2014-10-03,56.04,56.54,55.89,56.41,2343600,56.19
2014-10-02,55.41,55.79,54.51,55.64,2741800,55.42
2014-10-01,56.14,56.53,55.14,55.53,3261400,55.31
2014-09-30,57.22,57.26,56.23,56.36,2094600,56.14
2014-09-29,56.75,57.56,56.57,57.26,1733500,57.03
2014-09-26,56.86,57.54,56.71,57.48,1876000,57.25
2014-09-25,57.50,57.52,56.57,56.75,2412200,56.52
2014-09-24,57.95,58.06,57.52,57.63,1886900,57.40
2014-09-23,58.23,58.62,57.75,58.01,1667200,57.78
2014-09-22,59.24,59.34,57.99,58.20,2200100,57.97
2014-09-19,60.35,60.50,59.16,59.27,4478000,59.03
2014-09-18,59.98,60.36,59.85,60.14,1385700,59.90
2014-09-17,60.04,60.54,59.51,59.87,1713600,59.63
2014-09-16,59.41,60.24,59.13,60.06,1706100,59.82
2014-09-15,59.70,59.92,59.40,59.57,1676500,59.33
