Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,25.37,25.43,25.36,25.41,16900,25.41
2015-02-12,25.43,25.43,25.35,25.39,131700,25.39
2015-02-11,25.37,25.41,25.35,25.39,39600,25.39
2015-02-10,25.40,25.40,25.37,25.39,6300,25.39
2015-02-09,25.43,25.44,25.35,25.40,15300,25.40
2015-02-06,25.45,25.45,25.38,25.38,12100,25.38
2015-02-05,25.40,25.45,25.38,25.41,13900,25.41
2015-02-04,25.38,25.41,25.38,25.40,10300,25.40
2015-02-03,25.45,25.45,25.38,25.39,39100,25.39
2015-02-02,25.45,25.50,25.40,25.48,23200,25.48
2015-01-30,25.44,25.45,25.39,25.39,17100,25.39
2015-01-29,25.54,25.54,25.34,25.41,19700,25.41
2015-01-28,25.44,25.50,25.40,25.49,25000,25.49
2015-01-27,25.45,25.53,25.45,25.50,11900,25.50
2015-01-26,25.42,25.52,25.41,25.48,19000,25.48
2015-01-23,25.44,25.47,25.42,25.46,22700,25.46
2015-01-22,25.31,25.38,25.28,25.37,12900,25.37
2015-01-21,25.35,25.72,25.25,25.28,39000,25.28
2015-01-20,25.40,25.40,25.25,25.28,51600,25.28
2015-01-16,25.30,25.51,25.30,25.51,25600,25.51
2015-01-15,25.38,25.65,25.26,25.30,23500,25.30
2015-01-14,25.25,25.30,25.24,25.25,22100,25.25
2015-01-13,25.31,25.31,25.25,25.26,12000,25.26
2015-01-12,25.34,25.34,25.28,25.29,8400,25.29
2015-01-09,25.28,25.39,25.24,25.34,12300,25.34
2015-01-08,25.29,25.33,25.28,25.30,9400,25.30
2015-01-07,25.32,25.32,25.22,25.28,24900,25.28
2015-01-06,25.25,25.32,25.23,25.25,19100,25.25
2015-01-05,25.27,25.31,25.20,25.28,56000,25.28
2015-01-02,25.25,25.33,25.25,25.28,8700,25.28
2014-12-31,25.30,25.37,25.21,25.24,36000,25.24
2014-12-30,25.24,25.37,25.24,25.31,000,25.31
2014-12-29,25.20,25.32,25.20,25.28,000,25.28
2014-12-26,25.45,25.56,25.44,25.50,000,25.11
2014-12-24,25.47,25.51,25.43,25.43,000,25.04
2014-12-23,25.46,25.53,25.45,25.45,000,25.06
2014-12-22,25.44,25.49,25.43,25.44,19500,25.05
2014-12-19,25.44,25.49,25.41,25.48,17300,25.09
