Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,16.16,16.22,16.07,16.20,53700,16.20
2015-02-12,16.10,16.11,15.99,16.07,67400,16.07
2015-02-11,16.07,16.11,15.96,15.99,78000,15.99
2015-02-10,16.08,16.08,15.97,16.03,88200,16.03
2015-02-09,16.08,16.14,16.07,16.13,49600,16.00
2015-02-06,15.93,16.13,15.93,16.07,147400,15.95
2015-02-05,16.00,16.04,15.91,15.94,43600,15.82
2015-02-04,15.95,15.98,15.84,15.97,104100,15.85
2015-02-03,15.86,15.99,15.80,15.97,85100,15.85
2015-02-02,15.79,15.79,15.67,15.71,36800,15.59
2015-01-30,15.89,15.94,15.69,15.69,86800,15.57
2015-01-29,15.76,15.93,15.56,15.90,83300,15.78
2015-01-28,15.91,15.91,15.69,15.73,96500,15.61
2015-01-27,15.90,15.96,15.81,15.89,90000,15.77
2015-01-26,15.83,15.93,15.83,15.90,60200,15.78
2015-01-23,15.89,15.91,15.84,15.90,54100,15.78
2015-01-22,15.86,15.91,15.77,15.84,82300,15.72
2015-01-21,15.73,15.88,15.69,15.82,143200,15.70
2015-01-20,15.87,15.87,15.69,15.73,119500,15.61
2015-01-16,15.86,15.92,15.78,15.86,81800,15.74
2015-01-15,15.86,15.97,15.72,15.80,60600,15.68
2015-01-14,15.78,15.83,15.65,15.77,66600,15.65
2015-01-13,16.05,16.06,15.90,15.94,74200,15.82
2015-01-12,16.22,16.22,16.01,16.08,76900,15.83
2015-01-09,16.19,16.19,16.06,16.07,61900,15.82
2015-01-08,16.01,16.15,15.98,16.10,67500,15.85
2015-01-07,15.83,15.98,15.81,15.96,124500,15.71
2015-01-06,15.68,15.80,15.62,15.77,103400,15.53
2015-01-05,15.85,15.85,15.63,15.64,59800,15.40
2015-01-02,15.90,15.95,15.77,15.89,101000,15.64
2014-12-31,15.79,15.86,15.60,15.86,180200,15.61
2014-12-30,15.74,15.80,15.67,15.69,175300,15.45
2014-12-29,15.78,15.97,15.63,15.76,300000,15.52
2014-12-26,15.96,15.97,15.74,15.78,46300,15.54
2014-12-24,15.67,15.90,15.67,15.84,50900,15.60
2014-12-23,15.60,15.80,15.60,15.68,106100,15.44
2014-12-22,15.86,15.88,15.52,15.64,120700,15.40
2014-12-19,15.63,15.92,15.61,15.81,175800,15.57
2014-12-18,15.55,15.82,15.54,15.58,186900,15.34
2014-12-17,15.15,15.47,15.15,15.45,197700,15.21
2014-12-16,15.27,15.28,15.01,15.11,174800,14.88
2014-12-15,15.39,15.46,15.23,15.31,110200,15.07
2014-12-12,15.58,15.65,15.43,15.47,112600,15.23
2014-12-11,15.74,15.81,15.60,15.71,200800,15.47
2014-12-10,16.40,16.40,16.15,16.17,102900,15.35
2014-12-09,16.43,16.46,16.36,16.39,69200,15.56
2014-12-08,16.73,16.76,16.50,16.50,126700,15.66
2014-12-05,16.75,16.84,16.72,16.73,114900,15.88
2014-12-04,16.85,16.85,16.73,16.75,86800,15.90
2014-12-03,16.87,16.94,16.82,16.85,69000,15.99
2014-12-02,16.98,17.02,16.82,16.88,67300,16.02
2014-12-01,16.94,17.05,16.90,16.96,72600,16.10
2014-11-28,16.87,17.01,16.82,17.01,55900,16.15
2014-11-26,16.96,17.01,16.93,16.95,35900,16.09
2014-11-25,16.87,16.98,16.85,16.92,52300,16.06
2014-11-24,16.89,16.92,16.70,16.79,87000,15.94
2014-11-21,17.07,17.12,16.82,16.86,84300,16.00
2014-11-20,16.85,16.93,16.78,16.93,55400,16.07
2014-11-19,16.89,16.95,16.84,16.95,72600,16.09
2014-11-18,16.84,16.97,16.77,16.91,53200,16.05
2014-11-17,16.95,16.95,16.63,16.89,204500,16.03
2014-11-14,17.02,17.07,16.90,16.94,56000,16.08
2014-11-13,17.13,17.18,17.02,17.02,40800,16.16
2014-11-12,17.13,17.15,17.08,17.09,43900,16.22
2014-11-11,17.18,17.25,17.07,17.13,43500,16.26
2014-11-10,17.22,17.25,17.12,17.14,43000,16.27
2014-11-07,17.17,17.27,17.17,17.22,31000,16.35
2014-11-06,17.35,17.38,17.29,17.32,18800,16.32
2014-11-05,17.35,17.40,17.31,17.31,29000,16.31
2014-11-04,17.45,17.48,17.32,17.33,50700,16.33
