Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,22.02,22.28,21.91,22.27,1870000,22.27
2015-02-12,21.80,22.03,21.70,22.00,1643400,22.00
2015-02-11,21.53,21.84,21.40,21.68,1784500,21.68
2015-02-10,21.50,21.58,21.28,21.56,1146400,21.48
2015-02-09,21.05,21.40,20.90,21.29,1083000,21.21
2015-02-06,21.25,21.42,21.14,21.24,1078800,21.16
2015-02-05,21.04,21.29,20.94,21.25,1100200,21.17
2015-02-04,21.02,21.20,20.95,20.98,1340400,20.90
2015-02-03,20.76,21.17,20.70,21.16,1770800,21.08
2015-02-02,20.72,20.81,20.37,20.67,1936000,20.59
2015-01-30,20.78,20.89,20.48,20.61,1553000,20.53
2015-01-29,20.41,21.02,20.30,20.95,2944200,20.87
2015-01-28,20.73,20.78,20.26,20.31,1484300,20.23
2015-01-27,20.53,20.72,20.24,20.47,2381900,20.39
2015-01-26,20.73,20.97,20.52,20.90,1493500,20.82
2015-01-23,20.88,21.10,20.74,20.79,1714200,20.71
2015-01-22,20.58,20.89,20.28,20.88,2206600,20.80
2015-01-21,20.54,20.76,20.33,20.59,1880000,20.51
2015-01-20,21.08,21.08,20.45,20.64,1925700,20.56
2015-01-16,20.60,21.08,20.53,21.07,1780300,20.99
2015-01-15,21.21,21.28,20.59,20.62,1993700,20.54
2015-01-14,21.10,21.27,20.74,21.13,2661300,21.05
2015-01-13,21.67,21.91,21.12,21.38,1815200,21.30
2015-01-12,21.70,21.75,21.27,21.48,1847900,21.40
2015-01-09,21.96,21.96,21.66,21.75,1942800,21.67
2015-01-08,21.66,22.00,21.60,21.98,3499500,21.90
2015-01-07,21.17,21.42,21.01,21.42,2016600,21.34
2015-01-06,21.30,21.31,20.74,21.02,3905500,20.94
2015-01-05,21.40,21.43,21.16,21.27,2549500,21.19
2015-01-02,21.86,22.00,21.35,21.62,2018100,21.54
2014-12-31,22.11,22.21,21.81,21.83,1502700,21.75
2014-12-30,22.01,22.18,21.97,22.06,1118600,21.98
2014-12-29,22.34,22.44,22.06,22.07,1673400,21.99
2014-12-26,21.95,22.35,21.88,22.33,1627800,22.25
2014-12-24,21.75,21.97,21.69,21.88,682600,21.80
2014-12-23,21.74,22.00,21.64,21.71,3087800,21.63
2014-12-22,21.47,21.90,21.44,21.61,3891800,21.53
2014-12-19,20.95,21.50,20.93,21.44,6203100,21.36
2014-12-18,21.25,21.25,20.35,20.96,5630600,20.88
2014-12-17,19.73,20.11,19.58,20.07,2971900,20.00
2014-12-16,19.63,20.07,19.50,19.69,2375900,19.62
2014-12-15,19.62,19.83,19.45,19.68,3036200,19.61
2014-12-12,19.85,19.90,19.51,19.51,1366900,19.44
2014-12-11,20.12,20.43,20.06,20.10,1540600,20.03
2014-12-10,20.40,20.45,19.98,20.03,1482200,19.96
2014-12-09,19.93,20.47,19.88,20.42,1767800,20.34
2014-12-08,20.68,20.82,20.15,20.25,1841100,20.17
2014-12-05,20.69,21.02,20.67,20.71,1484700,20.63
2014-12-04,20.87,20.89,20.63,20.66,1213400,20.58
2014-12-03,20.66,20.91,20.56,20.88,1238200,20.80
2014-12-02,20.21,20.65,20.21,20.61,1552300,20.53
2014-12-01,20.55,20.65,20.25,20.25,1844400,20.17
2014-11-28,20.84,20.93,20.65,20.75,1040800,20.67
2014-11-26,20.94,21.06,20.77,20.96,1235300,20.88
2014-11-25,20.98,21.00,20.83,20.92,1003000,20.84
2014-11-24,20.70,20.98,20.69,20.93,1667400,20.85
2014-11-21,20.78,20.95,20.59,20.62,1984200,20.54
2014-11-20,20.48,20.73,20.43,20.53,1295100,20.45
2014-11-19,21.00,21.00,20.55,20.57,1793400,20.49
2014-11-18,20.84,21.23,20.84,21.06,1854700,20.98
2014-11-17,20.69,20.97,20.53,20.82,2332800,20.74
2014-11-14,20.49,20.81,20.32,20.71,1645200,20.63
2014-11-13,20.94,21.12,20.45,20.52,3254700,20.44
2014-11-12,20.94,21.42,20.84,21.35,2491600,21.27
2014-11-11,20.97,21.22,20.95,21.11,1672400,20.95
2014-11-10,21.15,21.40,20.98,21.03,2399700,20.87
2014-11-07,21.15,21.30,20.99,21.13,2546700,20.97
2014-11-06,21.10,21.39,21.00,21.09,3476700,20.93
2014-11-05,20.74,21.32,20.70,21.08,3827400,20.92
2014-11-04,21.22,21.34,20.81,20.85,36679300,20.69
2014-11-03,20.90,21.42,20.87,21.29,2743700,21.13
2014-10-31,20.60,20.98,20.54,20.95,3043500,20.79
2014-10-30,19.95,20.40,19.95,20.37,2464300,20.22
2014-10-29,20.12,20.38,19.86,20.05,2805900,19.90
2014-10-28,19.39,20.14,19.31,20.11,2845800,19.96
2014-10-27,19.34,19.37,19.14,19.27,1734900,19.13
2014-10-24,19.34,19.46,19.10,19.43,1523700,19.28
2014-10-23,19.09,19.46,19.01,19.31,1941000,19.17
2014-10-22,19.17,19.24,18.83,18.86,2698300,18.72
2014-10-21,18.82,19.21,18.74,19.18,1849000,19.04
2014-10-20,18.44,18.80,18.38,18.62,2719000,18.48
2014-10-17,18.68,18.97,18.39,18.49,2284900,18.35
2014-10-16,18.15,18.59,18.10,18.49,5395200,18.35
2014-10-15,18.56,19.01,18.11,18.50,5886200,18.36
2014-10-14,18.37,18.90,18.37,18.78,3979500,18.64
2014-10-13,18.19,18.43,18.03,18.25,5844800,18.11
2014-10-10,19.29,19.36,18.19,18.20,4081900,18.06
2014-10-09,19.74,19.83,19.34,19.39,2520100,19.24
2014-10-08,19.53,19.83,19.08,19.82,2413900,19.67
2014-10-07,19.82,20.03,19.49,19.49,2448900,19.34
2014-10-06,20.10,20.27,19.80,19.95,2063500,19.80
2014-10-03,19.95,20.12,19.94,19.98,2277600,19.83
2014-10-02,19.73,19.96,19.43,19.85,2814500,19.70
2014-10-01,20.05,20.18,19.71,19.77,3408500,19.62
2014-09-30,20.41,20.47,20.05,20.17,2737300,20.02
2014-09-29,20.37,20.51,20.17,20.41,2521000,20.26
2014-09-26,20.46,20.62,20.24,20.60,3093600,20.45
2014-09-25,21.32,21.35,20.31,20.39,7359600,20.24
2014-09-24,20.94,20.99,20.63,20.85,4063200,20.69
2014-09-23,21.09,21.21,20.82,20.87,1926800,20.71
2014-09-22,21.23,21.31,21.00,21.04,1871800,20.88
2014-09-19,21.77,21.80,21.30,21.34,3557700,21.18
2014-09-18,21.68,21.75,21.58,21.60,1298300,21.44
