Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,53.64,54.32,53.64,53.88,2600,53.88
2015-02-12,52.23,52.80,52.23,52.71,2700,52.71
2015-02-11,52.33,52.39,52.09,52.25,1500,52.25
2015-02-10,53.28,53.44,53.04,53.17,1000,53.17
2015-02-09,55.02,55.29,54.62,54.81,1900,54.81
2015-02-06,53.83,53.91,53.65,53.65,1500,53.65
2015-02-05,53.73,53.94,53.71,53.94,1000,53.94
2015-02-04,53.15,53.59,52.94,52.94,3000,52.94
2015-02-03,52.75,53.83,52.75,53.77,13200,53.77
2015-02-02,51.06,51.55,50.69,51.55,6600,51.55
2015-01-30,50.47,50.82,50.47,50.57,1700,50.57
2015-01-29,51.00,51.30,50.86,51.24,2800,51.24
2015-01-28,51.22,51.25,50.27,50.28,3700,50.28
2015-01-27,50.65,50.72,50.37,50.37,6200,50.37
2015-01-26,50.33,50.41,50.04,50.14,3200,50.14
2015-01-23,50.08,50.29,49.94,49.96,1500,49.96
2015-01-22,50.00,50.44,49.93,49.94,4600,49.94
2015-01-21,49.66,49.98,49.55,49.77,6500,49.77
2015-01-20,49.33,49.33,48.39,48.86,7600,48.86
2015-01-16,49.00,49.54,48.85,49.49,4100,49.49
2015-01-15,50.75,50.75,50.11,50.11,2700,50.11
2015-01-14,50.72,50.82,50.26,50.62,3000,50.62
2015-01-13,52.80,53.18,52.13,52.44,2300,52.44
2015-01-12,53.93,53.93,51.99,52.08,1700,52.08
2015-01-09,54.09,54.09,53.62,53.70,3700,53.70
2015-01-08,53.01,53.11,52.93,53.01,1500,53.01
2015-01-07,52.77,53.05,52.29,53.05,3800,53.05
2015-01-06,53.66,53.73,53.02,53.24,2500,53.24
2015-01-05,52.57,52.69,52.24,52.33,4600,52.33
2015-01-02,54.03,54.04,53.37,53.65,3700,53.65
2014-12-31,53.93,54.40,53.23,54.40,6600,54.40
2014-12-30,53.69,53.82,53.43,53.43,1700,53.43
2014-12-29,54.32,55.00,54.12,55.00,5600,55.00
2014-12-26,53.66,53.75,53.34,53.69,2600,53.69
2014-12-24,53.45,53.55,53.19,53.43,1800,53.43
2014-12-23,53.51,53.69,53.27,53.69,4300,53.69
2014-12-22,53.65,53.82,53.51,53.77,3000,53.77
2014-12-19,53.00,53.83,52.92,53.79,9000,53.79
2014-12-18,53.06,53.29,52.38,53.19,6100,53.19
2014-12-17,51.23,52.70,51.23,51.91,7800,51.51
2014-12-16,50.76,51.73,50.76,51.16,8600,50.77
2014-12-15,50.89,51.12,50.07,50.35,6700,49.96
2014-12-12,50.73,50.73,49.90,50.07,4800,49.68
2014-12-11,51.11,51.21,50.54,50.83,4600,50.44
2014-12-10,51.92,51.92,50.93,51.05,4400,50.66
2014-12-09,51.59,52.27,51.59,52.27,5900,51.87
2014-12-08,53.67,53.67,53.24,53.24,1700,52.83
2014-12-05,52.44,52.71,52.44,52.70,1500,52.29
2014-12-04,52.76,53.00,52.73,53.00,2000,52.59
2014-12-03,51.68,51.68,51.32,51.54,2200,51.14
2014-12-02,49.95,50.21,49.79,50.17,4700,49.78
2014-12-01,49.90,50.39,49.60,50.39,13700,50.00
2014-11-28,52.75,52.75,51.38,51.66,3900,51.26
2014-11-26,53.17,53.17,53.12,53.12,600,52.71
2014-11-25,52.72,52.76,52.52,52.75,2300,52.34
2014-11-24,52.74,52.76,52.51,52.76,3200,52.35
2014-11-21,53.96,53.96,53.72,53.72,2400,53.31
2014-11-20,53.61,54.34,53.61,54.31,8200,53.89
2014-11-19,53.96,54.40,53.64,54.40,24600,53.98
2014-11-18,52.50,52.79,51.70,51.90,32400,51.50
2014-11-17,53.65,53.73,53.25,53.57,2800,53.16
2014-11-14,53.89,54.55,53.68,54.34,1800,53.92
2014-11-13,54.43,54.43,54.07,54.34,3100,53.92
2014-11-12,54.10,54.39,54.10,54.18,1300,53.76
2014-11-11,53.91,54.17,53.63,54.10,2000,53.68
2014-11-10,53.58,53.58,53.14,53.14,1400,52.73
2014-11-07,52.81,53.00,52.64,53.00,2500,52.59
2014-11-06,52.10,52.21,51.94,52.21,1400,51.81
2014-11-05,52.08,52.08,51.83,52.06,5100,51.66
2014-11-04,52.76,52.87,52.41,52.69,2600,52.28
2014-11-03,52.67,52.93,52.54,52.74,5400,52.33
2014-10-31,52.85,53.34,52.85,53.34,3400,52.93
2014-10-30,52.92,53.01,52.80,52.93,2600,52.52
2014-10-29,53.80,53.80,52.49,52.67,1800,52.26
2014-10-28,53.06,53.68,53.06,53.44,3900,53.03
2014-10-27,52.83,53.16,52.72,53.02,2500,52.61
2014-10-24,53.36,53.42,53.04,53.12,3400,52.71
2014-10-23,53.23,53.38,52.99,53.16,3900,52.75
2014-10-22,53.15,53.78,53.15,53.44,2400,53.03
2014-10-21,52.57,52.74,52.52,52.54,3600,52.14
2014-10-20,51.85,52.26,51.85,52.13,7800,51.73
2014-10-17,51.18,51.62,51.18,51.60,3900,51.20
2014-10-16,49.24,50.52,49.23,50.21,5300,49.82
2014-10-15,49.91,50.18,49.23,49.99,6900,49.60
2014-10-14,50.03,50.33,49.51,49.54,6200,49.16
2014-10-13,49.87,49.87,48.87,48.87,16900,48.49
2014-10-10,49.64,49.74,49.00,49.19,7800,48.81
2014-10-09,52.51,52.51,51.13,51.13,5700,50.74
2014-10-08,51.64,52.95,51.41,52.95,8900,52.54
2014-10-07,51.46,51.57,51.00,51.17,7400,50.78
2014-10-06,52.35,52.60,52.02,52.60,10200,52.19
2014-10-03,52.05,52.36,51.91,52.33,4800,51.93
2014-10-02,52.35,52.77,51.93,52.77,3400,52.36
2014-10-01,52.06,52.06,51.48,51.66,3300,51.26
2014-09-30,51.99,52.48,51.97,52.29,5100,51.89
2014-09-29,51.92,52.39,51.84,52.00,3900,51.60
2014-09-26,52.29,52.44,52.10,52.39,5200,51.99
2014-09-25,53.52,53.52,52.73,52.87,5800,52.46
2014-09-24,53.30,53.82,53.30,53.78,1600,53.37
2014-09-23,53.29,53.30,52.95,53.09,5900,52.68
2014-09-22,53.68,53.68,53.09,53.25,4800,52.84
2014-09-19,56.01,56.01,55.40,55.58,5600,55.15
2014-09-18,55.48,56.57,55.48,56.56,3700,56.12
2014-09-17,55.98,55.98,55.42,55.42,1400,54.99
2014-09-16,56.10,56.87,55.86,56.76,5900,56.32
2014-09-15,56.95,56.95,56.51,56.54,5200,56.10
2014-09-12,58.42,58.42,57.35,57.35,3000,56.91
2014-09-11,58.68,58.83,58.53,58.59,4100,58.14
2014-09-10,58.83,58.99,58.57,58.84,6100,58.39
2014-09-09,59.67,59.67,59.11,59.11,2400,58.65
2014-09-08,60.65,60.65,59.93,60.08,6200,59.62
2014-09-05,60.70,61.14,60.42,61.14,2300,60.67
2014-09-04,60.90,61.52,60.74,60.74,3000,60.27
2014-09-03,60.77,60.87,60.55,60.55,2800,60.08
2014-09-02,60.13,60.13,59.71,59.88,5000,59.42
2014-08-29,59.76,60.06,59.76,60.04,1100,59.58
2014-08-28,59.92,60.02,59.90,59.96,1100,59.50
2014-08-27,60.02,60.02,59.01,59.97,6000,59.51
2014-08-26,60.37,60.43,60.03,60.03,3300,59.57
2014-08-25,60.72,60.72,60.43,60.69,6200,60.22
2014-08-22,61.44,61.44,61.20,61.20,600,60.73
2014-08-21,61.72,61.79,61.48,61.48,5000,61.01
2014-08-20,62.62,62.98,62.62,62.88,700,62.40
2014-08-19,62.43,62.61,62.31,62.48,1600,62.00
2014-08-18,62.57,62.99,62.53,62.99,8500,62.50
2014-08-15,62.00,62.00,60.22,60.53,9300,60.06
2014-08-14,65.64,65.64,65.45,65.60,7200,65.09
2014-08-13,64.73,64.75,64.73,64.75,800,64.25
2014-08-12,64.27,64.36,64.12,64.12,1600,63.63
2014-08-11,64.67,64.95,64.67,64.91,2800,64.41
2014-08-08,64.66,65.00,64.55,65.00,1200,64.50
2014-08-07,64.58,64.70,64.58,64.66,1000,64.16
2014-08-06,64.39,64.74,64.39,64.69,4900,64.19
2014-08-05,63.70,64.00,63.20,63.49,2600,63.00
2014-08-04,62.63,62.90,62.52,62.90,8100,62.42
2014-08-01,62.35,62.76,62.23,62.57,3600,62.09
2014-07-31,62.81,62.81,62.81,62.81,500,62.33
2014-07-30,63.15,63.15,62.78,62.95,3000,62.46
2014-07-29,62.16,62.16,61.82,61.99,1200,61.51
2014-07-28,61.17,61.60,61.17,61.60,1300,61.13
2014-07-25,62.23,62.23,61.81,61.98,2500,61.50
2014-07-24,63.25,63.41,63.00,63.03,2300,62.54
2014-07-23,64.05,64.10,63.98,64.10,1300,63.61
2014-07-22,62.58,62.88,62.58,62.78,3200,62.30
2014-07-21,63.01,63.03,62.82,62.82,1100,62.34
2014-07-18,63.11,63.41,63.11,63.41,300,62.92
2014-07-17,63.46,63.46,62.75,62.75,5800,62.27
2014-07-16,64.28,64.28,64.08,64.08,600,63.59
2014-07-15,64.42,64.55,64.03,64.55,900,64.05
2014-07-14,64.93,64.93,64.93,64.93,3100,64.43
2014-07-11,65.19,65.25,64.79,64.83,2300,64.33
2014-07-10,65.58,65.77,65.41,65.64,1600,65.13
2014-07-09,64.79,64.92,64.63,64.88,4100,64.38
2014-07-08,66.34,66.34,65.88,65.88,1300,65.37
2014-07-07,65.95,65.95,65.63,65.63,2300,65.12
2014-07-03,66.06,66.06,66.06,66.06,000,65.55
2014-07-02,66.06,66.06,66.06,66.06,300,65.55
2014-07-01,65.86,66.36,65.86,66.36,1500,65.85
2014-06-30,65.27,65.37,64.83,65.37,4400,64.87
2014-06-27,65.66,66.11,65.45,66.11,1300,65.60
2014-06-26,66.21,66.59,66.15,66.43,2000,65.92
2014-06-25,65.96,66.32,65.34,66.30,2900,65.79
2014-06-24,65.90,66.03,65.44,65.44,2300,64.94
2014-06-23,65.97,66.45,65.97,66.45,6700,65.94
2014-06-20,65.17,65.17,64.84,65.01,3900,64.51
2014-06-19,65.18,65.31,65.18,65.20,1100,64.70
2014-06-18,64.68,65.60,64.67,65.60,1100,65.09
2014-06-17,63.74,63.74,63.51,63.72,1500,63.23
2014-06-16,64.82,64.83,64.82,64.83,700,64.33
2014-06-13,64.74,64.82,64.48,64.61,2400,64.11
2014-06-12,65.94,65.97,65.88,65.88,800,65.37
2014-06-11,66.35,66.35,66.35,66.35,000,65.84
2014-06-10,66.06,66.63,66.06,66.35,3000,65.84
2014-06-09,67.81,68.51,67.81,68.47,12100,65.36
2014-06-06,67.20,68.08,67.20,67.40,2800,64.34
2014-06-05,66.32,67.18,66.20,67.18,14200,64.13
2014-06-04,65.43,65.73,65.37,65.71,2700,62.73
2014-06-03,66.20,66.24,65.76,65.76,2700,62.78
2014-06-02,67.19,67.40,67.10,67.39,1700,64.33
2014-05-30,66.98,67.05,66.80,66.88,1600,63.84
2014-05-29,67.68,68.22,67.68,68.17,1000,65.08
2014-05-28,67.80,67.80,67.47,67.60,1500,64.53
2014-05-27,66.91,67.03,66.53,66.71,3500,63.68
2014-05-23,64.83,65.12,64.61,65.08,1600,62.13
2014-05-22,66.57,66.73,66.44,66.73,6200,63.70
2014-05-21,63.41,63.74,63.41,63.73,700,60.84
2014-05-20,62.21,62.22,61.66,61.66,1500,58.86
2014-05-19,61.90,62.19,61.90,61.97,1400,59.16
2014-05-16,63.90,64.08,63.90,63.90,1100,61.00
2014-05-15,64.05,64.52,64.05,64.22,5300,61.31
2014-05-14,64.20,64.21,63.62,63.67,4600,60.78
2014-05-13,64.66,64.99,64.53,64.71,14800,61.77
2014-05-12,65.01,65.01,61.50,63.96,20300,61.06
2014-05-09,64.44,64.44,63.98,64.19,3400,61.28
2014-05-08,64.72,65.02,64.58,64.58,2500,61.65
2014-05-07,63.75,63.97,63.48,63.68,1700,60.79
2014-05-06,65.74,65.88,65.74,65.88,1100,62.89
2014-05-05,64.82,64.82,64.57,64.57,700,61.64
2014-05-02,64.38,64.41,64.16,64.20,1700,61.29
2014-05-01,63.78,63.94,63.64,63.79,1200,60.89
2014-04-30,63.80,64.22,63.78,64.14,1900,61.23
2014-04-29,63.56,63.77,63.56,63.75,1900,60.86
2014-04-28,63.09,63.56,62.83,63.33,2500,60.46
2014-04-25,63.25,63.35,62.97,63.11,2300,60.25
2014-04-24,63.99,63.99,63.47,63.47,1100,60.59
2014-04-23,63.38,63.76,63.38,63.71,2200,60.82
2014-04-22,64.05,64.69,64.05,64.51,1300,61.58
2014-04-21,64.00,64.04,63.64,63.69,2600,60.80
2014-04-17,63.74,64.30,63.74,64.30,2700,61.38
2014-04-16,62.23,62.62,61.99,62.62,3000,59.78
2014-04-15,61.40,61.85,60.54,61.68,17600,58.88
2014-04-14,63.16,63.42,62.71,63.00,2300,60.14
2014-04-11,64.10,64.79,64.10,64.79,1900,61.85
2014-04-10,64.92,65.27,64.46,64.47,1300,61.54
2014-04-09,64.67,64.98,64.13,64.98,3400,62.03
2014-04-08,65.34,66.17,65.31,66.15,2900,63.15
2014-04-07,66.21,67.21,66.21,66.30,3400,63.29
2014-04-04,66.10,66.48,66.02,66.21,1700,63.20
2014-04-03,66.41,66.41,65.10,65.30,3700,62.34
2014-04-02,67.28,67.28,66.69,66.90,6000,63.86
2014-04-01,67.21,67.38,67.00,67.38,5700,64.32
2014-03-31,66.29,68.26,66.27,68.26,9000,65.16
2014-03-28,65.96,66.95,65.60,66.26,5200,63.25
2014-03-27,64.95,72.26,64.95,65.66,17400,62.68
2014-03-26,65.37,66.00,65.00,65.48,9100,62.51
2014-03-25,64.77,65.20,64.54,65.10,8800,62.15
2014-03-24,65.18,65.18,63.86,64.75,26600,61.81
2014-03-21,64.16,64.47,64.16,64.36,2300,61.44
2014-03-20,62.95,63.76,62.73,63.76,3300,60.87
2014-03-19,64.68,64.70,63.50,63.50,3700,60.62
2014-03-18,62.50,64.51,62.50,64.51,5900,61.58
2014-03-17,66.44,67.08,66.41,66.98,3200,62.60
2014-03-14,65.00,65.23,64.71,64.75,4000,60.52
2014-03-13,66.57,67.69,66.33,66.74,4400,62.38
2014-03-12,65.24,65.85,65.24,65.70,2600,61.41
2014-03-11,66.51,66.61,65.51,65.54,4200,61.26
2014-03-10,67.16,67.20,66.46,67.04,5800,62.66
2014-03-07,69.30,69.30,68.82,68.82,1100,64.32
2014-03-06,68.26,68.78,68.26,68.51,2400,64.03
2014-03-05,66.57,66.94,66.57,66.62,1000,62.27
2014-03-04,66.51,66.57,66.23,66.57,3700,62.22
2014-03-03,66.58,66.81,66.09,66.70,9300,62.34
2014-02-28,63.00,64.00,63.00,63.90,4800,59.72
2014-02-27,61.14,61.81,61.00,61.62,4000,57.59
2014-02-26,61.70,61.70,61.25,61.41,2000,57.40
2014-02-25,62.56,62.56,62.15,62.48,1800,58.40
2014-02-24,62.80,63.29,62.80,63.29,1200,59.15
2014-02-21,62.82,62.97,62.60,62.60,7000,58.51
2014-02-20,62.20,62.98,61.83,62.97,3500,58.86
2014-02-19,61.30,61.46,60.53,60.53,4200,56.58
2014-02-18,61.11,61.11,60.74,60.90,4700,56.92
2014-02-14,61.40,61.72,61.34,61.34,6000,57.33
2014-02-13,59.19,59.96,59.00,59.75,3300,55.85
2014-02-12,61.80,61.85,61.46,61.63,2000,57.60
2014-02-11,61.92,62.77,61.92,62.64,4500,58.55
2014-02-10,59.94,60.96,59.94,60.78,2300,56.81
2014-02-07,59.47,60.00,59.47,59.99,4400,56.07
2014-02-06,58.25,59.11,58.25,58.90,5700,55.05
2014-02-05,57.23,57.23,56.51,56.88,900,53.16
2014-02-04,57.71,58.04,57.56,58.03,3300,54.24
