Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,9.00,9.02,8.97,9.02,478600,9.02
2015-02-12,9.02,9.02,8.98,8.99,372600,8.99
2015-02-11,8.96,9.02,8.96,9.00,348900,9.00
2015-02-10,8.98,9.04,8.95,9.04,381700,8.99
2015-02-09,8.93,8.98,8.90,8.98,553100,8.93
2015-02-06,8.93,8.97,8.92,8.95,316600,8.90
2015-02-05,8.93,8.95,8.91,8.95,454300,8.90
2015-02-04,8.88,8.94,8.86,8.94,393100,8.89
2015-02-03,8.85,8.91,8.82,8.88,758500,8.83
2015-02-02,8.79,8.88,8.76,8.86,613900,8.81
2015-01-30,8.74,8.78,8.73,8.76,400200,8.71
2015-01-29,8.69,8.75,8.69,8.75,602900,8.70
2015-01-28,8.70,8.73,8.68,8.68,700800,8.63
2015-01-27,8.66,8.72,8.65,8.69,419700,8.64
2015-01-26,8.75,8.77,8.68,8.69,509200,8.64
2015-01-23,8.75,8.80,8.74,8.77,434600,8.72
2015-01-22,8.73,8.77,8.70,8.77,416200,8.72
2015-01-21,8.70,8.73,8.69,8.71,339000,8.66
2015-01-20,8.72,8.72,8.64,8.69,317100,8.64
2015-01-16,8.58,8.73,8.56,8.70,630000,8.65
2015-01-15,8.61,8.66,8.59,8.64,578200,8.59
2015-01-14,8.58,8.64,8.57,8.61,437600,8.56
2015-01-13,8.62,8.68,8.62,8.66,225500,8.61
2015-01-12,8.74,8.75,8.67,8.68,461900,8.59
2015-01-09,8.69,8.74,8.67,8.74,377000,8.65
2015-01-08,8.65,8.70,8.64,8.68,311400,8.59
2015-01-07,8.67,8.67,8.62,8.63,313900,8.54
2015-01-06,8.63,8.63,8.58,8.61,319400,8.52
2015-01-05,8.66,8.67,8.57,8.63,412900,8.54
2015-01-02,8.77,8.77,8.65,8.70,270900,8.61
2014-12-31,8.67,8.77,8.63,8.77,912100,8.68
2014-12-30,8.62,8.66,8.59,8.66,784100,8.57
2014-12-29,8.63,8.66,8.60,8.60,685500,8.51
2014-12-26,8.61,8.68,8.59,8.66,499000,8.57
2014-12-24,8.62,8.66,8.60,8.62,226200,8.53
2014-12-23,8.59,8.64,8.57,8.63,666100,8.54
2014-12-22,8.64,8.66,8.55,8.55,568700,8.46
2014-12-19,8.59,8.68,8.58,8.66,827900,8.57
2014-12-18,8.54,8.64,8.54,8.58,725700,8.49
2014-12-17,8.36,8.49,8.36,8.49,707800,8.40
2014-12-16,8.43,8.43,8.29,8.37,1128200,8.28
2014-12-15,8.53,8.53,8.46,8.46,663900,8.37
2014-12-12,8.59,8.63,8.50,8.51,516300,8.42
2014-12-11,8.70,8.72,8.65,8.66,445300,8.57
2014-12-10,8.74,8.75,8.70,8.75,431300,8.62
2014-12-09,8.74,8.81,8.72,8.77,437000,8.64
2014-12-08,8.79,8.81,8.73,8.79,680200,8.66
2014-12-05,8.81,8.87,8.78,8.81,676200,8.67
2014-12-04,8.82,8.85,8.82,8.84,258800,8.70
2014-12-03,8.84,8.88,8.84,8.84,334900,8.70
2014-12-02,8.82,8.88,8.80,8.85,331800,8.71
2014-12-01,8.78,8.85,8.78,8.83,567800,8.69
2014-11-28,8.80,8.81,8.79,8.79,136400,8.66
2014-11-26,8.79,8.82,8.79,8.81,334000,8.67
2014-11-25,8.77,8.81,8.77,8.81,379200,8.67
2014-11-24,8.79,8.80,8.76,8.77,363600,8.64
2014-11-21,8.81,8.82,8.79,8.79,338600,8.66
2014-11-20,8.81,8.84,8.76,8.77,470400,8.64
2014-11-19,8.81,8.83,8.79,8.83,303200,8.69
2014-11-18,8.88,8.90,8.81,8.81,321300,8.67
2014-11-17,8.87,8.92,8.86,8.89,465700,8.75
2014-11-14,8.87,8.91,8.85,8.89,328900,8.75
2014-11-13,8.90,8.92,8.84,8.86,381700,8.72
2014-11-12,8.80,8.92,8.79,8.90,530300,8.76
2014-11-11,8.81,8.89,8.81,8.89,487100,8.71
2014-11-10,8.77,8.86,8.77,8.82,632400,8.64
2014-11-07,8.81,8.82,8.78,8.80,528500,8.62
2014-11-06,8.80,8.84,8.80,8.83,325700,8.65
2014-11-05,8.83,8.85,8.82,8.84,393300,8.66
2014-11-04,8.86,8.87,8.82,8.83,519000,8.65
2014-11-03,8.82,8.88,8.82,8.87,472800,8.69
2014-10-31,8.80,8.84,8.79,8.83,265000,8.65
2014-10-30,8.77,8.80,8.77,8.79,306500,8.61
2014-10-29,8.78,8.79,8.77,8.77,376700,8.59
2014-10-28,8.77,8.80,8.77,8.79,251100,8.61
2014-10-27,8.77,8.79,8.74,8.77,438800,8.59
2014-10-24,8.75,8.80,8.74,8.80,477800,8.62
2014-10-23,8.75,8.77,8.75,8.76,533900,8.58
2014-10-22,8.73,8.78,8.73,8.73,390800,8.55
2014-10-21,8.71,8.75,8.70,8.75,418000,8.57
2014-10-20,8.64,8.75,8.63,8.70,369300,8.52
2014-10-17,8.68,8.71,8.63,8.66,584200,8.49
2014-10-16,8.42,8.68,8.42,8.68,915500,8.50
2014-10-15,8.59,8.60,8.41,8.53,916800,8.36
2014-10-14,8.75,8.75,8.67,8.68,528500,8.50
2014-10-13,8.80,8.81,8.74,8.76,374800,8.58
2014-10-10,8.81,8.85,8.79,8.81,332800,8.63
2014-10-09,8.90,8.90,8.83,8.87,422800,8.65
2014-10-08,8.88,8.92,8.84,8.92,411400,8.70
2014-10-07,8.87,8.92,8.86,8.92,243500,8.70
2014-10-06,8.86,8.91,8.86,8.90,645700,8.68
2014-10-03,8.83,8.86,8.80,8.84,535400,8.62
2014-10-02,8.85,8.87,8.81,8.84,558400,8.62
2014-10-01,8.88,8.92,8.86,8.87,349700,8.65
2014-09-30,8.85,8.93,8.85,8.93,499000,8.71
2014-09-29,8.86,8.91,8.85,8.89,526200,8.67
2014-09-26,8.90,8.94,8.85,8.93,294700,8.71
2014-09-25,8.92,8.94,8.88,8.92,510700,8.70
2014-09-24,8.93,8.94,8.92,8.93,222800,8.71
2014-09-23,8.95,8.96,8.91,8.94,450800,8.72
2014-09-22,8.95,8.95,8.93,8.94,285300,8.72
2014-09-19,8.94,8.96,8.94,8.95,240200,8.73
2014-09-18,8.95,8.96,8.93,8.94,326700,8.72
2014-09-17,8.97,8.97,8.93,8.95,276800,8.73
2014-09-16,8.92,8.99,8.92,8.96,403700,8.74
2014-09-15,8.95,8.96,8.93,8.94,497700,8.72
2014-09-12,8.94,8.96,8.93,8.94,333500,8.72
2014-09-11,8.99,9.00,8.95,8.95,496700,8.73
2014-09-10,9.00,9.03,9.00,9.03,309300,8.76
2014-09-09,9.03,9.06,9.01,9.02,337400,8.75
