Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,11.27,11.33,11.25,11.32,129300,11.32
2015-02-12,11.36,11.38,11.23,11.23,167800,11.23
2015-02-11,11.36,11.39,11.29,11.29,138000,11.29
2015-02-10,11.38,11.45,11.35,11.39,136900,11.33
2015-02-09,11.32,11.42,11.32,11.39,122500,11.33
2015-02-06,11.32,11.36,11.27,11.32,115400,11.26
2015-02-05,11.35,11.40,11.30,11.37,129700,11.31
2015-02-04,11.23,11.35,11.22,11.35,208300,11.29
2015-02-03,11.18,11.29,11.13,11.29,136700,11.23
2015-02-02,11.10,11.18,11.10,11.16,78700,11.10
2015-01-30,11.10,11.12,11.07,11.09,100200,11.03
2015-01-29,11.06,11.15,11.05,11.15,115400,11.09
2015-01-28,11.12,11.18,11.06,11.06,162800,11.00
2015-01-27,11.03,11.15,10.99,11.10,359700,11.04
2015-01-26,11.06,11.08,11.03,11.08,188400,11.02
2015-01-23,11.01,11.08,10.97,11.06,133600,11.00
2015-01-22,10.98,11.04,10.95,11.01,124500,10.95
2015-01-21,10.97,10.98,10.93,10.97,111700,10.91
2015-01-20,10.99,10.99,10.90,10.95,131000,10.89
2015-01-16,10.87,10.96,10.85,10.95,261800,10.89
2015-01-15,10.98,10.98,10.91,10.94,111000,10.88
2015-01-14,10.91,11.00,10.91,10.95,189400,10.89
2015-01-13,10.99,11.02,10.97,11.01,130900,10.95
2015-01-12,11.13,11.13,11.00,11.03,202700,10.91
2015-01-09,11.06,11.13,11.06,11.09,103700,10.97
2015-01-08,11.04,11.10,11.03,11.06,109900,10.94
2015-01-07,11.03,11.07,11.00,11.03,121300,10.91
2015-01-06,11.20,11.21,10.96,10.97,302500,10.85
2015-01-05,11.26,11.26,11.13,11.18,74700,11.05
2015-01-02,11.25,11.29,11.16,11.29,111300,11.16
2014-12-31,11.06,11.28,11.00,11.27,303200,11.14
2014-12-30,11.12,11.13,11.03,11.04,172500,10.92
2014-12-29,11.12,11.18,11.10,11.15,149100,11.02
2014-12-26,11.20,11.20,11.07,11.16,162900,11.03
2014-12-24,11.18,11.25,11.17,11.22,112200,11.09
2014-12-23,11.15,11.21,11.11,11.13,169800,11.01
2014-12-22,11.16,11.19,11.06,11.06,111800,10.94
2014-12-19,11.08,11.21,11.08,11.17,218100,11.04
2014-12-18,11.01,11.12,11.01,11.05,189300,10.93
2014-12-17,10.80,10.96,10.78,10.96,202500,10.84
2014-12-16,10.79,10.82,10.70,10.74,190000,10.62
2014-12-15,10.92,10.93,10.81,10.82,166700,10.70
2014-12-12,11.12,11.12,10.93,10.94,146800,10.82
2014-12-11,11.12,11.16,11.09,11.16,102300,11.03
2014-12-10,11.22,11.26,11.15,11.19,152800,11.00
2014-12-09,11.27,11.31,11.24,11.24,174200,11.05
2014-12-08,11.36,11.38,11.26,11.33,153000,11.14
2014-12-05,11.43,11.45,11.35,11.36,111900,11.17
2014-12-04,11.45,11.50,11.43,11.45,107300,11.26
2014-12-03,11.42,11.49,11.41,11.45,150900,11.26
2014-12-02,11.34,11.43,11.34,11.42,150100,11.23
2014-12-01,11.37,11.38,11.34,11.34,124700,11.15
2014-11-28,11.38,11.45,11.38,11.44,72500,11.25
2014-11-26,11.40,11.44,11.34,11.38,122300,11.19
2014-11-25,11.37,11.43,11.36,11.40,185700,11.21
2014-11-24,11.38,11.39,11.35,11.39,126100,11.20
2014-11-21,11.35,11.38,11.34,11.38,180600,11.19
2014-11-20,11.14,11.33,11.11,11.30,271900,11.11
2014-11-19,11.14,11.16,11.13,11.14,79600,10.95
2014-11-18,11.18,11.19,11.13,11.16,70800,10.97
2014-11-17,11.24,11.29,11.16,11.18,135400,10.99
2014-11-14,11.26,11.29,11.21,11.23,144400,11.04
2014-11-13,11.27,11.28,11.25,11.25,88600,11.06
2014-11-12,11.25,11.29,11.21,11.25,207500,11.06
2014-11-11,11.23,11.29,11.21,11.29,88300,11.04
2014-11-10,11.20,11.24,11.19,11.20,162700,10.95
2014-11-07,11.21,11.23,11.18,11.18,132300,10.93
2014-11-06,11.25,11.29,11.21,11.21,186600,10.96
2014-11-05,11.36,11.36,11.25,11.32,134900,11.07
2014-11-04,11.35,11.35,11.30,11.31,94000,11.06
2014-11-03,11.37,11.37,11.32,11.34,150300,11.09
2014-10-31,11.34,11.34,11.28,11.32,101400,11.07
2014-10-30,11.32,11.33,11.26,11.29,91900,11.04
2014-10-29,11.34,11.38,11.31,11.33,140600,11.08
2014-10-28,11.30,11.34,11.28,11.33,94100,11.08
2014-10-27,11.31,11.34,11.25,11.30,142600,11.05
2014-10-24,11.30,11.33,11.26,11.33,114100,11.08
2014-10-23,11.35,11.37,11.24,11.29,172600,11.04
2014-10-22,11.27,11.34,11.23,11.27,243000,11.02
2014-10-21,11.21,11.24,11.16,11.24,211000,10.99
2014-10-20,10.99,11.16,10.98,11.16,318000,10.91
2014-10-17,10.93,11.03,10.87,11.00,275600,10.76
2014-10-16,10.64,10.92,10.64,10.91,953500,10.67
2014-10-15,10.92,10.93,10.58,10.78,710100,10.54
2014-10-14,11.15,11.15,10.98,11.00,464700,10.76
2014-10-13,11.23,11.23,11.10,11.15,109600,10.90
2014-10-10,11.23,11.24,11.16,11.21,146400,10.96
2014-10-09,11.35,11.37,11.25,11.28,143300,10.97
2014-10-08,11.31,11.37,11.29,11.37,177500,11.05
2014-10-07,11.33,11.37,11.29,11.36,135800,11.05
2014-10-06,11.30,11.34,11.30,11.34,211800,11.03
2014-10-03,11.30,11.33,11.27,11.31,130200,11.00
2014-10-02,11.33,11.34,11.22,11.30,210300,10.99
2014-10-01,11.35,11.41,11.33,11.36,143500,11.05
2014-09-30,11.36,11.39,11.26,11.38,314500,11.06
2014-09-29,11.47,11.50,11.30,11.38,280300,11.06
2014-09-26,11.52,11.57,11.50,11.53,121200,11.21
2014-09-25,11.54,11.57,11.50,11.56,157700,11.24
2014-09-24,11.54,11.57,11.50,11.55,131400,11.23
2014-09-23,11.53,11.54,11.49,11.51,157700,11.19
