Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,7.75,7.79,7.75,7.79,7300,7.79
2015-02-12,7.72,7.74,7.67,7.74,7400,7.74
2015-02-11,7.74,7.74,7.67,7.73,900,7.73
2015-02-10,7.77,7.77,7.66,7.71,3900,7.71
2015-02-09,7.77,7.77,7.72,7.73,4800,7.73
2015-02-06,7.88,7.90,7.82,7.86,2100,7.86
2015-02-05,8.01,8.01,7.95,7.95,4300,7.95
2015-02-04,7.85,7.85,7.85,7.85,000,7.85
2015-02-03,7.78,7.85,7.74,7.85,28300,7.85
2015-02-02,7.78,7.81,7.77,7.78,3900,7.78
2015-01-30,7.75,7.80,7.71,7.74,15900,7.74
2015-01-29,7.98,7.98,7.82,7.82,7300,7.82
2015-01-28,8.04,8.05,8.00,8.00,4300,8.00
2015-01-27,7.98,8.01,7.98,8.01,4100,8.01
2015-01-26,7.95,8.04,7.92,8.04,16200,8.04
2015-01-23,7.88,7.94,7.88,7.94,3200,7.94
2015-01-22,7.89,7.90,7.86,7.90,1200,7.90
2015-01-21,7.84,7.94,7.84,7.90,5700,7.90
2015-01-20,7.86,7.88,7.81,7.88,2100,7.88
2015-01-16,7.82,7.85,7.78,7.85,5300,7.85
2015-01-15,7.83,7.89,7.82,7.89,6500,7.89
2015-01-14,7.82,7.82,7.80,7.82,2400,7.82
2015-01-13,7.88,7.89,7.87,7.88,600,7.88
2015-01-12,7.81,7.81,7.75,7.79,1800,7.79
2015-01-09,7.71,7.82,7.67,7.82,5700,7.82
2015-01-08,7.62,7.68,7.62,7.64,7600,7.64
2015-01-07,7.61,7.67,7.58,7.63,1500,7.63
2015-01-06,7.54,7.59,7.51,7.53,3200,7.53
2015-01-05,7.60,7.73,7.18,7.52,42100,7.52
2015-01-02,7.68,7.68,7.60,7.60,10200,7.60
2014-12-31,7.72,7.73,7.67,7.70,13800,7.70
2014-12-30,7.69,7.72,7.62,7.63,10200,7.63
2014-12-29,7.77,7.77,7.68,7.72,34300,7.72
2014-12-26,7.66,7.83,7.66,7.79,19800,7.79
2014-12-24,7.61,7.64,7.61,7.61,30100,7.61
2014-12-23,7.60,7.64,7.59,7.60,17900,7.60
2014-12-22,7.67,7.68,7.50,7.58,15400,7.58
2014-12-19,7.62,7.62,7.60,7.61,78700,7.61
2014-12-18,7.58,7.72,7.53,7.56,27800,7.56
2014-12-17,7.68,7.72,7.68,7.69,4700,7.60
2014-12-16,7.75,7.90,7.74,7.78,6000,7.69
2014-12-15,7.68,7.74,7.64,7.70,4400,7.61
2014-12-12,7.61,7.66,7.60,7.66,3300,7.57
2014-12-11,7.69,7.75,7.62,7.75,8500,7.66
2014-12-10,7.67,7.81,7.67,7.80,12400,7.71
2014-12-09,7.77,7.78,7.72,7.74,27700,7.65
2014-12-08,7.77,7.79,7.75,7.79,6400,7.70
2014-12-05,7.78,7.82,7.77,7.79,8800,7.70
2014-12-04,7.78,7.83,7.76,7.78,6600,7.69
2014-12-03,7.81,7.81,7.73,7.75,2400,7.66
2014-12-02,7.79,7.84,7.72,7.80,10100,7.71
2014-12-01,7.80,7.80,7.75,7.76,2000,7.67
2014-11-28,7.80,7.84,7.79,7.81,11300,7.72
2014-11-26,8.00,8.00,7.81,7.81,14400,7.72
2014-11-25,7.69,7.76,7.69,7.76,5300,7.67
2014-11-24,7.73,7.74,7.71,7.71,9700,7.62
2014-11-21,7.77,7.78,7.71,7.73,13900,7.64
2014-11-20,7.73,7.83,7.67,7.67,19000,7.58
2014-11-19,7.70,7.81,7.70,7.76,17100,7.67
2014-11-18,7.76,7.81,7.68,7.79,19500,7.70
2014-11-17,7.75,7.82,7.70,7.70,11900,7.61
2014-11-14,7.79,7.79,7.72,7.78,12800,7.69
2014-11-13,7.95,7.95,7.85,7.85,2200,7.76
2014-11-12,7.83,8.03,7.83,7.84,12400,7.75
2014-11-11,7.91,7.91,7.81,7.81,2600,7.72
2014-11-10,7.91,7.97,7.91,7.95,16400,7.86
2014-11-07,7.82,7.89,7.81,7.87,68100,7.78
2014-11-06,7.98,7.98,7.82,7.83,4100,7.74
2014-11-05,7.89,7.89,7.85,7.87,6100,7.78
2014-11-04,7.94,7.99,7.92,7.92,5300,7.83
2014-11-03,8.17,8.17,7.97,7.99,6000,7.90
2014-10-31,8.22,8.24,8.22,8.23,700,8.13
2014-10-30,8.29,8.35,8.18,8.27,6500,8.17
2014-10-29,8.22,8.28,8.22,8.24,12800,8.14
2014-10-28,8.17,8.21,8.09,8.09,3300,8.00
2014-10-27,8.07,8.12,8.07,8.09,800,8.00
2014-10-24,8.09,8.09,8.03,8.07,3600,7.98
2014-10-23,8.03,8.12,8.03,8.11,14600,8.02
2014-10-22,8.01,8.06,7.95,8.00,2500,7.91
2014-10-21,7.94,8.07,7.90,7.96,44000,7.87
2014-10-20,7.95,7.98,7.92,7.96,19800,7.87
2014-10-17,7.86,7.98,7.86,7.95,10500,7.86
2014-10-16,7.74,7.89,7.74,7.88,13800,7.79
2014-10-15,7.80,7.84,7.73,7.82,37000,7.73
2014-10-14,7.82,7.85,7.78,7.81,23200,7.72
2014-10-13,7.83,7.93,7.81,7.81,21500,7.72
2014-10-10,7.93,7.93,7.77,7.77,20900,7.68
