Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,17.52,17.52,17.52,17.52,000,17.52
2015-02-12,17.52,17.52,17.52,17.52,000,17.52
2015-02-11,17.52,17.52,17.52,17.52,000,17.52
2015-02-10,17.52,17.52,17.52,17.52,000,17.52
2015-02-09,17.52,17.52,17.52,17.52,000,17.52
2015-02-06,17.51,17.52,17.51,17.52,300,17.52
2015-02-05,17.31,17.31,17.31,17.31,000,17.31
2015-02-04,17.31,17.31,17.31,17.31,600,17.31
2015-02-03,15.85,15.85,15.85,15.85,000,15.85
2015-02-02,15.85,15.85,15.85,15.85,000,15.85
2015-01-30,15.85,15.85,15.85,15.85,000,15.85
2015-01-29,15.85,15.85,15.85,15.85,000,15.85
2015-01-28,15.85,15.85,15.85,15.85,000,15.85
2015-01-27,15.85,15.85,15.85,15.85,000,15.85
2015-01-26,15.85,15.85,15.85,15.85,000,15.85
2015-01-23,15.85,15.85,15.85,15.85,000,15.85
2015-01-22,15.85,15.85,15.85,15.85,000,15.85
2015-01-21,15.85,15.85,15.85,15.85,000,15.85
2015-01-20,15.85,15.85,15.85,15.85,000,15.85
2015-01-16,15.85,15.85,15.85,15.85,000,15.85
2015-01-15,15.85,15.85,15.85,15.85,000,15.85
2015-01-14,15.85,15.85,15.85,15.85,200,15.85
2015-01-13,17.26,17.26,17.26,17.26,000,17.26
2015-01-12,17.26,17.26,17.26,17.26,000,17.26
2015-01-09,17.26,17.26,17.26,17.26,000,17.26
2015-01-08,17.26,17.26,17.26,17.26,000,17.26
2015-01-07,17.26,17.26,17.26,17.26,000,17.26
2015-01-06,17.26,17.26,17.26,17.26,000,17.26
2015-01-05,17.26,17.26,17.26,17.26,000,17.26
2015-01-02,17.26,17.26,17.26,17.26,000,17.26
2014-12-31,17.26,17.26,17.26,17.26,000,17.26
2014-12-30,17.26,17.26,17.26,17.26,000,17.26
2014-12-29,17.26,17.26,17.26,17.26,000,17.26
2014-12-26,17.26,17.26,17.26,17.26,100,17.26
2014-12-24,15.20,15.20,15.20,15.20,000,15.20
2014-12-23,15.72,15.72,15.72,15.72,000,15.72
2014-12-22,15.72,15.72,15.72,15.72,000,15.72
2014-12-19,15.72,15.72,15.72,15.72,000,15.72
2014-12-18,15.72,15.72,15.72,15.72,000,15.72
2014-12-17,15.72,15.72,15.72,15.72,000,15.72
2014-12-16,15.72,15.72,15.72,15.72,000,15.72
2014-12-15,15.72,15.72,15.72,15.72,000,15.72
2014-12-12,15.72,15.72,15.72,15.72,000,15.72
