Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,27.05,27.08,26.66,26.83,1698600,26.83
2015-02-12,26.80,27.10,26.63,27.08,2198100,27.08
2015-02-11,26.94,27.06,26.53,26.78,4596100,26.78
2015-02-10,26.56,26.95,26.43,26.88,2937300,26.88
2015-02-09,26.75,26.86,26.46,26.52,2215700,26.52
2015-02-06,27.94,27.94,26.59,26.73,5934400,26.73
2015-02-05,27.70,28.10,27.63,28.02,3115400,28.02
2015-02-04,27.92,28.04,27.68,27.69,4798400,27.69
2015-02-03,27.70,28.07,27.61,28.06,2490200,28.06
2015-02-02,27.65,27.81,27.06,27.77,2971700,27.77
2015-01-30,28.18,28.24,27.64,27.65,3309700,27.65
2015-01-29,28.14,28.33,27.93,28.29,2379800,28.29
2015-01-28,28.41,28.54,28.11,28.12,2650200,28.12
2015-01-27,28.18,28.39,28.15,28.33,2079700,28.33
2015-01-26,27.91,28.32,27.81,28.30,2419900,28.30
2015-01-23,28.03,28.10,27.83,27.98,2035500,27.98
2015-01-22,27.50,28.02,27.49,28.02,2424400,28.02
2015-01-21,27.16,27.34,27.05,27.30,2719800,27.30
2015-01-20,27.78,27.80,27.20,27.30,2872000,27.30
2015-01-16,27.18,27.73,27.17,27.71,3405900,27.71
2015-01-15,27.39,27.57,27.15,27.28,3528100,27.28
2015-01-14,26.65,27.30,26.62,27.27,3532600,27.27
2015-01-13,26.74,26.95,26.63,26.82,3453000,26.82
2015-01-12,26.59,26.79,26.57,26.70,2688300,26.70
2015-01-09,26.67,26.72,26.44,26.54,2812200,26.54
2015-01-08,26.64,26.76,26.43,26.60,4189100,26.60
2015-01-07,25.97,26.58,25.78,26.51,4571600,26.51
2015-01-06,25.84,26.02,25.71,25.84,4957900,25.84
2015-01-05,25.45,25.90,25.41,25.69,4106100,25.69
2015-01-02,25.26,25.51,25.20,25.46,2716400,25.46
2014-12-31,25.73,25.92,25.09,25.14,3339500,25.14
2014-12-30,25.90,25.90,25.62,25.65,2438300,25.65
2014-12-29,25.78,26.02,25.78,25.90,2814900,25.66
2014-12-26,25.80,25.94,25.72,25.77,1784800,25.53
2014-12-24,25.92,26.04,25.75,25.78,1279300,25.54
2014-12-23,26.00,26.04,25.82,25.84,2254900,25.60
2014-12-22,25.60,25.91,25.60,25.91,3432600,25.67
2014-12-19,25.59,25.63,25.45,25.58,5601700,25.34
2014-12-18,25.49,25.53,25.20,25.50,5789400,25.26
2014-12-17,25.02,25.37,24.90,25.33,6696400,25.10
2014-12-16,25.16,25.35,24.84,24.93,4473400,24.70
2014-12-15,25.38,25.45,24.99,25.06,2836200,24.83
2014-12-12,25.25,25.53,25.25,25.30,2602300,25.07
2014-12-11,25.47,25.55,25.34,25.39,3852600,25.15
2014-12-10,25.33,25.48,25.26,25.40,3944800,25.16
2014-12-09,25.32,25.48,25.22,25.43,5027400,25.19
2014-12-08,25.37,25.74,25.34,25.46,2794900,25.22
2014-12-05,25.35,25.47,25.16,25.34,4053900,25.11
2014-12-04,25.48,25.52,25.34,25.46,2804600,25.22
2014-12-03,25.55,25.65,25.38,25.45,2934900,25.21
2014-12-02,25.59,25.64,25.41,25.55,3191600,25.31
2014-12-01,25.41,25.99,25.41,25.64,4923200,25.40
2014-11-28,25.49,25.77,25.35,25.45,1711300,25.21
2014-11-26,25.12,25.49,25.08,25.39,2665500,25.15
2014-11-25,24.98,25.15,24.92,25.09,3525400,24.86
2014-11-24,24.93,25.07,24.86,24.98,2462100,24.75
2014-11-21,24.77,24.92,24.71,24.85,4251700,24.62
2014-11-20,24.63,24.73,24.55,24.63,2365100,24.40
2014-11-19,24.85,24.98,24.64,24.65,2709700,24.42
2014-11-18,24.81,24.98,24.72,24.85,2051500,24.62
2014-11-17,24.42,24.81,24.42,24.75,2819200,24.52
2014-11-14,24.69,24.80,24.42,24.46,2501600,24.23
2014-11-13,24.69,24.90,24.61,24.74,2267800,24.51
2014-11-12,24.79,24.79,24.54,24.60,3068300,24.37
2014-11-11,25.00,25.00,24.67,24.78,1833300,24.55
2014-11-10,24.70,24.97,24.67,24.94,2814800,24.71
2014-11-07,24.78,24.93,24.54,24.79,2517600,24.56
2014-11-06,25.11,25.24,24.68,24.73,2772000,24.50
2014-11-05,25.33,25.33,24.88,25.07,2854400,24.84
2014-11-04,25.21,25.38,24.95,25.21,3075700,24.98
2014-11-03,25.00,25.31,24.96,25.28,3629800,25.05
2014-10-31,24.79,24.99,24.54,24.95,5926200,24.72
2014-10-30,24.30,24.56,24.21,24.54,4257900,24.31
2014-10-29,24.15,24.68,24.03,24.35,5415500,24.12
2014-10-28,24.14,24.19,23.96,24.17,2895700,23.95
2014-10-27,24.05,24.22,23.91,24.14,2615600,23.92
2014-10-24,23.95,24.11,23.88,24.07,3274300,23.85
2014-10-23,23.76,23.92,23.65,23.89,5272600,23.67
2014-10-22,23.52,23.71,23.43,23.61,2761900,23.39
2014-10-21,23.20,23.49,23.03,23.46,2253200,23.24
2014-10-20,22.82,23.14,22.74,23.12,2377100,22.91
2014-10-17,23.07,23.09,22.73,22.81,3292300,22.60
2014-10-16,22.75,23.07,22.49,22.95,3282800,22.74
2014-10-15,22.87,23.23,22.77,22.92,3716900,22.71
2014-10-14,22.88,23.45,22.67,23.03,4580800,22.82
2014-10-13,22.61,23.04,22.59,22.67,3006700,22.46
2014-10-10,22.66,23.03,22.65,22.68,3175300,22.47
2014-10-09,22.57,22.88,22.54,22.63,4586600,22.42
2014-10-08,22.01,22.58,22.01,22.58,2980000,22.37
2014-10-07,22.09,22.24,21.99,21.99,3028500,21.79
2014-10-06,22.00,22.21,21.97,22.15,2756500,21.94
2014-10-03,21.83,22.02,21.71,21.96,2013000,21.76
2014-10-02,21.63,21.87,21.56,21.74,3729900,21.54
