Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,38.16,38.59,37.93,38.49,1052400,38.49
2015-02-12,39.23,39.27,38.20,38.55,885500,38.55
2015-02-11,38.50,38.72,38.03,38.42,630900,38.42
2015-02-10,38.86,39.14,38.27,38.50,1449000,38.50
2015-02-09,38.95,39.45,38.67,38.96,1051900,38.96
2015-02-06,38.47,39.13,37.10,38.98,2216700,38.98
2015-02-05,39.83,40.33,38.19,38.62,1759000,38.62
2015-02-04,40.35,41.62,39.61,39.82,774700,39.82
2015-02-03,39.84,40.94,39.45,40.70,1581400,40.70
2015-02-02,39.59,40.61,39.35,39.70,688600,39.70
2015-01-30,39.30,40.19,38.49,39.31,740100,39.31
2015-01-29,38.93,39.70,38.51,39.61,835400,39.61
2015-01-28,38.25,39.49,38.08,39.00,1061900,39.00
2015-01-27,38.42,38.61,37.93,38.35,733300,38.35
2015-01-26,38.16,39.00,37.84,38.87,563000,38.87
2015-01-23,38.86,38.94,37.89,38.26,843800,38.26
2015-01-22,38.10,39.00,37.84,38.86,1025500,38.86
2015-01-21,37.36,38.77,37.11,38.04,1164300,38.04
2015-01-20,38.29,38.55,37.15,37.34,1444000,37.34
2015-01-16,38.93,39.05,37.58,38.27,2147500,38.27
2015-01-15,39.74,40.45,38.61,39.08,776700,39.08
2015-01-14,38.79,39.14,38.03,38.89,1246000,38.89
2015-01-13,40.45,41.05,38.88,39.20,1397000,39.20
2015-01-12,41.16,41.49,40.24,40.42,767300,40.42
2015-01-09,41.28,41.71,39.92,41.29,1366400,41.29
2015-01-08,41.30,41.98,40.89,41.65,1826200,41.65
2015-01-07,40.80,41.50,39.75,40.46,1649700,40.46
2015-01-06,40.50,41.43,40.09,40.81,901500,40.81
2015-01-05,40.00,40.84,39.76,40.63,1076700,40.63
2015-01-02,41.32,41.50,39.53,40.22,1381000,40.22
2014-12-31,41.56,42.17,40.77,41.25,673800,41.25
2014-12-30,40.73,41.49,40.00,41.44,1313800,41.44
2014-12-29,40.44,40.99,40.11,40.80,1340300,40.80
2014-12-26,40.25,41.49,39.51,40.78,1315900,40.78
2014-12-24,41.15,41.95,40.90,41.11,739300,41.11
2014-12-23,41.66,42.99,41.00,41.78,1651400,41.78
2014-12-22,42.96,43.36,41.81,42.26,1176800,42.26
2014-12-19,43.06,43.50,41.60,42.74,2060600,42.74
2014-12-18,41.56,43.84,41.56,42.69,1817200,42.69
2014-12-17,41.00,42.93,38.95,42.45,3270800,42.45
2014-12-16,43.34,43.34,40.57,41.06,1430800,41.06
2014-12-15,44.65,44.65,42.00,42.69,173800,42.69
2014-12-12,42.95,45.22,39.96,42.80,651400,42.80
2014-12-11,44.19,44.60,42.17,43.00,457900,43.00
2014-12-10,45.65,46.19,43.38,43.60,715300,43.60
2014-12-09,45.96,46.46,45.12,45.64,115600,45.64
2014-12-08,46.50,46.50,45.50,45.52,1240100,45.52
2014-12-05,46.15,46.29,45.11,46.04,288800,46.04
2014-12-04,47.00,47.25,46.00,46.26,1607300,46.26
