Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,21.07,21.29,20.68,21.05,238000,21.05
2015-02-12,21.19,21.36,20.88,21.09,305300,21.09
2015-02-11,21.13,21.45,20.92,21.07,216700,21.07
2015-02-10,21.50,21.50,20.95,21.16,323100,21.16
2015-02-09,21.50,21.62,21.21,21.31,192000,21.31
2015-02-06,21.08,21.67,20.87,21.47,306200,21.47
2015-02-05,20.87,21.30,20.63,21.01,325100,21.01
2015-02-04,20.28,21.08,19.57,20.67,575500,20.67
2015-02-03,20.82,21.07,20.60,20.78,399500,20.78
2015-02-02,20.56,20.64,20.29,20.59,252600,20.59
2015-01-30,20.38,20.58,19.96,20.49,493100,20.49
2015-01-29,20.28,20.59,20.02,20.58,390300,20.58
2015-01-28,19.56,19.84,19.35,19.74,271600,19.74
2015-01-27,19.62,19.80,19.37,19.49,212100,19.49
2015-01-26,19.79,20.00,19.51,19.90,125600,19.90
2015-01-23,20.00,20.05,19.67,19.86,174500,19.86
2015-01-22,19.48,20.02,19.27,20.01,613800,20.01
2015-01-21,19.26,19.55,19.20,19.35,300400,19.35
2015-01-20,19.61,19.76,19.22,19.37,228900,19.37
2015-01-16,19.34,19.74,19.34,19.61,344600,19.61
2015-01-15,19.96,20.05,19.36,19.46,319900,19.46
2015-01-14,20.01,20.26,19.86,19.89,252000,19.89
2015-01-13,20.35,20.54,19.87,20.20,348100,20.20
2015-01-12,20.23,20.27,20.00,20.13,267800,20.13
2015-01-09,20.30,20.35,20.08,20.20,449800,20.20
2015-01-08,20.55,20.72,20.29,20.36,252400,20.36
2015-01-07,20.34,20.65,20.18,20.33,346800,20.33
2015-01-06,20.56,20.74,20.24,20.31,478500,20.31
2015-01-05,20.62,20.87,20.45,20.58,286800,20.58
2015-01-02,21.24,21.39,20.67,20.77,200700,20.77
2014-12-31,21.68,21.78,21.12,21.17,193400,21.17
2014-12-30,21.46,21.88,21.46,21.68,324600,21.68
2014-12-29,21.45,21.74,21.39,21.56,149900,21.56
2014-12-26,21.31,21.51,21.31,21.39,81100,21.39
2014-12-24,21.28,21.29,21.08,21.19,102700,21.19
2014-12-23,20.95,21.54,20.91,21.18,424100,21.18
2014-12-22,20.84,20.96,20.57,20.91,186400,20.91
2014-12-19,20.53,20.84,20.31,20.76,581400,20.76
2014-12-18,20.00,20.86,19.95,20.50,540500,20.50
2014-12-17,19.45,20.09,19.38,19.98,278300,19.98
2014-12-16,18.90,19.63,18.84,19.45,429400,19.45
2014-12-15,19.29,19.49,18.79,18.90,255800,18.90
2014-12-12,18.61,18.83,18.49,18.60,216500,18.60
2014-12-11,18.60,19.17,18.54,18.92,156300,18.92
2014-12-10,18.87,19.01,18.42,18.54,159900,18.42
2014-12-09,18.07,19.07,18.01,18.98,279500,18.86
2014-12-08,18.63,18.91,18.22,18.26,134200,18.14
2014-12-05,18.70,19.09,18.58,18.65,123500,18.53
2014-12-04,18.81,18.81,18.57,18.72,117800,18.60
2014-12-03,18.58,19.00,18.54,18.88,164000,18.76
2014-12-02,18.34,18.66,18.07,18.54,278800,18.42
2014-12-01,18.45,18.53,18.28,18.35,106700,18.23
2014-11-28,18.97,19.11,18.49,18.53,124900,18.41
2014-11-26,19.04,19.13,18.89,18.97,72900,18.85
2014-11-25,19.26,19.28,18.84,18.98,178300,18.86
2014-11-24,19.03,19.23,19.03,19.21,120600,19.09
2014-11-21,19.47,19.58,18.92,19.01,162100,18.89
2014-11-20,18.72,19.23,18.68,19.21,112800,19.09
2014-11-19,19.09,19.09,18.52,18.83,128800,18.71
2014-11-18,19.32,19.60,19.06,19.07,77900,18.95
2014-11-17,19.35,19.48,19.18,19.24,124700,19.12
2014-11-14,19.34,19.50,19.33,19.36,227700,19.23
2014-11-13,19.50,19.64,19.26,19.27,100400,19.15
2014-11-12,19.43,19.60,19.41,19.55,199200,19.42
2014-11-11,19.52,19.72,19.48,19.51,173900,19.38
2014-11-10,19.70,19.82,19.55,19.69,110500,19.56
2014-11-07,19.85,19.92,19.61,19.70,320700,19.57
2014-11-06,19.67,19.82,19.63,19.77,95800,19.64
2014-11-05,19.88,19.98,19.45,19.62,212800,19.49
2014-11-04,19.87,20.01,19.74,19.74,118600,19.61
2014-11-03,19.96,20.05,19.75,19.91,137300,19.78
2014-10-31,20.20,20.30,19.80,19.89,277900,19.76
2014-10-30,19.56,19.97,19.51,19.89,260300,19.76
2014-10-29,19.61,19.75,19.52,19.69,239200,19.56
2014-10-28,19.22,19.78,19.22,19.54,409300,19.41
2014-10-27,19.30,19.30,19.01,19.15,195200,19.03
2014-10-24,19.47,19.47,19.16,19.23,138500,19.11
2014-10-23,19.15,19.58,19.03,19.41,394500,19.28
2014-10-22,19.62,19.62,19.20,19.35,192800,19.22
2014-10-21,19.25,19.70,19.18,19.52,201600,19.39
2014-10-20,18.49,19.22,18.47,19.15,351100,19.03
2014-10-17,18.98,19.76,17.98,18.53,346600,18.41
2014-10-16,17.39,18.23,17.39,17.88,190300,17.76
2014-10-15,17.24,17.72,16.95,17.67,249800,17.56
2014-10-14,17.34,17.65,17.34,17.53,135300,17.42
2014-10-13,16.78,17.45,16.77,17.13,137500,17.02
2014-10-10,16.52,17.22,16.52,16.85,99000,16.74
2014-10-09,17.18,17.18,16.67,16.68,75600,16.57
2014-10-08,16.85,17.31,16.63,17.24,144700,17.13
2014-10-07,17.25,17.25,16.83,16.83,65700,16.72
2014-10-06,17.47,17.57,17.26,17.32,56400,17.21
2014-10-03,17.39,17.77,17.31,17.45,179900,17.34
2014-10-02,16.90,17.27,16.87,17.19,156000,17.08
2014-10-01,17.34,17.41,16.80,16.90,128800,16.79
2014-09-30,17.79,17.79,17.30,17.31,146900,17.20
2014-09-29,17.74,17.93,17.71,17.75,95600,17.64
2014-09-26,17.70,17.97,17.68,17.94,87800,17.82
2014-09-25,17.80,17.89,17.60,17.68,122900,17.57
2014-09-24,17.90,18.15,17.74,17.88,189300,17.76
2014-09-23,17.75,18.00,17.65,17.80,114100,17.68
2014-09-22,18.07,18.14,17.82,17.86,75600,17.74
2014-09-19,18.46,18.49,17.99,18.15,173000,18.03
2014-09-18,18.65,18.68,18.37,18.42,117200,18.30
2014-09-17,18.60,18.60,18.25,18.49,104400,18.37
2014-09-16,18.53,18.83,18.50,18.61,109800,18.49
2014-09-15,18.53,18.60,18.34,18.53,168000,18.41
2014-09-12,18.76,18.76,18.31,18.50,136100,18.38
2014-09-11,18.48,18.83,18.48,18.71,105200,18.59
2014-09-10,18.66,18.83,18.60,18.66,93700,18.42
2014-09-09,18.76,19.11,18.45,18.59,82500,18.35
2014-09-08,18.90,19.09,18.73,18.80,107700,18.56
2014-09-05,18.83,18.94,18.70,18.89,82000,18.65
2014-09-04,18.88,19.22,18.86,18.92,76800,18.68
2014-09-03,19.13,19.13,18.66,18.80,145200,18.56
2014-09-02,18.39,19.06,18.30,19.05,174100,18.80
2014-08-29,18.29,18.35,18.12,18.29,165100,18.05
2014-08-28,18.36,18.41,18.20,18.27,165700,18.04
2014-08-27,18.58,18.60,18.27,18.35,179100,18.11
2014-08-26,18.58,18.74,18.47,18.50,193400,18.26
2014-08-25,18.74,18.74,18.41,18.58,84400,18.34
2014-08-22,18.59,18.81,18.44,18.66,117700,18.42
2014-08-21,18.52,18.77,18.10,18.66,146100,18.42
2014-08-20,18.43,18.52,18.30,18.48,145300,18.24
2014-08-19,18.56,18.68,18.47,18.55,63500,18.31
2014-08-18,18.25,18.53,18.16,18.52,160400,18.28
2014-08-15,18.30,18.30,17.93,18.06,171700,17.83
2014-08-14,17.97,18.20,17.89,18.10,85900,17.87
2014-08-13,18.10,18.18,17.93,17.97,98700,17.74
2014-08-12,17.95,18.20,17.86,18.01,138700,17.78
2014-08-11,17.86,18.16,17.83,18.00,178300,17.77
2014-08-08,17.39,17.93,17.39,17.72,153400,17.49
2014-08-07,17.26,17.41,17.18,17.36,245000,17.14
2014-08-06,16.83,17.32,16.83,17.24,250100,17.02
2014-08-05,16.56,17.10,16.56,16.88,233200,16.66
2014-08-04,16.73,16.76,16.45,16.65,178200,16.44
2014-08-01,16.83,16.91,16.47,16.60,263900,16.39
2014-07-31,17.07,17.22,16.77,16.81,263300,16.59
2014-07-30,17.33,17.40,17.21,17.26,192100,17.04
2014-07-29,17.12,17.33,16.92,17.18,432700,16.96
2014-07-28,17.12,17.17,16.78,17.03,390800,16.81
2014-07-25,17.28,17.35,17.09,17.13,147500,16.91
2014-07-24,17.64,17.66,17.31,17.44,229800,17.22
2014-07-23,17.90,17.91,17.53,17.56,93700,17.33
2014-07-22,17.89,18.12,17.69,17.90,160700,17.67
2014-07-21,18.03,18.04,17.55,17.72,391200,17.49
2014-07-18,17.55,18.49,17.30,18.15,554300,17.92
2014-07-17,16.94,17.12,16.86,16.97,257900,16.75
2014-07-16,17.24,17.28,17.01,17.05,156200,16.83
2014-07-15,17.03,17.13,16.90,17.10,125700,16.88
2014-07-14,17.11,17.15,16.90,17.04,83700,16.82
2014-07-11,16.86,17.00,16.78,16.90,121600,16.68
2014-07-10,16.92,17.07,16.77,16.90,103600,16.68
2014-07-09,17.35,17.53,17.24,17.24,68900,17.02
2014-07-08,17.46,17.50,17.21,17.32,151600,17.10
2014-07-07,17.77,17.77,17.44,17.45,101200,17.23
2014-07-03,17.67,18.00,17.66,17.83,118800,17.60
2014-07-02,17.64,17.74,17.54,17.57,192600,17.34
2014-07-01,17.44,17.78,17.44,17.61,228300,17.38
2014-06-30,17.32,17.44,17.17,17.33,213800,17.11
2014-06-27,17.12,17.49,17.12,17.35,725200,17.13
2014-06-26,17.32,17.40,16.93,17.24,269900,17.02
2014-06-25,17.28,17.53,17.22,17.50,154000,17.27
2014-06-24,17.67,17.72,17.39,17.40,246500,17.18
2014-06-23,17.68,17.75,17.45,17.63,215400,17.40
2014-06-20,18.05,18.05,17.45,17.70,442900,17.47
2014-06-19,17.82,18.00,17.75,17.96,173400,17.73
2014-06-18,17.49,17.77,17.42,17.73,268900,17.50
2014-06-17,17.25,17.66,17.18,17.53,253300,17.30
2014-06-16,17.23,17.32,17.07,17.27,88200,17.05
2014-06-13,17.49,17.49,17.15,17.21,222900,16.99
2014-06-12,17.58,17.74,17.38,17.49,153300,17.27
2014-06-11,17.65,17.84,17.50,17.79,129200,17.44
2014-06-10,17.78,18.01,17.75,17.76,143400,17.41
2014-06-09,17.84,17.96,17.78,17.89,234500,17.54
2014-06-06,17.43,18.02,17.43,17.78,351400,17.43
2014-06-05,16.81,17.39,16.65,17.30,248300,16.96
2014-06-04,16.82,16.96,16.73,16.77,78600,16.44
2014-06-03,17.15,17.16,16.74,16.92,304100,16.59
2014-06-02,17.53,17.57,16.94,17.19,174300,16.85
2014-05-30,17.78,17.78,17.47,17.54,91000,17.20
2014-05-29,17.83,17.89,17.60,17.74,97700,17.39
2014-05-28,17.73,17.96,17.62,17.72,123800,17.37
2014-05-27,17.81,18.19,17.70,17.80,110900,17.45
2014-05-23,17.38,17.86,17.32,17.66,131300,17.32
2014-05-22,17.20,17.62,17.13,17.44,99700,17.10
2014-05-21,17.22,17.39,16.96,17.19,115700,16.85
2014-05-20,17.29,17.29,16.80,17.10,208900,16.77
2014-05-19,17.35,17.60,17.18,17.32,152400,16.98
2014-05-16,17.21,17.38,17.05,17.37,115300,17.03
2014-05-15,17.05,17.42,16.76,17.26,234700,16.92
2014-05-14,17.66,17.66,17.16,17.18,191200,16.84
2014-05-13,18.22,18.22,17.67,17.75,223300,17.40
2014-05-12,17.84,18.38,17.80,18.22,251000,17.86
2014-05-09,17.35,17.75,17.32,17.68,130600,17.33
2014-05-08,17.79,18.16,17.46,17.49,111000,17.15
2014-05-07,17.78,17.82,17.33,17.77,156000,17.42
2014-05-06,17.97,17.99,17.54,17.70,193900,17.35
2014-05-05,17.84,18.12,17.62,18.08,206000,17.73
2014-05-02,18.10,18.36,17.94,18.00,462900,17.65
2014-05-01,18.20,18.20,17.74,18.02,271000,17.67
2014-04-30,18.00,18.39,17.97,18.19,357800,17.83
2014-04-29,18.06,18.28,18.00,18.06,226800,17.71
2014-04-28,18.15,18.20,17.61,18.04,269600,17.69
2014-04-25,18.45,18.53,18.00,18.07,197500,17.72
2014-04-24,18.79,18.79,18.35,18.52,371800,18.16
2014-04-23,19.12,19.17,18.72,18.72,241000,18.35
2014-04-22,19.01,19.45,19.01,19.15,280100,18.78
2014-04-21,18.50,20.10,18.45,19.04,597700,18.67
2014-04-17,18.46,19.43,17.91,18.28,687400,17.92
2014-04-16,16.98,17.13,16.75,16.82,175200,16.49
2014-04-15,16.61,16.89,16.21,16.80,183100,16.47
2014-04-14,17.01,17.13,16.42,16.54,149900,16.22
2014-04-11,16.68,16.97,16.62,16.77,149700,16.44
2014-04-10,16.99,17.04,16.57,16.87,156300,16.54
2014-04-09,16.80,17.04,16.70,16.95,151600,16.62
2014-04-08,16.83,16.88,16.38,16.72,103400,16.39
2014-04-07,17.20,17.26,16.71,16.78,301100,16.45
2014-04-04,18.28,18.28,17.29,17.29,336400,16.95
2014-04-03,18.35,18.48,17.95,18.11,131800,17.76
2014-04-02,18.50,18.50,18.25,18.38,103800,18.02
2014-04-01,18.18,18.72,17.94,18.41,333500,18.05
2014-03-31,17.94,18.23,17.84,18.19,310700,17.83
2014-03-28,17.63,18.20,17.63,17.78,205500,17.43
