Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,11.76,11.83,11.76,11.81,7700,11.73
2015-02-12,11.75,11.80,11.75,11.77,4700,11.69
2015-02-11,11.75,11.77,11.75,11.77,4600,11.69
2015-02-10,11.78,11.78,11.77,11.77,900,11.69
2015-02-09,11.77,11.78,11.75,11.78,5100,11.70
2015-02-06,11.74,11.77,11.74,11.74,2200,11.66
2015-02-05,11.73,11.78,11.72,11.74,5700,11.66
2015-02-04,11.76,11.76,11.71,11.75,6600,11.67
2015-02-03,11.76,11.80,11.72,11.77,6200,11.69
2015-02-02,11.76,11.83,11.73,11.73,5300,11.65
2015-01-30,11.79,11.84,11.78,11.78,5000,11.70
2015-01-29,11.73,11.87,11.70,11.87,14700,11.79
2015-01-28,11.79,11.83,11.73,11.74,6800,11.66
2015-01-27,11.78,11.78,11.74,11.78,7100,11.70
2015-01-26,11.78,11.81,11.76,11.81,16300,11.73
2015-01-23,11.67,11.82,11.67,11.79,37100,11.71
2015-01-22,11.60,11.76,11.57,11.71,22700,11.63
2015-01-21,11.56,11.62,11.56,11.60,2000,11.52
2015-01-20,11.53,11.60,11.53,11.56,21200,11.48
2015-01-16,11.43,11.53,11.43,11.52,7200,11.44
2015-01-15,11.50,11.54,11.42,11.44,14900,11.37
2015-01-14,11.56,11.64,11.53,11.54,39300,11.39
2015-01-13,11.61,11.71,11.55,11.59,31000,11.44
2015-01-12,11.58,11.61,11.57,11.58,18500,11.43
2015-01-09,11.59,11.59,11.54,11.57,16400,11.42
2015-01-08,11.53,11.59,11.53,11.56,20600,11.41
2015-01-07,11.57,11.58,11.54,11.54,11100,11.39
2015-01-06,11.54,11.55,11.49,11.52,7100,11.37
2015-01-05,11.52,11.56,11.52,11.54,11500,11.39
2015-01-02,11.55,11.60,11.55,11.57,7700,11.42
2014-12-31,11.58,11.58,11.51,11.56,9900,11.41
2014-12-30,11.56,11.56,11.54,11.56,16300,11.41
2014-12-29,11.58,11.60,11.56,11.56,3500,11.41
2014-12-26,11.55,11.60,11.55,11.59,7200,11.44
2014-12-24,11.56,11.56,11.52,11.52,7400,11.37
2014-12-23,11.50,11.56,11.48,11.53,10300,11.38
2014-12-22,11.52,11.52,11.47,11.49,8000,11.34
2014-12-19,11.45,11.54,11.44,11.52,21100,11.37
2014-12-18,11.43,11.58,11.36,11.40,14300,11.25
2014-12-17,11.23,11.37,11.19,11.27,24400,11.12
2014-12-16,11.30,11.32,11.22,11.22,18900,11.07
2014-12-15,11.51,11.51,11.37,11.38,12600,11.15
2014-12-12,11.55,11.55,11.44,11.47,34600,11.24
2014-12-11,11.63,11.63,11.55,11.58,21900,11.35
2014-12-10,11.72,11.72,11.56,11.59,35500,11.36
2014-12-09,11.71,11.74,11.71,11.73,25000,11.50
2014-12-08,11.83,11.84,11.76,11.76,23000,11.53
2014-12-05,11.90,11.93,11.87,11.89,21800,11.65
2014-12-04,11.91,11.94,11.90,11.90,16200,11.66
2014-12-03,11.93,11.95,11.92,11.93,18300,11.69
2014-12-02,11.94,12.00,11.93,11.93,13900,11.69
2014-12-01,12.02,12.02,11.93,11.98,23600,11.74
2014-11-28,12.05,12.05,12.01,12.01,2600,11.77
2014-11-26,12.01,12.04,12.01,12.04,5200,11.80
2014-11-25,11.97,12.02,11.97,12.01,9800,11.77
2014-11-24,11.94,12.00,11.92,11.95,51600,11.71
2014-11-21,11.96,11.99,11.90,11.93,22900,11.69
2014-11-20,11.97,11.97,11.92,11.92,5300,11.68
2014-11-19,11.99,11.99,11.89,11.96,10300,11.72
2014-11-18,12.03,12.05,11.99,11.99,15700,11.75
2014-11-17,12.11,12.11,12.06,12.07,6500,11.75
2014-11-14,12.15,12.15,12.10,12.10,11100,11.78
2014-11-13,12.15,12.16,12.14,12.15,8300,11.83
2014-11-12,12.17,12.17,12.13,12.16,7100,11.84
2014-11-11,12.15,12.16,12.15,12.15,1600,11.83
2014-11-10,12.12,12.17,12.12,12.16,13900,11.84
2014-11-07,12.15,12.18,12.13,12.15,5200,11.83
2014-11-06,12.15,12.17,12.12,12.14,15700,11.82
2014-11-05,12.15,12.17,12.15,12.17,9000,11.85
2014-11-04,12.14,12.16,12.13,12.16,6400,11.84
2014-11-03,12.14,12.18,12.13,12.15,4700,11.83
2014-10-31,12.13,12.19,12.12,12.17,11300,11.85
2014-10-30,12.11,12.14,12.10,12.13,9100,11.81
2014-10-29,12.23,12.23,12.09,12.12,24000,11.80
2014-10-28,12.15,12.24,12.15,12.22,10200,11.90
2014-10-27,12.13,12.18,12.12,12.13,12700,11.81
2014-10-24,12.15,12.22,12.13,12.13,16900,11.81
2014-10-23,12.09,12.18,12.09,12.16,40900,11.84
2014-10-22,12.16,12.21,12.06,12.06,17600,11.74
2014-10-21,12.03,12.18,12.03,12.11,14300,11.79
2014-10-20,11.98,12.05,11.98,12.03,10900,11.71
2014-10-17,11.93,12.06,11.90,11.95,17800,11.64
2014-10-16,11.74,11.90,11.69,11.86,15300,11.55
2014-10-15,11.95,11.98,11.80,11.87,26100,11.48
2014-10-14,12.09,12.09,11.98,11.98,10200,11.59
2014-10-13,12.10,12.17,12.07,12.11,20300,11.71
2014-10-10,12.11,12.16,12.08,12.13,18800,11.73
2014-10-09,12.27,12.27,12.13,12.16,12700,11.76
2014-10-08,12.14,12.27,12.13,12.27,20000,11.87
2014-10-07,12.15,12.20,12.15,12.18,3600,11.78
2014-10-06,12.20,12.23,12.18,12.19,11000,11.79
2014-10-03,12.10,12.20,12.07,12.14,21100,11.74
2014-10-02,12.10,12.17,12.07,12.10,15100,11.70
2014-10-01,12.19,12.19,12.05,12.08,20300,11.69
2014-09-30,12.10,12.14,12.05,12.14,29700,11.74
2014-09-29,12.09,12.17,11.97,12.09,33700,11.70
2014-09-26,12.19,12.22,12.11,12.13,8800,11.73
2014-09-25,12.26,12.27,12.19,12.20,12200,11.80
2014-09-24,12.27,12.32,12.27,12.27,9600,11.87
2014-09-23,12.26,12.38,12.26,12.29,18600,11.89
2014-09-22,12.40,12.44,12.34,12.34,25300,11.94
2014-09-19,12.41,12.42,12.39,12.41,7700,12.00
2014-09-18,12.39,12.44,12.38,12.42,53100,12.01
2014-09-17,12.41,12.42,12.34,12.39,8600,11.99
2014-09-16,12.46,12.51,12.46,12.47,7900,11.99
2014-09-15,12.45,12.48,12.45,12.48,8200,12.00
2014-09-12,12.55,12.55,12.47,12.50,1900,12.02
2014-09-11,12.54,12.58,12.54,12.56,7400,12.07
2014-09-10,12.60,12.62,12.59,12.59,6700,12.10
2014-09-09,12.60,12.61,12.60,12.60,5200,12.11
2014-09-08,12.60,12.64,12.59,12.62,13400,12.13
2014-09-05,12.61,12.63,12.60,12.60,8300,12.11
2014-09-04,12.62,12.66,12.59,12.60,20100,12.11
2014-09-03,12.59,12.66,12.59,12.65,7100,12.16
2014-09-02,12.65,12.68,12.62,12.66,11100,12.17
2014-08-29,12.66,12.67,12.66,12.67,4900,12.18
2014-08-28,12.62,12.67,12.60,12.67,5100,12.18
2014-08-27,12.53,12.67,12.53,12.66,24900,12.17
2014-08-26,12.62,12.69,12.61,12.65,8700,12.16
2014-08-25,12.57,12.64,12.57,12.63,13200,12.14
2014-08-22,12.62,12.64,12.62,12.62,14200,12.13
2014-08-21,12.60,12.66,12.60,12.63,2900,12.14
2014-08-20,12.63,12.65,12.63,12.63,11100,12.14
2014-08-19,12.61,12.65,12.61,12.64,1800,12.15
2014-08-18,12.57,12.65,12.57,12.64,15800,12.15
2014-08-15,12.56,12.59,12.55,12.57,4800,12.08
2014-08-14,12.64,12.64,12.56,12.58,11200,12.09
2014-08-13,12.60,12.64,12.60,12.64,5300,12.08
2014-08-12,12.58,12.61,12.58,12.61,11100,12.05
2014-08-11,12.51,12.60,12.51,12.59,11900,12.03
2014-08-08,12.47,12.51,12.47,12.51,4500,11.95
2014-08-07,12.49,12.49,12.44,12.45,12200,11.89
2014-08-06,12.32,12.44,12.32,12.40,22100,11.85
2014-08-05,12.46,12.46,12.41,12.44,20200,11.88
2014-08-04,12.47,12.50,12.44,12.46,24200,11.90
2014-08-01,12.42,12.58,12.00,12.47,39400,11.91
2014-07-31,12.70,12.70,12.50,12.54,28800,11.98
2014-07-30,12.79,12.79,12.71,12.73,8400,12.16
2014-07-29,12.80,12.82,12.75,12.79,8000,12.22
2014-07-28,12.76,12.82,12.75,12.80,14300,12.23
2014-07-25,12.78,12.82,12.75,12.80,8000,12.23
2014-07-24,12.78,12.82,12.78,12.80,9300,12.23
2014-07-23,12.75,12.82,12.75,12.79,9500,12.22
2014-07-22,12.70,12.76,12.70,12.75,14100,12.18
2014-07-21,12.72,12.73,12.70,12.73,5700,12.16
2014-07-18,12.73,12.76,12.72,12.74,9700,12.17
2014-07-17,12.79,12.79,12.72,12.72,8200,12.15
2014-07-16,12.83,12.84,12.80,12.83,17100,12.18
2014-07-15,12.87,12.87,12.81,12.82,9400,12.17
2014-07-14,12.81,12.84,12.81,12.83,7500,12.18
2014-07-11,12.80,12.83,12.79,12.81,8700,12.16
2014-07-10,12.79,12.82,12.79,12.79,8000,12.14
2014-07-09,12.81,12.86,12.81,12.82,3400,12.17
2014-07-08,12.73,12.84,12.71,12.82,26300,12.17
2014-07-07,12.74,12.80,12.74,12.78,11900,12.14
2014-07-03,12.83,12.83,12.75,12.75,18500,12.11
2014-07-02,12.86,12.86,12.82,12.82,7100,12.17
2014-07-01,12.85,12.87,12.85,12.86,4600,12.21
2014-06-30,12.83,12.86,12.82,12.86,11000,12.21
2014-06-27,12.86,12.88,12.85,12.85,9400,12.20
2014-06-26,12.84,12.87,12.79,12.87,25700,12.22
2014-06-25,12.82,12.84,12.80,12.83,17300,12.18
