Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,14.99,15.15,14.99,15.14,4500,15.14
2015-02-12,14.85,14.88,14.75,14.75,5000,14.75
2015-02-11,14.51,14.88,14.51,14.75,2000,14.75
2015-02-10,14.76,14.88,14.51,14.75,2200,14.75
2015-02-09,14.62,14.82,14.40,14.65,1200,14.65
2015-02-06,14.75,14.85,14.59,14.66,11000,14.66
2015-02-05,14.71,14.75,14.63,14.71,1700,14.71
2015-02-04,14.74,14.76,14.55,14.57,2600,14.57
2015-02-03,14.54,14.73,14.40,14.61,32300,14.61
2015-02-02,14.50,14.59,14.35,14.49,20300,14.49
2015-01-30,14.50,14.83,14.45,14.45,3500,14.45
2015-01-29,14.36,14.57,14.36,14.42,2100,14.42
2015-01-28,14.36,14.54,14.36,14.52,400,14.52
2015-01-27,14.83,14.86,14.31,14.72,4800,14.72
2015-01-26,14.46,14.79,14.30,14.46,9000,14.46
2015-01-23,14.88,14.88,14.43,14.80,3400,14.80
2015-01-22,14.55,14.87,14.48,14.87,1700,14.87
2015-01-21,14.02,14.47,14.02,14.42,7700,14.42
2015-01-20,14.08,14.32,14.07,14.26,2200,14.26
2015-01-16,14.36,14.52,14.35,14.47,2800,14.47
2015-01-15,14.25,14.41,14.02,14.39,4900,14.39
2015-01-14,14.20,14.38,13.95,14.38,16100,14.38
2015-01-13,14.36,14.44,14.22,14.34,6200,14.34
2015-01-12,14.63,14.65,14.39,14.39,2800,14.39
2015-01-09,14.52,14.75,14.52,14.55,5100,14.55
2015-01-08,14.99,14.99,14.52,14.53,2400,14.53
2015-01-07,14.77,14.96,14.52,14.67,6500,14.67
2015-01-06,14.83,15.07,14.51,14.76,14500,14.76
2015-01-05,14.77,15.07,14.57,15.03,11400,15.03
2015-01-02,14.94,14.98,14.51,14.87,8500,14.87
2014-12-31,14.69,15.07,14.51,15.07,23400,15.07
2014-12-30,14.53,14.69,14.40,14.69,11300,14.69
2014-12-29,14.52,14.70,14.35,14.64,11100,14.64
2014-12-26,14.75,14.75,14.31,14.59,11100,14.59
2014-12-24,14.22,14.76,14.19,14.58,8700,14.58
2014-12-23,14.30,14.59,14.16,14.58,6100,14.58
2014-12-22,14.49,14.49,14.11,14.37,1800,14.37
2014-12-19,13.90,14.58,13.83,14.20,13600,14.20
2014-12-18,14.83,14.83,14.04,14.12,20000,14.12
2014-12-17,14.67,14.84,14.64,14.74,8900,14.74
2014-12-16,14.69,14.85,14.55,14.60,7000,14.60
2014-12-15,14.83,14.91,14.67,14.71,1500,14.71
2014-12-12,14.62,14.84,14.61,14.64,2400,14.64
2014-12-11,14.54,14.86,14.53,14.63,7200,14.63
2014-12-10,14.83,14.83,14.57,14.82,4800,14.82
2014-12-09,14.59,14.98,14.59,14.64,5500,14.64
2014-12-08,14.61,14.77,14.53,14.60,7200,14.60
2014-12-05,14.94,14.94,14.55,14.75,9100,14.75
2014-12-04,14.59,14.74,14.52,14.74,8500,14.74
2014-12-03,14.89,14.96,14.52,14.75,4300,14.75
2014-12-02,14.55,14.87,14.55,14.79,3900,14.79
2014-12-01,14.74,14.74,14.49,14.50,1100,14.50
2014-11-28,14.62,14.85,14.45,14.45,2100,14.45
2014-11-26,14.72,14.86,14.67,14.70,3100,14.70
2014-11-25,14.75,14.92,14.75,14.75,3900,14.59
2014-11-24,14.89,14.92,14.67,14.77,4700,14.61
2014-11-21,14.93,14.93,14.55,14.87,3500,14.71
2014-11-20,14.52,14.89,14.47,14.57,5600,14.41
2014-11-19,14.58,14.74,14.47,14.61,5500,14.45
2014-11-18,14.57,14.58,14.45,14.54,3500,14.38
2014-11-17,14.54,14.58,14.40,14.57,4500,14.41
2014-11-14,14.48,14.54,14.43,14.50,9000,14.34
2014-11-13,14.50,14.50,14.38,14.38,5200,14.22
2014-11-12,14.50,14.65,14.48,14.48,4400,14.32
2014-11-11,14.49,14.50,14.46,14.47,6200,14.31
2014-11-10,14.92,15.14,14.36,14.36,25100,14.20
2014-11-07,14.91,15.33,14.83,14.89,2300,14.73
2014-11-06,14.80,15.24,14.80,15.12,4100,14.96
2014-11-05,15.20,15.43,14.88,14.94,1300,14.78
2014-11-04,15.26,15.26,15.10,15.10,800,14.94
2014-11-03,15.10,15.20,15.10,15.10,1700,14.94
2014-10-31,14.90,15.09,14.90,15.00,4100,14.84
2014-10-30,14.80,14.84,14.75,14.75,1600,14.59
2014-10-29,14.75,14.86,14.70,14.74,2800,14.58
2014-10-28,14.69,14.72,14.61,14.72,2300,14.56
2014-10-27,14.98,14.98,14.62,14.62,700,14.46
2014-10-24,14.78,14.78,14.71,14.71,2600,14.55
2014-10-23,14.81,15.07,14.60,14.65,2500,14.49
2014-10-22,15.02,15.02,14.65,14.65,10300,14.49
2014-10-21,15.02,15.02,14.98,14.98,700,14.82
2014-10-20,15.05,15.20,15.03,15.06,2700,14.90
2014-10-17,14.96,15.30,14.87,14.92,2900,14.76
2014-10-16,15.12,15.12,14.83,14.86,6300,14.70
2014-10-15,14.75,14.75,14.65,14.65,2000,14.49
2014-10-14,15.00,15.33,14.75,14.75,5300,14.59
2014-10-13,15.07,15.08,14.86,14.90,1600,14.74
2014-10-10,14.86,14.99,14.84,14.91,3500,14.75
2014-10-09,15.00,15.00,14.86,14.86,2800,14.70
2014-10-08,14.92,15.04,14.85,14.85,4500,14.69
2014-10-07,15.00,15.02,14.85,14.85,6000,14.69
2014-10-06,15.02,15.13,15.00,15.00,4100,14.84
2014-10-03,15.03,15.12,15.02,15.02,2600,14.86
2014-10-02,15.18,15.18,15.01,15.13,1500,14.97
2014-10-01,15.00,15.14,15.00,15.01,2200,14.85
2014-09-30,15.19,15.33,15.01,15.02,6300,14.86
2014-09-29,15.01,15.16,15.01,15.01,1100,14.85
2014-09-26,15.19,15.19,15.03,15.13,1200,14.97
2014-09-25,15.00,15.19,14.84,15.19,6000,15.03
2014-09-24,15.17,15.42,14.93,14.97,25500,14.81
2014-09-23,15.17,15.37,15.17,15.34,4800,15.17
2014-09-22,15.54,15.54,15.14,15.17,2900,15.01
2014-09-19,15.46,15.56,15.15,15.15,9800,14.99
2014-09-18,15.44,15.53,15.28,15.36,16700,15.19
2014-09-17,15.50,15.50,15.16,15.29,1700,15.12
2014-09-16,15.16,15.31,15.16,15.21,3800,15.05
2014-09-15,15.32,15.36,15.18,15.19,3500,15.03
2014-09-12,15.33,15.41,15.18,15.23,5200,15.06
2014-09-11,15.45,15.46,15.13,15.21,8400,15.05
2014-09-10,15.55,15.55,15.12,15.25,3100,15.08
2014-09-09,15.49,15.49,15.13,15.22,4800,15.05
2014-09-08,15.01,15.54,15.01,15.34,13100,15.17
2014-09-05,15.26,15.26,15.05,15.15,2000,14.99
2014-09-04,15.25,15.28,15.08,15.08,4900,14.92
2014-09-03,15.13,15.29,15.00,15.00,8800,14.84
2014-09-02,15.21,15.22,15.15,15.19,1300,15.03
2014-08-29,15.35,15.35,15.20,15.21,9000,15.05
2014-08-28,15.25,15.44,15.03,15.07,17100,14.91
2014-08-27,15.42,15.50,15.28,15.29,5900,14.97
2014-08-26,15.48,15.58,15.26,15.27,4100,14.95
2014-08-25,15.48,15.48,15.26,15.26,8600,14.94
2014-08-22,15.31,15.50,15.25,15.25,10200,14.93
2014-08-21,15.26,15.59,15.25,15.26,9700,14.94
2014-08-20,15.27,15.87,15.25,15.25,19100,14.93
2014-08-19,15.70,15.78,15.27,15.27,10100,14.95
2014-08-18,16.74,16.74,15.26,15.33,8400,15.01
2014-08-15,15.58,16.21,15.28,15.47,2600,15.14
2014-08-14,15.51,15.52,15.25,15.28,11800,14.96
2014-08-13,15.51,15.89,15.50,15.50,2300,15.17
2014-08-12,15.32,16.66,15.32,15.65,5600,15.32
2014-08-11,15.54,16.61,15.25,15.36,3200,15.03
2014-08-08,15.79,15.96,15.65,15.65,5500,15.32
2014-08-07,15.27,15.51,15.27,15.51,2500,15.18
2014-08-06,15.27,15.27,15.00,15.10,8500,14.78
2014-08-05,16.62,16.62,15.01,15.06,4900,14.74
2014-08-04,16.95,16.95,15.09,15.10,6400,14.78
2014-08-01,15.31,15.44,15.00,15.07,9100,14.75
2014-07-31,15.66,15.66,15.21,15.21,5600,14.89
2014-07-30,15.59,15.98,15.48,15.54,12600,15.21
2014-07-29,15.84,15.84,15.47,15.48,3400,15.15
2014-07-28,15.59,15.59,15.50,15.51,5100,15.18
2014-07-25,15.57,15.86,15.49,15.69,6200,15.36
2014-07-24,15.58,16.40,15.48,15.61,2700,15.28
2014-07-23,15.49,15.90,15.49,15.50,8800,15.17
2014-07-22,15.57,15.64,15.47,15.47,5600,15.14
2014-07-21,15.46,15.75,15.46,15.54,9000,15.21
2014-07-18,15.58,15.81,15.52,15.53,6300,15.20
2014-07-17,16.32,16.44,15.46,15.58,13100,15.25
2014-07-16,16.31,16.62,16.25,16.25,3500,15.91
2014-07-15,16.46,16.64,16.14,16.31,5500,15.96
2014-07-14,16.51,16.69,16.08,16.49,12800,16.14
2014-07-11,16.59,16.82,16.34,16.34,16100,15.99
2014-07-10,16.50,16.91,16.47,16.69,14200,16.34
2014-07-09,17.03,17.07,16.52,16.62,10000,16.27
2014-07-08,16.62,17.11,16.29,16.89,16200,16.53
2014-07-07,16.88,17.09,16.49,16.66,19000,16.31
2014-07-03,16.98,17.14,16.33,17.03,18000,16.67
2014-07-02,16.86,16.94,16.45,16.67,24600,16.32
2014-07-01,16.11,16.76,15.98,16.73,38100,16.38
2014-06-30,15.80,16.24,15.71,16.16,55800,15.82
2014-06-27,15.27,16.00,15.00,15.92,861600,15.58
