Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,15.97,15.97,15.59,15.84,10400,15.84
2015-02-12,16.11,16.30,15.87,15.90,14900,15.90
2015-02-11,16.14,16.16,15.93,15.96,12300,15.96
2015-02-10,16.12,16.20,16.06,16.10,10900,16.10
2015-02-09,16.25,16.40,16.09,16.16,30200,16.16
2015-02-06,16.10,16.34,16.07,16.24,31400,16.24
2015-02-05,16.02,16.25,15.89,16.00,23100,16.00
2015-02-04,15.95,16.15,15.83,15.95,26300,15.95
2015-02-03,16.08,16.10,15.87,16.07,38000,16.07
2015-02-02,15.90,16.18,15.88,16.03,30200,16.03
2015-01-30,15.83,15.98,15.67,15.78,15900,15.78
2015-01-29,15.36,16.00,15.36,15.99,9400,15.99
2015-01-28,15.86,15.86,15.22,15.24,28800,15.24
2015-01-27,15.79,15.88,15.72,15.77,10100,15.73
2015-01-26,15.92,16.22,15.79,15.88,18600,15.84
2015-01-23,16.02,16.22,15.85,15.89,35400,15.85
2015-01-22,15.82,16.00,15.67,15.99,23000,15.95
2015-01-21,15.58,15.78,15.58,15.65,12500,15.61
2015-01-20,15.74,15.74,15.26,15.58,40000,15.54
2015-01-16,15.59,15.74,15.30,15.71,24600,15.67
2015-01-15,15.81,15.81,15.23,15.68,25000,15.64
2015-01-14,15.90,15.90,15.39,15.83,20300,15.79
2015-01-13,16.50,16.64,15.87,16.03,26800,15.99
2015-01-12,16.11,16.69,16.11,16.34,41000,16.30
2015-01-09,16.19,16.28,16.09,16.16,10100,16.12
2015-01-08,15.93,16.26,15.93,16.21,16200,16.17
2015-01-07,15.67,15.92,15.50,15.88,27300,15.84
2015-01-06,15.98,15.98,15.23,15.57,28500,15.53
2015-01-05,16.69,16.93,15.86,15.95,28300,15.91
2015-01-02,17.27,17.27,16.75,16.84,20100,16.80
2014-12-31,17.14,17.35,17.12,17.20,23900,17.16
2014-12-30,16.93,17.61,16.65,17.19,23100,17.15
2014-12-29,16.72,17.15,16.68,17.10,15500,17.06
2014-12-26,16.80,16.93,16.62,16.83,9100,16.79
2014-12-24,16.55,16.81,16.35,16.70,23900,16.66
2014-12-23,16.20,16.58,16.11,16.41,20900,16.37
2014-12-22,15.97,16.22,15.92,16.21,65400,16.17
2014-12-19,15.76,16.19,15.74,16.01,99000,15.97
2014-12-18,15.79,15.87,15.53,15.81,43200,15.77
2014-12-17,15.05,15.69,14.95,15.68,25600,15.64
2014-12-16,15.00,15.23,14.98,15.05,23200,15.01
2014-12-15,15.56,15.68,14.98,14.99,20800,14.95
2014-12-12,15.39,15.84,15.31,15.57,73200,15.53
2014-12-11,15.52,15.84,15.51,15.61,33800,15.57
2014-12-10,15.91,15.91,15.43,15.44,25200,15.40
2014-12-09,15.58,15.96,15.44,15.90,46700,15.86
2014-12-08,15.78,15.99,15.58,15.66,30300,15.62
2014-12-05,15.70,15.94,15.61,15.90,46300,15.86
2014-12-04,15.84,15.97,15.61,15.75,56900,15.71
2014-12-03,15.46,15.92,15.16,15.81,83600,15.77
2014-12-02,15.31,15.56,15.01,15.53,68500,15.49
2014-12-01,14.99,15.40,14.74,15.22,50600,15.18
2014-11-28,15.16,15.23,14.91,14.94,15200,14.90
2014-11-26,15.55,15.62,15.10,15.30,42500,15.26
2014-11-25,15.97,15.97,15.41,15.59,38400,15.55
2014-11-24,15.07,16.14,15.07,15.66,100600,15.62
2014-11-21,16.00,16.00,15.00,15.13,38100,15.09
2014-11-20,15.31,16.17,15.31,15.84,37100,15.80
2014-11-19,15.86,15.86,15.06,15.46,51300,15.42
2014-11-18,15.67,16.55,15.67,16.05,60800,16.01
2014-11-17,15.81,16.22,15.39,15.58,45200,15.54
2014-11-14,15.76,16.80,15.55,15.94,111200,15.90
2014-11-13,15.79,16.26,15.49,15.75,32100,15.71
2014-11-12,15.65,16.70,15.54,16.13,169300,16.09
2014-11-11,15.98,16.17,15.45,15.71,30000,15.67
2014-11-10,16.11,16.14,15.59,15.96,54800,15.92
2014-11-07,16.20,18.15,15.79,16.07,28400,16.03
2014-11-06,16.20,16.28,15.51,16.12,126900,16.08
2014-11-05,17.05,17.65,16.90,17.37,125100,17.33
2014-11-04,17.07,17.47,16.55,16.90,26000,16.86
2014-11-03,17.23,17.96,16.84,17.03,73800,16.99
2014-10-31,17.09,17.46,16.82,17.11,32500,17.07
2014-10-30,16.57,16.84,16.40,16.73,35100,16.69
2014-10-29,16.25,16.77,15.92,16.74,65200,16.70
2014-10-28,15.75,15.98,15.60,15.92,165700,15.84
2014-10-27,15.80,15.93,15.70,15.77,12500,15.70
2014-10-24,15.96,16.03,15.66,15.91,23300,15.83
2014-10-23,16.45,16.96,15.71,15.91,15200,15.83
2014-10-22,16.26,16.27,15.86,15.90,20000,15.82
2014-10-21,16.40,16.79,16.11,16.37,21000,16.29
2014-10-20,16.29,16.38,16.09,16.26,17900,16.18
2014-10-17,16.88,16.88,15.15,16.27,42400,16.19
2014-10-16,16.59,17.01,16.25,16.64,30400,16.56
2014-10-15,16.00,16.90,15.46,16.81,24700,16.73
2014-10-14,15.48,16.28,15.48,16.26,15800,16.18
2014-10-13,15.25,15.62,15.25,15.41,24100,15.34
2014-10-10,15.23,15.91,15.23,15.50,22700,15.43
2014-10-09,15.78,15.78,15.25,15.35,12900,15.28
2014-10-08,15.27,15.93,15.26,15.83,16700,15.76
2014-10-07,15.39,15.39,15.20,15.25,16200,15.18
2014-10-06,15.25,15.62,15.24,15.51,15900,15.44
2014-10-03,15.40,15.53,15.17,15.26,13300,15.19
2014-10-02,15.17,15.66,15.09,15.23,12400,15.16
2014-10-01,15.35,15.69,14.99,15.10,25100,15.03
2014-09-30,15.35,15.50,15.31,15.31,36500,15.24
2014-09-29,15.43,15.44,15.03,15.35,18500,15.28
2014-09-26,15.44,15.60,15.44,15.53,13600,15.46
2014-09-25,16.07,16.19,15.33,15.44,27800,15.37
2014-09-24,15.95,16.14,15.90,16.05,16200,15.97
2014-09-23,16.13,16.33,15.82,16.00,24400,15.92
2014-09-22,16.11,16.30,15.75,16.16,15900,16.08
2014-09-19,16.22,16.35,16.15,16.25,41600,16.17
2014-09-18,16.15,16.70,16.11,16.21,12900,16.13
2014-09-17,16.63,16.63,16.11,16.12,12900,16.04
2014-09-16,16.26,16.38,16.10,16.26,14800,16.18
2014-09-15,16.35,16.35,16.07,16.25,21400,16.17
2014-09-12,16.48,16.61,16.24,16.30,33200,16.22
2014-09-11,16.69,16.70,16.42,16.53,23400,16.45
2014-09-10,16.87,16.87,16.51,16.70,13700,16.62
2014-09-09,16.63,17.35,16.60,16.82,29600,16.74
2014-09-08,16.76,16.87,16.56,16.68,32900,16.60
2014-09-05,16.95,17.08,16.76,16.82,20500,16.74
2014-09-04,17.08,17.11,16.90,17.03,34100,16.95
2014-09-03,17.25,17.25,16.83,16.90,17300,16.82
2014-09-02,17.32,17.38,17.20,17.23,55700,17.15
2014-08-29,17.14,17.55,17.13,17.20,27800,17.12
2014-08-28,17.30,17.44,17.11,17.17,59100,17.09
2014-08-27,17.54,17.54,17.28,17.33,25100,17.25
2014-08-26,17.50,17.59,17.50,17.56,27000,17.48
2014-08-25,17.58,17.73,17.40,17.51,9200,17.43
2014-08-22,17.45,17.75,17.32,17.54,24300,17.46
2014-08-21,17.35,17.61,17.24,17.53,19600,17.45
2014-08-20,17.75,17.75,17.44,17.54,17000,17.46
2014-08-19,17.94,18.00,17.77,17.82,17600,17.74
2014-08-18,18.04,18.06,17.77,17.94,21100,17.86
2014-08-15,17.60,17.89,17.22,17.84,35300,17.76
2014-08-14,17.60,17.63,17.32,17.41,43100,17.33
2014-08-13,17.26,17.68,17.26,17.66,26300,17.58
2014-08-12,17.37,17.61,17.17,17.28,36700,17.20
2014-08-11,17.57,17.70,17.33,17.49,33300,17.41
2014-08-08,17.31,17.55,17.26,17.45,39800,17.37
2014-08-07,17.35,17.50,17.24,17.30,25700,17.22
2014-08-06,17.25,17.51,17.25,17.35,49700,17.27
2014-08-05,17.30,17.30,16.32,17.23,171500,17.15
2014-08-04,17.57,17.70,17.31,17.51,33000,17.43
2014-08-01,17.01,17.65,16.78,17.57,66000,17.49
2014-07-31,16.86,17.14,16.83,17.00,35500,16.92
2014-07-30,16.86,17.11,16.84,17.02,58800,16.94
2014-07-29,16.85,16.94,16.71,16.83,34800,16.71
2014-07-28,16.85,16.95,16.62,16.78,40300,16.66
2014-07-25,16.75,16.90,16.74,16.85,53400,16.73
2014-07-24,16.45,16.90,16.45,16.75,24300,16.63
2014-07-23,16.60,16.75,16.29,16.74,69600,16.62
2014-07-22,16.75,16.84,16.39,16.61,41400,16.49
