Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,10.70,10.83,10.70,10.83,1400,10.83
2015-02-12,10.54,10.73,10.54,10.73,2100,10.73
2015-02-11,10.51,10.52,10.33,10.43,7100,10.43
2015-02-10,10.74,10.74,10.66,10.67,2400,10.67
2015-02-09,10.64,10.81,10.60,10.81,3400,10.81
2015-02-06,10.79,10.79,10.72,10.76,5200,10.76
2015-02-05,10.78,10.94,10.78,10.94,4700,10.94
2015-02-04,10.80,10.88,10.80,10.85,2500,10.85
2015-02-03,10.71,10.81,10.71,10.81,24300,10.81
2015-02-02,10.45,10.62,10.45,10.60,7700,10.60
2015-01-30,10.59,10.59,10.50,10.51,4000,10.51
2015-01-29,10.91,10.91,10.83,10.83,1400,10.83
2015-01-28,11.06,11.07,10.88,10.95,4600,10.95
2015-01-27,11.12,11.17,11.10,11.14,2800,11.14
2015-01-26,11.11,11.14,10.90,11.06,27700,11.06
2015-01-23,11.63,11.64,11.12,11.22,7000,11.22
2015-01-22,11.21,11.33,11.17,11.28,8700,11.28
2015-01-21,11.00,11.10,11.00,11.09,2700,11.09
2015-01-20,10.99,10.99,10.93,10.94,4700,10.94
2015-01-16,10.90,11.07,10.90,11.07,4500,11.07
2015-01-15,11.05,11.06,10.81,10.81,8200,10.81
2015-01-14,10.84,11.17,10.84,11.04,3900,11.04
2015-01-13,10.89,10.97,10.89,10.92,7600,10.92
2015-01-12,10.90,10.91,10.84,10.86,18500,10.86
2015-01-09,10.89,10.99,10.89,10.99,4300,10.99
2015-01-08,10.86,11.14,10.85,10.99,12600,10.99
2015-01-07,10.71,11.00,10.71,10.81,45800,10.81
2015-01-06,10.68,10.68,10.50,10.54,13400,10.54
2015-01-05,10.75,10.75,10.52,10.52,9300,10.52
2015-01-02,10.93,11.17,10.88,10.88,35200,10.88
2014-12-31,11.04,11.58,11.01,11.15,16900,11.15
2014-12-30,11.00,11.05,10.93,11.01,28000,11.01
2014-12-29,10.99,11.00,10.92,10.99,11100,10.99
2014-12-26,11.03,11.18,10.98,11.03,19600,11.03
2014-12-24,11.36,11.36,11.01,11.03,4100,11.03
2014-12-23,10.92,11.13,10.92,11.13,11100,11.13
2014-12-22,10.86,10.94,10.86,10.94,23600,10.94
2014-12-19,10.72,10.83,10.72,10.77,15400,10.77
2014-12-18,10.70,11.00,10.59,10.66,18900,10.66
2014-12-17,10.12,10.54,10.11,10.45,21800,10.45
2014-12-16,10.19,10.25,9.74,10.04,69700,9.91
2014-12-15,10.88,11.10,10.21,10.25,13900,10.12
2014-12-12,11.01,11.01,10.68,10.68,4500,10.55
2014-12-11,11.24,11.24,11.10,11.10,3300,10.96
2014-12-10,11.54,11.54,11.32,11.32,3000,11.18
2014-12-09,11.56,11.63,11.56,11.63,5200,11.48
2014-12-08,11.77,11.77,11.71,11.73,11700,11.58
2014-12-05,11.84,11.86,11.83,11.86,7900,11.71
2014-12-04,11.94,11.94,11.82,11.88,2500,11.73
2014-12-03,12.08,12.13,12.01,12.01,7300,11.86
2014-12-02,12.24,12.24,12.07,12.14,8100,11.99
2014-12-01,12.54,12.54,12.26,12.34,6200,12.19
2014-11-28,12.79,12.79,12.71,12.71,5400,12.55
2014-11-26,12.86,13.04,12.86,12.91,8500,12.75
2014-11-25,12.91,12.91,12.82,12.82,4400,12.66
2014-11-24,12.81,12.91,12.77,12.77,10800,12.61
2014-11-21,12.66,12.92,12.66,12.91,11200,12.75
2014-11-20,12.34,12.65,12.34,12.47,18100,12.31
2014-11-19,12.34,12.44,12.30,12.34,22700,12.19
2014-11-18,12.05,12.22,12.05,12.20,11600,12.05
2014-11-17,12.15,12.22,12.04,12.06,900,11.91
2014-11-14,12.14,12.24,12.08,12.22,15000,12.07
2014-11-13,12.49,12.49,12.23,12.23,8600,12.08
2014-11-12,12.49,12.68,12.49,12.53,9600,12.37
2014-11-11,12.59,12.59,12.35,12.51,4200,12.35
2014-11-10,12.67,12.71,12.67,12.71,2200,12.55
2014-11-07,12.67,12.69,12.66,12.66,600,12.50
2014-11-06,12.69,12.69,12.51,12.56,4300,12.40
2014-11-05,12.89,12.89,12.82,12.82,6100,12.66
2014-11-04,12.93,13.21,12.89,12.94,2900,12.78
2014-11-03,12.99,13.00,12.82,12.97,6400,12.81
2014-10-31,12.84,13.06,12.82,13.06,13300,12.90
2014-10-30,12.76,12.94,12.76,12.86,5400,12.70
2014-10-29,12.74,12.78,12.65,12.65,8100,12.49
2014-10-28,12.42,12.69,12.42,12.69,10700,12.53
2014-10-27,12.24,12.33,12.02,12.31,10400,12.16
2014-10-24,12.38,12.72,12.38,12.60,3800,12.44
2014-10-23,12.63,12.63,12.30,12.30,25300,12.15
2014-10-22,12.57,12.64,12.57,12.63,1500,12.47
2014-10-21,12.75,12.75,12.51,12.63,14100,12.47
2014-10-20,12.94,12.94,12.79,12.79,11200,12.63
2014-10-17,12.80,13.13,12.80,13.09,8500,12.93
2014-10-16,13.09,13.09,12.87,12.91,6000,12.75
2014-10-15,13.18,13.22,12.88,13.17,9400,13.00
2014-10-14,13.51,13.61,13.37,13.56,15000,13.39
2014-10-13,13.49,13.56,13.41,13.51,63300,13.34
2014-10-10,13.49,13.49,13.30,13.30,6400,13.13
2014-10-09,13.67,13.67,13.59,13.60,4000,13.43
2014-10-08,13.75,13.75,13.49,13.75,3900,13.58
2014-10-07,13.63,13.74,13.63,13.70,3500,13.53
2014-10-06,13.56,13.75,13.52,13.62,15900,13.45
2014-10-03,12.76,13.04,12.76,13.04,11300,12.88
2014-10-02,12.90,12.92,12.75,12.89,19600,12.73
2014-10-01,13.06,13.06,12.79,12.88,27100,12.72
2014-09-30,13.10,13.15,13.05,13.12,10800,12.96
2014-09-29,13.38,13.38,13.09,13.09,8000,12.93
2014-09-26,13.44,13.61,13.44,13.61,4900,13.44
2014-09-25,13.64,13.64,13.40,13.47,11600,13.30
2014-09-24,13.60,13.75,13.54,13.75,14700,13.58
2014-09-23,13.66,13.87,13.61,13.61,4000,13.44
2014-09-22,13.86,13.86,13.72,13.72,4300,13.55
2014-09-19,14.11,14.15,13.96,14.06,26400,13.88
2014-09-18,14.19,14.30,14.14,14.17,11800,13.99
2014-09-17,14.32,14.39,14.30,14.30,22600,14.12
2014-09-16,14.42,14.56,14.30,14.30,8000,14.12
2014-09-15,13.99,14.14,13.97,14.11,16700,13.93
2014-09-12,14.14,14.19,13.98,14.06,19700,13.88
2014-09-11,14.35,14.49,14.35,14.36,28300,14.18
2014-09-10,14.32,14.35,14.28,14.34,1300,14.16
2014-09-09,14.64,14.64,14.50,14.52,4800,14.34
2014-09-08,15.01,15.01,14.73,14.73,15700,14.55
2014-09-05,14.98,14.98,14.92,14.98,1600,14.79
2014-09-04,15.09,15.10,14.97,14.98,9900,14.79
2014-09-03,15.15,15.20,15.13,15.15,8900,14.96
2014-09-02,14.89,15.05,14.81,15.05,30500,14.86
2014-08-29,14.74,14.99,14.74,14.99,12500,14.80
2014-08-28,14.80,14.81,14.70,14.75,6600,14.56
2014-08-27,14.55,14.83,14.55,14.83,27100,14.64
2014-08-26,14.43,14.50,14.43,14.50,7200,14.32
2014-08-25,14.33,14.40,14.33,14.40,9500,14.22
2014-08-22,14.40,14.40,14.30,14.32,600,14.14
2014-08-21,14.46,14.46,14.45,14.45,1500,14.27
2014-08-20,14.38,14.39,14.38,14.39,400,14.21
2014-08-19,14.31,14.40,14.27,14.40,15500,14.22
2014-08-18,14.15,14.24,14.15,14.24,5200,14.06
2014-08-15,14.01,14.10,13.98,14.10,2800,13.92
2014-08-14,13.91,14.03,13.91,13.98,1400,13.80
2014-08-13,14.06,14.06,13.88,13.97,8900,13.79
2014-08-12,13.98,13.98,13.97,13.97,5700,13.79
2014-08-11,13.92,13.99,13.89,13.98,8000,13.80
2014-08-08,13.83,13.83,13.69,13.81,1200,13.64
2014-08-07,14.03,14.03,13.76,13.85,2200,13.68
2014-08-06,14.00,14.04,14.00,14.04,1400,13.86
2014-08-05,14.07,14.07,13.98,13.98,1700,13.80
2014-08-04,13.98,14.09,13.97,14.05,6600,13.87
2014-08-01,14.11,14.11,13.91,13.97,2800,13.79
2014-07-31,14.14,14.14,13.92,13.96,1000,13.78
2014-07-30,14.31,14.34,14.27,14.32,4600,14.14
2014-07-29,14.44,14.44,14.37,14.41,2400,14.23
2014-07-28,14.48,14.55,14.48,14.49,6000,14.31
2014-07-25,14.49,14.53,14.49,14.53,1300,14.35
2014-07-24,14.47,14.62,14.47,14.61,4700,14.43
2014-07-23,14.48,14.50,14.48,14.48,6700,14.30
2014-07-22,14.50,14.56,14.47,14.56,2400,14.38
2014-07-21,14.35,14.47,14.32,14.40,17000,14.22
2014-07-18,14.21,14.38,14.21,14.32,20300,14.14
2014-07-17,14.13,14.15,14.02,14.07,27300,13.89
2014-07-16,14.32,14.32,14.14,14.22,16600,14.04
2014-07-15,14.22,14.22,14.17,14.21,19900,14.03
2014-07-14,14.01,14.22,14.01,14.18,17500,14.00
2014-07-11,14.00,14.00,13.98,13.98,4500,13.80
2014-07-10,13.81,14.04,13.81,13.99,42200,13.81
2014-07-09,13.95,13.96,13.89,13.93,10700,13.76
2014-07-08,13.88,13.93,13.81,13.81,22300,13.64
2014-07-07,13.87,13.93,13.78,13.91,14200,13.74
2014-07-03,13.74,13.93,13.74,13.93,4500,13.76
2014-07-02,13.74,13.86,13.74,13.79,3100,13.62
2014-07-01,13.76,13.76,13.75,13.75,800,13.58
2014-06-30,13.75,13.77,13.70,13.77,4300,13.60
2014-06-27,13.80,13.80,13.75,13.76,5400,13.59
2014-06-26,13.84,13.84,13.76,13.84,8500,13.67
2014-06-25,13.85,13.95,13.85,13.92,7400,13.71
2014-06-24,13.92,14.00,13.92,13.96,32700,13.75
2014-06-23,13.89,13.91,13.84,13.90,22300,13.69
2014-06-20,13.84,13.93,13.84,13.93,6300,13.72
2014-06-19,13.91,14.00,13.89,13.94,14300,13.73
2014-06-18,13.72,13.92,13.71,13.92,10700,13.71
2014-06-17,13.78,13.78,13.63,13.73,3800,13.52
2014-06-16,13.89,13.90,13.83,13.84,4600,13.63
2014-06-13,13.89,13.97,13.89,13.97,1300,13.76
2014-06-12,13.89,13.93,13.89,13.89,3200,13.68
2014-06-11,13.95,13.99,13.95,13.99,3400,13.78
2014-06-10,13.88,13.90,13.88,13.89,1400,13.68
2014-06-09,13.72,13.90,13.72,13.88,6500,13.67
2014-06-06,13.64,13.75,13.64,13.73,6000,13.52
2014-06-05,13.32,13.47,13.32,13.41,3900,13.21
2014-06-04,13.32,13.35,13.32,13.35,700,13.15
2014-06-03,13.37,13.49,13.37,13.49,1100,13.29
2014-06-02,13.44,13.46,13.38,13.42,9100,13.22
2014-05-30,13.67,13.67,13.41,13.43,4600,13.23
2014-05-29,13.72,13.73,13.71,13.72,12100,13.51
2014-05-28,13.64,13.75,13.64,13.70,4600,13.49
2014-05-27,13.71,13.71,13.61,13.61,11500,13.40
2014-05-23,13.73,13.77,13.71,13.72,7600,13.51
2014-05-22,13.75,13.80,13.70,13.73,23800,13.52
2014-05-21,13.70,13.81,13.70,13.74,15200,13.53
2014-05-20,13.80,13.87,13.68,13.68,6600,13.47
2014-05-19,13.83,13.83,13.75,13.82,1800,13.61
2014-05-16,13.80,13.84,13.79,13.80,4500,13.59
2014-05-15,13.87,13.87,13.72,13.73,7800,13.52
2014-05-14,13.86,13.95,13.86,13.95,3000,13.74
2014-05-13,13.81,13.90,13.81,13.87,5300,13.66
2014-05-12,13.75,13.83,13.75,13.80,9000,13.59
2014-05-09,13.67,13.67,13.60,13.65,3300,13.44
2014-05-08,13.68,13.68,13.61,13.61,1400,13.40
2014-05-07,13.70,13.71,13.52,13.71,19600,13.50
2014-05-06,13.40,13.57,13.40,13.54,13000,13.33
2014-05-05,13.47,13.49,13.35,13.35,13800,13.15
2014-05-02,13.24,13.48,13.24,13.47,10000,13.27
2014-05-01,13.20,13.24,13.16,13.23,4700,13.03
2014-04-30,13.17,13.22,13.17,13.22,21300,13.02
2014-04-29,13.21,13.36,13.21,13.26,14100,13.06
2014-04-28,13.05,13.20,13.05,13.18,63200,12.98
2014-04-25,13.09,13.16,13.05,13.11,3900,12.91
2014-04-24,13.26,13.28,13.25,13.26,7300,13.06
2014-04-23,13.25,13.26,13.25,13.25,1000,13.05
2014-04-22,13.17,13.26,13.17,13.26,5800,13.06
2014-04-21,13.30,13.35,13.26,13.27,3200,13.07
2014-04-17,13.16,13.30,13.09,13.30,4200,13.10
2014-04-16,13.15,13.19,13.08,13.08,3800,12.88
2014-04-15,13.25,13.26,12.94,13.05,13800,12.85
2014-04-14,13.36,13.36,13.22,13.36,2900,13.16
2014-04-11,12.99,13.31,12.95,13.27,10100,13.07
2014-04-10,13.34,13.37,13.16,13.16,6100,12.96
2014-04-09,13.34,13.34,13.21,13.29,7300,13.09
2014-04-08,13.44,13.75,13.41,13.41,27200,13.21
2014-04-07,13.17,13.37,13.17,13.35,31500,13.15
2014-04-04,13.07,13.30,12.99,13.09,51900,12.89
2014-04-03,13.06,13.20,12.94,12.94,36100,12.74
2014-04-02,13.05,13.12,12.98,13.05,29800,12.85
2014-04-01,12.99,13.01,12.86,12.90,16600,12.70
2014-03-31,12.86,12.91,12.83,12.89,4900,12.69
2014-03-28,12.90,12.90,12.68,12.76,23300,12.57
2014-03-27,12.51,12.79,12.24,12.76,4800,12.57
2014-03-26,12.35,12.49,12.35,12.41,25700,12.22
2014-03-25,12.30,12.37,12.30,12.34,4300,12.15
2014-03-24,12.24,12.28,12.20,12.26,24700,12.07
2014-03-21,12.20,12.24,12.10,12.14,26300,11.96
2014-03-20,11.76,12.04,11.76,12.04,4800,11.86
2014-03-19,11.75,11.87,11.70,11.75,199800,11.57
2014-03-18,11.57,11.87,11.57,11.85,10800,11.67
2014-03-17,11.66,11.72,11.65,11.65,2600,11.47
2014-03-14,11.63,11.66,11.58,11.61,14500,11.43
2014-03-13,11.84,11.95,11.57,11.61,18200,11.43
2014-03-12,11.77,11.77,11.65,11.72,2100,11.54
2014-03-11,11.87,11.95,11.70,11.70,8500,11.52
