Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,6.69,6.69,5.52,6.00,23700,6.00
2015-02-12,6.55,6.68,6.33,6.67,7700,6.67
2015-02-11,6.45,6.68,6.41,6.63,13100,6.63
2015-02-10,6.81,6.96,6.44,6.57,17200,6.57
2015-02-09,7.09,7.09,6.69,6.78,24400,6.78
2015-02-06,6.80,7.19,6.77,6.83,28300,6.83
2015-02-05,6.28,6.95,6.28,6.71,32000,6.71
2015-02-04,6.39,6.78,6.22,6.34,25700,6.34
2015-02-03,6.56,7.04,6.51,6.56,39800,6.56
2015-02-02,6.70,7.03,6.51,6.79,83900,6.79
2015-01-30,8.23,8.34,6.50,6.51,189800,6.51
2015-01-29,9.25,9.32,7.85,8.15,1976200,8.15
