Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,41.23,41.39,40.70,41.14,1198400,41.14
2015-02-12,40.96,41.32,40.85,41.22,1587100,41.22
2015-02-11,40.83,41.18,40.41,40.72,741800,40.72
2015-02-10,40.75,40.83,40.11,40.81,935200,40.81
2015-02-09,41.01,41.39,40.45,40.46,766200,40.46
2015-02-06,41.64,41.64,40.90,41.12,2155200,41.12
2015-02-05,41.04,41.70,40.90,41.59,1196000,41.59
2015-02-04,41.29,41.62,40.89,40.95,1012400,40.95
2015-02-03,39.91,41.36,39.77,41.33,1104600,41.33
2015-02-02,40.51,40.74,39.46,40.26,1034700,40.26
2015-01-30,41.53,41.79,40.41,40.46,1089100,40.46
2015-01-29,41.82,41.99,41.44,41.93,845700,41.93
2015-01-28,42.82,42.92,41.78,41.83,638900,41.83
2015-01-27,42.65,42.91,42.38,42.55,586300,42.55
2015-01-26,42.35,43.03,42.07,42.95,1702500,42.95
2015-01-23,43.56,43.56,42.55,42.60,1290600,42.60
2015-01-22,42.50,43.54,41.96,43.47,827800,43.47
2015-01-21,42.02,42.29,41.78,42.21,574700,42.21
2015-01-20,42.78,42.92,41.85,42.04,702000,42.04
2015-01-16,41.64,42.77,41.49,42.69,730700,42.69
2015-01-15,42.11,42.31,41.54,41.77,820700,41.77
2015-01-14,41.31,41.98,41.18,41.94,688500,41.94
2015-01-13,41.75,42.32,41.40,41.78,801000,41.78
2015-01-12,41.50,41.71,41.39,41.43,619800,41.43
2015-01-09,41.95,42.01,41.35,41.47,422300,41.47
2015-01-08,41.33,42.00,41.22,41.84,614900,41.84
2015-01-07,40.61,41.08,40.24,41.06,1026600,41.06
2015-01-06,40.86,41.08,40.27,40.29,1961200,40.29
2015-01-05,40.65,41.04,40.53,40.78,818800,40.78
2015-01-02,40.84,41.07,40.65,40.94,537400,40.94
2014-12-31,41.43,41.72,40.45,40.47,686500,40.47
2014-12-30,41.32,41.49,41.10,41.33,543500,41.33
2014-12-29,41.22,41.57,41.00,41.38,564400,41.38
2014-12-26,41.78,41.85,41.56,41.64,382800,41.26
2014-12-24,41.60,41.88,41.40,41.60,309700,41.23
2014-12-23,41.66,41.70,41.28,41.49,850700,41.12
2014-12-22,41.04,41.32,40.93,41.26,1164700,40.89
2014-12-19,40.74,40.98,40.50,40.98,3389300,40.61
2014-12-18,41.14,41.21,40.50,40.94,1530600,40.57
2014-12-17,40.09,40.76,39.95,40.75,1850500,40.38
2014-12-16,39.86,40.45,39.59,39.95,1143100,39.59
2014-12-15,40.35,40.36,39.60,39.93,1181800,39.57
2014-12-12,40.01,40.48,39.96,39.98,788600,39.62
2014-12-11,40.22,40.56,40.09,40.23,1394000,39.87
2014-12-10,39.90,40.29,39.69,40.15,2000600,39.79
2014-12-09,39.67,39.95,39.21,39.95,7889400,39.59
2014-12-08,40.78,41.58,40.53,40.88,1152100,40.51
2014-12-05,40.19,40.36,40.03,40.30,536400,39.94
2014-12-04,39.98,40.39,39.61,40.38,850600,40.02
2014-12-03,40.02,40.26,39.74,40.07,471700,39.71
2014-12-02,39.67,40.11,39.47,39.88,743800,39.52
2014-12-01,40.25,40.81,39.68,39.68,1000800,39.32
2014-11-28,40.16,40.80,40.13,40.37,646700,40.01
2014-11-26,39.18,40.08,39.09,40.05,536000,39.69
2014-11-25,39.27,39.33,39.09,39.13,701400,38.78
2014-11-24,38.80,39.14,38.65,39.14,1021200,38.79
2014-11-21,39.27,39.31,38.86,39.07,890200,38.72
2014-11-20,38.50,39.04,38.33,38.88,531100,38.53
2014-11-19,39.22,39.22,38.59,38.77,431300,38.42
2014-11-18,38.93,39.54,38.85,39.29,651400,38.94
2014-11-17,38.92,39.25,38.75,38.97,499500,38.62
2014-11-14,39.23,39.33,38.90,38.96,521700,38.61
2014-11-13,39.12,39.39,38.99,39.20,718800,38.85
2014-11-12,39.35,39.42,39.04,39.10,623700,38.75
2014-11-11,39.41,39.41,39.03,39.34,936100,38.99
2014-11-10,38.85,39.48,38.85,39.48,654100,39.12
2014-11-07,39.21,39.27,38.80,38.89,988800,38.54
2014-11-06,39.24,39.54,38.99,39.12,825300,38.77
2014-11-05,40.06,40.06,38.94,39.21,969100,38.86
2014-11-04,39.77,39.90,39.19,39.80,856800,39.44
2014-11-03,39.32,39.87,39.20,39.78,1033100,39.42
2014-10-31,38.62,39.23,38.24,39.21,1115100,38.86
2014-10-30,37.89,38.25,37.81,38.24,1296400,37.90
2014-10-29,38.84,39.01,37.93,38.06,1945900,37.72
2014-10-28,38.43,38.87,38.12,38.83,1472800,38.48
2014-10-27,37.55,38.23,37.49,38.23,957200,37.89
2014-10-24,37.80,38.04,37.27,37.62,1172900,37.28
2014-10-23,37.25,38.40,36.85,37.70,1517400,37.36
2014-10-22,36.72,37.12,36.44,36.62,1835700,36.29
2014-10-21,35.64,36.45,35.32,36.42,904800,36.09
2014-10-20,34.52,35.33,34.47,35.32,960800,35.00
2014-10-17,35.03,35.03,34.41,34.54,711400,34.23
2014-10-16,33.09,34.72,33.06,34.58,1357400,34.27
2014-10-15,33.59,34.07,32.94,33.62,1420800,33.32
2014-10-14,33.94,34.54,33.62,33.97,1490600,33.66
2014-10-13,34.21,34.45,33.60,33.62,1193000,33.32
2014-10-10,34.26,35.08,34.12,34.12,1121100,33.81
2014-10-09,34.84,34.95,34.20,34.39,828300,34.08
2014-10-08,33.70,34.91,33.57,34.91,949900,34.60
2014-10-07,33.96,34.28,33.65,33.66,681900,33.36
2014-10-06,34.30,34.47,34.09,34.10,370800,33.79
2014-10-03,34.26,34.40,33.95,34.17,372300,33.86
2014-10-02,33.82,34.19,33.46,33.86,593600,33.56
2014-10-01,34.19,34.35,33.70,33.90,1112300,33.59
2014-09-30,34.97,35.00,34.24,34.24,688700,33.93
2014-09-29,34.83,35.02,34.57,34.92,705600,34.61
2014-09-26,34.19,35.23,34.05,35.17,856700,34.85
2014-09-25,34.70,34.70,34.20,34.54,787500,33.86
2014-09-24,34.68,35.08,34.49,34.72,656100,34.03
2014-09-23,35.00,35.31,34.59,34.59,919400,33.91
2014-09-22,35.47,35.61,35.04,35.10,584900,34.41
2014-09-19,36.17,36.33,35.46,35.46,1136500,34.76
2014-09-18,36.19,36.41,36.01,36.14,699500,35.43
2014-09-17,35.90,36.39,35.78,36.16,713100,35.45
2014-09-16,35.23,35.82,35.15,35.78,571700,35.07
2014-09-15,35.45,35.61,35.19,35.21,519300,34.51
2014-09-12,36.45,36.45,35.23,35.36,937000,34.66
2014-09-11,36.04,36.61,36.02,36.59,556400,35.87
2014-09-10,36.40,36.43,36.06,36.11,461900,35.40
2014-09-09,36.78,36.86,36.37,36.51,274000,35.79
2014-09-08,37.10,37.18,36.69,36.92,315300,36.19
2014-09-05,36.47,37.14,36.47,37.13,468700,36.40
2014-09-04,36.86,36.99,36.43,36.57,519500,35.85
2014-09-03,37.11,37.33,36.73,36.81,983900,36.08
2014-09-02,36.65,37.10,36.60,37.04,1166800,36.31
2014-08-29,36.25,36.64,36.16,36.55,1006400,35.83
2014-08-28,36.05,36.40,36.01,36.22,628400,35.50
2014-08-27,36.40,36.56,36.06,36.26,643500,35.54
2014-08-26,35.89,36.29,35.72,36.27,451100,35.55
2014-08-25,36.16,36.16,35.68,35.94,307900,35.23
2014-08-22,36.27,36.27,35.75,35.94,287100,35.23
2014-08-21,36.39,36.48,36.06,36.30,611700,35.58
2014-08-20,36.02,36.48,35.78,36.43,1036600,35.71
2014-08-19,36.11,36.41,35.99,36.05,546200,35.34
2014-08-18,35.59,36.01,35.41,36.01,456500,35.30
2014-08-15,35.75,35.75,35.00,35.25,507300,34.55
2014-08-14,35.55,35.68,35.49,35.49,463300,34.79
2014-08-13,35.18,35.52,34.89,35.50,676200,34.80
