Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,50.72,50.72,50.72,50.72,000,50.72
2015-02-12,50.72,50.72,50.72,50.72,000,50.72
2015-02-11,50.72,50.72,50.72,50.72,000,50.72
2015-02-10,50.72,50.72,50.72,50.72,000,50.72
2015-02-09,50.72,50.72,50.72,50.72,200,50.72
2015-02-06,50.35,50.35,50.35,50.35,200,50.35
2015-02-05,50.67,50.67,50.67,50.67,200,50.67
2015-02-04,50.60,50.60,50.60,50.60,000,50.60
2015-02-03,50.60,50.60,50.60,50.60,100,50.60
2015-02-02,50.57,50.57,50.57,50.57,000,50.57
2015-01-30,50.57,50.57,50.57,50.57,000,50.57
2015-01-29,50.57,50.57,50.57,50.57,000,50.57
2015-01-28,50.57,50.57,50.57,50.57,100,50.57
2015-01-27,50.00,50.00,50.00,50.00,000,50.00
2015-01-26,50.00,50.00,50.00,50.00,000,50.00
2015-01-23,50.00,50.00,50.00,50.00,400,50.00
2015-01-22,50.92,50.92,50.92,50.92,000,50.92
2015-01-21,50.92,50.92,50.92,50.92,000,50.92
2015-01-20,50.92,50.92,50.92,50.92,000,50.79
2015-01-16,50.92,50.92,50.92,50.92,000,50.79
2015-01-15,50.92,50.92,50.92,50.92,000,50.79
2015-01-14,50.92,50.92,50.92,50.92,000,50.79
2015-01-13,50.92,50.92,50.92,50.92,000,50.79
2015-01-12,50.92,50.92,50.92,50.92,200,50.79
2015-01-09,50.71,50.71,50.71,50.71,000,50.58
2015-01-08,50.71,50.71,50.71,50.71,000,50.58
2015-01-07,50.71,50.71,50.71,50.71,100,50.58
2015-01-06,51.07,51.07,51.07,51.07,200,50.94
2015-01-05,50.68,50.68,50.68,50.68,000,50.55
2015-01-02,50.68,50.68,50.68,50.68,000,50.55
2014-12-31,50.68,50.68,50.68,50.68,000,50.55
2014-12-30,50.68,50.68,50.68,50.68,100,50.55
2014-12-29,50.68,50.68,50.68,50.68,000,50.55
2014-12-26,50.67,50.69,50.67,50.68,500,50.55
2014-12-24,50.57,50.57,50.57,50.57,000,50.44
2014-12-23,50.57,50.57,50.57,50.57,000,50.44
2014-12-22,50.57,50.57,50.57,50.57,000,50.32
2014-12-19,50.57,50.57,50.57,50.57,000,50.32
2014-12-18,50.54,50.57,50.54,50.57,900,50.32
2014-12-17,50.80,50.80,50.62,50.62,300,50.36
2014-12-16,50.73,50.73,50.73,50.73,000,50.47
2014-12-15,50.89,50.89,50.73,50.73,400,50.47
2014-12-12,50.59,50.59,50.59,50.59,000,50.34
2014-12-11,50.59,50.59,50.59,50.59,200,50.34
2014-12-10,50.26,50.26,50.26,50.26,000,50.01
2014-12-09,50.26,50.26,50.26,50.26,000,50.01
2014-12-08,50.26,50.26,50.26,50.26,000,50.01
2014-12-05,50.26,50.26,50.26,50.26,200,50.01
2014-12-04,50.75,50.75,50.75,50.75,200,50.49
2014-12-03,50.43,50.43,50.43,50.43,000,50.18
2014-12-02,50.43,50.43,50.43,50.43,200,50.18
2014-12-01,50.68,50.68,50.68,50.68,000,50.42
2014-11-28,50.68,50.68,50.68,50.68,000,50.42
2014-11-26,50.68,50.68,50.68,50.68,000,50.42
2014-11-25,50.68,50.68,50.68,50.68,100,50.42
2014-11-24,50.55,50.60,50.55,50.60,400,50.35
2014-11-21,50.28,50.28,50.28,50.28,000,50.02
2014-11-20,50.28,50.28,50.28,50.28,000,49.96
2014-11-19,50.28,50.28,50.28,50.28,000,49.96
2014-11-18,50.28,50.28,50.28,50.28,000,49.96
2014-11-17,50.28,50.28,50.28,50.28,000,49.96
2014-11-14,50.28,50.28,50.28,50.28,400,49.96
2014-11-13,50.40,50.45,50.40,50.45,300,50.14
2014-11-12,50.25,50.25,50.25,50.25,000,49.94
2014-11-11,50.25,50.25,50.25,50.25,000,49.94
2014-11-10,50.25,50.25,50.25,50.25,000,49.94
2014-11-07,50.25,50.25,50.25,50.25,1000,49.94
2014-11-06,50.08,50.08,50.08,50.08,000,49.77
2014-11-05,50.08,50.08,50.08,50.08,100,49.77
