Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,0.20,0.23,0.20,0.23,28200,0.23
2015-02-12,0.21,0.25,0.18,0.23,93000,0.23
2015-02-11,0.17,0.18,0.16,0.17,331300,0.17
2015-02-10,0.18,0.20,0.17,0.17,79900,0.17
2015-02-09,0.24,0.24,0.19,0.19,36200,0.19
2015-02-06,0.20,0.20,0.19,0.19,5700,0.19
2015-02-05,0.18,0.20,0.18,0.20,24300,0.20
2015-02-04,0.21,0.21,0.18,0.20,120400,0.20
2015-02-03,0.20,0.24,0.20,0.22,109400,0.22
2015-02-02,0.20,0.24,0.20,0.21,59400,0.21
2015-01-30,0.25,0.25,0.21,0.21,41400,0.21
2015-01-29,0.22,0.25,0.18,0.21,40500,0.21
2015-01-28,0.18,0.21,0.18,0.20,192400,0.20
2015-01-27,0.20,0.21,0.18,0.19,249300,0.19
2015-01-26,0.41,0.41,0.21,0.22,354700,0.22
2015-01-23,0.40,0.42,0.35,0.38,192000,0.38
2015-01-22,0.28,0.47,0.26,0.34,1022500,0.34
2015-01-21,0.16,0.26,0.15,0.25,409400,0.25
2015-01-20,0.51,0.51,0.12,0.18,498900,0.18
2015-01-16,0.61,0.61,0.52,0.54,23500,0.54
2015-01-15,0.63,0.67,0.50,0.57,21200,0.57
2015-01-14,0.67,0.67,0.65,0.65,21600,0.65
2015-01-13,0.69,0.69,0.65,0.67,33300,0.67
2015-01-12,0.67,0.70,0.67,0.69,15700,0.69
2015-01-09,0.70,0.70,0.67,0.68,33700,0.68
2015-01-08,0.71,0.71,0.70,0.71,9400,0.71
2015-01-07,0.72,0.72,0.70,0.70,800,0.70
2015-01-06,0.67,0.72,0.67,0.72,24000,0.72
2015-01-05,0.70,0.72,0.68,0.72,36600,0.72
2015-01-02,0.68,0.70,0.67,0.70,14500,0.70
2014-12-31,0.70,0.72,0.67,0.67,53400,0.67
2014-12-30,0.71,0.71,0.71,0.71,200,0.71
2014-12-29,0.68,0.75,0.68,0.71,67500,0.71
2014-12-26,0.69,0.75,0.68,0.69,94400,0.69
2014-12-24,0.68,0.72,0.68,0.70,39700,0.70
2014-12-23,0.74,0.75,0.68,0.68,44600,0.68
2014-12-22,0.72,0.80,0.71,0.74,74100,0.74
2014-12-19,0.71,0.80,0.71,0.73,65300,0.73
2014-12-18,0.74,0.78,0.70,0.72,65700,0.72
2014-12-17,0.78,0.80,0.74,0.74,64900,0.74
2014-12-16,0.90,0.92,0.77,0.78,72400,0.78
2014-12-15,1.00,1.00,0.90,0.90,35400,0.90
2014-12-12,1.01,1.05,0.94,0.94,18900,0.94
2014-12-11,1.02,1.05,1.00,1.00,21400,1.00
2014-12-10,1.05,1.08,1.03,1.03,8800,1.03
2014-12-09,1.00,1.07,0.91,1.06,48400,1.06
2014-12-08,1.04,1.13,1.00,1.00,63200,1.00
2014-12-05,1.01,1.08,1.01,1.06,43100,1.06
2014-12-04,1.03,1.11,1.00,1.06,197400,1.06
2014-12-03,1.40,1.41,1.05,1.10,248800,1.10
2014-12-02,1.45,1.45,1.39,1.43,40900,1.43
2014-12-01,1.43,1.43,1.38,1.43,35100,1.43
2014-11-28,1.36,1.42,1.36,1.42,12500,1.42
2014-11-26,1.25,1.41,1.25,1.35,26200,1.35
2014-11-25,1.17,1.27,1.17,1.27,32100,1.27
2014-11-24,1.17,1.21,1.17,1.18,24400,1.18
2014-11-21,1.18,1.20,1.14,1.19,54600,1.19
2014-11-20,1.18,1.22,1.17,1.17,17600,1.17
2014-11-19,1.23,1.26,1.15,1.20,28700,1.20
2014-11-18,1.22,1.26,1.15,1.23,60100,1.23
2014-11-17,1.30,1.44,1.05,1.28,97800,1.28
2014-11-14,1.37,1.45,1.30,1.30,92000,1.30
2014-11-13,1.52,1.53,1.37,1.37,127900,1.37
2014-11-12,1.61,1.63,1.49,1.51,33100,1.51
2014-11-11,1.63,1.63,1.54,1.59,21000,1.59
2014-11-10,1.52,1.65,1.51,1.54,59400,1.54
2014-11-07,1.62,1.64,1.55,1.56,41400,1.56
2014-11-06,1.63,1.63,1.55,1.58,16200,1.58
2014-11-05,1.70,1.72,1.55,1.61,148200,1.61
2014-11-04,1.80,1.86,1.69,1.70,71200,1.70
2014-11-03,1.83,1.90,1.75,1.78,39900,1.78
2014-10-31,1.79,1.87,1.78,1.83,24100,1.83
2014-10-30,1.76,1.81,1.69,1.74,69100,1.74
2014-10-29,1.77,1.81,1.75,1.75,2000,1.75
2014-10-28,1.77,1.80,1.76,1.76,7800,1.76
2014-10-27,1.77,1.80,1.75,1.75,8500,1.75
2014-10-24,1.87,1.87,1.78,1.78,30700,1.78
2014-10-23,1.81,1.92,1.81,1.85,14900,1.85
2014-10-22,1.80,1.90,1.80,1.89,5200,1.89
2014-10-21,1.84,1.91,1.83,1.91,4300,1.91
2014-10-20,1.95,1.95,1.75,1.92,57600,1.92
2014-10-17,1.75,2.00,1.75,1.94,68900,1.94
2014-10-16,1.76,1.85,1.75,1.76,55700,1.76
2014-10-15,1.85,1.90,1.75,1.85,24500,1.85
2014-10-14,1.90,1.94,1.85,1.90,4800,1.90
2014-10-13,1.94,2.03,1.90,1.96,7700,1.96
2014-10-10,1.86,2.02,1.85,1.90,24200,1.90
2014-10-09,1.95,1.95,1.85,1.89,43800,1.89
2014-10-08,1.89,1.97,1.89,1.92,21700,1.92
2014-10-07,2.04,2.10,1.87,1.87,186800,1.87
2014-10-06,2.00,2.06,1.99,2.06,19700,2.06
2014-10-03,2.02,2.03,1.98,1.99,7600,1.99
2014-10-02,2.02,2.05,1.94,1.98,19100,1.98
2014-10-01,2.00,2.04,1.95,2.03,7700,2.03
2014-09-30,2.00,2.06,1.95,2.00,2200,2.00
2014-09-29,2.02,2.06,2.00,2.04,34000,2.04
2014-09-26,1.96,2.06,1.95,2.01,6900,2.01
2014-09-25,1.98,2.06,1.92,1.99,29100,1.99
2014-09-24,1.90,2.01,1.90,2.00,13300,2.00
2014-09-23,2.00,2.03,1.92,1.93,2100,1.93
2014-09-22,2.01,2.01,1.94,1.98,24400,1.98
2014-09-19,2.00,2.06,1.95,2.02,24400,2.02
2014-09-18,2.08,2.08,1.98,2.00,12200,2.00
2014-09-17,2.00,2.07,1.95,2.07,45200,2.07
2014-09-16,1.97,2.05,1.95,1.95,26100,1.95
2014-09-15,1.98,2.01,1.95,2.00,7600,2.00
2014-09-12,2.00,2.09,1.99,1.99,4500,1.99
2014-09-11,2.06,2.06,1.99,2.03,11200,2.03
2014-09-10,2.10,2.12,2.01,2.07,21700,2.02
2014-09-09,2.00,2.10,1.96,2.10,51900,2.05
2014-09-08,2.03,2.07,2.03,2.03,9000,1.98
2014-09-05,2.10,2.12,2.00,2.06,14300,2.01
2014-09-04,2.03,2.09,1.96,2.08,26500,2.03
2014-09-03,1.90,2.02,1.90,2.00,28700,1.95
