Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,13.45,13.72,13.30,13.60,15500,13.60
2015-02-12,13.13,13.62,13.05,13.62,10200,13.62
2015-02-11,13.54,13.58,13.19,13.19,16000,13.19
2015-02-10,13.40,13.45,13.27,13.44,22800,13.44
2015-02-09,13.31,13.43,13.14,13.33,17000,13.33
2015-02-06,13.15,13.40,13.14,13.34,18300,13.34
2015-02-05,13.42,13.42,12.67,13.37,20000,13.37
2015-02-04,13.67,13.72,13.06,13.28,27900,13.28
2015-02-03,13.48,13.70,13.35,13.68,43500,13.68
2015-02-02,13.56,13.56,13.23,13.43,7700,13.43
2015-01-30,13.30,13.49,13.06,13.46,10400,13.46
2015-01-29,13.64,13.73,13.30,13.47,23000,13.47
2015-01-28,13.77,13.81,13.51,13.74,48900,13.74
2015-01-27,13.90,14.03,13.49,13.76,23200,13.76
2015-01-26,13.36,14.03,13.36,13.92,78600,13.92
2015-01-23,13.86,13.90,13.16,13.67,89100,13.67
2015-01-22,13.61,14.00,13.52,13.99,40100,13.99
2015-01-21,13.95,14.08,13.41,13.79,49600,13.79
2015-01-20,14.05,14.56,13.80,14.00,66400,13.90
2015-01-16,14.16,14.39,13.84,14.05,36100,13.95
2015-01-15,14.04,14.54,13.71,14.44,53000,14.34
2015-01-14,13.90,14.35,13.79,14.04,38600,13.94
2015-01-13,14.55,14.97,13.52,13.91,83600,13.81
2015-01-12,14.21,14.37,13.29,14.27,60500,14.17
2015-01-09,14.59,14.59,14.10,14.25,30900,14.15
2015-01-08,14.40,14.57,13.70,14.44,78200,14.34
2015-01-07,14.69,14.81,14.13,14.25,34200,14.15
2015-01-06,14.61,14.66,14.35,14.53,76800,14.43
2015-01-05,14.24,14.71,14.22,14.49,61300,14.39
2015-01-02,14.72,14.98,13.77,14.40,29500,14.30
2014-12-31,15.14,15.15,14.43,14.93,28100,14.82
2014-12-30,15.11,15.53,14.75,15.14,87000,15.03
2014-12-29,14.73,15.26,14.73,15.02,54200,14.91
2014-12-26,14.81,15.47,14.62,15.01,28900,14.90
2014-12-24,15.40,15.40,14.62,14.62,7000,14.52
2014-12-23,14.69,15.84,14.57,15.69,41200,15.58
2014-12-22,14.75,14.76,14.62,14.69,16400,14.59
2014-12-19,15.24,15.58,14.61,14.62,35600,14.52
2014-12-18,15.46,15.67,15.00,15.15,59700,15.04
2014-12-17,14.85,15.32,14.65,15.18,57400,15.07
2014-12-16,14.58,14.99,14.27,14.80,43300,14.69
2014-12-15,14.94,15.26,14.63,14.79,125800,14.68
2014-12-12,15.42,15.42,14.81,15.00,31100,14.89
2014-12-11,14.63,15.44,14.55,15.35,184800,15.24
2014-12-10,14.25,14.91,14.22,14.54,71500,14.44
2014-12-09,13.89,14.78,13.70,14.65,50700,14.55
2014-12-08,14.06,14.60,13.78,14.32,29000,14.22
2014-12-05,14.21,14.21,13.97,14.03,16900,13.93
2014-12-04,14.07,14.71,13.44,14.18,46000,14.08
2014-12-03,14.01,14.45,14.01,14.18,27400,14.08
2014-12-02,14.33,14.43,14.07,14.10,14100,14.00
2014-12-01,15.16,15.42,14.27,14.33,18200,14.23
2014-11-28,15.37,15.56,15.01,15.01,21000,14.90
2014-11-26,14.81,15.48,14.81,15.36,20400,15.25
2014-11-25,14.54,15.00,14.46,14.97,37000,14.86
2014-11-24,14.78,14.83,14.07,14.67,46600,14.57
2014-11-21,14.78,14.97,14.55,14.73,40900,14.62
2014-11-20,15.07,15.08,14.71,14.77,33100,14.66
2014-11-19,15.17,15.47,15.00,15.32,17300,15.21
2014-11-18,15.96,16.04,15.18,15.21,24700,15.10
2014-11-17,15.93,16.01,15.74,15.88,23100,15.77
2014-11-14,15.90,16.16,15.79,16.00,140800,15.89
2014-11-13,15.32,16.08,15.32,15.91,161300,15.80
2014-11-12,15.78,15.86,15.47,15.61,40400,15.50
2014-11-11,15.25,15.89,15.25,15.69,20700,15.58
2014-11-10,15.84,16.09,15.51,15.56,21800,15.45
2014-11-07,16.01,16.13,15.77,15.89,18200,15.78
2014-11-06,15.90,16.08,15.73,15.91,17600,15.80
2014-11-05,15.89,16.18,15.48,15.84,114200,15.73
2014-11-04,16.07,16.14,15.85,15.94,10700,15.83
2014-11-03,15.91,16.11,15.77,16.08,47800,15.97
2014-10-31,16.13,16.13,15.25,15.93,15400,15.82
2014-10-30,16.30,16.30,16.00,16.17,55300,16.05
2014-10-29,16.16,16.50,16.16,16.29,27300,16.17
2014-10-28,16.37,16.37,15.91,16.07,13500,15.96
2014-10-27,16.50,16.52,16.20,16.25,15300,16.13
2014-10-24,16.41,16.90,16.12,16.63,34000,16.51
