Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,33.26,33.26,33.26,33.26,000,33.26
2015-02-12,33.26,33.26,33.26,33.26,900,33.26
2015-02-11,33.50,33.50,33.50,33.50,000,33.50
2015-02-10,33.50,33.50,33.50,33.50,000,33.50
2015-02-09,33.50,33.50,33.50,33.50,600,33.50
2015-02-06,34.00,34.00,34.00,34.00,000,34.00
2015-02-05,34.00,34.00,34.00,34.00,000,34.00
2015-02-04,34.00,34.00,34.00,34.00,000,34.00
2015-02-03,33.26,34.25,33.26,34.00,1200,34.00
2015-02-02,33.45,33.45,33.26,33.26,600,33.26
2015-01-30,33.45,33.45,33.45,33.45,500,33.45
2015-01-29,34.25,34.25,34.25,34.25,000,34.25
2015-01-28,34.25,34.25,34.25,34.25,000,34.25
2015-01-27,34.25,34.25,34.25,34.25,200,34.25
2015-01-26,34.00,34.00,34.00,34.00,000,34.00
2015-01-23,34.00,34.00,34.00,34.00,000,34.00
2015-01-22,34.00,34.00,34.00,34.00,000,34.00
2015-01-21,34.00,34.00,34.00,34.00,000,34.00
2015-01-20,33.50,34.00,33.50,34.00,300,34.00
2015-01-16,34.50,34.50,34.50,34.50,100,34.50
2015-01-15,34.30,34.30,34.30,34.30,000,34.30
2015-01-14,34.30,34.30,34.30,34.30,000,34.30
2015-01-13,34.30,34.30,34.30,34.30,000,34.30
2015-01-12,34.30,34.30,34.30,34.30,000,34.30
2015-01-09,34.30,34.30,34.30,34.30,000,34.30
2015-01-08,34.30,34.30,34.30,34.30,300,34.30
2015-01-07,34.75,34.75,34.75,34.75,000,34.75
2015-01-06,34.75,34.75,34.75,34.75,2200,34.75
2015-01-05,34.50,34.82,34.50,34.82,1100,34.82
2015-01-02,33.61,33.61,33.61,33.61,000,33.61
2014-12-31,33.61,33.61,33.61,33.61,000,33.61
2014-12-30,33.61,33.61,33.61,33.61,000,33.61
2014-12-29,33.61,33.61,33.61,33.61,000,33.61
2014-12-26,33.61,33.61,33.61,33.61,000,33.61
2014-12-24,33.61,33.61,33.61,33.61,000,33.61
2014-12-23,33.00,33.61,33.00,33.61,300,33.61
2014-12-22,33.00,33.00,33.00,33.00,000,33.00
2014-12-19,33.16,35.39,33.00,33.00,5300,33.00
2014-12-18,34.50,34.50,34.50,34.50,600,34.50
2014-12-17,33.00,34.00,33.00,34.00,1700,34.00
2014-12-16,33.00,33.93,33.00,33.93,1000,33.93
2014-12-15,33.49,33.75,33.49,33.75,1500,33.75
2014-12-12,33.00,33.00,33.00,33.00,000,33.00
2014-12-11,33.00,33.00,33.00,33.00,000,33.00
2014-12-10,33.00,33.00,33.00,33.00,000,33.00
2014-12-09,33.00,33.00,33.00,33.00,300,33.00
2014-12-08,33.50,33.50,33.50,33.50,200,33.50
2014-12-05,33.50,33.50,33.50,33.50,400,33.50
2014-12-04,33.25,33.25,33.25,33.25,000,33.25
2014-12-03,33.25,33.25,33.25,33.25,000,33.25
2014-12-02,33.25,33.25,33.25,33.25,000,33.25
2014-12-01,33.72,33.72,33.25,33.25,300,33.25
2014-11-28,33.25,33.25,33.25,33.25,000,33.25
2014-11-26,33.25,33.25,33.25,33.25,300,33.25
2014-11-25,33.35,33.35,33.35,33.35,000,33.09
2014-11-24,33.32,33.35,33.32,33.35,400,33.09
2014-11-21,33.70,33.75,33.70,33.75,300,33.49
2014-11-20,33.26,33.26,33.26,33.26,000,33.00
2014-11-19,33.26,33.26,33.26,33.26,000,33.00
2014-11-18,33.26,33.26,33.26,33.26,000,33.00
2014-11-17,33.26,33.26,33.26,33.26,000,33.00
2014-11-14,33.26,33.26,33.26,33.26,000,33.00
2014-11-13,33.26,33.26,33.26,33.26,000,33.00
2014-11-12,33.26,33.26,33.26,33.26,000,33.00
2014-11-11,33.26,33.26,33.26,33.26,000,33.00
2014-11-10,33.26,33.26,33.26,33.26,000,33.00
2014-11-07,33.26,33.26,33.26,33.26,000,33.00
2014-11-06,33.26,33.26,33.26,33.26,000,33.00
2014-11-05,33.26,33.26,33.26,33.26,000,33.00
