Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,51.51,51.68,50.03,50.71,3850700,50.71
2015-02-12,49.50,50.03,48.92,49.98,4469000,49.98
2015-02-11,48.88,49.06,48.52,48.87,2509400,48.87
2015-02-10,48.25,48.91,47.84,48.88,3674000,48.88
2015-02-09,48.25,48.72,47.73,47.88,3428200,47.88
2015-02-06,49.04,49.48,48.38,48.64,27872100,48.64
2015-02-05,47.49,49.17,47.49,49.04,18170400,49.04
2015-02-04,45.34,46.67,45.34,46.33,3614700,46.33
2015-02-03,45.03,45.65,44.82,45.59,2717200,45.59
2015-02-02,45.18,45.40,44.11,44.77,2637000,44.77
2015-01-30,46.79,47.34,45.04,45.10,3387100,45.10
2015-01-29,45.53,46.29,42.50,45.85,1937700,45.85
2015-01-28,46.15,46.71,45.69,45.71,2114900,45.71
2015-01-27,46.26,46.51,45.64,45.79,1716600,45.79
2015-01-26,46.30,46.81,46.01,46.79,988800,46.79
2015-01-23,46.65,46.65,46.03,46.52,1132800,46.52
2015-01-22,46.62,46.67,45.52,46.54,1791000,46.54
2015-01-21,45.19,46.29,44.98,46.17,1505400,46.17
2015-01-20,45.22,45.41,44.72,45.26,1326000,45.26
2015-01-16,44.30,44.98,44.15,44.84,1693400,44.84
2015-01-15,45.65,45.83,44.40,44.46,1708100,44.46
2015-01-14,43.72,45.17,43.56,45.01,3081600,45.01
2015-01-13,44.89,45.52,43.65,43.97,2354500,43.97
2015-01-12,44.24,44.44,43.57,44.03,1062700,44.03
2015-01-09,44.86,44.94,44.18,44.52,1024200,44.52
2015-01-08,43.52,44.65,43.49,44.64,1519100,44.64
2015-01-07,43.44,43.52,42.76,43.26,1043600,43.26
2015-01-06,43.76,44.04,42.79,43.02,1404800,43.02
2015-01-05,44.66,44.78,43.84,43.87,1002000,43.87
2015-01-02,45.36,45.60,44.42,44.87,984300,44.87
2014-12-31,45.50,45.79,45.09,45.11,1124500,45.11
2014-12-30,45.29,45.56,45.19,45.22,1211200,45.22
2014-12-29,45.53,45.86,45.36,45.52,895600,45.52
2014-12-26,45.86,46.08,45.68,45.71,482500,45.71
2014-12-24,45.97,46.20,45.62,45.84,552100,45.84
2014-12-23,46.07,46.53,45.74,45.79,1735600,45.79
2014-12-22,45.45,45.83,45.06,45.64,1225300,45.64
2014-12-19,45.21,45.49,44.73,45.28,2909000,45.28
2014-12-18,44.67,45.42,44.12,45.16,2233800,45.16
2014-12-17,43.10,43.78,42.68,43.71,2430300,43.71
2014-12-16,43.10,44.27,42.98,43.10,1837400,43.10
2014-12-15,44.07,44.86,43.10,43.13,2171200,43.13
2014-12-12,44.28,44.59,43.69,43.70,1347000,43.70
2014-12-11,46.03,46.03,44.60,44.69,1357800,44.69
2014-12-10,45.39,45.46,44.26,44.48,2226400,44.48
2014-12-09,44.98,45.54,44.80,45.41,4878900,45.41
2014-12-08,46.19,46.32,45.02,45.29,1600000,45.29
2014-12-05,46.07,46.33,45.86,46.29,1214200,46.29
2014-12-04,46.62,46.62,45.84,46.02,1581300,46.02
2014-12-03,44.94,46.75,44.93,46.59,3194500,46.59
2014-12-02,44.68,44.71,44.02,44.65,2444200,44.65
2014-12-01,45.05,45.57,44.65,44.73,1909200,44.73
2014-11-28,45.20,45.28,44.71,45.15,750900,45.15
2014-11-26,44.06,45.09,44.06,45.05,1436300,45.05
2014-11-25,44.29,44.40,43.91,44.12,1663200,44.12
2014-11-24,44.00,44.25,43.61,44.06,1711400,44.06
2014-11-21,43.91,43.99,43.28,43.78,1485600,43.78
2014-11-20,43.03,43.57,42.80,43.24,1304500,43.24
2014-11-19,43.60,43.81,43.03,43.15,1480300,43.15
2014-11-18,43.59,44.22,43.50,44.03,3816600,43.67
2014-11-17,43.33,43.66,43.01,43.66,1636300,43.31
2014-11-14,42.80,43.38,42.61,43.36,1432600,43.01
2014-11-13,43.55,43.73,42.83,42.89,1637800,42.54
2014-11-12,43.26,43.57,43.01,43.38,3757100,43.03
2014-11-11,43.61,43.66,43.22,43.38,1159700,43.03
2014-11-10,43.22,43.64,43.02,43.49,1322600,43.14
2014-11-07,43.54,43.58,42.71,43.14,2089900,42.79
2014-11-06,43.70,43.99,43.16,43.51,1868000,43.16
2014-11-05,43.04,43.62,42.78,43.59,1279700,43.24
2014-11-04,43.18,43.48,42.60,42.88,1556600,42.53
2014-11-03,43.10,43.70,42.93,43.21,2206000,42.86
2014-10-31,45.14,45.14,42.54,43.11,7432500,42.76
2014-10-30,41.88,41.88,40.46,41.09,3575600,40.76
2014-10-29,41.70,42.27,41.21,42.22,4387400,41.88
2014-10-28,41.27,41.90,41.03,41.88,1874300,41.54
2014-10-27,40.95,41.26,40.53,41.17,3169400,40.84
2014-10-24,40.29,41.16,40.29,41.04,1755000,40.71
2014-10-23,40.21,40.85,40.18,40.34,1941000,40.01
2014-10-22,40.75,40.83,39.96,39.97,2139400,39.65
2014-10-21,39.59,40.66,39.47,40.59,3960800,40.26
2014-10-20,38.23,39.15,38.00,39.12,3656800,38.80
2014-10-17,39.64,40.02,38.32,38.39,3646800,38.08
2014-10-16,36.97,39.84,36.92,39.19,6206800,38.87
2014-10-15,37.46,38.40,37.05,37.73,4776900,37.42
2014-10-14,39.07,39.65,37.89,38.21,6772300,37.90
2014-10-13,39.77,40.06,38.12,38.69,6262400,38.38
2014-10-10,40.30,41.07,39.02,39.96,13746400,39.64
2014-10-09,46.16,46.30,45.49,45.54,2615700,45.17
2014-10-08,44.84,46.35,44.71,46.20,2378100,45.83
2014-10-07,45.58,46.00,44.92,44.93,2105700,44.57
2014-10-06,46.51,46.60,45.66,45.98,1683700,45.61
2014-10-03,46.45,46.78,46.10,46.13,2124900,45.76
2014-10-02,46.10,46.37,45.24,46.28,2681300,45.90
2014-10-01,47.15,47.26,45.90,46.07,3016500,45.70
2014-09-30,47.47,47.78,46.95,47.23,2583000,46.85
2014-09-29,47.18,47.75,47.18,47.52,1503200,47.13
2014-09-26,47.54,47.78,47.24,47.60,790400,47.21
2014-09-25,47.77,47.84,46.93,47.35,1236100,46.97
2014-09-24,47.63,47.98,47.49,47.78,809700,47.39
2014-09-23,47.90,48.31,47.49,47.50,2047200,47.11
2014-09-22,48.46,48.52,47.83,48.00,1191500,47.61
2014-09-19,49.40,49.40,48.39,48.43,1395000,48.04
2014-09-18,48.57,49.29,48.43,49.19,1084100,48.79
2014-09-17,48.14,48.75,47.95,48.41,1307400,48.02
2014-09-16,47.06,48.13,47.01,48.06,1054000,47.67
2014-09-15,47.82,47.94,47.24,47.31,898200,46.93
2014-09-12,48.36,48.45,47.54,47.67,972000,47.28
2014-09-11,48.15,48.56,48.03,48.38,699100,47.99
2014-09-10,48.47,48.51,47.91,48.29,1278600,47.90
2014-09-09,48.99,49.02,48.55,48.61,737600,48.22
2014-09-08,48.73,49.09,48.63,48.97,1169100,48.57
2014-09-05,48.72,48.85,48.46,48.85,684600,48.45
2014-09-04,48.65,48.99,48.46,48.62,929000,48.23
2014-09-03,48.69,48.84,48.51,48.57,1114200,48.18
2014-09-02,48.88,49.00,48.44,48.78,2024500,48.38
2014-08-29,48.29,48.88,48.24,48.83,2134400,48.43
2014-08-28,47.45,48.08,47.36,48.02,895800,47.63
2014-08-27,47.86,47.94,47.33,47.66,719600,47.27
2014-08-26,47.87,48.00,47.67,47.82,635700,47.43
2014-08-25,48.00,48.00,47.58,47.71,1082600,47.32
2014-08-22,47.60,47.98,47.38,47.77,1033200,47.38
2014-08-21,47.70,47.82,47.37,47.79,1169200,47.40
2014-08-20,46.99,47.64,46.95,47.59,1471800,47.20
2014-08-19,46.74,47.12,46.68,47.05,1270100,46.67
2014-08-18,47.36,47.44,46.74,47.03,2122100,46.30
2014-08-15,47.32,47.68,46.85,47.37,812900,46.63
2014-08-14,47.19,47.21,46.82,47.08,1004500,46.34
2014-08-13,46.63,47.02,46.49,47.02,1031100,46.29
2014-08-12,46.25,46.64,46.10,46.58,1147000,45.85
2014-08-11,46.21,46.66,45.98,46.27,932500,45.55
2014-08-08,45.77,46.06,45.52,45.97,1393300,45.25
2014-08-07,46.53,46.90,45.44,45.57,2015300,44.86
2014-08-06,46.02,46.82,46.00,46.65,1959500,45.92
2014-08-05,46.10,46.54,45.92,46.21,1400300,45.49
2014-08-04,45.97,46.31,45.54,46.24,1653200,45.52
2014-08-01,47.15,47.15,45.67,46.04,2974900,45.32
2014-07-31,47.00,47.00,44.78,45.02,3712000,44.32
2014-07-30,46.47,46.61,46.05,46.25,1191700,45.53
2014-07-29,46.21,46.68,46.12,46.25,1610600,45.53
2014-07-28,45.98,46.17,45.27,46.13,1857700,45.41
2014-07-25,46.81,46.96,45.37,45.90,3239900,45.18
2014-07-24,47.20,47.52,47.11,47.19,1397200,46.45
2014-07-23,48.60,48.62,47.05,47.11,1682700,46.37
2014-07-22,48.84,49.05,48.61,48.88,1022400,48.12
2014-07-21,48.32,48.75,48.32,48.55,730300,47.79
2014-07-18,48.40,48.85,48.35,48.54,1196200,47.78
2014-07-17,48.57,48.86,48.14,48.15,907400,47.40
2014-07-16,48.83,49.11,48.72,48.75,1200000,47.99
2014-07-15,49.16,49.23,48.24,48.60,1459100,47.84
2014-07-14,49.39,49.50,48.97,49.08,1036800,48.31
2014-07-11,49.20,49.31,48.79,49.08,1238900,48.31
2014-07-10,48.94,49.64,48.65,49.27,1126200,48.50
2014-07-09,49.37,49.65,49.19,49.64,1006700,48.86
2014-07-08,49.46,49.56,49.10,49.30,1088100,48.53
2014-07-07,49.87,49.95,49.39,49.46,1638000,48.69
2014-07-03,49.69,49.95,49.68,49.83,497500,49.05
2014-07-02,49.64,49.87,49.50,49.60,800200,48.83
2014-07-01,49.12,50.04,48.73,49.77,1758900,48.99
2014-06-30,48.65,48.90,48.57,48.81,914200,48.05
2014-06-27,48.27,48.70,48.17,48.66,834500,47.90
2014-06-26,48.83,48.87,48.03,48.44,959100,47.68
2014-06-25,48.68,48.90,48.37,48.84,839400,48.08
2014-06-24,49.47,49.59,48.70,48.76,1761000,48.00
2014-06-23,49.36,49.67,49.13,49.48,1005300,48.71
