Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,53.83,53.98,53.06,53.93,272900,53.93
2015-02-12,53.37,53.92,53.20,53.88,378100,53.88
2015-02-11,52.57,53.77,52.28,53.45,447100,53.45
2015-02-10,55.65,55.80,52.50,53.07,651200,53.07
2015-02-09,58.76,58.78,56.25,56.70,570600,56.70
2015-02-06,60.29,60.31,59.54,60.20,287000,60.20
2015-02-05,60.00,60.26,59.71,60.02,225000,60.02
2015-02-04,59.02,60.09,58.96,60.00,376000,60.00
2015-02-03,58.78,59.18,58.19,59.18,226500,59.18
2015-02-02,57.17,58.83,56.78,58.54,381700,58.54
2015-01-30,58.00,58.15,56.40,57.15,2021600,57.15
2015-01-29,57.77,58.34,57.32,58.26,366400,58.26
2015-01-28,58.79,59.28,57.52,57.67,279200,57.67
2015-01-27,58.37,58.99,58.21,58.40,287200,58.40
2015-01-26,57.90,58.82,57.08,58.80,344900,58.80
2015-01-23,58.10,58.60,57.51,57.63,251800,57.63
2015-01-22,57.38,58.15,56.69,58.05,185500,58.05
2015-01-21,57.48,57.49,56.20,56.94,194300,56.94
2015-01-20,58.33,58.43,56.86,57.48,256600,57.48
2015-01-16,56.62,58.18,56.62,58.10,177000,58.10
2015-01-15,56.18,56.94,55.98,56.85,174900,56.85
2015-01-14,56.72,57.03,55.58,56.19,245000,56.19
2015-01-13,56.89,57.93,56.75,57.45,261500,57.45
2015-01-12,56.00,56.55,55.58,56.32,180600,56.32
2015-01-09,56.64,56.83,55.93,55.98,146900,55.98
2015-01-08,56.19,56.99,56.14,56.51,367700,56.51
2015-01-07,54.42,55.84,54.12,55.81,254200,55.81
2015-01-06,54.79,55.26,53.64,53.93,663500,53.93
2015-01-05,55.53,55.53,54.50,54.79,258500,54.79
2015-01-02,56.95,57.51,55.67,56.09,156800,56.09
2014-12-31,56.71,57.33,56.44,56.67,211900,56.67
2014-12-30,56.56,56.78,56.27,56.65,89100,56.65
2014-12-29,56.75,57.41,56.54,56.61,141900,56.61
2014-12-26,56.16,56.84,55.66,56.71,120100,56.71
