Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,39.17,39.49,38.66,39.40,238700,39.40
2015-02-12,38.98,39.59,38.69,39.18,224100,39.18
2015-02-11,38.38,38.86,38.23,38.59,127900,38.59
2015-02-10,38.50,38.76,38.05,38.54,154200,38.54
2015-02-09,38.31,38.80,38.10,38.23,247400,38.23
2015-02-06,38.62,38.91,38.01,38.55,240000,38.55
2015-02-05,38.61,38.93,38.38,38.61,230100,38.61
2015-02-04,37.51,38.55,37.35,38.33,408400,38.33
2015-02-03,36.66,37.95,36.66,37.87,279500,37.87
2015-02-02,36.25,36.65,35.82,36.51,228100,36.51
2015-01-30,36.51,37.00,36.13,36.17,308100,36.17
2015-01-29,36.38,36.97,36.01,36.86,270900,36.86
2015-01-28,36.65,37.30,36.27,36.30,353800,36.30
2015-01-27,35.93,37.00,35.92,36.74,287400,36.74
2015-01-26,35.78,36.65,35.41,36.57,511900,36.57
2015-01-23,35.90,36.62,35.82,36.26,374300,36.26
2015-01-22,35.28,36.11,34.67,35.97,214600,35.97
2015-01-21,35.00,35.24,34.56,34.97,365200,34.97
2015-01-20,36.27,36.27,35.15,35.23,416900,35.23
2015-01-16,35.38,36.39,35.35,36.28,219400,36.28
2015-01-15,36.17,36.24,35.10,35.56,383700,35.56
2015-01-14,35.86,36.26,35.47,36.16,205900,36.16
2015-01-13,36.85,37.56,35.99,36.47,333600,36.38
2015-01-12,36.90,36.95,36.30,36.50,228400,36.41
2015-01-09,37.14,37.14,36.71,36.98,286800,36.89
2015-01-08,36.52,37.38,36.21,37.18,428200,37.09
2015-01-07,35.75,36.18,35.50,36.17,294600,36.08
2015-01-06,36.11,36.21,34.92,35.51,767200,35.42
2015-01-05,36.00,36.44,36.00,36.11,581700,36.02
2015-01-02,36.67,36.90,36.00,36.26,282300,36.17
2014-12-31,36.66,36.92,36.38,36.51,332900,36.42
2014-12-30,36.43,36.85,36.40,36.56,224600,36.47
