Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,0.16,0.16,0.16,0.16,000,0.16
2015-02-12,0.16,0.16,0.16,0.16,1000,0.16
2015-02-11,0.16,0.16,0.16,0.16,000,0.16
2015-02-10,0.16,0.16,0.16,0.16,000,0.16
2015-02-09,0.16,0.16,0.16,0.16,000,0.16
2015-02-06,0.16,0.16,0.16,0.16,000,0.16
2015-02-05,0.16,0.16,0.16,0.16,000,0.16
2015-02-04,0.16,0.16,0.16,0.16,000,0.16
2015-02-03,0.16,0.16,0.16,0.16,100,0.16
2015-02-02,0.16,0.16,0.16,0.16,000,0.16
2015-01-30,0.16,0.16,0.16,0.16,000,0.16
2015-01-29,0.16,0.16,0.16,0.16,6000,0.16
2015-01-28,0.24,0.24,0.24,0.24,000,0.24
2015-01-27,0.24,0.24,0.24,0.24,000,0.24
2015-01-26,0.24,0.24,0.24,0.24,1000,0.24
2015-01-23,0.15,0.15,0.15,0.15,6400,0.15
2015-01-22,0.25,0.25,0.25,0.25,4900,0.25
2015-01-21,0.13,0.22,0.13,0.22,5100,0.22
2015-01-20,0.13,0.13,0.13,0.13,2500,0.13
2015-01-16,0.13,0.13,0.13,0.13,100,0.13
2015-01-15,0.04,0.14,0.04,0.14,5800,0.14
2015-01-14,0.04,0.04,0.04,0.04,000,0.04
2015-01-13,0.04,0.04,0.04,0.04,000,0.04
2015-01-12,0.04,0.04,0.04,0.04,000,0.04
2015-01-09,0.05,0.05,0.02,0.04,3100,0.04
2015-01-08,0.21,0.21,0.21,0.21,000,0.21
2015-01-07,0.21,0.21,0.21,0.21,100,0.21
2015-01-06,0.21,0.21,0.21,0.21,000,0.21
2015-01-05,0.21,0.21,0.21,0.21,900,0.21
2015-01-02,0.17,0.20,0.17,0.20,1700,0.20
2014-12-31,0.13,0.16,0.13,0.16,8900,0.16
2014-12-30,0.06,0.10,0.06,0.10,11800,0.10
2014-12-29,0.08,0.08,0.08,0.08,000,0.08
2014-12-26,0.08,0.08,0.08,0.08,000,0.08
2014-12-24,0.08,0.08,0.08,0.08,2000,0.08
2014-12-23,0.05,0.05,0.05,0.05,000,0.05
2014-12-22,0.05,0.05,0.05,0.05,000,0.05
2014-12-19,0.05,0.05,0.05,0.05,000,0.05
2014-12-18,0.05,0.05,0.05,0.05,000,0.05
2014-12-17,0.05,0.05,0.05,0.05,000,0.05
2014-12-16,0.05,0.05,0.05,0.05,000,0.05
2014-12-15,0.07,0.07,0.05,0.05,3200,0.05
2014-12-12,0.10,0.10,0.10,0.10,1300,0.10
2014-12-11,0.02,0.02,0.02,0.02,000,0.02
2014-12-10,0.02,0.02,0.02,0.02,000,0.02
2014-12-09,0.02,0.02,0.02,0.02,10000,0.02
2014-12-08,0.05,0.05,0.05,0.05,2100,0.05
2014-12-05,0.10,0.10,0.10,0.10,000,0.10
2014-12-04,0.10,0.10,0.10,0.10,000,0.10
2014-12-03,0.10,0.10,0.10,0.10,4000,0.10
2014-12-02,0.05,0.05,0.05,0.05,000,0.05
2014-12-01,0.05,0.05,0.05,0.05,3000,0.05
2014-11-28,0.10,0.10,0.10,0.10,000,0.10
2014-11-26,0.10,0.10,0.10,0.10,000,0.10
2014-11-25,0.10,0.10,0.10,0.10,000,0.10
2014-11-24,0.10,0.10,0.10,0.10,000,0.10
2014-11-21,0.10,0.10,0.10,0.10,000,0.10
2014-11-20,0.10,0.10,0.10,0.10,000,0.10
2014-11-19,0.10,0.10,0.10,0.10,5000,0.10
2014-11-18,0.13,0.13,0.13,0.13,000,0.13
2014-11-17,0.13,0.13,0.13,0.13,000,0.13
2014-11-14,0.13,0.13,0.13,0.13,000,0.13
2014-11-13,0.13,0.13,0.13,0.13,2000,0.13
