Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,0.14,0.14,0.14,0.14,4000,0.14
2015-02-12,0.11,0.11,0.11,0.11,000,0.11
2015-02-11,0.12,0.12,0.11,0.11,1200,0.11
2015-02-10,0.14,0.14,0.14,0.14,000,0.14
2015-02-09,0.12,0.14,0.12,0.14,300,0.14
2015-02-06,0.11,0.13,0.09,0.13,3200,0.13
2015-02-05,0.15,0.15,0.15,0.15,000,0.15
2015-02-04,0.15,0.15,0.15,0.15,000,0.15
2015-02-03,0.09,0.15,0.05,0.15,1300,0.15
2015-02-02,0.14,0.14,0.14,0.14,100,0.14
2015-01-30,0.13,0.13,0.13,0.13,000,0.13
2015-01-29,0.13,0.13,0.13,0.13,000,0.13
2015-01-28,0.13,0.13,0.13,0.13,000,0.13
2015-01-27,0.13,0.13,0.13,0.13,400,0.13
2015-01-26,0.15,0.15,0.12,0.12,4600,0.12
2015-01-23,0.09,0.09,0.09,0.09,100,0.09
2015-01-22,0.06,0.06,0.06,0.06,000,0.06
2015-01-21,0.06,0.06,0.06,0.06,000,0.06
2015-01-20,0.06,0.06,0.06,0.06,000,0.06
2015-01-16,0.06,0.06,0.06,0.06,000,0.06
2015-01-15,0.09,0.09,0.03,0.06,4700,0.06
2015-01-14,0.08,0.08,0.08,0.08,000,0.08
2015-01-13,0.08,0.08,0.08,0.08,000,0.08
2015-01-12,0.08,0.08,0.08,0.08,000,0.08
2015-01-09,0.06,0.11,0.04,0.08,7100,0.08
2015-01-08,0.09,0.09,0.09,0.09,000,0.09
2015-01-07,0.09,0.09,0.09,0.09,000,0.09
2015-01-06,0.04,0.09,0.04,0.09,1200,0.09
2015-01-05,0.09,0.09,0.09,0.09,000,0.09
2015-01-02,0.09,0.09,0.09,0.09,000,0.09
2014-12-31,0.09,0.09,0.09,0.09,000,0.09
2014-12-30,0.09,0.09,0.09,0.09,000,0.09
2014-12-29,0.09,0.09,0.09,0.09,000,0.09
2014-12-26,0.09,0.09,0.09,0.09,000,0.09
2014-12-24,0.09,0.09,0.09,0.09,000,0.09
2014-12-23,0.09,0.09,0.09,0.09,100,0.09
2014-12-22,0.11,0.11,0.11,0.11,000,0.11
2014-12-19,0.11,0.11,0.11,0.11,000,0.11
2014-12-18,0.11,0.11,0.11,0.11,000,0.11
2014-12-17,0.11,0.11,0.11,0.11,000,0.11
2014-12-16,0.11,0.11,0.11,0.11,000,0.11
2014-12-15,0.11,0.11,0.11,0.11,000,0.11
2014-12-12,0.11,0.11,0.11,0.11,100,0.11
2014-12-11,0.10,0.10,0.10,0.10,000,0.10
2014-12-10,0.10,0.10,0.10,0.10,000,0.10
2014-12-09,0.10,0.10,0.10,0.10,000,0.10
2014-12-08,0.10,0.10,0.10,0.10,100,0.10
2014-12-05,0.10,0.10,0.10,0.10,000,0.10
2014-12-04,0.10,0.10,0.10,0.10,000,0.10
2014-12-03,0.08,0.10,0.07,0.10,10900,0.10
2014-12-02,0.09,0.09,0.09,0.09,000,0.09
2014-12-01,0.09,0.09,0.08,0.09,5700,0.09
2014-11-28,0.11,0.11,0.11,0.11,000,0.11
2014-11-26,0.11,0.11,0.11,0.11,000,0.11
2014-11-25,0.11,0.11,0.11,0.11,000,0.11
2014-11-24,0.11,0.11,0.11,0.11,000,0.11
2014-11-21,0.09,0.11,0.09,0.11,5000,0.11
2014-11-20,0.10,0.10,0.09,0.09,800,0.09
2014-11-19,0.12,0.12,0.12,0.12,200,0.12
