Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,14.26,14.33,14.21,14.21,1100,14.21
2015-02-12,14.26,14.26,14.20,14.21,800,14.21
2015-02-11,14.28,14.29,14.18,14.19,2600,14.19
2015-02-10,14.38,14.38,14.38,14.38,700,14.32
2015-02-09,14.30,14.35,14.22,14.34,8800,14.28
2015-02-06,14.23,14.30,14.19,14.24,4000,14.18
2015-02-05,14.30,14.35,14.29,14.29,4000,14.23
2015-02-04,14.33,14.40,14.27,14.30,3800,14.24
2015-02-03,14.52,14.52,14.31,14.38,5400,14.32
2015-02-02,14.52,14.54,14.39,14.48,9300,14.42
2015-01-30,14.38,14.49,14.38,14.48,10200,14.42
2015-01-29,14.29,14.37,14.29,14.32,5600,14.26
2015-01-28,14.21,14.34,14.19,14.34,8700,14.28
2015-01-27,14.18,14.23,14.15,14.16,4800,14.10
2015-01-26,14.10,14.18,14.10,14.12,15100,14.06
2015-01-23,14.19,14.19,14.14,14.14,2000,14.08
2015-01-22,14.18,14.25,14.15,14.15,4500,14.09
2015-01-21,14.28,14.28,14.16,14.20,2400,14.14
2015-01-20,14.29,14.29,14.20,14.22,2300,14.16
2015-01-16,14.29,14.29,14.22,14.22,3900,14.16
2015-01-15,14.19,14.30,14.18,14.26,3300,14.20
2015-01-14,14.18,14.23,14.15,14.16,14400,14.10
2015-01-13,14.21,14.25,14.21,14.25,5800,14.19
2015-01-12,14.21,14.24,14.21,14.24,13700,14.12
2015-01-09,14.15,14.19,14.06,14.18,2400,14.07
2015-01-08,14.11,14.16,14.10,14.12,3700,14.01
2015-01-07,14.16,14.16,14.09,14.11,6100,14.00
2015-01-06,14.01,14.10,14.01,14.10,21700,13.99
2015-01-05,14.00,14.01,14.00,14.01,1500,13.90
2015-01-02,14.01,14.04,13.98,13.99,8000,13.88
2014-12-31,13.98,14.05,13.95,14.03,9800,13.92
2014-12-30,13.92,13.94,13.92,13.94,1500,13.83
2014-12-29,13.92,13.94,13.91,13.91,2400,13.80
2014-12-26,13.92,14.00,13.90,13.94,9900,13.83
2014-12-24,14.03,14.03,13.91,13.92,3800,13.81
2014-12-23,13.97,14.02,13.94,13.98,19000,13.87
2014-12-22,14.05,14.05,13.86,13.94,16100,13.83
2014-12-19,14.05,14.05,14.04,14.05,4500,13.94
2014-12-18,14.01,14.05,13.99,14.00,9300,13.89
2014-12-17,13.97,14.03,13.94,13.97,7600,13.86
2014-12-16,13.89,14.06,13.89,14.06,35900,13.95
2014-12-15,13.94,13.94,13.86,13.86,10600,13.75
2014-12-12,13.86,13.92,13.86,13.92,2000,13.81
2014-12-11,13.94,13.94,13.86,13.89,21100,13.78
2014-12-10,13.84,13.89,13.79,13.88,19100,13.77
2014-12-09,13.90,13.90,13.81,13.88,7100,13.71
2014-12-08,13.76,13.86,13.76,13.86,19300,13.69
2014-12-05,13.75,13.78,13.72,13.76,7800,13.59
