Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,25.65,25.65,25.59,25.63,27800,25.63
2015-02-12,25.59,25.64,25.57,25.59,15100,25.59
2015-02-11,25.62,25.65,25.50,25.61,160600,25.61
2015-02-10,25.59,25.65,25.56,25.58,49600,25.58
2015-02-09,25.57,25.60,25.53,25.57,22800,25.57
2015-02-06,25.65,25.65,25.56,25.56,27800,25.56
2015-02-05,25.61,25.68,25.54,25.67,36900,25.67
2015-02-04,25.60,25.61,25.53,25.55,12500,25.55
2015-02-03,25.68,25.68,25.58,25.58,32700,25.58
2015-02-02,25.68,25.69,25.62,25.64,39700,25.64
2015-01-30,25.65,25.69,25.61,25.61,21300,25.61
2015-01-29,25.68,25.68,25.58,25.64,20600,25.64
2015-01-28,25.64,25.69,25.60,25.68,15500,25.68
2015-01-27,25.53,25.64,25.53,25.62,39400,25.62
2015-01-26,25.53,26.07,25.53,25.60,88100,25.60
2015-01-23,25.49,25.58,25.49,25.53,18900,25.53
2015-01-22,25.47,25.58,25.42,25.55,48600,25.55
2015-01-21,25.44,25.48,25.41,25.46,42900,25.46
2015-01-20,25.50,25.50,25.37,25.41,56800,25.41
2015-01-16,25.40,25.52,25.40,25.51,47900,25.51
2015-01-15,25.40,25.41,25.35,25.40,32300,25.40
2015-01-14,25.35,25.44,25.31,25.37,89500,25.37
2015-01-13,25.71,25.79,25.69,25.69,77900,25.28
2015-01-12,25.74,25.74,25.66,25.70,40900,25.29
2015-01-09,25.75,25.75,25.70,25.71,34600,25.30
2015-01-08,25.73,25.75,25.70,25.70,27600,25.29
2015-01-07,25.73,25.75,25.68,25.71,27600,25.30
2015-01-06,25.70,25.72,25.66,25.67,36800,25.26
2015-01-05,25.70,25.75,25.57,25.69,74400,25.28
2015-01-02,25.62,25.85,25.62,25.75,22000,25.34
2014-12-31,25.69,25.72,25.60,25.60,31600,25.19
2014-12-30,25.60,25.68,25.60,25.67,13200,25.26
2014-12-29,25.46,25.60,25.46,25.58,24400,25.17
2014-12-26,25.48,25.58,25.46,25.52,18900,25.11
2014-12-24,25.50,25.50,25.47,25.48,16800,25.07
2014-12-23,25.55,25.60,25.53,25.53,19300,25.12
