Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,25.66,25.74,25.66,25.68,36600,25.68
2015-02-12,25.72,25.75,25.61,25.70,50000,25.70
2015-02-11,25.57,25.71,25.57,25.71,41600,25.71
2015-02-10,25.67,25.67,25.52,25.62,62000,25.62
2015-02-09,25.57,25.73,25.57,25.65,56700,25.65
2015-02-06,25.64,25.67,25.60,25.62,22900,25.62
2015-02-05,25.62,25.69,25.56,25.69,37900,25.69
2015-02-04,25.62,25.62,25.57,25.62,20000,25.62
2015-02-03,25.65,25.69,25.59,25.62,59000,25.62
2015-02-02,25.69,25.73,25.66,25.71,51900,25.71
2015-01-30,25.69,25.75,25.68,25.68,39800,25.68
2015-01-29,25.69,25.71,25.64,25.71,23400,25.71
2015-01-28,25.60,25.71,25.59,25.70,38500,25.70
2015-01-27,25.59,25.64,25.58,25.64,38300,25.64
2015-01-26,25.52,25.64,25.52,25.58,44400,25.58
2015-01-23,25.51,25.55,25.49,25.50,65400,25.50
2015-01-22,25.52,25.55,25.51,25.54,26300,25.54
2015-01-21,25.52,25.58,25.50,25.56,46400,25.56
2015-01-20,25.50,25.54,25.46,25.48,45200,25.48
2015-01-16,25.46,25.55,25.40,25.55,61600,25.55
2015-01-15,25.50,25.50,25.38,25.42,32300,25.42
2015-01-14,25.38,25.44,25.38,25.40,21000,25.40
2015-01-13,25.40,25.44,25.36,25.36,45200,25.36
2015-01-12,25.42,25.45,25.39,25.39,21600,25.39
2015-01-09,25.42,25.44,25.40,25.44,26500,25.44
2015-01-08,25.45,25.48,25.41,25.46,102500,25.46
2015-01-07,25.42,25.49,25.40,25.48,63100,25.48
2015-01-06,25.33,25.42,25.33,25.41,44600,25.41
2015-01-05,25.45,25.45,25.33,25.37,41000,25.37
2015-01-02,25.32,25.57,25.32,25.50,75200,25.50
2014-12-31,25.27,25.36,25.23,25.33,24300,25.33
2014-12-30,25.22,25.29,25.22,25.29,27300,25.29
