Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,17.23,17.99,17.23,17.87,38600,17.87
2015-02-12,16.40,17.00,16.40,16.86,26800,16.86
2015-02-11,16.03,16.25,16.03,16.12,175800,16.12
2015-02-10,16.28,16.56,16.05,16.29,69000,16.29
2015-02-09,15.83,16.64,15.83,16.47,37600,16.47
2015-02-06,16.30,16.32,16.06,16.06,48300,16.06
2015-02-05,16.31,16.45,16.17,16.44,372400,16.44
2015-02-04,16.37,16.37,15.95,15.95,472100,15.95
2015-02-03,16.20,16.75,16.20,16.65,146700,16.65
2015-02-02,15.82,15.93,15.70,15.89,30500,15.89
2015-01-30,15.49,15.79,15.49,15.60,108500,15.60
2015-01-29,15.65,15.65,15.35,15.55,25400,15.55
2015-01-28,15.88,15.88,15.47,15.49,1124900,15.49
2015-01-27,15.47,15.78,15.47,15.73,124500,15.73
2015-01-26,15.28,15.92,15.28,15.71,60100,15.71
2015-01-23,15.91,15.91,15.15,15.21,185700,15.21
2015-01-22,16.38,16.45,16.22,16.33,50200,16.33
2015-01-21,16.20,16.75,16.13,16.40,195300,16.40
2015-01-20,16.25,16.30,16.00,16.24,147300,16.24
2015-01-16,15.37,15.96,15.26,15.96,636500,15.96
2015-01-15,15.62,15.62,15.35,15.48,736300,15.48
2015-01-14,16.03,16.03,15.17,15.43,351400,15.43
2015-01-13,16.30,16.36,15.95,16.04,210400,16.04
2015-01-12,16.65,16.65,16.26,16.36,219900,16.36
2015-01-09,16.85,16.86,16.63,16.77,84100,16.77
2015-01-08,16.77,17.09,16.74,17.00,625900,17.00
2015-01-07,16.62,16.74,16.46,16.55,715800,16.55
2015-01-06,16.87,16.98,16.48,16.60,138100,16.60
2015-01-05,17.14,17.14,16.68,16.76,248700,16.76
2015-01-02,17.41,17.56,17.30,17.41,25700,17.41
2014-12-31,17.76,17.80,17.28,17.30,395700,17.30
2014-12-30,17.82,17.88,17.80,17.88,17600,17.88
2014-12-29,18.12,18.12,17.69,17.90,21200,17.90
2014-12-26,18.22,18.41,18.22,18.27,18000,17.90
2014-12-24,18.12,18.15,18.06,18.15,7300,17.78
2014-12-23,18.18,18.40,18.13,18.17,27200,17.80
2014-12-22,18.93,18.93,17.95,18.03,73900,17.66
2014-12-19,18.22,18.61,18.10,18.52,157400,18.14
2014-12-18,18.26,18.37,18.14,18.34,15800,17.96
2014-12-17,17.50,18.01,17.50,17.84,212500,17.47
2014-12-16,17.58,17.87,17.41,17.57,15000,17.21
2014-12-15,17.80,17.80,17.32,17.41,52600,17.05
2014-12-12,18.08,18.11,17.25,17.77,60300,17.41
2014-12-11,18.33,18.43,18.20,18.26,23700,17.89
2014-12-10,18.74,18.74,18.38,18.48,64400,18.10
2014-12-09,18.98,19.02,18.82,18.97,11700,18.58
2014-12-08,19.35,19.35,18.96,18.97,36700,18.58
2014-12-05,19.35,19.55,19.23,19.35,107700,18.95
2014-12-04,19.27,19.36,19.18,19.25,63800,18.85
2014-12-03,19.50,19.63,19.41,19.45,70600,19.05
2014-12-02,19.42,19.49,19.31,19.31,147500,18.91
2014-12-01,19.53,19.53,19.29,19.35,117900,18.95
2014-11-28,19.58,19.58,19.48,19.52,7400,19.12
2014-11-26,19.82,20.01,19.76,19.80,45700,19.39
2014-11-25,19.82,19.85,19.73,19.74,139600,19.33
2014-11-24,19.81,19.95,19.78,19.87,72400,19.46
2014-11-21,19.36,19.86,19.36,19.81,31300,19.40
2014-11-20,19.07,19.23,18.99,19.15,39900,18.76
2014-11-19,19.45,19.52,19.35,19.41,275700,19.01
2014-11-18,19.68,19.77,19.61,19.66,742500,19.26
2014-11-17,19.49,19.58,19.33,19.51,724600,19.11
2014-11-14,19.18,19.50,19.18,19.46,591400,19.06
2014-11-13,19.19,19.46,19.09,19.22,2748500,18.83
2014-11-12,19.26,19.36,19.06,19.22,490200,18.83
2014-11-11,19.35,19.48,19.22,19.46,235300,19.06
2014-11-10,19.69,19.74,19.51,19.54,385200,19.14
2014-11-07,19.69,20.03,19.68,19.93,151700,19.52
2014-11-06,19.61,19.74,19.51,19.68,33000,19.28
2014-11-05,19.75,19.75,19.35,19.65,189200,19.25
2014-11-04,20.00,20.00,19.44,19.63,333700,19.23
2014-11-03,20.40,20.45,20.18,20.22,45600,19.80
2014-10-31,20.30,20.63,20.21,20.50,59200,20.08
2014-10-30,19.99,20.20,19.86,20.13,430700,19.72
2014-10-29,20.66,20.66,20.21,20.29,189600,19.87
2014-10-28,20.24,20.49,20.24,20.49,79800,20.07
2014-10-27,20.18,20.18,19.64,19.79,280400,19.38
2014-10-24,20.22,20.32,20.19,20.22,182600,19.80
2014-10-23,20.08,20.27,20.06,20.06,101000,19.65
2014-10-22,20.02,20.13,19.85,19.85,142900,19.44
2014-10-21,20.18,20.41,20.12,20.31,621900,19.89
2014-10-20,19.52,19.73,19.43,19.69,211600,19.29
2014-10-17,19.50,20.83,19.50,19.51,949300,19.11
2014-10-16,19.52,19.64,18.93,19.50,656200,19.10
2014-10-15,19.23,19.63,19.06,19.54,554500,19.14
2014-10-14,19.88,20.20,19.81,19.83,139000,19.42
2014-10-13,19.78,19.86,19.50,19.51,477400,19.11
2014-10-10,19.50,19.60,19.20,19.20,1058800,18.81
2014-10-09,20.30,20.30,19.56,19.71,218300,19.31
2014-10-08,20.16,20.32,19.80,20.30,479200,19.88
2014-10-07,20.26,20.41,20.17,20.20,442600,19.79
2014-10-06,20.39,20.48,20.21,20.35,919700,19.93
2014-10-03,20.21,20.26,20.08,20.08,727600,19.67
2014-10-02,20.42,20.57,20.14,20.48,702600,20.06
2014-10-01,20.98,20.98,20.50,20.59,116300,20.17
2014-09-30,21.18,21.33,21.10,21.13,551200,20.70
2014-09-29,21.79,21.79,21.19,21.28,19300,20.84
2014-09-26,21.90,21.95,21.81,21.91,10600,21.09
2014-09-25,22.25,22.25,21.86,21.96,409000,21.14
2014-09-24,22.32,22.32,22.12,22.16,1167500,21.33
2014-09-23,22.44,22.45,22.30,22.30,16800,21.47
2014-09-22,22.58,22.58,22.32,22.38,165200,21.55
2014-09-19,22.65,22.90,22.65,22.75,364400,21.90
2014-09-18,22.97,23.10,22.97,23.04,394700,22.18
2014-09-17,22.42,22.96,22.42,22.79,127500,21.94
2014-09-16,22.04,22.46,22.04,22.36,160400,21.53
2014-09-15,21.87,22.24,21.87,22.16,518300,21.33
2014-09-12,22.20,22.23,22.10,22.15,212300,21.32
2014-09-11,22.30,22.48,22.29,22.41,262500,21.57
2014-09-10,22.55,22.55,22.40,22.48,611200,21.64
2014-09-09,22.68,22.71,22.52,22.58,861400,21.74
2014-09-08,22.62,22.62,22.52,22.52,308800,21.68
2014-09-05,22.43,22.46,22.35,22.43,110100,21.59
2014-09-04,22.57,22.63,22.35,22.38,475900,21.55
2014-09-03,22.46,22.73,22.46,22.64,6000,21.80
2014-09-02,22.45,22.45,22.21,22.23,364800,21.40
2014-08-29,22.44,22.60,22.36,22.43,153700,21.59
2014-08-28,22.35,22.37,22.27,22.33,362300,21.50
2014-08-27,22.70,22.73,22.65,22.69,213200,21.84
2014-08-26,22.38,22.74,22.38,22.66,225900,21.82
2014-08-25,21.86,21.96,21.81,21.91,12700,21.09
2014-08-22,21.85,21.87,21.79,21.84,168100,21.03
2014-08-21,22.09,22.09,21.95,21.99,532600,21.17
2014-08-20,22.00,22.07,21.82,21.97,1015500,21.15
2014-08-19,22.07,22.11,22.00,22.03,141700,21.21
2014-08-18,21.76,21.95,21.76,21.89,100400,21.07
2014-08-15,21.72,21.75,21.49,21.56,336400,20.76
2014-08-14,21.72,21.73,21.65,21.69,69600,20.88
2014-08-13,21.67,21.76,21.59,21.76,181600,20.95
2014-08-12,21.70,21.70,21.47,21.57,255800,20.77
2014-08-11,21.75,21.81,21.61,21.73,17600,20.92
2014-08-08,21.62,21.71,21.58,21.70,262400,20.89
2014-08-07,21.86,21.86,21.61,21.69,347400,20.88
2014-08-06,21.75,21.95,21.75,21.86,124400,21.04
2014-08-05,22.01,22.02,21.85,21.88,662900,21.06
2014-08-04,22.13,22.31,22.13,22.30,152600,21.47
2014-08-01,22.24,22.48,21.92,22.03,1037900,21.21
2014-07-31,23.04,23.14,22.87,22.93,349400,22.07
2014-07-30,23.27,23.45,23.22,23.34,1242000,22.47
2014-07-29,23.03,23.17,22.97,22.99,8000,22.13
2014-07-28,22.78,22.96,22.78,22.92,9900,22.07
2014-07-25,22.74,22.96,22.74,22.87,264200,22.02
2014-07-24,22.79,22.91,22.77,22.89,155100,22.04
2014-07-23,22.72,22.74,22.65,22.70,10400,21.85
2014-07-22,22.90,22.90,22.76,22.84,57300,21.99
2014-07-21,22.67,22.75,22.65,22.75,58600,21.90
2014-07-18,22.66,22.79,22.60,22.60,763900,21.76
2014-07-17,23.04,23.04,22.63,22.67,378600,21.82
2014-07-16,22.64,23.02,22.64,23.01,359400,22.15
2014-07-15,22.72,22.72,22.54,22.63,625400,21.79
2014-07-14,22.47,22.68,22.47,22.63,237900,21.79
2014-07-11,22.20,22.32,22.11,22.28,316800,21.45
2014-07-10,22.35,22.35,22.15,22.22,15600,21.39
2014-07-09,22.49,22.63,22.44,22.60,1628800,21.76
2014-07-08,22.55,22.64,22.50,22.64,517300,21.80
2014-07-07,22.85,22.85,22.58,22.71,569800,21.86
2014-07-03,22.95,23.03,22.95,23.02,209400,22.16
2014-07-02,22.62,22.91,22.59,22.91,180500,22.06
2014-07-01,22.61,22.70,22.52,22.54,216700,21.70
2014-06-30,22.44,22.56,22.36,22.49,34500,21.65
2014-06-27,22.57,22.58,22.31,22.44,724500,21.60
2014-06-26,22.81,22.93,22.77,22.86,456000,21.65
2014-06-25,23.02,25.43,22.70,22.99,141100,21.77
2014-06-24,23.15,23.22,23.00,23.04,208800,21.82
2014-06-23,23.16,23.21,23.08,23.09,517500,21.86
2014-06-20,23.12,23.12,22.95,22.96,21700,21.74
2014-06-19,23.17,23.26,23.16,23.19,416700,21.96
2014-06-18,22.97,23.31,22.97,23.29,21600,22.05
2014-06-17,22.79,23.06,22.79,23.03,237700,21.81
2014-06-16,22.89,22.92,22.80,22.88,203700,21.67
2014-06-13,22.97,23.05,22.91,23.05,410100,21.83
2014-06-12,23.12,23.13,23.02,23.12,223200,21.89
2014-06-11,23.20,23.39,23.11,23.34,2288500,22.10
2014-06-10,23.31,23.32,23.21,23.24,1164200,22.01
2014-06-09,23.47,23.51,23.36,23.42,1415200,22.18
2014-06-06,23.34,23.38,23.31,23.38,241800,22.14
2014-06-05,23.02,23.37,22.98,23.19,1017900,21.96
2014-06-04,23.12,23.12,22.90,22.97,187100,21.75
2014-06-03,23.11,23.13,22.93,23.04,537400,21.82
2014-06-02,23.16,23.21,23.13,23.17,13000,21.94
2014-05-30,23.52,23.52,23.13,23.23,286200,22.00
