Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,13.69,13.72,13.63,13.63,31500,13.63
2015-02-12,13.70,13.73,13.68,13.69,62500,13.69
2015-02-11,13.82,13.82,13.66,13.67,91000,13.67
2015-02-10,13.91,13.92,13.84,13.84,45800,13.77
2015-02-09,14.08,14.09,13.90,13.90,75300,13.83
2015-02-06,14.13,14.22,14.05,14.07,141700,14.00
2015-02-05,14.13,14.21,14.13,14.18,69300,14.11
2015-02-04,14.21,14.24,14.07,14.15,108500,14.08
2015-02-03,14.20,14.31,14.17,14.25,95200,14.18
2015-02-02,14.13,14.22,14.13,14.22,49400,14.15
2015-01-30,14.07,14.13,14.01,14.13,70000,14.06
2015-01-29,13.95,14.02,13.90,14.00,91000,13.93
2015-01-28,13.92,13.96,13.90,13.93,63100,13.86
2015-01-27,13.79,13.93,13.79,13.88,50700,13.81
2015-01-26,13.81,13.81,13.73,13.74,64500,13.67
2015-01-23,13.85,13.85,13.75,13.80,57900,13.73
2015-01-22,13.85,13.85,13.76,13.78,59100,13.71
2015-01-21,13.89,13.89,13.81,13.81,97800,13.74
2015-01-20,13.93,13.93,13.82,13.83,51600,13.76
2015-01-16,13.96,13.96,13.86,13.87,79700,13.80
2015-01-15,13.80,13.94,13.79,13.91,88600,13.84
2015-01-14,13.76,13.79,13.72,13.76,67000,13.69
2015-01-13,13.72,13.78,13.68,13.70,51200,13.63
2015-01-12,13.79,13.83,13.74,13.75,47200,13.61
2015-01-09,13.68,13.77,13.63,13.73,52700,13.59
2015-01-08,13.74,13.75,13.63,13.67,44900,13.53
2015-01-07,13.68,13.87,13.65,13.69,153200,13.55
2015-01-06,13.60,13.65,13.58,13.63,50900,13.49
2015-01-05,13.54,13.55,13.50,13.54,59400,13.40
2015-01-02,13.45,13.54,13.43,13.54,52200,13.40
2014-12-31,13.44,13.48,13.42,13.48,78800,13.34
2014-12-30,13.35,13.43,13.34,13.43,47600,13.29
2014-12-29,13.40,13.40,13.34,13.38,56700,13.24
2014-12-26,13.38,13.40,13.34,13.39,33600,13.25
2014-12-24,13.37,13.40,13.37,13.38,26300,13.24
2014-12-23,13.45,13.45,13.35,13.42,149700,13.28
2014-12-22,13.33,13.36,13.30,13.34,33800,13.20
2014-12-19,13.35,13.35,13.29,13.34,63500,13.20
2014-12-18,13.32,13.36,13.26,13.36,46400,13.22
2014-12-17,13.26,13.36,13.24,13.30,316900,13.17
2014-12-16,13.27,13.28,13.22,13.28,53000,13.15
2014-12-15,13.20,13.28,13.20,13.25,95500,13.12
2014-12-12,13.21,13.25,13.20,13.25,31000,13.12
2014-12-11,13.27,13.28,13.18,13.18,79000,13.05
2014-12-10,13.27,13.31,13.25,13.28,48700,13.15
2014-12-09,13.27,13.32,13.26,13.31,114600,13.10
2014-12-08,13.29,13.33,13.27,13.31,136100,13.10
2014-12-05,13.33,13.35,13.24,13.27,166900,13.07
2014-12-04,13.39,13.39,13.31,13.36,60600,13.15
2014-12-03,13.24,13.36,13.22,13.35,162900,13.14
2014-12-02,13.19,13.22,13.14,13.22,102500,13.02
2014-12-01,13.15,13.19,13.13,13.19,95900,12.99
2014-11-28,13.15,13.15,13.10,13.14,29200,12.94
2014-11-26,13.07,13.14,13.07,13.14,101600,12.94
2014-11-25,13.06,13.10,13.06,13.08,121200,12.88
2014-11-24,13.02,13.08,13.00,13.06,190000,12.86
2014-11-21,13.11,13.18,13.08,13.11,568400,12.91
2014-11-20,13.30,13.32,13.21,13.21,41100,13.01
2014-11-19,13.28,13.31,13.25,13.27,77700,13.07
2014-11-18,13.27,13.32,13.26,13.30,38300,13.10
2014-11-17,13.32,13.32,13.24,13.25,51300,13.05
2014-11-14,13.31,13.33,13.24,13.30,76500,13.10
2014-11-13,13.31,13.31,13.24,13.28,52800,13.08
2014-11-12,13.32,13.33,13.27,13.28,29000,13.08
2014-11-11,13.38,13.38,13.28,13.36,28000,13.08
2014-11-10,13.34,13.42,13.32,13.37,42900,13.09
2014-11-07,13.35,13.40,13.32,13.35,33400,13.07
2014-11-06,13.40,13.41,13.39,13.39,27700,13.11
2014-11-05,13.35,13.41,13.32,13.41,36000,13.13
2014-11-04,13.32,13.35,13.28,13.35,56300,13.07
2014-11-03,13.32,13.35,13.27,13.35,60000,13.07
2014-10-31,13.43,13.43,13.29,13.33,87500,13.05
2014-10-30,13.39,13.41,13.35,13.39,51400,13.11
2014-10-29,13.33,13.39,13.30,13.39,58200,13.11
2014-10-28,13.33,13.33,13.28,13.32,27800,13.05
2014-10-27,13.28,13.31,13.26,13.31,70400,13.04
2014-10-24,13.26,13.33,13.26,13.30,54600,13.03
2014-10-23,13.38,13.38,13.28,13.29,43200,13.02
2014-10-22,13.39,13.39,13.27,13.37,55300,13.09
