Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,14.55,14.56,14.53,14.56,52000,14.56
2015-02-12,14.53,14.57,14.52,14.52,73200,14.52
2015-02-11,14.66,14.67,14.53,14.53,51100,14.53
2015-02-10,14.77,14.77,14.70,14.70,63900,14.63
2015-02-09,14.78,14.81,14.74,14.75,79600,14.68
2015-02-06,14.82,14.86,14.79,14.81,48500,14.74
2015-02-05,14.88,14.94,14.84,14.86,67800,14.79
2015-02-04,14.94,14.96,14.83,14.94,88500,14.87
2015-02-03,14.94,15.04,14.94,14.94,84300,14.87
2015-02-02,15.02,15.08,14.99,15.03,54800,14.96
2015-01-30,14.96,15.02,14.94,15.02,45600,14.95
2015-01-29,14.84,14.93,14.84,14.92,45600,14.85
2015-01-28,14.82,14.90,14.82,14.86,98600,14.79
2015-01-27,14.73,14.80,14.73,14.80,60600,14.73
2015-01-26,14.68,14.71,14.65,14.70,48000,14.63
2015-01-23,14.67,14.73,14.66,14.66,50400,14.59
2015-01-22,14.71,14.73,14.67,14.67,145700,14.60
2015-01-21,14.77,14.82,14.70,14.70,62400,14.63
2015-01-20,14.82,14.85,14.78,14.78,41900,14.71
2015-01-16,14.87,14.89,14.78,14.78,50900,14.71
2015-01-15,14.75,14.86,14.75,14.86,64000,14.79
2015-01-14,14.78,14.81,14.73,14.74,44800,14.67
2015-01-13,14.79,14.80,14.73,14.75,51500,14.68
2015-01-12,14.83,14.85,14.79,14.83,61600,14.69
2015-01-09,14.70,14.86,14.70,14.83,80500,14.69
2015-01-08,14.73,14.78,14.69,14.70,68100,14.56
2015-01-07,14.72,14.82,14.71,14.77,69200,14.63
2015-01-06,14.59,14.73,14.59,14.68,155900,14.54
2015-01-05,14.46,14.60,14.46,14.58,138000,14.44
2015-01-02,14.38,14.49,14.36,14.46,103400,14.33
2014-12-31,14.40,14.42,14.32,14.40,136600,14.27
2014-12-30,14.39,14.40,14.34,14.39,87200,14.26
2014-12-29,14.39,14.39,14.31,14.38,115500,14.25
2014-12-26,14.40,14.42,14.35,14.35,75400,14.22
2014-12-24,14.34,14.43,14.34,14.43,62600,14.30
2014-12-23,14.39,14.42,14.32,14.34,83000,14.21
2014-12-22,14.39,14.42,14.37,14.38,106700,14.25
2014-12-19,14.38,14.42,14.36,14.42,77800,14.29
2014-12-18,14.38,14.41,14.37,14.41,95600,14.28
2014-12-17,14.33,14.42,14.33,14.37,105700,14.24
2014-12-16,14.35,14.40,14.34,14.35,97500,14.22
2014-12-15,14.34,14.37,14.33,14.34,102800,14.21
2014-12-12,14.32,14.36,14.27,14.36,119500,14.23
2014-12-11,14.32,14.35,14.26,14.34,144300,14.21
2014-12-10,14.31,14.39,14.31,14.31,108600,14.18
2014-12-09,14.43,14.46,14.37,14.40,96000,14.20
2014-12-08,14.43,14.47,14.38,14.47,106900,14.27
2014-12-05,14.43,14.49,14.38,14.48,111600,14.28
2014-12-04,14.43,14.53,14.43,14.47,88900,14.27
2014-12-03,14.36,14.45,14.36,14.44,83700,14.24
2014-12-02,14.25,14.39,14.24,14.38,73100,14.18
2014-12-01,14.30,14.34,14.26,14.26,112900,14.06
2014-11-28,14.33,14.33,14.21,14.25,56100,14.05
2014-11-26,14.30,14.33,14.29,14.29,41200,14.09
2014-11-25,14.31,14.35,14.27,14.31,76400,14.11
2014-11-24,14.39,14.39,14.30,14.33,61600,14.13
2014-11-21,14.40,14.41,14.31,14.37,101400,14.17
2014-11-20,14.47,14.55,14.39,14.40,76900,14.20
2014-11-19,14.53,14.57,14.47,14.47,55200,14.27
2014-11-18,14.48,14.56,14.48,14.56,47200,14.35
2014-11-17,14.57,14.59,14.48,14.50,46900,14.29
2014-11-14,14.64,14.64,14.58,14.59,57600,14.38
2014-11-13,14.61,14.63,14.57,14.62,34300,14.41
2014-11-12,14.58,14.61,14.56,14.60,57500,14.39
2014-11-11,14.59,14.63,14.59,14.61,41100,14.34
2014-11-10,14.63,14.65,14.60,14.63,34400,14.36
2014-11-07,14.65,14.66,14.61,14.62,28000,14.35
2014-11-06,14.62,14.63,14.57,14.63,46200,14.36
2014-11-05,14.55,14.62,14.55,14.62,60200,14.35
2014-11-04,14.55,14.55,14.50,14.55,35600,14.28
2014-11-03,14.54,14.56,14.49,14.56,74100,14.29
2014-10-31,14.50,14.52,14.46,14.52,44100,14.25
2014-10-30,14.53,14.53,14.49,14.50,47700,14.23
2014-10-29,14.45,14.53,14.43,14.51,40200,14.24
2014-10-28,14.45,14.45,14.38,14.43,83900,14.16
2014-10-27,14.43,14.44,14.39,14.44,45000,14.17
2014-10-24,14.48,14.49,14.40,14.40,47200,14.13
2014-10-23,14.48,14.48,14.44,14.44,42000,14.17
2014-10-22,14.46,14.51,14.42,14.45,58600,14.18
2014-10-21,14.43,14.47,14.40,14.46,58100,14.19
2014-10-20,14.47,14.48,14.43,14.45,47500,14.18
2014-10-17,14.45,14.48,14.43,14.43,20400,14.16
2014-10-16,14.31,14.46,14.31,14.42,83000,14.15
2014-10-15,14.37,14.40,14.30,14.34,189500,14.07
2014-10-14,14.35,14.35,14.26,14.33,64500,14.06
2014-10-13,14.37,14.41,14.30,14.33,156600,14.06
2014-10-10,14.39,14.40,14.33,14.34,96400,14.07
2014-10-09,14.55,14.55,14.44,14.46,52300,14.12
2014-10-08,14.51,14.54,14.50,14.52,76100,14.18
2014-10-07,14.52,14.52,14.48,14.52,64200,14.18
2014-10-06,14.40,14.51,14.40,14.51,48500,14.17
2014-10-03,14.50,14.50,14.38,14.38,104700,14.04
2014-10-02,14.49,14.50,14.43,14.45,41300,14.11
2014-10-01,14.49,14.54,14.47,14.49,38400,14.15
2014-09-30,14.52,14.52,14.38,14.47,83300,14.13
2014-09-29,14.42,14.49,14.42,14.49,40300,14.15
2014-09-26,14.44,14.44,14.38,14.43,38000,14.09
2014-09-25,14.36,14.47,14.36,14.40,58800,14.06
2014-09-24,14.29,14.38,14.29,14.35,59500,14.01
2014-09-23,14.38,14.38,14.26,14.32,64000,13.98
2014-09-22,14.34,14.39,14.28,14.39,47400,14.05
2014-09-19,14.29,14.36,14.22,14.35,72300,14.01
2014-09-18,14.24,14.25,14.19,14.23,49700,13.90
2014-09-17,14.21,14.28,14.20,14.23,49900,13.90
2014-09-16,14.18,14.24,14.15,14.16,68100,13.83
2014-09-15,14.33,14.36,14.18,14.18,68400,13.85
2014-09-12,14.43,14.43,14.31,14.31,57200,13.97
2014-09-11,14.49,14.49,14.43,14.44,37200,14.10
2014-09-10,14.48,14.53,14.41,14.53,55500,14.12
2014-09-09,14.45,14.50,14.45,14.50,20000,14.09
2014-09-08,14.50,14.56,14.49,14.49,37200,14.08
2014-09-05,14.52,14.56,14.47,14.48,63600,14.07
2014-09-04,14.49,14.60,14.49,14.55,96400,14.14
2014-09-03,14.49,14.57,14.49,14.49,82400,14.08
2014-09-02,14.50,14.55,14.48,14.53,38300,14.12
2014-08-29,14.44,14.53,14.44,14.52,42000,14.11
2014-08-28,14.48,14.48,14.45,14.48,27400,14.07
2014-08-27,14.44,14.51,14.44,14.46,43900,14.05
2014-08-26,14.39,14.46,14.39,14.46,44000,14.05
2014-08-25,14.41,14.44,14.36,14.38,57000,13.98
2014-08-22,14.38,14.44,14.33,14.43,59800,14.02
2014-08-21,14.41,14.43,14.39,14.41,49700,14.00
2014-08-20,14.38,14.42,14.35,14.39,68000,13.99
2014-08-19,14.34,14.38,14.33,14.35,64500,13.95
2014-08-18,14.27,14.33,14.27,14.33,64700,13.93
2014-08-15,14.24,14.32,14.24,14.26,40100,13.86
2014-08-14,14.27,14.27,14.22,14.23,72100,13.83
2014-08-13,14.24,14.28,14.21,14.28,53200,13.88
2014-08-12,14.30,14.33,14.20,14.25,100500,13.78
2014-08-11,14.22,14.28,14.22,14.27,53400,13.80
2014-08-08,14.21,14.24,14.13,14.23,55300,13.76
2014-08-07,14.06,14.17,14.05,14.17,125900,13.70
2014-08-06,14.03,14.11,14.02,14.06,61100,13.60
2014-08-05,14.02,14.06,13.93,14.04,141100,13.58
2014-08-04,14.08,14.12,14.00,14.03,117300,13.57
2014-08-01,14.00,14.10,14.00,14.08,99700,13.62
2014-07-31,14.11,14.15,14.01,14.04,157600,13.58
2014-07-30,14.20,14.24,14.13,14.16,99800,13.70
2014-07-29,14.29,14.35,14.24,14.24,55900,13.77
2014-07-28,14.37,14.37,14.23,14.23,83500,13.76
2014-07-25,14.32,14.34,14.31,14.34,26800,13.87
2014-07-24,14.30,14.30,14.23,14.29,74900,13.82
2014-07-23,14.23,14.31,14.23,14.29,63300,13.82
2014-07-22,14.25,14.28,14.20,14.23,76200,13.76
2014-07-21,14.21,14.28,14.21,14.25,57700,13.78
2014-07-18,14.23,14.23,14.16,14.18,49400,13.71
2014-07-17,14.22,14.24,14.17,14.21,63200,13.74
2014-07-16,14.10,14.18,14.08,14.18,51000,13.71
2014-07-15,14.08,14.14,14.07,14.09,53800,13.63
2014-07-14,14.20,14.23,14.10,14.10,141500,13.64
2014-07-11,14.17,14.23,14.17,14.19,58200,13.72
2014-07-10,14.32,14.33,14.23,14.23,77800,13.70
2014-07-09,14.28,14.29,14.22,14.27,66400,13.73
2014-07-08,14.27,14.32,14.27,14.29,80400,13.75
2014-07-07,14.05,14.26,14.05,14.20,152800,13.67
2014-07-03,14.38,14.38,14.08,14.10,332800,13.57
2014-07-02,14.59,14.60,14.41,14.44,143000,13.90
2014-07-01,14.64,14.66,14.58,14.63,49300,14.08
2014-06-30,14.68,14.68,14.60,14.60,21100,14.05
2014-06-27,14.65,14.68,14.64,14.65,32600,14.10
2014-06-26,14.62,14.64,14.58,14.64,65200,14.09
2014-06-25,14.48,14.57,14.48,14.57,52500,14.02
2014-06-24,14.42,14.48,14.42,14.48,32100,13.94
2014-06-23,14.39,14.45,14.37,14.42,95600,13.88
2014-06-20,14.43,14.47,14.42,14.43,44400,13.89
2014-06-19,14.49,14.50,14.39,14.42,58500,13.88
2014-06-18,14.43,14.48,14.42,14.44,80000,13.90
2014-06-17,14.61,14.61,14.44,14.44,58900,13.90
2014-06-16,14.56,14.60,14.54,14.55,31300,14.00
2014-06-13,14.69,14.69,14.55,14.55,55100,14.00
2014-06-12,14.65,14.69,14.62,14.64,39700,14.09
2014-06-11,14.62,14.76,14.62,14.74,87100,14.12
2014-06-10,14.70,14.70,14.64,14.69,51600,14.07
2014-06-09,14.62,14.69,14.59,14.67,87000,14.05
2014-06-06,14.61,14.65,14.55,14.57,99000,13.96
2014-06-05,14.46,14.54,14.42,14.54,76000,13.93
2014-06-04,14.54,14.54,14.40,14.43,80000,13.82
2014-06-03,14.57,14.58,14.49,14.49,64300,13.88
2014-06-02,14.69,14.75,14.54,14.57,102300,13.96
2014-05-30,14.73,14.74,14.66,14.73,70000,14.11
2014-05-29,14.74,14.78,14.72,14.76,106200,14.14
2014-05-28,14.57,14.73,14.56,14.73,187500,14.11
2014-05-27,14.57,14.62,14.56,14.56,58800,13.95
2014-05-23,14.53,14.58,14.52,14.57,46900,13.96
2014-05-22,14.49,14.56,14.48,14.52,53100,13.91
2014-05-21,14.52,14.52,14.47,14.51,43600,13.90
2014-05-20,14.55,14.56,14.49,14.53,88600,13.92
2014-05-19,14.53,14.57,14.51,14.51,39200,13.90
2014-05-16,14.52,14.53,14.46,14.53,110400,13.92
2014-05-15,14.54,14.55,14.45,14.45,70100,13.84
2014-05-14,14.57,14.57,14.46,14.46,109000,13.85
2014-05-13,14.62,14.62,14.52,14.52,53200,13.91
2014-05-12,14.65,14.68,14.64,14.65,32500,13.97
2014-05-09,14.64,14.65,14.63,14.64,29100,13.96
2014-05-08,14.65,14.70,14.63,14.63,54400,13.95
2014-05-07,14.60,14.69,14.60,14.67,69700,13.99
2014-05-06,14.53,14.64,14.53,14.60,44200,13.92
2014-05-05,14.57,14.62,14.54,14.58,54900,13.90
2014-05-02,14.59,14.64,14.50,14.57,69600,13.89
2014-05-01,14.58,14.65,14.56,14.58,74500,13.90
2014-04-30,14.49,14.55,14.48,14.55,80900,13.87
2014-04-29,14.48,14.49,14.40,14.45,75800,13.78
2014-04-28,14.48,14.51,14.45,14.51,76500,13.83
2014-04-25,14.40,14.48,14.40,14.45,66800,13.78
2014-04-24,14.32,14.40,14.28,14.38,53200,13.71
2014-04-23,14.29,14.38,14.27,14.35,79100,13.68
2014-04-22,14.21,14.30,14.21,14.27,85300,13.61
2014-04-21,14.18,14.24,14.17,14.20,102400,13.54
2014-04-17,14.20,14.24,14.18,14.21,59000,13.55
2014-04-16,14.15,14.21,14.14,14.18,71300,13.52
2014-04-15,14.07,14.17,14.07,14.11,133700,13.45
2014-04-14,14.05,14.14,14.05,14.11,72000,13.45
2014-04-11,14.08,14.11,14.06,14.06,34800,13.41
2014-04-10,14.17,14.18,14.10,14.14,93400,13.42
2014-04-09,14.20,14.22,14.14,14.14,122100,13.42
2014-04-08,14.16,14.27,14.15,14.23,59000,13.50
2014-04-07,14.12,14.21,14.12,14.18,59600,13.45
2014-04-04,14.15,14.17,14.10,14.10,48600,13.38
2014-04-03,14.12,14.15,14.09,14.12,51300,13.40
2014-04-02,14.10,14.14,14.08,14.10,86700,13.38
2014-04-01,14.15,14.20,14.11,14.11,67700,13.39
2014-03-31,14.18,14.22,14.17,14.20,50000,13.47
2014-03-28,14.15,14.24,14.15,14.21,90400,13.48
2014-03-27,14.07,14.18,14.07,14.15,68900,13.43
2014-03-26,14.00,14.11,14.00,14.09,79000,13.37
2014-03-25,14.05,14.05,13.97,13.99,35700,13.27
2014-03-24,14.05,14.05,13.97,14.04,95700,13.32
2014-03-21,13.97,14.04,13.95,14.03,49000,13.31
2014-03-20,13.99,13.99,13.91,13.95,92700,13.24
2014-03-19,14.17,14.19,13.99,14.01,165000,13.29
2014-03-18,14.16,14.16,14.10,14.15,78500,13.43
2014-03-17,14.10,14.15,14.09,14.15,55800,13.43
2014-03-14,14.12,14.15,14.00,14.04,69000,13.32
2014-03-13,14.07,14.15,14.05,14.15,93100,13.43
2014-03-12,13.95,14.10,13.95,14.09,67900,13.37
2014-03-11,14.11,14.11,13.95,14.02,92000,13.24
2014-03-10,13.97,14.12,13.97,14.04,112800,13.26
2014-03-07,14.01,14.02,13.90,13.97,173800,13.19
2014-03-06,14.15,14.16,14.07,14.08,108000,13.29
2014-03-05,14.13,14.18,14.09,14.11,67900,13.32
2014-03-04,14.16,14.17,14.11,14.13,125800,13.34
2014-03-03,14.14,14.19,14.13,14.16,71400,13.37
2014-02-28,14.15,14.15,14.11,14.14,51800,13.35
2014-02-27,14.15,14.15,14.11,14.15,63300,13.36
2014-02-26,14.12,14.17,14.12,14.14,59200,13.35
2014-02-25,14.12,14.14,14.10,14.13,66300,13.34
2014-02-24,14.16,14.17,14.14,14.14,74900,13.35
2014-02-21,14.11,14.18,14.11,14.17,62500,13.38
2014-02-20,14.14,14.15,14.10,14.10,42600,13.31
2014-02-19,14.11,14.17,14.10,14.12,144700,13.33
2014-02-18,14.06,14.14,14.05,14.12,83800,13.33
2014-02-14,14.04,14.11,14.02,14.10,68700,13.31
2014-02-13,14.02,14.08,13.95,14.06,123300,13.27
2014-02-12,14.13,14.15,14.05,14.05,115800,13.27
2014-02-11,14.20,14.23,14.18,14.18,55100,13.32
2014-02-10,14.17,14.23,14.17,14.22,60700,13.36
2014-02-07,14.05,14.17,14.04,14.11,114700,13.25
2014-02-06,13.98,14.05,13.97,14.05,78100,13.20
2014-02-05,13.96,14.07,13.92,13.97,200300,13.12
2014-02-04,14.28,14.28,13.98,14.00,251000,13.15
2014-02-03,14.25,14.29,14.18,14.25,170000,13.39
2014-01-31,14.17,14.26,14.15,14.23,66100,13.37
2014-01-30,14.06,14.22,14.06,14.17,67000,13.31
2014-01-29,14.07,14.12,14.02,14.07,143100,13.22
2014-01-28,14.15,14.17,14.04,14.10,236400,13.24
2014-01-27,14.23,14.26,14.12,14.16,152600,13.30
2014-01-24,14.37,14.39,14.20,14.22,173200,13.36
2014-01-23,14.31,14.43,14.30,14.35,139700,13.48
2014-01-22,14.37,14.44,14.30,14.33,125500,13.46
2014-01-21,14.40,14.48,14.37,14.37,115000,13.50
2014-01-17,14.21,14.43,14.21,14.37,100000,13.50
2014-01-16,14.20,14.25,14.19,14.19,97400,13.33
2014-01-15,14.23,14.26,14.17,14.20,112700,13.34
2014-01-14,14.30,14.35,14.18,14.20,172500,13.34
2014-01-13,14.32,14.38,14.28,14.31,138900,13.44
2014-01-10,14.26,14.41,14.26,14.36,110200,13.42
2014-01-09,14.23,14.25,14.19,14.25,62500,13.32
2014-01-08,14.21,14.26,14.17,14.22,104300,13.29
2014-01-07,14.40,14.44,14.26,14.26,136800,13.33
2014-01-06,14.09,14.40,14.06,14.35,291800,13.41
2014-01-03,13.96,14.08,13.93,14.08,128700,13.16
2014-01-02,13.83,14.01,13.82,13.95,156700,13.04
2013-12-31,13.86,13.92,13.75,13.90,330400,12.99
2013-12-30,13.76,14.01,13.74,14.00,521000,13.09
2013-12-27,13.92,13.94,13.78,13.80,249000,12.90
2013-12-26,14.06,14.16,13.92,13.94,252600,13.03
2013-12-24,14.01,14.05,13.93,13.99,185400,13.08
2013-12-23,13.68,13.98,13.67,13.97,514800,13.06
2013-12-20,13.60,13.69,13.56,13.56,347100,12.67
2013-12-19,13.48,13.63,13.47,13.63,266500,12.74
2013-12-18,13.32,13.65,13.32,13.55,471900,12.66
2013-12-17,13.10,13.33,13.10,13.29,340900,12.42
2013-12-16,13.10,13.19,13.07,13.12,294400,12.26
2013-12-13,13.12,13.18,13.12,13.14,204300,12.28
2013-12-12,13.21,13.21,13.08,13.20,315700,12.34
2013-12-11,13.10,13.24,13.04,13.18,310100,12.32
2013-12-10,13.14,13.22,13.11,13.22,389100,12.23
2013-12-09,13.15,13.19,13.09,13.15,192500,12.17
2013-12-06,13.17,13.24,13.14,13.16,354800,12.18
2013-12-05,13.26,13.31,13.15,13.15,334200,12.17
2013-12-04,13.23,13.33,13.22,13.33,214500,12.33
2013-12-03,13.15,13.32,13.15,13.28,318900,12.29
2013-12-02,13.22,13.28,13.21,13.24,163200,12.25
2013-11-29,13.26,13.30,13.22,13.28,57000,12.29
2013-11-27,13.21,13.31,13.21,13.28,177900,12.29
2013-11-26,13.23,13.35,13.23,13.27,202300,12.28
2013-11-25,13.29,13.31,13.23,13.27,182400,12.28
2013-11-22,13.32,13.39,13.25,13.26,216100,12.27
2013-11-21,13.48,13.50,13.30,13.31,156600,12.32
2013-11-20,13.54,13.58,13.46,13.48,109000,12.47
2013-11-19,13.60,13.62,13.52,13.58,161500,12.57
2013-11-18,13.60,13.61,13.53,13.61,110500,12.59
2013-11-15,13.33,13.58,13.29,13.53,285800,12.52
2013-11-14,13.35,13.42,13.30,13.34,113200,12.34
2013-11-13,13.43,13.45,13.36,13.36,132100,12.36
2013-11-12,13.54,13.54,13.40,13.45,145600,12.38
2013-11-11,13.61,13.62,13.50,13.54,69000,12.46
2013-11-08,13.78,13.78,13.60,13.62,160200,12.54
2013-11-07,13.86,13.92,13.80,13.84,90500,12.74
2013-11-06,13.98,14.01,13.87,13.89,130300,12.78
2013-11-05,13.78,13.98,13.77,13.98,142900,12.87
2013-11-04,13.77,13.84,13.73,13.82,165500,12.72
2013-11-01,13.91,13.91,13.70,13.73,155600,12.64
2013-10-31,14.01,14.01,13.84,13.91,110000,12.80
2013-10-30,14.12,14.12,13.92,13.99,97900,12.88
2013-10-29,14.13,14.13,14.05,14.07,89000,12.95
2013-10-28,14.01,14.11,14.01,14.11,71600,12.99
2013-10-25,13.97,14.07,13.97,14.04,82300,12.92
2013-10-24,13.90,14.02,13.87,13.99,148700,12.88
2013-10-23,13.93,13.95,13.82,13.89,135800,12.78
2013-10-22,13.91,13.95,13.85,13.93,90100,12.82
2013-10-21,13.96,13.99,13.76,13.86,99100,12.76
2013-10-18,13.93,14.01,13.88,13.95,161700,12.84
2013-10-17,13.68,13.88,13.66,13.86,233200,12.76
2013-10-16,13.58,13.66,13.57,13.65,93500,12.56
2013-10-15,13.58,13.62,13.53,13.61,84900,12.53
2013-10-14,13.61,13.66,13.57,13.62,116000,12.54
2013-10-11,13.60,13.68,13.56,13.61,102500,12.53
2013-10-10,13.79,13.79,13.66,13.68,112000,12.53
2013-10-09,13.71,13.80,13.70,13.75,103300,12.59
2013-10-08,13.84,13.84,13.71,13.77,98500,12.61
2013-10-07,13.91,13.91,13.77,13.81,57700,12.65
2013-10-04,13.93,13.98,13.88,13.93,76000,12.76
2013-10-03,14.08,14.08,13.92,13.93,43400,12.76
2013-10-02,14.14,14.16,13.99,14.09,106400,12.90
2013-10-01,14.22,14.26,14.13,14.16,102000,12.97
2013-09-30,14.23,14.30,14.18,14.28,66200,13.08
2013-09-27,14.32,14.33,14.23,14.30,44100,13.09
2013-09-26,14.37,14.45,14.29,14.36,112600,13.15
2013-09-25,14.31,14.43,14.31,14.35,71800,13.14
2013-09-24,14.27,14.40,14.20,14.32,95100,13.11
2013-09-23,14.30,14.42,14.24,14.34,136000,13.13
2013-09-20,14.21,14.32,14.13,14.32,76700,13.11
2013-09-19,14.19,14.24,14.12,14.24,146500,13.04
2013-09-18,13.86,14.24,13.71,14.22,96200,13.02
2013-09-17,13.59,13.83,13.58,13.82,83700,12.65
2013-09-16,13.68,13.68,13.52,13.58,131300,12.43
2013-09-13,13.48,13.54,13.44,13.47,73100,12.33
2013-09-12,13.49,13.62,13.42,13.42,102500,12.29
2013-09-11,13.66,13.66,13.50,13.52,71500,12.31
2013-09-10,13.72,13.73,13.60,13.63,80900,12.41
2013-09-09,13.66,13.77,13.64,13.71,66900,12.49
2013-09-06,13.64,13.74,13.60,13.68,114800,12.46
2013-09-05,13.78,13.78,13.60,13.61,133800,12.40
2013-09-04,13.75,13.82,13.71,13.74,123100,12.51
2013-09-03,13.91,13.91,13.70,13.75,75400,12.52
2013-08-30,13.82,13.84,13.79,13.82,35200,12.59
2013-08-29,13.84,13.84,13.75,13.81,98700,12.58
2013-08-28,13.81,13.89,13.80,13.86,80700,12.62
2013-08-27,13.82,13.95,13.81,13.86,105800,12.62
2013-08-26,14.02,14.06,13.85,13.91,84300,12.67
2013-08-23,14.05,14.16,13.85,14.04,118100,12.79
2013-08-22,13.83,14.10,13.80,14.09,120100,12.83
2013-08-21,13.88,13.96,13.81,13.90,112400,12.66
2013-08-20,13.63,13.91,13.61,13.91,94300,12.67
2013-08-19,13.42,13.66,13.42,13.63,160900,12.41
2013-08-16,13.45,13.52,13.36,13.42,135900,12.22
2013-08-15,13.57,13.57,13.48,13.51,124000,12.30
2013-08-14,13.60,13.67,13.55,13.64,126600,12.42
2013-08-13,13.61,13.66,13.55,13.55,113200,12.34
2013-08-12,13.68,13.83,13.65,13.70,176500,12.41
2013-08-09,13.65,13.67,13.59,13.61,91600,12.33
2013-08-08,13.80,13.80,13.62,13.62,122600,12.34
2013-08-07,13.75,13.75,13.56,13.75,134600,12.46
2013-08-06,13.75,13.81,13.60,13.65,184700,12.37
2013-08-05,13.83,13.87,13.77,13.79,146100,12.49
2013-08-02,13.80,13.88,13.80,13.80,89700,12.50
2013-08-01,14.00,14.07,13.79,13.79,167300,12.49
2013-07-31,14.00,14.01,13.85,13.91,160800,12.60
2013-07-30,14.14,14.14,13.98,14.06,54300,12.74
2013-07-29,14.01,14.08,13.98,14.08,194200,12.76
2013-07-26,13.82,14.04,13.82,13.96,132100,12.65
2013-07-25,13.93,13.98,13.85,13.88,119000,12.58
2013-07-24,13.97,13.98,13.90,13.94,201100,12.63
2013-07-23,13.88,14.00,13.82,13.93,145300,12.62
2013-07-22,13.98,14.02,13.80,13.85,131900,12.55
2013-07-19,14.25,14.25,14.03,14.04,130700,12.72
2013-07-18,14.29,14.30,14.16,14.20,123100,12.87
2013-07-17,14.06,14.28,14.00,14.20,86100,12.87
2013-07-16,14.00,14.09,13.93,14.02,105900,12.70
2013-07-15,14.06,14.10,14.00,14.01,57400,12.69
2013-07-12,14.28,14.29,14.06,14.13,116100,12.80
