Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,51.78,52.00,51.26,51.77,1815400,51.77
2015-02-12,51.31,51.85,50.69,50.89,1722200,50.89
2015-02-11,50.28,51.04,49.79,50.93,2693000,50.58
2015-02-10,51.17,51.30,50.45,51.07,3349000,50.72
2015-02-09,50.98,51.43,50.36,51.07,3358000,50.72
2015-02-06,50.77,50.77,49.80,50.51,2203300,50.16
2015-02-05,49.60,50.43,49.31,50.19,1836400,49.85
2015-02-04,48.89,49.84,48.35,49.17,2874800,48.83
2015-02-03,48.80,50.59,48.71,49.91,3058500,49.57
2015-02-02,46.20,47.68,45.69,47.65,2804000,47.32
2015-01-30,43.39,45.82,43.05,44.91,3165100,44.60
2015-01-29,43.83,43.98,42.19,43.68,3957400,43.38
2015-01-28,46.38,46.56,43.00,43.40,4028300,43.10
2015-01-27,46.58,47.03,46.19,46.78,2131400,46.46
2015-01-26,46.66,47.10,46.17,46.87,1678000,46.55
2015-01-23,47.73,48.39,46.52,46.63,2368400,46.31
2015-01-22,48.34,48.49,47.17,48.11,1282600,47.78
2015-01-21,47.52,48.39,47.41,48.03,1366400,47.70
2015-01-20,47.03,47.37,46.54,47.37,1537300,47.04
2015-01-16,45.79,47.76,45.65,47.68,2741100,47.35
2015-01-15,47.20,47.30,45.44,45.48,1335000,45.17
2015-01-14,46.45,46.55,44.84,46.36,1822000,46.04
2015-01-13,46.95,47.32,45.84,46.63,2051600,46.31
2015-01-12,47.29,47.36,46.08,46.74,2198100,46.42
2015-01-09,48.56,48.87,47.63,48.51,1389100,48.18
2015-01-08,47.06,48.59,46.72,48.57,2919000,48.24
2015-01-07,47.34,47.63,46.18,46.48,2030300,46.16
2015-01-06,47.61,48.42,46.26,46.58,2380700,46.26
2015-01-05,49.52,49.52,47.44,47.80,2079800,47.47
2015-01-02,49.91,50.77,49.61,50.49,1425500,50.14
2014-12-31,50.02,51.11,49.81,50.52,1282800,50.17
2014-12-30,50.28,51.07,49.75,50.74,1379100,50.39
2014-12-29,50.59,51.03,50.04,50.53,1110200,50.18
2014-12-26,50.74,50.97,50.18,50.33,675500,49.98
2014-12-24,50.68,50.75,49.55,50.31,651300,49.96
2014-12-23,50.35,51.41,50.01,51.10,1437900,50.75
2014-12-22,49.93,50.04,48.94,49.93,1627800,49.59
2014-12-19,48.93,50.70,48.68,50.66,3812900,50.31
2014-12-18,48.86,49.35,46.94,48.62,2327900,48.29
2014-12-17,45.18,48.06,45.17,47.52,2890200,47.19
2014-12-16,43.78,46.63,43.57,44.84,3415800,44.53
2014-12-15,45.38,45.78,44.31,44.39,1806900,44.08
2014-12-12,44.69,45.75,44.19,44.92,3030600,44.61
2014-12-11,45.54,46.61,45.41,45.66,2070000,45.35
2014-12-10,45.97,45.97,44.96,45.43,2079000,45.12
2014-12-09,46.03,47.52,45.94,46.85,2117800,46.53
2014-12-08,48.15,48.33,45.92,46.15,2632500,45.83
2014-12-05,49.00,49.71,48.49,48.92,1930200,48.58
2014-12-04,48.78,49.64,48.44,49.19,1734000,48.85
2014-12-03,49.40,50.25,49.07,49.72,1755200,49.38
2014-12-02,48.55,50.13,48.22,49.08,2461600,48.74
2014-12-01,48.00,49.11,47.68,49.03,3402300,48.69
2014-11-28,49.30,49.39,47.86,48.42,4022200,48.09
2014-11-26,52.22,52.31,51.46,51.58,864900,51.23
2014-11-25,53.33,53.37,51.72,52.44,2444100,52.08
2014-11-24,53.92,53.98,52.67,52.99,1153500,52.63
2014-11-21,54.21,54.74,53.61,54.08,1245000,53.71
2014-11-20,51.63,53.51,51.59,53.26,1666900,52.89
2014-11-19,51.72,51.78,50.82,51.61,1881600,51.26
2014-11-18,51.30,51.91,50.86,51.72,821500,51.36
2014-11-17,51.32,51.78,50.84,51.41,1084200,51.06
2014-11-14,51.53,52.04,51.18,51.94,1247100,51.58
2014-11-13,52.10,52.19,50.86,51.33,1348800,50.98
2014-11-12,52.84,53.45,51.31,52.52,1632900,52.16
2014-11-11,54.06,54.52,53.51,54.12,1626200,53.40
2014-11-10,54.99,55.36,53.62,53.85,2378800,53.13
2014-11-07,53.26,54.57,53.00,54.53,2022100,53.81
2014-11-06,52.13,53.17,51.57,53.05,1836800,52.34
2014-11-05,51.60,52.40,50.78,52.25,1485400,51.56
2014-11-04,51.58,51.90,50.66,51.24,1503600,50.56
2014-11-03,53.81,54.57,52.26,52.44,1907300,51.74
2014-10-31,51.80,53.45,51.14,53.39,1889600,52.68
2014-10-30,52.00,52.99,51.04,52.21,3000900,51.52
2014-10-29,53.23,53.57,51.29,52.00,2495200,51.31
2014-10-28,51.32,52.69,50.75,52.63,1118200,51.93
2014-10-27,51.32,51.43,50.43,50.89,1491300,50.21
2014-10-24,52.85,53.00,51.97,52.15,1699500,51.46
2014-10-23,52.66,53.56,52.33,53.04,1126000,52.33
2014-10-22,53.56,54.06,52.03,52.05,1210900,51.36
2014-10-21,52.19,53.45,52.18,53.42,1420300,52.71
2014-10-20,51.38,51.94,50.74,51.73,1784600,51.04
2014-10-17,52.86,52.90,51.28,51.46,2746200,50.78
2014-10-16,49.94,52.23,49.78,51.88,2911500,51.19
2014-10-15,49.90,51.29,49.38,51.11,3170000,50.43
2014-10-14,51.03,52.31,50.05,50.53,2385100,49.86
2014-10-13,53.03,53.76,50.76,50.79,2209100,50.11
2014-10-10,53.59,54.37,52.91,53.18,2460600,52.47
2014-10-09,54.95,55.23,53.71,53.91,2584100,53.19
2014-10-08,54.24,55.57,53.73,55.50,1996300,54.76
2014-10-07,54.49,55.06,54.33,54.38,1453200,53.66
2014-10-06,55.10,55.44,54.35,54.94,1202400,54.21
2014-10-03,55.71,55.80,54.74,55.05,1156900,54.32
2014-10-02,55.40,56.20,54.51,55.72,1498600,54.98
2014-10-01,56.92,56.98,56.11,56.13,2471700,55.38
2014-09-30,57.00,58.40,56.76,56.91,2800100,56.15
2014-09-29,56.43,57.19,56.00,57.00,1122200,56.24
2014-09-26,56.23,57.35,56.21,57.06,924900,56.30
2014-09-25,57.31,57.31,56.18,56.18,946200,55.43
2014-09-24,57.56,57.60,56.53,57.28,1326200,56.52
2014-09-23,57.13,58.10,57.03,57.56,1397200,56.79
2014-09-22,57.17,57.44,56.87,57.15,764200,56.39
2014-09-19,57.98,58.07,57.52,57.86,1289500,57.09
2014-09-18,58.30,58.45,57.58,57.70,782400,56.93
2014-09-17,58.49,58.77,58.19,58.27,903300,57.50
2014-09-16,58.00,59.00,57.84,58.49,1207600,57.71
2014-09-15,57.03,58.00,56.75,57.94,1392900,57.17
2014-09-12,57.77,57.90,57.09,57.27,706700,56.51
2014-09-11,57.83,58.29,57.44,58.01,1183900,57.24
2014-09-10,58.48,58.59,57.80,58.33,822100,57.55
2014-09-09,59.04,59.17,58.22,58.60,841000,57.82
2014-09-08,59.57,59.60,58.37,58.99,1058000,58.21
2014-09-05,59.72,60.02,59.28,59.94,1010700,59.14
2014-09-04,61.14,61.17,59.39,59.68,1314200,58.89
2014-09-03,61.41,61.69,61.11,61.20,934200,60.39
2014-09-02,62.30,62.45,60.66,60.96,945800,60.15
2014-08-29,61.52,62.53,61.24,62.47,1290800,61.64
2014-08-28,60.74,61.40,60.52,61.11,733100,60.30
2014-08-27,61.25,61.34,60.68,60.79,716100,59.98
2014-08-26,61.39,61.97,61.12,61.13,737900,60.32
2014-08-25,61.07,61.40,60.94,61.28,594900,60.47
2014-08-22,61.12,61.12,60.32,60.85,618000,60.04
2014-08-21,60.50,61.41,60.45,61.32,780200,60.50
2014-08-20,60.49,60.66,60.06,60.61,830100,59.80
2014-08-19,60.76,61.01,60.46,60.48,1363200,59.68
2014-08-18,60.57,60.75,60.19,60.55,1264800,59.74
2014-08-15,60.20,60.55,60.00,60.46,999900,59.66
2014-08-14,59.88,60.09,59.58,59.86,981000,59.06
2014-08-13,60.55,60.88,59.88,60.02,1175200,58.88
2014-08-12,60.88,61.08,60.03,60.29,871700,59.14
2014-08-11,61.69,61.86,61.08,61.13,723400,59.97
2014-08-08,60.50,61.39,60.35,61.32,1110300,60.15
2014-08-07,61.69,62.91,60.12,60.37,1491200,59.22
2014-08-06,60.44,61.33,60.17,60.85,1358800,59.69
2014-08-05,61.59,61.89,60.39,60.67,1526900,59.51
2014-08-04,61.47,62.14,61.10,62.05,1296500,60.87
2014-08-01,61.51,62.00,60.69,61.53,2145100,60.36
2014-07-31,61.24,63.86,61.03,62.13,3942100,60.95
2014-07-30,67.63,68.15,66.33,66.72,1433600,65.45
2014-07-29,67.26,68.04,67.23,67.23,753700,65.95
2014-07-28,67.56,67.92,66.96,67.51,693200,66.22
2014-07-25,67.70,67.99,67.37,67.61,676700,66.32
2014-07-24,67.70,68.43,67.48,67.73,1187500,66.44
2014-07-23,67.28,67.77,67.11,67.75,917700,66.46
2014-07-22,66.89,67.62,66.86,67.09,1050300,65.81
2014-07-21,65.89,66.75,65.88,66.64,1180500,65.37
2014-07-18,66.26,66.45,65.72,66.32,1142700,65.06
2014-07-17,66.21,67.68,66.08,66.13,2315400,64.87
2014-07-16,65.49,66.19,65.39,65.97,1018400,64.71
2014-07-15,65.38,65.59,64.30,65.03,1183300,63.79
2014-07-14,65.45,65.92,65.06,65.64,839700,64.39
2014-07-11,65.50,65.71,65.19,65.24,1350700,64.00
2014-07-10,65.39,65.71,64.91,65.45,1191000,64.20
2014-07-09,66.23,66.56,65.70,66.05,1141000,64.79
2014-07-08,66.77,67.00,65.77,66.20,1532500,64.94
2014-07-07,66.39,67.06,66.12,67.00,1540600,65.72
2014-07-03,66.98,66.98,66.68,66.76,679900,65.49
2014-07-02,66.45,66.87,66.27,66.74,790600,65.47
2014-07-01,66.78,66.88,66.38,66.62,1054300,65.35
2014-06-30,66.70,66.70,66.27,66.48,1152400,65.21
2014-06-27,66.02,66.86,66.02,66.68,1264000,65.41
2014-06-26,65.84,66.43,65.36,66.15,961600,64.89
2014-06-25,64.64,65.94,64.39,65.78,1218400,64.53
2014-06-24,66.80,66.91,64.80,64.89,1119900,63.65
2014-06-23,66.56,67.07,66.37,66.82,1093600,65.55
2014-06-20,65.86,66.11,65.41,66.01,1712800,64.75
2014-06-19,64.91,65.56,64.54,65.56,923300,64.31
2014-06-18,64.65,65.03,64.31,64.89,1226500,63.65
2014-06-17,64.99,65.11,64.18,64.71,1271900,63.48
2014-06-16,65.28,65.60,64.91,65.35,1015100,64.11
2014-06-13,64.31,65.33,64.01,65.28,1288700,64.04
2014-06-12,63.99,64.83,63.83,64.14,1081800,62.92
2014-06-11,63.13,63.76,63.02,63.63,989100,62.42
