Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,13.37,13.41,13.35,13.35,35800,13.35
2015-02-12,13.45,13.49,13.40,13.42,44700,13.42
2015-02-11,13.65,13.65,13.46,13.47,55500,13.47
2015-02-10,13.66,13.68,13.63,13.67,47100,13.60
2015-02-09,13.74,13.74,13.66,13.66,34600,13.59
2015-02-06,13.80,13.84,13.71,13.71,67900,13.64
2015-02-05,13.82,13.87,13.80,13.84,26700,13.77
2015-02-04,13.90,13.91,13.78,13.81,46900,13.74
2015-02-03,13.90,13.97,13.89,13.89,54500,13.82
2015-02-02,13.93,13.95,13.87,13.89,39400,13.82
2015-01-30,13.80,13.88,13.79,13.88,37500,13.81
2015-01-29,13.74,13.78,13.67,13.78,19200,13.71
2015-01-28,13.67,13.69,13.66,13.67,29500,13.60
2015-01-27,13.59,13.64,13.59,13.61,16100,13.54
2015-01-26,13.57,13.61,13.53,13.58,15300,13.51
2015-01-23,13.56,13.60,13.55,13.56,28500,13.49
2015-01-22,13.53,13.56,13.50,13.51,28600,13.44
2015-01-21,13.52,13.55,13.50,13.50,20300,13.43
2015-01-20,13.59,13.59,13.51,13.53,17200,13.46
2015-01-16,13.64,13.67,13.53,13.53,34400,13.46
2015-01-15,13.52,13.63,13.50,13.59,39600,13.52
2015-01-14,13.49,13.54,13.47,13.47,29800,13.40
2015-01-13,13.49,13.49,13.44,13.47,33000,13.40
2015-01-12,13.54,13.54,13.46,13.51,40900,13.38
2015-01-09,13.41,13.49,13.41,13.47,44300,13.34
2015-01-08,13.46,13.47,13.41,13.42,46700,13.29
2015-01-07,13.41,13.54,13.41,13.48,57500,13.35
2015-01-06,13.39,13.45,13.38,13.41,61600,13.28
2015-01-05,13.31,13.36,13.31,13.34,21600,13.21
2015-01-02,13.30,13.37,13.29,13.30,12300,13.17
2014-12-31,13.34,13.37,13.30,13.32,20600,13.19
2014-12-30,13.34,13.34,13.29,13.31,25100,13.18
2014-12-29,13.33,13.34,13.25,13.28,35900,13.15
2014-12-26,13.33,13.34,13.29,13.34,6400,13.21
2014-12-24,13.35,13.35,13.29,13.29,5400,13.16
2014-12-23,13.33,13.35,13.27,13.35,19000,13.22
2014-12-22,13.32,13.36,13.25,13.26,22900,13.13
2014-12-19,13.35,13.35,13.26,13.28,21600,13.15
2014-12-18,13.37,13.37,13.26,13.30,18700,13.17
2014-12-17,13.29,13.32,13.26,13.32,11600,13.19
2014-12-16,13.20,13.28,13.20,13.28,11900,13.15
2014-12-15,13.26,13.29,13.23,13.25,15600,13.12
2014-12-12,13.24,13.29,13.21,13.29,15900,13.16
2014-12-11,13.32,13.33,13.21,13.21,37300,13.08
2014-12-10,13.26,13.32,13.26,13.32,15600,13.19
2014-12-09,13.37,13.44,13.26,13.31,68300,13.11
2014-12-08,13.38,13.44,13.38,13.44,22400,13.24
2014-12-05,13.46,13.46,13.35,13.38,49600,13.18
2014-12-04,13.35,13.45,13.35,13.42,26200,13.22
