Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,53.33,54.00,53.33,53.91,998500,53.91
2015-02-12,52.00,53.48,51.99,53.32,1200400,53.32
2015-02-11,51.48,51.89,51.36,51.84,1391700,51.84
2015-02-10,50.57,51.71,50.56,51.48,798900,51.48
2015-02-09,50.60,50.79,50.17,50.43,672900,50.43
2015-02-06,51.05,51.14,50.56,50.72,811700,50.72
2015-02-05,51.31,51.44,50.85,50.90,967200,50.90
2015-02-04,50.47,51.28,50.28,51.05,1399500,51.05
2015-02-03,50.35,50.76,50.20,50.69,1326000,50.69
2015-02-02,51.27,51.50,49.86,50.41,1825200,50.16
2015-01-30,50.21,50.76,50.06,50.28,1657400,50.03
2015-01-29,50.42,50.95,50.08,50.70,1743500,50.45
2015-01-28,51.07,51.38,50.30,50.43,2608700,50.18
2015-01-27,50.32,51.12,49.61,50.74,3599900,50.49
2015-01-26,49.70,53.88,49.31,51.35,12340900,51.10
2015-01-23,45.71,45.75,44.98,45.04,537400,44.82
2015-01-22,45.22,45.78,44.88,45.76,909700,45.53
2015-01-21,44.68,45.24,44.49,44.91,610100,44.69
2015-01-20,45.05,45.18,44.37,44.81,589200,44.59
2015-01-16,44.17,44.65,44.08,44.63,613100,44.41
2015-01-15,44.95,44.98,44.14,44.18,1099600,43.96
2015-01-14,44.23,44.85,44.22,44.73,942300,44.51
2015-01-13,45.25,45.64,44.26,44.84,1792100,44.62
2015-01-12,44.53,45.12,44.11,44.94,1821600,44.72
2015-01-09,45.50,45.65,44.26,44.50,2475400,44.28
2015-01-08,45.35,45.77,45.00,45.59,3704000,45.36
2015-01-07,42.96,43.13,42.71,43.09,1374000,42.88
2015-01-06,43.47,43.54,42.49,42.58,1243300,42.37
2015-01-05,43.82,43.91,43.14,43.49,1303100,43.27
2015-01-02,44.55,44.78,43.82,44.04,891600,43.82
2014-12-31,45.14,45.19,44.38,44.39,705300,44.17
2014-12-30,45.15,45.17,44.88,44.90,411600,44.68
2014-12-29,45.05,45.39,45.00,45.22,440100,45.00
2014-12-26,45.28,45.41,45.15,45.18,258000,44.96
2014-12-24,45.41,45.42,45.12,45.15,191500,44.93
2014-12-23,45.30,45.43,45.17,45.36,577700,45.14
2014-12-22,45.08,45.25,44.93,45.17,539300,44.95
2014-12-19,45.04,45.35,44.74,44.96,1635300,44.74
2014-12-18,44.69,44.86,44.34,44.82,719700,44.60
2014-12-17,43.12,44.09,42.98,44.01,667900,43.79
2014-12-16,43.27,43.85,42.99,43.04,754700,42.83
2014-12-15,43.79,44.00,42.93,43.41,939000,43.19
2014-12-12,44.36,44.45,43.56,43.59,832500,43.37
2014-12-11,44.63,45.23,44.54,44.69,531700,44.47
2014-12-10,44.96,45.12,44.43,44.51,532100,44.29
2014-12-09,44.41,45.11,44.28,45.06,465300,44.84
2014-12-08,45.10,45.30,44.72,44.86,421300,44.64
2014-12-05,44.98,45.23,44.88,45.19,596800,44.97
2014-12-04,45.02,45.28,44.82,45.08,461000,44.86
2014-12-03,44.82,45.29,44.62,45.05,828700,44.83
2014-12-02,44.40,44.96,44.32,44.83,484000,44.61
2014-12-01,44.58,44.74,44.22,44.31,738300,44.09
2014-11-28,44.84,45.09,44.64,44.80,457500,44.58
2014-11-26,44.77,44.88,44.47,44.73,426500,44.51
2014-11-25,44.89,45.30,44.77,44.93,591000,44.71
2014-11-24,44.94,45.09,44.71,44.87,515700,44.65
2014-11-21,44.84,45.12,44.48,44.86,970900,44.64
2014-11-20,44.00,44.46,43.91,44.30,569600,44.08
2014-11-19,44.38,44.47,44.07,44.37,953700,44.15
2014-11-18,44.49,44.85,44.36,44.72,729500,44.25
2014-11-17,44.25,44.69,44.25,44.56,562000,44.09
2014-11-14,44.60,44.60,44.00,44.14,525900,43.68
2014-11-13,44.51,44.80,44.33,44.54,590800,44.07
2014-11-12,44.24,44.67,44.17,44.52,556300,44.05
2014-11-11,44.69,44.77,44.04,44.33,654400,43.86
2014-11-10,44.15,44.71,44.07,44.71,585100,44.24
2014-11-07,44.24,44.43,44.07,44.09,995800,43.63
2014-11-06,44.26,44.39,43.72,44.22,887800,43.75
2014-11-05,44.67,44.69,43.97,44.11,1067500,43.65
2014-11-04,43.74,44.46,43.74,44.43,1207900,43.96
2014-11-03,44.25,44.33,43.53,43.89,702100,43.43
2014-10-31,43.83,44.22,43.28,44.17,1405300,43.71
2014-10-30,42.56,43.61,42.36,43.07,1462500,42.62
2014-10-29,42.69,42.95,41.88,42.57,2728300,42.12
2014-10-28,42.50,43.16,41.85,42.56,2221100,42.11
2014-10-27,42.46,42.46,41.18,41.46,1739000,41.02
2014-10-24,42.00,42.88,41.81,42.87,1090800,42.42
2014-10-23,42.30,42.44,41.93,42.00,1381800,41.56
2014-10-22,42.03,42.43,41.68,41.68,1028100,41.24
2014-10-21,41.29,42.04,40.90,42.03,1223900,41.59
2014-10-20,39.79,40.78,39.79,40.77,1021200,40.34
2014-10-17,39.54,39.95,39.39,39.82,1068700,39.40
2014-10-16,38.33,39.32,38.28,39.23,1463800,38.82
2014-10-15,37.80,38.72,37.28,38.55,2408500,38.14
2014-10-14,38.60,38.64,37.86,38.27,1977700,37.87
2014-10-13,39.41,39.83,38.33,38.34,1186500,37.94
2014-10-10,40.03,40.45,39.39,39.40,1256200,38.99
2014-10-09,41.05,41.12,39.93,39.99,1409900,39.57
2014-10-08,41.00,41.11,40.57,41.07,1940000,40.64
2014-10-07,41.37,41.74,40.94,40.96,1067300,40.53
2014-10-06,41.46,41.65,41.25,41.51,822600,41.07
2014-10-03,40.60,41.43,40.60,41.36,908900,40.92
2014-10-02,40.31,40.50,39.89,40.38,834300,39.96
2014-10-01,40.78,41.06,40.21,40.33,1470600,39.91
2014-09-30,41.17,41.38,40.90,40.94,991200,40.51
2014-09-29,41.00,41.37,40.83,41.22,743100,40.79
2014-09-26,41.00,41.47,41.00,41.37,634500,40.93
2014-09-25,41.55,41.60,41.00,41.00,676600,40.57
2014-09-24,41.56,41.80,41.32,41.66,929500,41.22
2014-09-23,41.78,41.92,41.50,41.50,826700,41.06
2014-09-22,42.20,42.33,41.75,41.88,969600,41.44
2014-09-19,42.64,42.87,42.15,42.24,1270200,41.80
2014-09-18,42.40,42.51,42.18,42.44,895700,41.99
2014-09-17,42.43,42.62,42.00,42.18,1616800,41.74
2014-09-16,42.39,42.67,41.79,42.41,645300,41.96
2014-09-15,42.50,42.77,42.30,42.42,1239100,41.97
2014-09-12,42.72,42.85,42.22,42.49,754100,42.04
2014-09-11,41.93,43.04,41.89,42.69,1912400,42.24
2014-09-10,42.27,42.33,41.63,42.06,879700,41.62
2014-09-09,42.43,42.54,42.13,42.29,799400,41.85
2014-09-08,42.83,42.95,42.32,42.61,844100,42.16
2014-09-05,42.66,42.93,42.17,42.85,888800,42.40
2014-09-04,42.80,43.14,42.71,42.79,1105000,42.34
2014-09-03,43.00,43.30,42.78,42.86,1363900,42.41
2014-09-02,43.10,43.34,42.65,42.91,1032400,42.46
2014-08-29,42.87,43.04,42.60,43.00,1033900,42.55
2014-08-28,42.74,43.00,42.68,42.88,577100,42.43
2014-08-27,43.01,43.08,42.86,42.98,403400,42.53
2014-08-26,42.83,43.05,42.78,42.94,752500,42.49
2014-08-25,42.91,42.93,42.72,42.77,345000,42.32
2014-08-22,42.90,42.96,42.58,42.65,355500,42.20
2014-08-21,42.55,42.95,42.43,42.89,537300,42.44
2014-08-20,42.81,42.81,42.30,42.44,738400,41.99
2014-08-19,42.90,43.24,42.80,42.90,482800,42.45
2014-08-18,42.65,42.79,42.46,42.75,562900,42.30
2014-08-15,42.55,42.71,42.15,42.49,412400,42.04
