Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,15.60,15.62,15.51,15.51,81800,15.51
2015-02-12,15.60,15.68,15.58,15.60,89000,15.60
2015-02-11,15.91,15.91,15.68,15.69,54500,15.69
2015-02-10,16.00,16.01,15.92,15.92,31000,15.85
2015-02-09,16.00,16.05,15.95,15.95,48500,15.88
2015-02-06,16.10,16.10,16.00,16.01,22000,15.94
2015-02-05,16.21,16.22,16.06,16.13,49600,16.06
2015-02-04,16.38,16.39,16.13,16.19,56300,16.11
2015-02-03,16.51,16.51,16.32,16.35,83000,16.27
2015-02-02,16.49,16.56,16.43,16.46,40100,16.38
2015-01-30,16.31,16.43,16.25,16.37,32800,16.29
2015-01-29,16.22,16.27,16.15,16.25,25600,16.17
2015-01-28,16.08,16.20,16.07,16.12,59300,16.05
2015-01-27,15.97,16.02,15.94,16.02,24500,15.95
2015-01-26,15.96,15.98,15.88,15.88,27900,15.81
2015-01-23,16.03,16.03,15.92,15.94,26800,15.87
2015-01-22,15.98,15.98,15.91,15.95,29800,15.88
2015-01-21,15.99,15.99,15.89,15.95,26800,15.88
2015-01-20,15.97,16.00,15.92,15.92,17100,15.85
2015-01-16,15.85,15.93,15.84,15.91,66900,15.84
2015-01-15,15.70,15.80,15.70,15.80,28500,15.73
2015-01-14,15.64,15.70,15.63,15.70,42300,15.63
2015-01-13,15.54,15.63,15.49,15.63,50800,15.56
2015-01-12,15.64,15.73,15.56,15.60,111400,15.45
2015-01-09,15.63,15.67,15.60,15.66,34200,15.51
2015-01-08,15.71,15.74,15.62,15.66,38200,15.51
2015-01-07,15.71,15.75,15.66,15.74,40000,15.59
2015-01-06,15.57,15.67,15.57,15.67,42000,15.52
2015-01-05,15.45,15.58,15.45,15.58,35400,15.43
2015-01-02,15.45,15.52,15.40,15.52,31200,15.37
2014-12-31,15.54,15.54,15.42,15.45,29700,15.31
2014-12-30,15.55,15.55,15.41,15.48,28500,15.33
2014-12-29,15.44,15.54,15.39,15.53,43900,15.38
2014-12-26,15.40,15.48,15.40,15.44,12800,15.30
2014-12-24,15.50,15.50,15.41,15.41,18300,15.27
2014-12-23,15.60,15.60,15.44,15.44,30800,15.30
2014-12-22,15.44,15.56,15.44,15.56,45900,15.41
2014-12-19,15.50,15.52,15.46,15.47,20400,15.33
