Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,14.21,14.25,14.11,14.11,125700,14.11
2015-02-12,14.22,14.28,14.20,14.21,78100,14.21
2015-02-11,14.37,14.37,14.24,14.26,89300,14.26
2015-02-10,14.43,14.44,14.40,14.41,101200,14.34
2015-02-09,14.52,14.55,14.45,14.45,151600,14.38
2015-02-06,14.55,14.57,14.50,14.50,66000,14.43
2015-02-05,14.61,14.65,14.60,14.60,50600,14.53
2015-02-04,14.71,14.71,14.60,14.64,72400,14.56
2015-02-03,14.74,14.80,14.72,14.73,82900,14.65
2015-02-02,14.77,14.80,14.73,14.76,129200,14.68
2015-01-30,14.69,14.76,14.68,14.76,106000,14.68
2015-01-29,14.60,14.69,14.59,14.66,83200,14.58
2015-01-28,14.55,14.65,14.55,14.63,42200,14.55
2015-01-27,14.45,14.55,14.45,14.55,76400,14.48
2015-01-26,14.44,14.47,14.42,14.44,55000,14.37
2015-01-23,14.47,14.50,14.42,14.43,90100,14.36
2015-01-22,14.38,14.50,14.38,14.44,66900,14.37
2015-01-21,14.47,14.52,14.36,14.38,315300,14.31
2015-01-20,14.48,14.55,14.44,14.50,136000,14.43
2015-01-16,14.52,14.57,14.45,14.45,112400,14.38
2015-01-15,14.45,14.52,14.43,14.51,150600,14.44
2015-01-14,14.46,14.47,14.43,14.43,52900,14.36
2015-01-13,14.50,14.55,14.39,14.40,218600,14.33
2015-01-12,14.54,14.57,14.49,14.52,65800,14.37
2015-01-09,14.43,14.53,14.43,14.53,69900,14.38
2015-01-08,14.50,14.51,14.42,14.45,76000,14.30
2015-01-07,14.54,14.61,14.47,14.49,360500,14.34
2015-01-06,14.48,14.59,14.48,14.54,72300,14.39
2015-01-05,14.38,14.49,14.37,14.49,114700,14.34
2015-01-02,14.34,14.38,14.29,14.36,26500,14.21
2014-12-31,14.29,14.36,14.26,14.33,70200,14.18
2014-12-30,14.25,14.25,14.20,14.25,60700,14.10
2014-12-29,14.23,14.24,14.20,14.23,47200,14.08
2014-12-26,14.26,14.27,14.20,14.23,31600,14.08
2014-12-24,14.21,14.27,14.21,14.27,23400,14.12
2014-12-23,14.27,14.30,14.21,14.25,86600,14.10
2014-12-22,14.23,14.27,14.16,14.20,55300,14.05
2014-12-19,14.24,14.26,14.21,14.24,44600,14.09
2014-12-18,14.23,14.28,14.23,14.25,49500,14.10
2014-12-17,14.14,14.29,14.12,14.26,66300,14.11
2014-12-16,14.17,14.22,14.15,14.15,38000,14.00
2014-12-15,14.20,14.25,14.12,14.12,43200,13.97
2014-12-12,14.16,14.24,14.16,14.21,41600,14.06
2014-12-11,14.26,14.29,14.16,14.16,74400,14.01
2014-12-10,14.28,14.35,14.27,14.32,70000,14.10
2014-12-09,14.29,14.30,14.24,14.30,77700,14.08
2014-12-08,14.28,14.30,14.24,14.28,61800,14.06
2014-12-05,14.33,14.33,14.26,14.28,36800,14.06
2014-12-04,14.33,14.38,14.30,14.37,60600,14.15
2014-12-03,14.26,14.33,14.26,14.33,89100,14.11
2014-12-02,14.13,14.24,14.13,14.23,70400,14.01
2014-12-01,14.13,14.15,14.10,14.10,67200,13.88
2014-11-28,14.07,14.12,14.06,14.06,45600,13.84
2014-11-26,14.08,14.11,14.07,14.07,33600,13.85
2014-11-25,14.11,14.11,14.07,14.10,85000,13.88
2014-11-24,14.05,14.08,14.03,14.06,42100,13.84
2014-11-21,14.09,14.09,14.03,14.03,47900,13.81
2014-11-20,14.05,14.12,14.03,14.04,69400,13.82
2014-11-19,14.10,14.12,14.03,14.03,59000,13.81
2014-11-18,14.13,14.17,14.09,14.09,61300,13.87
2014-11-17,14.25,14.26,14.12,14.12,59900,13.90
2014-11-14,14.16,14.23,14.16,14.23,22200,14.01
2014-11-13,14.23,14.25,14.16,14.16,31500,13.94
2014-11-12,14.18,14.24,14.14,14.20,46700,13.98
2014-11-11,14.25,14.29,14.24,14.28,67000,13.99
2014-11-10,14.27,14.29,14.23,14.29,52400,14.00
2014-11-07,14.28,14.30,14.24,14.28,48300,13.99
2014-11-06,14.21,14.28,14.19,14.26,52800,13.97
2014-11-05,14.19,14.30,14.16,14.23,79900,13.94
2014-11-04,14.17,14.25,14.09,14.24,112100,13.95
2014-11-03,14.19,14.19,14.11,14.16,53200,13.87
2014-10-31,14.19,14.19,14.07,14.16,53100,13.87
2014-10-30,14.19,14.23,14.14,14.19,54200,13.90
2014-10-29,14.07,14.19,14.07,14.17,72200,13.88
2014-10-28,14.09,14.11,14.06,14.08,45500,13.79
2014-10-27,14.06,14.10,14.05,14.08,31500,13.79
2014-10-24,14.05,14.12,14.05,14.11,45800,13.82
2014-10-23,14.04,14.10,14.01,14.05,67000,13.76
2014-10-22,14.04,14.05,13.99,14.00,139600,13.71
2014-10-21,14.04,14.04,13.98,14.01,57300,13.72
2014-10-20,14.07,14.07,13.99,14.02,151200,13.73
2014-10-17,14.08,14.14,14.06,14.07,56000,13.78
2014-10-16,14.01,14.05,13.98,14.04,204800,13.75
2014-10-15,13.98,14.07,13.98,14.06,100400,13.77
2014-10-14,13.96,13.98,13.95,13.96,32900,13.67
2014-10-13,13.95,13.97,13.90,13.92,47800,13.63
2014-10-10,14.03,14.04,13.90,13.94,64900,13.65
2014-10-09,14.13,14.14,14.07,14.07,100700,13.71
2014-10-08,14.05,14.12,14.03,14.10,89500,13.74
2014-10-07,13.98,14.02,13.96,14.02,61700,13.66
2014-10-06,13.89,13.97,13.89,13.95,49700,13.59
2014-10-03,13.90,13.94,13.85,13.85,72400,13.49
2014-10-02,13.96,13.96,13.84,13.89,73100,13.53
2014-10-01,13.91,13.95,13.87,13.95,90900,13.59
2014-09-30,13.81,13.87,13.81,13.84,81900,13.49
2014-09-29,13.76,13.81,13.73,13.79,96700,13.44
2014-09-26,13.78,13.80,13.73,13.73,44900,13.38
2014-09-25,13.78,13.85,13.76,13.76,60400,13.41
