Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,14.35,14.35,14.24,14.26,14200,14.26
2015-02-12,14.36,14.51,14.33,14.35,13100,14.35
2015-02-11,14.43,14.57,14.36,14.38,12300,14.38
2015-02-10,14.68,14.71,14.49,14.51,30500,14.44
2015-02-09,14.71,14.76,14.70,14.72,8100,14.65
2015-02-06,14.70,14.77,14.57,14.65,126500,14.58
2015-02-05,14.92,14.97,14.67,14.74,30800,14.67
2015-02-04,14.86,15.01,14.81,14.86,16300,14.79
2015-02-03,14.96,14.97,14.90,14.91,12900,14.84
2015-02-02,14.90,14.92,14.83,14.92,18100,14.85
2015-01-30,14.84,14.85,14.82,14.85,7100,14.78
2015-01-29,14.84,14.85,14.75,14.81,7900,14.74
2015-01-28,14.72,14.86,14.72,14.78,9800,14.71
2015-01-27,14.72,14.72,14.67,14.69,8300,14.62
2015-01-26,14.72,14.73,14.67,14.68,10400,14.61
2015-01-23,14.66,14.73,14.65,14.69,15600,14.62
2015-01-22,14.66,14.69,14.62,14.69,16800,14.62
2015-01-21,14.64,14.65,14.61,14.63,9000,14.56
2015-01-20,14.62,14.65,14.60,14.63,11900,14.56
2015-01-16,14.63,14.63,14.58,14.61,8200,14.54
2015-01-15,14.61,14.63,14.57,14.63,7600,14.56
2015-01-14,14.64,14.65,14.55,14.59,17600,14.52
2015-01-13,14.79,14.79,14.63,14.64,19700,14.57
2015-01-12,14.75,14.93,14.74,14.75,28900,14.62
2015-01-09,14.71,14.72,14.63,14.68,7800,14.55
2015-01-08,14.59,14.73,14.59,14.71,8000,14.58
2015-01-07,14.53,14.60,14.47,14.58,12000,14.45
2015-01-06,14.38,14.54,14.38,14.53,9400,14.40
2015-01-05,14.32,14.55,14.32,14.38,19000,14.25
2015-01-02,14.39,14.45,14.35,14.40,8000,14.27
2014-12-31,14.39,14.40,14.28,14.32,10600,14.19
2014-12-30,14.29,14.35,14.25,14.29,27300,14.16
2014-12-29,14.23,14.26,14.15,14.16,13600,14.03
2014-12-26,14.27,14.27,14.14,14.23,9400,14.10
2014-12-24,14.26,14.26,14.11,14.23,22400,14.10
2014-12-23,14.28,14.29,14.25,14.27,6300,14.14
2014-12-22,14.32,14.32,14.21,14.25,12800,14.12
2014-12-19,14.35,14.35,14.30,14.31,10600,14.18
2014-12-18,14.31,14.36,14.29,14.34,17200,14.21
2014-12-17,14.38,14.39,14.25,14.27,18600,14.14
2014-12-16,14.43,14.44,14.24,14.31,32400,14.18
2014-12-15,14.33,14.42,14.33,14.40,8600,14.27
2014-12-12,14.30,14.30,14.24,14.28,10100,14.15
2014-12-11,14.50,14.50,14.21,14.21,21400,14.08
2014-12-10,14.45,14.45,14.37,14.45,10700,14.25
2014-12-09,14.44,14.45,14.44,14.45,11500,14.25
2014-12-08,14.48,14.60,14.35,14.55,16600,14.35
2014-12-05,14.43,14.45,14.22,14.39,29400,14.19
2014-12-04,14.43,14.43,14.36,14.40,12500,14.20
2014-12-03,14.40,14.59,14.40,14.50,24800,14.30
2014-12-02,14.43,14.49,14.30,14.36,20000,14.16
2014-12-01,14.23,14.35,14.18,14.24,15300,14.04
2014-11-28,14.22,14.23,14.18,14.23,1000,14.03
2014-11-26,14.28,14.28,14.21,14.21,3100,14.01
2014-11-25,14.24,14.35,14.15,14.27,22900,14.07
2014-11-24,14.20,14.32,14.16,14.23,17600,14.03
2014-11-21,14.25,14.27,14.16,14.18,16000,13.99
2014-11-20,14.24,14.25,14.18,14.24,13100,14.04
2014-11-19,14.23,14.24,14.15,14.17,10600,13.98
2014-11-18,14.16,14.25,14.16,14.22,13800,14.02
2014-11-17,14.10,14.21,13.99,14.15,26900,13.96
2014-11-14,14.19,14.25,14.03,14.14,18600,13.95
2014-11-13,14.10,14.23,14.09,14.19,10900,14.00
2014-11-12,14.13,14.18,14.10,14.10,7300,13.91
2014-11-11,14.24,14.27,14.13,14.20,15700,13.94
2014-11-10,14.27,14.27,14.17,14.17,6700,13.91
2014-11-07,14.28,14.59,14.26,14.38,14400,14.12
2014-11-06,14.24,14.32,14.09,14.29,19800,14.03
2014-11-05,14.17,14.22,14.08,14.16,14100,13.90
2014-11-04,14.13,14.16,13.96,13.99,6400,13.73
2014-11-03,14.05,14.10,13.99,14.07,14800,13.81
2014-10-31,14.03,14.05,13.95,14.00,15600,13.74
2014-10-30,14.13,14.13,13.98,13.98,10800,13.72
2014-10-29,14.21,14.23,14.05,14.05,16800,13.79
2014-10-28,14.32,14.32,14.03,14.14,28200,13.88
2014-10-27,14.25,14.36,14.16,14.20,9900,13.94
2014-10-24,14.28,14.33,14.25,14.25,16500,13.99
2014-10-23,14.11,14.25,14.07,14.25,40800,13.99
2014-10-22,14.23,14.25,14.06,14.07,29600,13.81
2014-10-21,14.08,14.25,14.03,14.20,16600,13.94
2014-10-20,14.04,14.05,13.86,14.01,33600,13.75
2014-10-17,14.10,14.10,13.96,14.01,17900,13.75
2014-10-16,14.25,14.25,13.97,14.05,11900,13.79
2014-10-15,13.90,14.22,13.86,14.22,30200,13.96
2014-10-14,13.83,13.90,13.80,13.90,14700,13.64
2014-10-13,13.80,13.85,13.69,13.80,15100,13.55
2014-10-10,13.78,13.83,13.69,13.83,18300,13.58
2014-10-09,13.91,13.91,13.69,13.72,18200,13.40
2014-10-08,13.95,13.95,13.87,13.94,7000,13.62
2014-10-07,13.70,13.95,13.70,13.95,3400,13.63
2014-10-06,13.77,13.78,13.69,13.71,4200,13.39
2014-10-03,13.68,13.75,13.65,13.73,15900,13.41
2014-10-02,13.75,13.77,13.63,13.68,11000,13.36
2014-10-01,13.73,13.75,13.61,13.74,17200,13.42
2014-09-30,13.75,13.75,13.60,13.64,20200,13.32
2014-09-29,13.69,13.85,13.60,13.62,22400,13.30
2014-09-26,13.72,13.84,13.60,13.61,45300,13.29
2014-09-25,13.64,13.73,13.63,13.73,9700,13.41
2014-09-24,13.63,13.78,13.63,13.64,25200,13.32
2014-09-23,13.72,13.78,13.66,13.69,12500,13.37
2014-09-22,13.77,13.77,13.62,13.66,6900,13.34
2014-09-19,13.77,13.77,13.65,13.66,10700,13.34
2014-09-18,13.68,13.76,13.64,13.64,11700,13.32
2014-09-17,13.81,13.85,13.61,13.70,21800,13.38
2014-09-16,13.80,13.83,13.73,13.74,15400,13.42
2014-09-15,13.89,13.89,13.73,13.75,13200,13.43
2014-09-12,13.87,13.95,13.76,13.82,19000,13.50
2014-09-11,13.89,13.94,13.77,13.94,39900,13.62
2014-09-10,13.79,13.91,13.79,13.88,21400,13.49
2014-09-09,13.80,13.86,13.77,13.77,3500,13.39
2014-09-08,13.76,13.87,13.76,13.84,4300,13.45
2014-09-05,13.81,13.81,13.76,13.76,9500,13.38
2014-09-04,13.65,13.79,13.65,13.76,22300,13.38
2014-09-03,13.66,13.76,13.65,13.66,44100,13.28
2014-09-02,13.76,13.76,13.68,13.69,9400,13.31
2014-08-29,13.67,13.80,13.67,13.71,35400,13.33
2014-08-28,13.70,13.74,13.66,13.66,39700,13.28
2014-08-27,13.73,13.86,13.65,13.66,10200,13.28
2014-08-26,13.76,13.77,13.66,13.67,9800,13.29
2014-08-25,13.78,13.85,13.72,13.76,10900,13.38
2014-08-22,13.80,13.80,13.74,13.77,6400,13.39
2014-08-21,13.82,13.95,13.77,13.77,11600,13.39
2014-08-20,13.66,13.84,13.66,13.81,12100,13.42
2014-08-19,13.67,13.76,13.67,13.75,6800,13.37
2014-08-18,13.72,13.72,13.61,13.66,11100,13.28
2014-08-15,13.70,13.76,13.67,13.75,19300,13.37
2014-08-14,13.70,13.75,13.64,13.68,13200,13.30
2014-08-13,13.70,13.75,13.69,13.72,22500,13.34
2014-08-12,13.78,13.85,13.62,13.70,42800,13.25
2014-08-11,13.70,13.76,13.60,13.68,18200,13.23
2014-08-08,13.66,13.76,13.61,13.67,31100,13.22
2014-08-07,13.67,13.67,13.61,13.62,21400,13.18
2014-08-06,13.60,13.70,13.60,13.67,7200,13.22
2014-08-05,13.55,13.68,13.55,13.61,23100,13.17
2014-08-04,13.68,13.69,13.58,13.61,14600,13.17
2014-08-01,13.70,13.70,13.57,13.64,13400,13.19
2014-07-31,13.78,13.78,13.55,13.66,24400,13.21
2014-07-30,13.89,13.95,13.78,13.85,25600,13.40
2014-07-29,13.93,13.98,13.90,13.90,26200,13.45
2014-07-28,13.92,13.92,13.82,13.92,7600,13.47
2014-07-25,13.89,13.94,13.80,13.92,22200,13.47
2014-07-24,13.81,13.85,13.78,13.80,13300,13.35
2014-07-23,13.83,13.83,13.71,13.79,16200,13.34
2014-07-22,13.93,13.95,13.76,13.84,23100,13.39
2014-07-21,13.78,13.95,13.78,13.92,35100,13.47
2014-07-18,13.81,13.86,13.72,13.78,39100,13.33
2014-07-17,13.78,13.83,13.74,13.81,51900,13.36
2014-07-16,13.70,13.78,13.70,13.77,9600,13.32
2014-07-15,13.65,13.75,13.61,13.70,27200,13.25
2014-07-14,13.70,13.78,13.64,13.75,28600,13.30
2014-07-11,13.60,13.66,13.53,13.60,41200,13.16
2014-07-10,13.63,13.70,13.63,13.64,5200,13.13
2014-07-09,13.68,13.75,13.66,13.66,12500,13.15
2014-07-08,13.65,13.65,13.59,13.61,6200,13.10
2014-07-07,13.62,13.63,13.57,13.59,21300,13.08
2014-07-03,13.54,13.66,13.54,13.57,15800,13.06
2014-07-02,13.59,13.59,13.52,13.54,18300,13.03
2014-07-01,13.66,13.69,13.63,13.67,13300,13.16
2014-06-30,13.62,13.64,13.56,13.58,15700,13.07
2014-06-27,13.64,13.64,13.53,13.55,30400,13.04
2014-06-26,13.65,13.66,13.60,13.63,6500,13.12
2014-06-25,13.64,13.65,13.60,13.61,11700,13.10
2014-06-24,13.57,13.59,13.53,13.57,6700,13.06
2014-06-23,13.53,13.55,13.48,13.50,33800,13.00
2014-06-20,13.51,13.52,13.41,13.50,49500,13.00
2014-06-19,13.78,13.79,13.50,13.50,27500,13.00
2014-06-18,13.73,13.78,13.73,13.74,4600,13.23
2014-06-17,13.96,13.96,13.69,13.69,36000,13.18
2014-06-16,13.89,13.99,13.88,13.91,8900,13.39
2014-06-13,13.78,13.82,13.72,13.80,15000,13.28
2014-06-12,13.63,13.93,13.63,13.80,15900,13.28
2014-06-11,13.73,13.73,13.65,13.68,5500,13.17
2014-06-10,13.68,13.75,13.68,13.70,16600,13.12
2014-06-09,13.77,13.82,13.69,13.74,16900,13.16
2014-06-06,13.65,13.74,13.64,13.73,20000,13.15
2014-06-05,13.65,13.65,13.52,13.58,43300,13.01
2014-06-04,13.92,13.93,13.57,13.65,37100,13.08
2014-06-03,14.07,14.08,13.91,13.96,9600,13.37
2014-06-02,14.10,14.10,13.97,13.97,13000,13.38
2014-05-30,13.88,14.25,13.85,14.12,33900,13.53
2014-05-29,13.97,13.98,13.84,13.88,16200,13.30
2014-05-28,14.02,14.06,13.89,13.93,27300,13.34
2014-05-27,14.03,14.03,13.96,13.96,12500,13.37
2014-05-23,14.00,14.00,13.90,13.94,18900,13.35
2014-05-22,13.95,14.04,13.91,13.97,15300,13.38
2014-05-21,13.86,13.96,13.86,13.90,13500,13.32
2014-05-20,13.90,13.96,13.85,13.87,15600,13.29
2014-05-19,13.78,13.96,13.77,13.95,25600,13.36
2014-05-16,13.69,13.86,13.69,13.72,32600,13.14
2014-05-15,13.70,13.71,13.65,13.67,18100,13.10
2014-05-14,13.72,13.78,13.62,13.65,48200,13.08
2014-05-13,14.00,14.03,13.78,13.85,22600,13.27
2014-05-12,14.21,14.27,14.07,14.17,42800,13.51
2014-05-09,14.26,14.27,14.24,14.27,9700,13.61
2014-05-08,13.98,14.43,13.98,14.30,36000,13.64
2014-05-07,13.80,14.00,13.80,14.00,30500,13.35
2014-05-06,13.74,13.85,13.74,13.84,39800,13.20
2014-05-05,13.73,13.75,13.69,13.74,9100,13.10
2014-05-02,13.70,13.75,13.55,13.70,42400,13.06
2014-05-01,13.53,13.92,13.53,13.66,28600,13.02
2014-04-30,13.48,13.61,13.46,13.50,38000,12.87
2014-04-29,13.64,13.64,13.46,13.49,45900,12.86
2014-04-28,13.62,13.65,13.54,13.56,22200,12.93
2014-04-25,13.48,13.59,13.48,13.59,20000,12.96
2014-04-24,13.41,13.55,13.41,13.47,5500,12.84
2014-04-23,13.41,13.48,13.41,13.48,41300,12.85
2014-04-22,13.07,13.65,13.07,13.42,46200,12.80
2014-04-21,12.99,13.19,12.91,13.13,30000,12.52
2014-04-17,12.98,12.99,12.90,12.90,9000,12.30
2014-04-16,12.85,12.94,12.83,12.93,24300,12.33
2014-04-15,12.80,12.86,12.80,12.85,8000,12.25
2014-04-14,12.87,12.87,12.81,12.84,31000,12.24
2014-04-11,12.90,12.90,12.84,12.86,28000,12.26
2014-04-10,12.81,12.93,12.81,12.89,67600,12.23
2014-04-09,12.83,12.83,12.77,12.79,33900,12.13
2014-04-08,12.89,12.89,12.75,12.80,37900,12.14
2014-04-07,12.89,12.90,12.79,12.82,42000,12.16
2014-04-04,12.81,12.90,12.78,12.81,42600,12.15
2014-04-03,12.86,12.86,12.77,12.78,50400,12.12
2014-04-02,12.77,12.84,12.74,12.79,54300,12.13
2014-04-01,12.75,12.83,12.74,12.78,102400,12.12
2014-03-31,12.76,12.83,12.73,12.82,29600,12.16
2014-03-28,12.84,12.89,12.72,12.77,43800,12.11
2014-03-27,12.90,12.91,12.83,12.84,28900,12.18
2014-03-26,12.74,12.84,12.74,12.79,38500,12.13
2014-03-25,12.75,12.75,12.67,12.74,17600,12.09
2014-03-24,12.66,12.74,12.66,12.72,39000,12.07
2014-03-21,12.69,12.73,12.66,12.69,49100,12.04
2014-03-20,12.80,12.85,12.66,12.69,36300,12.04
2014-03-19,12.89,13.01,12.83,12.83,77700,12.17
