Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,24.58,24.82,24.42,24.62,74500,24.62
2015-02-12,24.47,24.65,24.32,24.63,53900,24.63
2015-02-11,24.20,24.71,23.97,24.15,43900,24.15
2015-02-10,24.57,24.97,24.04,24.30,71400,24.30
2015-02-09,24.64,24.86,24.28,24.35,80100,24.35
2015-02-06,24.52,25.15,24.45,24.75,105100,24.75
2015-02-05,23.99,24.47,23.99,24.47,92700,24.47
2015-02-04,23.99,24.21,23.73,23.88,76000,23.88
2015-02-03,23.68,24.26,23.68,24.07,109500,24.07
2015-02-02,23.07,23.60,23.01,23.59,113300,23.59
2015-01-30,23.33,23.51,22.97,23.01,128000,23.01
2015-01-29,23.20,23.55,23.11,23.55,128700,23.55
2015-01-28,24.14,24.14,23.19,23.20,142900,23.20
2015-01-27,23.80,24.25,23.50,23.97,131500,23.97
2015-01-26,24.36,24.58,24.18,24.50,97100,24.50
2015-01-23,24.85,24.85,24.22,24.44,84000,24.44
2015-01-22,23.94,24.95,23.82,24.89,145600,24.89
2015-01-21,23.92,24.10,23.69,23.72,89600,23.72
2015-01-20,24.27,24.35,23.85,24.00,145700,24.00
2015-01-16,23.65,24.32,23.65,24.28,157600,24.28
2015-01-15,24.04,24.04,23.66,23.75,127500,23.75
2015-01-14,23.94,24.09,23.61,23.95,65600,23.95
2015-01-13,24.27,24.81,23.94,24.25,125700,24.25
2015-01-12,24.20,24.34,23.98,24.07,93400,24.07
2015-01-09,24.97,24.97,24.29,24.29,69300,24.29
2015-01-08,24.84,25.22,24.66,24.99,92300,24.99
2015-01-07,24.66,24.87,24.40,24.62,91500,24.62
2015-01-06,25.09,25.09,24.39,24.55,113200,24.55
2015-01-05,25.58,25.67,25.04,25.09,116100,25.09
2015-01-02,26.46,26.46,25.44,25.73,112300,25.73
2014-12-31,26.77,26.88,26.23,26.27,103800,26.27
2014-12-30,26.54,26.77,26.40,26.62,83900,26.62
2014-12-29,26.00,26.56,26.00,26.54,175000,26.54
2014-12-26,26.03,26.16,25.83,26.10,67500,26.10
2014-12-24,25.91,25.99,25.61,25.94,45700,25.94
2014-12-23,26.00,26.17,25.73,25.94,85700,25.94
