Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,15.51,15.55,15.45,15.46,65000,15.46
2015-02-12,15.52,15.61,15.46,15.46,69400,15.46
2015-02-11,15.54,15.68,15.52,15.52,100800,15.52
2015-02-10,15.62,15.68,15.60,15.65,46600,15.57
2015-02-09,15.60,15.65,15.58,15.62,37800,15.54
2015-02-06,15.74,15.76,15.58,15.59,62100,15.51
2015-02-05,15.81,15.83,15.77,15.77,46100,15.69
2015-02-04,15.85,15.87,15.77,15.81,82500,15.73
2015-02-03,15.98,15.99,15.85,15.85,80000,15.77
2015-02-02,15.97,16.00,15.92,15.99,31500,15.91
2015-01-30,15.90,16.00,15.90,15.96,58900,15.88
2015-01-29,15.95,15.99,15.87,15.89,43400,15.81
2015-01-28,16.02,16.04,15.97,16.02,36800,15.94
2015-01-27,15.93,16.03,15.93,16.00,39900,15.92
2015-01-26,15.84,15.99,15.81,15.96,67500,15.88
2015-01-23,15.72,15.83,15.71,15.81,28900,15.73
2015-01-22,15.71,15.78,15.69,15.74,34700,15.66
2015-01-21,15.62,15.70,15.61,15.70,46800,15.62
2015-01-20,15.64,15.65,15.59,15.62,36300,15.54
2015-01-16,15.64,15.69,15.57,15.64,72900,15.56
2015-01-15,15.58,15.66,15.58,15.63,86700,15.55
2015-01-14,15.52,15.62,15.47,15.62,50500,15.54
2015-01-13,15.44,15.53,15.42,15.47,43200,15.39
2015-01-12,15.57,15.57,15.49,15.53,55600,15.37
2015-01-09,15.40,15.51,15.40,15.50,25900,15.34
2015-01-08,15.50,15.50,15.38,15.47,34100,15.31
2015-01-07,15.42,15.52,15.38,15.51,54400,15.35
2015-01-06,15.32,15.43,15.25,15.39,102300,15.23
2015-01-05,15.28,15.29,15.20,15.24,44500,15.08
2015-01-02,15.20,15.23,15.18,15.18,27000,15.02
2014-12-31,15.20,15.25,15.16,15.21,136900,15.05
2014-12-30,15.07,15.20,15.02,15.20,82200,15.04
2014-12-29,14.99,15.11,14.99,15.09,61300,14.94
2014-12-26,15.04,15.11,15.00,15.05,29800,14.90
2014-12-24,15.00,15.01,14.96,15.01,18500,14.86
2014-12-23,14.96,15.00,14.94,15.00,34400,14.85
2014-12-22,14.92,14.93,14.90,14.90,42700,14.75
2014-12-19,14.89,14.96,14.85,14.92,70800,14.77
2014-12-18,14.89,14.92,14.84,14.92,48100,14.77
2014-12-17,14.85,14.92,14.82,14.87,57100,14.72
2014-12-16,14.82,14.88,14.81,14.86,33400,14.71
2014-12-15,14.82,14.87,14.81,14.84,68500,14.69
2014-12-12,14.90,14.93,14.81,14.82,87600,14.67
2014-12-11,14.92,14.99,14.82,14.82,72200,14.67
2014-12-10,14.96,15.02,14.94,14.97,75900,14.73
2014-12-09,14.98,15.04,14.92,14.98,114800,14.74
2014-12-08,15.04,15.05,14.98,15.01,35400,14.77
2014-12-05,15.07,15.08,15.01,15.06,37600,14.82
2014-12-04,15.12,15.16,15.07,15.08,36000,14.84
2014-12-03,15.07,15.13,15.07,15.12,65800,14.88
2014-12-02,15.05,15.07,15.00,15.07,58300,14.83
2014-12-01,15.05,15.07,14.97,15.02,17900,14.78
2014-11-28,15.00,15.00,14.98,15.00,9100,14.76
2014-11-26,14.95,14.98,14.92,14.98,33100,14.74
2014-11-25,14.94,14.98,14.90,14.97,72000,14.73
2014-11-24,14.85,14.89,14.83,14.88,59100,14.64
2014-11-21,14.89,14.93,14.85,14.87,42100,14.63
2014-11-20,14.91,14.97,14.88,14.88,21700,14.64
2014-11-19,14.87,14.90,14.86,14.90,23000,14.66
2014-11-18,14.86,14.90,14.86,14.88,18500,14.64
2014-11-17,14.97,14.97,14.85,14.85,47300,14.61
2014-11-14,14.92,14.99,14.89,14.98,42300,14.74
2014-11-13,14.97,14.99,14.91,14.91,22000,14.67
2014-11-12,14.95,15.00,14.92,14.99,35900,14.75
2014-11-11,15.01,15.06,14.93,15.06,43100,14.74
2014-11-10,14.95,15.04,14.90,15.04,63300,14.72
