Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,68.80,68.80,68.38,68.59,450200,68.59
2015-02-12,68.89,69.11,68.64,69.05,392600,69.05
2015-02-11,68.95,68.95,68.30,68.52,669900,68.52
2015-02-10,67.87,68.52,67.78,68.51,413800,68.51
2015-02-09,67.86,68.27,67.52,67.78,581000,67.78
2015-02-06,69.84,69.96,68.78,68.95,490700,68.95
2015-02-05,70.23,70.47,69.93,70.46,250200,70.46
2015-02-04,70.39,70.62,70.03,70.13,306100,70.13
2015-02-03,70.57,71.13,70.48,70.95,396000,70.95
2015-02-02,70.33,70.58,70.01,70.44,371600,70.44
2015-01-30,71.31,71.37,70.33,70.34,464100,70.34
2015-01-29,71.95,71.95,71.14,71.94,394300,71.94
2015-01-28,71.85,72.41,71.53,71.56,364100,71.56
2015-01-27,71.02,71.90,70.86,71.69,355500,71.69
2015-01-26,70.32,70.96,70.06,70.81,472300,70.81
2015-01-23,70.26,70.68,70.23,70.50,384600,70.50
2015-01-22,70.49,71.27,70.31,70.57,490300,70.57
2015-01-21,70.39,70.89,70.15,70.79,300500,70.79
2015-01-20,70.34,70.65,70.20,70.57,411500,70.57
2015-01-16,69.53,70.06,69.24,70.01,358000,70.01
2015-01-15,69.27,69.57,68.95,69.36,730400,69.36
2015-01-14,68.22,69.37,68.16,69.29,515800,69.29
2015-01-13,70.24,70.92,69.92,70.19,323900,70.19
2015-01-12,70.05,70.16,69.37,70.03,383100,70.03
2015-01-09,70.20,70.40,69.65,69.97,451900,69.97
2015-01-08,69.87,70.70,69.87,70.37,452400,70.37
2015-01-07,69.86,69.97,68.91,69.95,641200,69.95
2015-01-06,68.83,69.29,67.87,68.01,599900,68.01
2015-01-05,70.06,70.19,69.17,69.35,486400,69.35
2015-01-02,70.10,70.30,69.68,69.94,370200,69.94
2014-12-31,71.33,71.49,70.62,70.66,250400,70.66
2014-12-30,71.50,71.57,70.94,70.95,389300,70.95
2014-12-29,71.59,71.97,71.57,71.85,631700,71.85
2014-12-26,72.49,72.89,72.38,72.41,247400,72.41
2014-12-24,71.47,72.28,71.47,72.20,165700,72.20
2014-12-23,71.08,71.29,70.89,71.09,611700,71.09
2014-12-22,71.58,71.81,71.35,71.78,370900,71.78
2014-12-19,70.86,71.69,70.68,71.40,446700,71.40
2014-12-18,70.21,71.57,70.08,71.57,575700,71.57
2014-12-17,69.57,69.90,69.07,69.55,506100,69.55
2014-12-16,67.81,69.17,67.77,68.30,769200,68.30
2014-12-15,68.54,68.76,67.01,67.48,551900,67.48
2014-12-12,70.13,70.22,68.90,68.92,343300,68.92
2014-12-11,70.87,70.93,70.46,70.60,306500,70.60
2014-12-10,71.62,71.82,70.97,70.97,401800,70.97
2014-12-09,71.72,71.88,71.35,71.58,553500,71.58
2014-12-08,72.24,72.71,72.19,72.45,332500,72.45
2014-12-05,72.74,72.80,72.34,72.53,271000,72.53
2014-12-04,72.79,73.08,72.54,72.95,714400,72.95
2014-12-03,73.05,73.18,72.81,72.97,447900,72.97
2014-12-02,72.82,73.36,72.79,73.30,1221500,73.30
2014-12-01,73.32,73.54,73.13,73.23,921000,73.23
2014-11-28,73.11,73.31,72.58,72.60,1218000,72.60
2014-11-26,74.13,74.42,74.05,74.41,297100,74.41
2014-11-25,74.25,74.53,74.08,74.21,339000,74.21
2014-11-24,73.84,74.23,73.81,73.94,406200,73.94
2014-11-21,73.41,73.53,72.97,73.41,398900,73.41
2014-11-20,73.84,73.92,73.46,73.52,397300,73.52
2014-11-19,74.30,74.60,73.77,74.33,340100,74.33
2014-11-18,74.64,75.07,74.56,74.84,360700,73.67
2014-11-17,73.26,73.95,73.16,73.90,548100,72.74
2014-11-14,73.46,73.88,73.45,73.64,340300,72.49
2014-11-13,74.08,74.47,73.92,74.08,295200,72.92
2014-11-12,74.34,74.46,74.13,74.29,448000,73.13
2014-11-11,74.74,75.08,74.51,75.03,406100,73.86
2014-11-10,73.75,74.23,73.58,73.96,365200,72.80
2014-11-07,72.80,73.44,72.66,73.44,437400,72.29
2014-11-06,73.38,73.56,72.69,72.81,466000,71.67
2014-11-05,73.85,74.44,73.77,74.44,358700,73.27
2014-11-04,73.52,73.76,73.13,73.47,322100,72.32
2014-11-03,73.35,73.69,73.17,73.68,471400,72.53
2014-10-31,74.18,74.44,73.87,74.39,429900,73.23
2014-10-30,72.74,74.00,71.00,73.56,400200,72.41
2014-10-29,73.00,73.38,72.28,72.60,388900,71.46
2014-10-28,72.86,73.27,72.71,73.27,297400,72.12
2014-10-27,72.19,72.58,72.05,72.53,428800,71.39
2014-10-24,71.83,72.35,71.77,72.29,386700,71.16
2014-10-23,71.54,72.14,71.35,71.89,423000,70.76
2014-10-22,71.21,71.68,71.06,71.14,512800,70.03
2014-10-21,70.69,71.26,70.64,71.18,436400,70.07
2014-10-20,70.42,70.98,70.40,70.96,407600,69.85
2014-10-17,70.08,70.63,69.88,70.44,599800,69.34
2014-10-16,68.80,69.86,68.61,69.56,528600,68.47
2014-10-15,69.74,69.89,68.34,69.70,2883200,68.61
2014-10-14,69.71,70.29,69.60,69.87,430700,68.78
2014-10-13,70.25,70.70,69.65,69.76,563900,68.67
2014-10-10,70.38,70.44,69.88,70.01,580700,68.91
2014-10-09,71.19,71.40,70.05,70.13,512800,69.03
2014-10-08,70.74,71.62,70.52,71.55,368200,70.43
2014-10-07,70.70,71.18,70.29,70.34,478800,69.24
2014-10-06,70.64,71.11,70.35,70.99,437800,69.88
2014-10-03,70.82,71.10,70.63,71.02,656600,69.91
2014-10-02,71.08,71.12,70.09,70.46,580000,69.36
2014-10-01,71.75,72.06,71.40,71.42,494300,70.30
2014-09-30,72.04,72.22,71.65,71.88,433300,70.75
2014-09-29,71.66,72.31,71.62,72.23,453500,71.10
2014-09-26,71.73,71.74,71.25,71.66,482800,70.54
2014-09-25,72.08,72.08,71.33,71.50,358400,70.38
2014-09-24,72.15,72.28,71.71,72.07,210000,70.94
2014-09-23,71.84,72.27,71.75,72.08,372200,70.95
2014-09-22,72.71,72.99,72.65,72.80,418400,71.66
2014-09-19,73.02,73.07,72.35,72.44,425800,71.31
2014-09-18,72.47,72.78,72.37,72.76,392400,71.62
2014-09-17,72.28,72.46,72.03,72.31,724300,71.18
2014-09-16,71.83,72.42,71.73,72.25,1035500,71.12
