Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,10.66,10.72,10.61,10.69,6667100,10.69
2015-02-12,10.55,10.68,10.55,10.66,6152900,10.66
2015-02-11,10.51,10.57,10.48,10.51,4140200,10.51
2015-02-10,10.58,10.62,10.52,10.52,7722000,10.52
2015-02-09,10.50,10.59,10.48,10.55,5694500,10.55
2015-02-06,10.53,10.53,10.37,10.50,9691200,10.50
2015-02-05,10.43,10.60,10.39,10.57,10324700,10.57
2015-02-04,10.57,10.61,10.42,10.44,6922800,10.44
2015-02-03,10.42,10.60,10.41,10.60,6915200,10.60
2015-02-02,10.54,10.54,10.38,10.47,9475700,10.47
2015-01-30,10.50,10.61,10.42,10.56,10381900,10.56
2015-01-29,10.62,10.70,10.40,10.55,10146600,10.55
2015-01-28,10.66,10.67,10.54,10.55,6121800,10.55
2015-01-27,10.64,10.71,10.57,10.65,5472500,10.65
2015-01-26,10.55,10.68,10.52,10.67,7678700,10.67
2015-01-23,10.68,10.71,10.46,10.55,12032500,10.55
2015-01-22,10.54,10.70,10.52,10.67,8373700,10.67
2015-01-21,10.45,10.52,10.36,10.51,7753500,10.51
2015-01-20,10.62,10.67,10.39,10.45,9161500,10.45
2015-01-16,10.57,10.74,10.52,10.61,9713700,10.61
2015-01-15,10.63,10.68,10.57,10.59,6984400,10.59
2015-01-14,10.59,10.63,10.47,10.63,9780500,10.63
2015-01-13,10.81,10.81,10.57,10.64,8077000,10.64
2015-01-12,10.80,10.85,10.71,10.81,6133600,10.81
2015-01-09,10.91,10.92,10.79,10.81,5828200,10.81
2015-01-08,10.96,10.98,10.87,10.91,5402000,10.91
2015-01-07,10.98,11.01,10.89,10.94,6161400,10.94
2015-01-06,10.98,11.01,10.92,10.99,9797300,10.99
2015-01-05,10.98,11.00,10.88,10.93,6477600,10.93
2015-01-02,10.85,11.09,10.81,11.04,7260100,11.04
2014-12-31,10.95,11.05,10.80,10.81,9056600,10.81
2014-12-30,11.05,11.10,10.90,10.98,10052700,10.98
2014-12-29,11.04,11.15,11.03,11.05,8084300,11.05
2014-12-26,11.22,11.40,11.20,11.34,5634700,11.04
2014-12-24,11.24,11.27,11.12,11.21,4839600,10.91
2014-12-23,11.35,11.36,11.25,11.26,5368900,10.96
2014-12-22,11.34,11.35,11.28,11.32,7094600,11.02
2014-12-19,11.20,11.33,11.14,11.33,15621200,11.03
2014-12-18,11.22,11.27,11.13,11.23,6475700,10.93
2014-12-17,11.09,11.21,11.06,11.20,9177500,10.90
2014-12-16,11.18,11.27,11.06,11.07,7444700,10.78
2014-12-15,11.42,11.42,11.17,11.19,6750800,10.89
2014-12-12,11.49,11.50,11.40,11.41,5688600,11.11
2014-12-11,11.33,11.52,11.27,11.52,10262600,11.22
2014-12-10,11.39,11.42,11.32,11.33,6026000,11.03
2014-12-09,11.29,11.45,11.27,11.43,6107900,11.13
2014-12-08,11.45,11.51,11.28,11.35,8202000,11.05
2014-12-05,11.53,11.55,11.39,11.45,8900400,11.15
2014-12-04,11.60,11.65,11.57,11.65,4400500,11.34
2014-12-03,11.56,11.65,11.55,11.62,4846200,11.31
2014-12-02,11.55,11.60,11.51,11.60,5727100,11.29
2014-12-01,11.52,11.54,11.47,11.54,5529100,11.23
2014-11-28,11.53,11.57,11.50,11.52,3529000,11.22
2014-11-26,11.56,11.58,11.50,11.52,4293600,11.22
2014-11-25,11.54,11.56,11.51,11.56,5214500,11.25
2014-11-24,11.51,11.58,11.46,11.55,4782800,11.24
2014-11-21,11.54,11.54,11.43,11.50,4539800,11.20
2014-11-20,11.49,11.54,11.44,11.52,2983300,11.22
2014-11-19,11.47,11.52,11.43,11.47,2950100,11.17
2014-11-18,11.50,11.53,11.45,11.50,4417900,11.20
2014-11-17,11.40,11.50,11.40,11.50,5510200,11.20
2014-11-14,11.35,11.44,11.34,11.44,5187200,11.14
2014-11-13,11.33,11.40,11.31,11.36,2972800,11.06
2014-11-12,11.30,11.33,11.25,11.33,4355700,11.03
2014-11-11,11.31,11.34,11.25,11.30,4131000,11.00
2014-11-10,11.24,11.33,11.24,11.31,5433400,11.01
2014-11-07,11.24,11.30,11.21,11.28,10137300,10.98
2014-11-06,11.28,11.40,11.26,11.27,5893700,10.97
2014-11-05,11.34,11.35,11.25,11.34,5540200,11.04
2014-11-04,11.41,11.45,11.27,11.34,4851200,11.04
2014-11-03,11.39,11.49,11.38,11.40,5199400,11.10
2014-10-31,11.39,11.41,11.30,11.41,7287800,11.11
2014-10-30,11.25,11.35,11.22,11.34,4619200,11.04
2014-10-29,11.40,11.43,11.19,11.26,8368200,10.96
