Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,15.47,15.50,15.42,15.48,69000,15.48
2015-02-12,15.45,15.51,15.27,15.43,130900,15.43
2015-02-11,15.62,15.64,15.51,15.51,72100,15.51
2015-02-10,15.73,15.84,15.67,15.72,115000,15.64
2015-02-09,15.78,15.85,15.75,15.75,117000,15.67
2015-02-06,15.90,15.95,15.77,15.79,112800,15.71
2015-02-05,15.98,16.04,15.92,15.96,137400,15.88
2015-02-04,15.96,16.03,15.88,15.98,157300,15.90
2015-02-03,15.93,16.01,15.90,16.01,117800,15.93
2015-02-02,15.92,16.00,15.87,15.96,96300,15.88
2015-01-30,15.81,15.91,15.81,15.89,113500,15.81
2015-01-29,15.71,15.80,15.71,15.80,89500,15.72
2015-01-28,15.64,15.73,15.64,15.70,69800,15.62
2015-01-27,15.56,15.66,15.53,15.62,66600,15.54
2015-01-26,15.51,15.56,15.50,15.52,57100,15.44
2015-01-23,15.49,15.57,15.48,15.53,68300,15.45
2015-01-22,15.49,15.56,15.45,15.48,108700,15.40
2015-01-21,15.52,15.52,15.48,15.50,67500,15.42
2015-01-20,15.53,15.56,15.50,15.52,69400,15.44
2015-01-16,15.58,15.59,15.48,15.54,89100,15.46
2015-01-15,15.50,15.58,15.50,15.58,112900,15.50
2015-01-14,15.57,15.62,15.46,15.50,110500,15.42
2015-01-13,15.50,15.57,15.48,15.57,66700,15.49
2015-01-12,15.50,15.55,15.49,15.54,89800,15.38
2015-01-09,15.39,15.50,15.39,15.50,96000,15.34
2015-01-08,15.49,15.49,15.38,15.40,99300,15.24
2015-01-07,15.48,15.55,15.44,15.52,94600,15.36
2015-01-06,15.37,15.46,15.35,15.41,67500,15.25
2015-01-05,15.26,15.35,15.26,15.30,47500,15.14
2015-01-02,15.24,15.29,15.23,15.26,155200,15.10
2014-12-31,15.30,15.31,15.23,15.23,142300,15.07
2014-12-30,15.22,15.30,15.21,15.30,69200,15.14
2014-12-29,15.27,15.29,15.20,15.21,69600,15.05
2014-12-26,15.23,15.29,15.23,15.27,59000,15.11
2014-12-24,15.18,15.28,15.18,15.27,56100,15.11
2014-12-23,15.19,15.25,15.18,15.22,55500,15.06
2014-12-22,15.18,15.22,15.15,15.15,69900,14.99
2014-12-19,15.20,15.22,15.15,15.21,54600,15.05
2014-12-18,15.23,15.27,15.19,15.20,58700,15.04
2014-12-17,15.19,15.28,15.17,15.23,73300,15.07
2014-12-16,15.17,15.20,15.16,15.19,30700,15.03
2014-12-15,15.15,15.18,15.12,15.16,63400,15.00
2014-12-12,15.06,15.16,15.06,15.13,64300,14.97
2014-12-11,15.16,15.16,15.05,15.06,54900,14.90
2014-12-10,15.16,15.21,15.15,15.20,43700,14.96
2014-12-09,15.13,15.18,15.11,15.16,62700,14.92
2014-12-08,15.14,15.19,15.10,15.16,65900,14.92
2014-12-05,15.06,15.13,15.05,15.12,76100,14.88
2014-12-04,15.08,15.13,15.06,15.07,64500,14.83
2014-12-03,14.96,15.07,14.95,15.07,68800,14.83
2014-12-02,14.85,14.95,14.85,14.94,63400,14.70
2014-12-01,14.85,14.89,14.81,14.81,98000,14.57
2014-11-28,14.82,14.82,14.76,14.81,25500,14.57
2014-11-26,14.78,14.85,14.76,14.81,105300,14.57
2014-11-25,14.77,14.79,14.75,14.78,90000,14.54
2014-11-24,14.78,14.79,14.77,14.77,88800,14.53
2014-11-21,14.83,14.84,14.77,14.77,70400,14.53
2014-11-20,14.79,14.84,14.78,14.78,80700,14.54
2014-11-19,14.81,14.83,14.77,14.77,69200,14.53
2014-11-18,14.81,14.84,14.77,14.82,59900,14.58
2014-11-17,14.86,14.86,14.80,14.84,91400,14.60
2014-11-14,14.86,14.90,14.82,14.90,85900,14.66
2014-11-13,14.80,14.85,14.80,14.85,58100,14.61
2014-11-12,14.79,14.82,14.79,14.82,29000,14.58
2014-11-11,14.84,14.88,14.83,14.88,34000,14.56
2014-11-10,14.81,14.88,14.81,14.88,52500,14.56
2014-11-07,14.82,14.87,14.77,14.82,80600,14.50
2014-11-06,14.83,14.85,14.82,14.85,57600,14.53
2014-11-05,14.82,14.89,14.80,14.83,67500,14.51
2014-11-04,14.80,14.82,14.76,14.82,66400,14.50
2014-11-03,14.84,14.84,14.75,14.75,82300,14.43
2014-10-31,14.84,14.84,14.79,14.79,60500,14.47
2014-10-30,14.85,14.88,14.81,14.81,87000,14.49
2014-10-29,14.81,14.88,14.81,14.85,69800,14.53
2014-10-28,14.82,14.84,14.79,14.81,39600,14.49
2014-10-27,14.83,14.85,14.78,14.79,91400,14.47
2014-10-24,14.83,14.85,14.80,14.80,59800,14.48
2014-10-23,14.85,14.86,14.82,14.83,64700,14.51
2014-10-22,14.84,14.87,14.82,14.83,75200,14.51
2014-10-21,14.90,14.91,14.80,14.85,90600,14.53
2014-10-20,14.95,14.96,14.90,14.94,91700,14.62
2014-10-17,14.84,14.92,14.84,14.90,59400,14.58
2014-10-16,14.79,14.83,14.72,14.82,170800,14.50
2014-10-15,14.77,14.86,14.72,14.79,63200,14.47
2014-10-14,14.67,14.77,14.66,14.74,62100,14.43
2014-10-13,14.68,14.70,14.64,14.66,51700,14.35
2014-10-10,14.83,14.83,14.65,14.66,67800,14.35
2014-10-09,14.89,14.91,14.78,14.79,63200,14.47
2014-10-08,14.77,14.87,14.77,14.84,78800,14.52
2014-10-07,14.72,14.83,14.72,14.77,59400,14.45
2014-10-06,14.72,14.78,14.70,14.71,53200,14.40
2014-10-03,14.66,14.72,14.65,14.68,72700,14.37
2014-10-02,14.79,14.81,14.69,14.69,51600,14.38
2014-10-01,14.89,14.89,14.77,14.79,104200,14.47
2014-09-30,14.82,14.89,14.78,14.87,48900,14.47
2014-09-29,14.73,14.84,14.72,14.78,54200,14.39
2014-09-26,14.69,14.73,14.69,14.72,22800,14.33
2014-09-25,14.69,14.72,14.68,14.69,24800,14.30
2014-09-24,14.72,14.72,14.67,14.67,35500,14.28
2014-09-23,14.69,14.73,14.67,14.68,56200,14.29
2014-09-22,14.74,14.74,14.68,14.72,52900,14.33
2014-09-19,14.71,14.72,14.68,14.70,27900,14.31
2014-09-18,14.67,14.73,14.65,14.71,46300,14.32
2014-09-17,14.67,14.70,14.64,14.67,45100,14.28
2014-09-16,14.68,14.68,14.60,14.63,56000,14.24
2014-09-15,14.77,14.81,14.65,14.69,46200,14.30
2014-09-12,14.84,14.84,14.76,14.77,70400,14.38
2014-09-11,14.89,14.89,14.87,14.88,40800,14.48
2014-09-10,14.91,14.98,14.90,14.93,45200,14.45
2014-09-09,14.85,14.95,14.84,14.91,79100,14.44
2014-09-08,14.84,14.89,14.83,14.83,40300,14.36
2014-09-05,14.87,14.93,14.83,14.83,46700,14.36
2014-09-04,14.89,14.90,14.85,14.87,61300,14.40
2014-09-03,14.91,14.96,14.83,14.87,46900,14.40
2014-09-02,14.95,14.97,14.90,14.90,77400,14.43
2014-08-29,14.94,14.96,14.91,14.96,44400,14.48
2014-08-28,14.90,14.95,14.86,14.93,44600,14.45
2014-08-27,14.82,14.92,14.82,14.89,81200,14.42
2014-08-26,14.73,14.80,14.72,14.77,62200,14.30
2014-08-25,14.81,14.82,14.71,14.71,79200,14.24
2014-08-22,14.80,14.80,14.74,14.77,79400,14.30
2014-08-21,14.87,14.90,14.75,14.75,130800,14.28
2014-08-20,14.94,14.94,14.84,14.84,64500,14.37
2014-08-19,14.87,14.94,14.84,14.92,46100,14.44
2014-08-18,14.88,14.91,14.82,14.83,88400,14.36
2014-08-15,14.89,14.97,14.84,14.89,117200,14.42
2014-08-14,14.87,14.89,14.84,14.85,35100,14.38
2014-08-13,14.82,14.85,14.79,14.82,44100,14.35
2014-08-12,14.90,14.91,14.84,14.86,64700,14.31
2014-08-11,14.82,14.90,14.82,14.88,40300,14.33
2014-08-08,14.78,14.87,14.78,14.82,59800,14.27
2014-08-07,14.64,14.78,14.63,14.74,58200,14.19
2014-08-06,14.61,14.69,14.61,14.68,59900,14.14
2014-08-05,14.59,14.62,14.58,14.59,68200,14.05
2014-08-04,14.65,14.65,14.58,14.58,84700,14.04
2014-08-01,14.60,14.64,14.58,14.61,61000,14.07
2014-07-31,14.50,14.62,14.46,14.57,129400,14.03
2014-07-30,14.64,14.65,14.55,14.56,91200,14.02
2014-07-29,14.64,14.66,14.60,14.65,36100,14.11
2014-07-28,14.68,14.68,14.57,14.61,58700,14.07
2014-07-25,14.60,14.64,14.60,14.63,41300,14.09
2014-07-24,14.59,14.59,14.53,14.58,32100,14.04
2014-07-23,14.50,14.60,14.50,14.59,68700,14.05
2014-07-22,14.50,14.53,14.47,14.50,41700,13.96
2014-07-21,14.46,14.53,14.46,14.49,56600,13.95
2014-07-18,14.41,14.45,14.39,14.45,52300,13.91
2014-07-17,14.39,14.43,14.36,14.41,64600,13.88
2014-07-16,14.27,14.36,14.26,14.33,72100,13.80
2014-07-15,14.25,14.33,14.25,14.27,71200,13.74
2014-07-14,14.34,14.37,14.26,14.26,73700,13.73
2014-07-11,14.30,14.34,14.30,14.32,62400,13.79
2014-07-10,14.38,14.44,14.35,14.35,91700,13.74
2014-07-09,14.42,14.46,14.33,14.37,66900,13.76
2014-07-08,14.45,14.49,14.38,14.40,82600,13.79
2014-07-07,14.33,14.43,14.33,14.39,70000,13.78
2014-07-03,14.38,14.38,14.28,14.28,132300,13.67
2014-07-02,14.61,14.61,14.42,14.42,107400,13.81
2014-07-01,14.72,14.72,14.64,14.64,82700,14.02
2014-06-30,14.78,14.79,14.68,14.68,64000,14.06
2014-06-27,14.78,14.84,14.76,14.77,53600,14.14
2014-06-26,14.83,14.85,14.77,14.81,83400,14.18
2014-06-25,14.82,14.84,14.77,14.77,34200,14.14
2014-06-24,14.81,14.82,14.75,14.78,41000,14.15
2014-06-23,14.71,14.79,14.71,14.77,22300,14.14
2014-06-20,14.69,14.74,14.69,14.74,37200,14.11
2014-06-19,14.67,14.76,14.66,14.67,46700,14.05
2014-06-18,14.62,14.68,14.62,14.66,46800,14.04
2014-06-17,14.74,14.75,14.67,14.67,40200,14.05
2014-06-16,14.77,14.83,14.77,14.78,60400,14.15
2014-06-13,14.85,14.85,14.76,14.77,24900,14.14
2014-06-12,14.78,14.83,14.78,14.80,36800,14.17
2014-06-11,14.83,14.83,14.80,14.82,54300,14.19
2014-06-10,14.79,14.88,14.79,14.87,34200,14.16
2014-06-09,14.77,14.83,14.75,14.81,38900,14.11
2014-06-06,14.73,14.84,14.71,14.82,88800,14.12
2014-06-05,14.62,14.72,14.60,14.69,41600,13.99
2014-06-04,14.81,14.85,14.63,14.63,98400,13.93
2014-06-03,14.86,14.89,14.82,14.84,56300,14.13
2014-06-02,15.02,15.02,14.90,14.90,65900,14.19
2014-05-30,14.99,15.01,14.96,14.96,44900,14.25
2014-05-29,15.03,15.05,14.99,15.02,39700,14.31
2014-05-28,14.95,15.00,14.90,14.99,56600,14.28
2014-05-27,14.93,14.94,14.82,14.88,89600,14.17
2014-05-23,14.95,14.96,14.91,14.94,56300,14.23
2014-05-22,14.89,14.97,14.88,14.90,54300,14.19
2014-05-21,14.90,14.98,14.89,14.89,52800,14.18
2014-05-20,14.82,14.94,14.82,14.94,38200,14.23
2014-05-19,14.81,14.88,14.81,14.85,43600,14.14
2014-05-16,14.88,14.88,14.79,14.83,82100,14.12
2014-05-15,14.78,14.85,14.76,14.80,47900,14.10
2014-05-14,14.74,14.77,14.74,14.74,31200,14.04
2014-05-13,14.75,14.78,14.73,14.73,51500,14.03
2014-05-12,14.78,14.87,14.77,14.85,55000,14.07
2014-05-09,14.76,14.82,14.76,14.78,44000,14.00
2014-05-08,14.75,14.80,14.75,14.80,53200,14.02
2014-05-07,14.73,14.78,14.71,14.77,54400,13.99
2014-05-06,14.61,14.73,14.61,14.70,39600,13.93
2014-05-05,14.66,14.71,14.63,14.67,47200,13.90
2014-05-02,14.63,14.71,14.60,14.70,46100,13.93
2014-05-01,14.60,14.71,14.60,14.69,63600,13.92
2014-04-30,14.46,14.58,14.46,14.56,60900,13.79
2014-04-29,14.50,14.54,14.46,14.49,39100,13.73
2014-04-28,14.53,14.59,14.52,14.53,67200,13.76
2014-04-25,14.54,14.56,14.51,14.55,35900,13.78
2014-04-24,14.47,14.50,14.47,14.48,42500,13.72
2014-04-23,14.49,14.49,14.46,14.47,62500,13.71
2014-04-22,14.41,14.47,14.40,14.46,59100,13.70
2014-04-21,14.34,14.41,14.33,14.40,47400,13.64
2014-04-17,14.29,14.31,14.26,14.31,60100,13.56
2014-04-16,14.30,14.33,14.26,14.32,78500,13.57
2014-04-15,14.09,14.24,14.09,14.24,59300,13.49
2014-04-14,14.17,14.23,14.08,14.08,87600,13.34
2014-04-11,14.23,14.24,14.17,14.19,65400,13.44
2014-04-10,14.25,14.31,14.22,14.23,53700,13.40
2014-04-09,14.32,14.34,14.24,14.24,113000,13.41
2014-04-08,14.25,14.34,14.25,14.34,60000,13.51
2014-04-07,14.24,14.28,14.23,14.27,68700,13.44
2014-04-04,14.16,14.25,14.16,14.23,70700,13.40
2014-04-03,14.13,14.20,14.13,14.18,60700,13.36
2014-04-02,14.14,14.15,14.07,14.10,47400,13.28
2014-04-01,14.18,14.19,14.10,14.13,54200,13.31
2014-03-31,14.09,14.17,14.09,14.12,48100,13.30
2014-03-28,14.19,14.21,14.15,14.16,16300,13.34
2014-03-27,14.18,14.23,14.14,14.18,81300,13.36
2014-03-26,14.09,14.16,14.09,14.16,80900,13.34
2014-03-25,14.13,14.15,14.08,14.10,68100,13.28
2014-03-24,14.03,14.16,14.03,14.14,73600,13.32
2014-03-21,13.96,14.02,13.95,14.00,45400,13.19
2014-03-20,13.98,14.01,13.90,13.94,62200,13.13
2014-03-19,14.15,14.15,14.01,14.04,35500,13.23
2014-03-18,14.12,14.18,14.10,14.11,31700,13.29
2014-03-17,14.18,14.18,14.14,14.15,28200,13.33
2014-03-14,14.16,14.17,14.12,14.16,30000,13.34
2014-03-13,14.07,14.19,14.07,14.16,108100,13.34
2014-03-12,13.98,14.09,13.97,14.06,48100,13.24
2014-03-11,14.03,14.05,13.99,14.05,35900,13.16
2014-03-10,13.99,14.09,13.96,13.99,72000,13.10
2014-03-07,14.06,14.07,13.95,13.97,123900,13.08
2014-03-06,14.20,14.22,14.10,14.10,86200,13.21
2014-03-05,14.20,14.22,14.18,14.22,51400,13.32
2014-03-04,14.16,14.21,14.16,14.20,58500,13.30
2014-03-03,14.19,14.20,14.13,14.17,76000,13.27
2014-02-28,14.08,14.17,14.07,14.17,65100,13.27
2014-02-27,14.10,14.11,14.07,14.09,74000,13.20
2014-02-26,14.13,14.15,14.08,14.10,72200,13.21
2014-02-25,14.12,14.12,14.06,14.12,63300,13.22
2014-02-24,14.14,14.15,14.08,14.11,47300,13.22
2014-02-21,14.14,14.15,14.10,14.14,51300,13.24
2014-02-20,14.11,14.13,14.04,14.10,58000,13.21
2014-02-19,14.09,14.12,14.06,14.09,72300,13.20
2014-02-18,14.07,14.09,14.01,14.02,124600,13.13
2014-02-14,14.03,14.06,14.00,14.05,39800,13.16
2014-02-13,13.99,14.05,13.96,14.05,64900,13.16
2014-02-12,14.09,14.09,13.96,13.96,133400,13.08
2014-02-11,14.20,14.20,14.15,14.16,33500,13.19
2014-02-10,14.15,14.22,14.11,14.16,117800,13.19
2014-02-07,14.08,14.17,14.06,14.14,68500,13.17
2014-02-06,14.13,14.18,14.05,14.09,109000,13.12
2014-02-05,14.19,14.22,14.12,14.15,50400,13.18
2014-02-04,14.25,14.27,14.20,14.20,51100,13.22
2014-02-03,14.29,14.33,14.20,14.25,101800,13.27
2014-01-31,14.15,14.26,14.15,14.23,94700,13.25
2014-01-30,14.17,14.21,14.16,14.17,86200,13.20
2014-01-29,14.22,14.26,14.17,14.19,51300,13.22
2014-01-28,14.25,14.26,14.19,14.26,76500,13.28
2014-01-27,14.20,14.57,14.15,14.25,114300,13.27
2014-01-24,14.12,14.19,14.10,14.14,103500,13.17
2014-01-23,14.07,14.22,14.07,14.10,172400,13.13
2014-01-22,14.01,14.09,14.01,14.09,71600,13.12
2014-01-21,14.08,14.12,14.00,14.01,81900,13.05
2014-01-17,13.98,14.08,13.98,14.04,100300,13.08
2014-01-16,13.97,14.04,13.89,13.98,94600,13.02
2014-01-15,13.88,13.98,13.87,13.97,62700,13.01
2014-01-14,13.89,13.91,13.84,13.87,61900,12.92
2014-01-13,13.95,14.01,13.87,13.87,78500,12.92
