Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,51.55,52.06,51.02,52.01,1947500,52.01
2015-02-12,51.35,52.00,50.84,51.69,1827000,51.69
2015-02-11,51.45,51.85,50.87,51.35,1667300,51.35
2015-02-10,51.12,51.62,50.82,51.29,1869300,51.29
2015-02-09,50.71,51.33,50.36,51.16,2320400,51.16
2015-02-06,53.07,53.07,50.47,50.84,3576400,50.84
2015-02-05,52.85,53.40,52.71,53.35,1389700,53.35
2015-02-04,53.06,53.13,52.28,52.82,2482600,52.82
2015-02-03,53.25,53.36,52.58,53.30,2366700,53.30
2015-02-02,54.20,54.27,52.43,53.54,3216900,53.54
2015-01-30,55.07,55.25,54.03,54.31,9969100,54.31
2015-01-29,54.86,55.34,54.07,55.14,3512000,55.14
2015-01-28,55.11,55.54,54.90,55.10,2645300,54.91
2015-01-27,54.57,55.12,54.37,55.05,2852400,54.86
2015-01-26,53.76,54.83,53.68,54.72,3580500,54.53
2015-01-23,53.15,53.89,53.12,53.54,2373200,53.36
2015-01-22,52.86,53.23,52.77,53.19,2377600,53.01
2015-01-21,52.60,52.96,52.27,52.75,2117300,52.57
2015-01-20,52.76,53.12,52.52,52.74,2820100,52.56
2015-01-16,52.03,52.84,51.96,52.78,3083900,52.60
2015-01-15,51.61,52.32,51.59,52.21,2880500,52.03
2015-01-14,50.13,51.75,49.98,51.70,2711700,51.52
2015-01-13,51.04,51.52,50.77,51.13,2489800,50.95
2015-01-12,50.20,51.08,50.13,51.03,2300200,50.85
2015-01-09,49.18,50.43,49.18,50.33,2679300,50.16
2015-01-08,50.37,50.83,49.47,49.74,3728400,49.57
2015-01-07,50.37,51.62,49.95,51.09,2808000,50.91
2015-01-06,49.66,50.38,49.55,50.27,1940000,50.10
2015-01-05,48.57,49.71,48.26,49.62,1816200,49.45
2015-01-02,47.98,48.67,47.95,48.62,1225900,48.45
2014-12-31,48.97,49.37,47.70,47.71,1302000,47.55
2014-12-30,49.32,49.58,48.78,48.91,1284000,48.74
2014-12-29,49.32,49.57,49.19,49.57,1436000,49.22
2014-12-26,49.54,49.68,49.13,49.31,1292600,48.96
2014-12-24,49.09,49.54,49.05,49.42,1187700,49.07
2014-12-23,49.32,49.32,48.81,49.09,2270300,48.74
2014-12-22,48.58,49.29,48.48,49.26,1329400,48.91
2014-12-19,48.04,48.66,48.01,48.60,3528100,48.25
2014-12-18,47.82,48.01,47.65,48.01,1761500,47.67
2014-12-17,46.75,47.66,46.27,47.65,2211600,47.31
2014-12-16,46.50,46.73,45.96,46.56,1884000,46.23
2014-12-15,46.67,46.80,46.27,46.48,2112500,46.15
2014-12-12,46.45,46.98,46.40,46.56,1738600,46.23
2014-12-11,45.95,46.66,45.81,46.50,1464600,46.17
2014-12-10,45.56,45.95,45.42,45.73,1275400,45.40
2014-12-09,45.29,45.63,45.21,45.55,1545400,45.23
2014-12-08,45.51,45.98,45.27,45.47,2261200,45.15
2014-12-05,46.09,46.09,44.91,45.51,2744600,45.19
2014-12-04,46.34,46.44,46.03,46.16,1445700,45.83
2014-12-03,46.49,46.58,46.21,46.28,1010500,45.95
2014-12-02,46.31,46.58,46.01,46.51,1697900,46.18
2014-12-01,46.46,47.00,46.02,46.46,1726000,46.13
2014-11-28,46.51,47.05,46.36,46.46,582500,46.13
2014-11-26,46.37,46.47,46.13,46.43,1255900,46.10
2014-11-25,46.42,46.56,46.12,46.39,1444000,45.88
2014-11-24,46.10,46.50,46.06,46.31,1093400,45.80
2014-11-21,46.13,46.13,45.62,45.96,1251900,45.45
2014-11-20,45.84,46.13,45.72,45.92,1281900,45.41
2014-11-19,46.11,46.32,45.82,45.90,1653800,45.39
2014-11-18,46.12,46.47,46.04,46.11,1683200,45.60
2014-11-17,45.72,46.22,45.65,46.07,1827000,45.56
2014-11-14,46.16,46.35,45.47,45.70,2613400,45.20
2014-11-13,46.13,46.70,46.09,46.17,1879200,45.66
2014-11-12,46.91,46.91,46.14,46.34,1838000,45.83
2014-11-11,47.10,47.10,46.63,46.83,1337800,46.31
2014-11-10,46.85,47.24,46.74,47.10,1631300,46.58
2014-11-07,46.87,47.16,46.56,46.87,1517000,46.35
2014-11-06,47.27,47.57,46.73,46.86,1803100,46.34
2014-11-05,47.61,47.88,47.01,47.27,2141200,46.75
2014-11-04,46.75,47.67,46.71,47.63,2341400,47.10
2014-11-03,46.15,47.00,46.13,46.93,2243500,46.41
2014-10-31,46.66,46.76,45.64,46.03,3806700,45.52
2014-10-30,45.54,46.66,45.34,46.52,3827700,46.01
2014-10-29,45.09,46.35,45.04,45.91,7016700,45.22
2014-10-28,45.20,45.26,44.81,45.15,1856400,44.47
2014-10-27,44.98,45.33,44.91,45.26,1590800,44.58
2014-10-24,44.96,45.07,44.64,44.97,1265900,44.30
2014-10-23,44.98,45.13,44.65,44.95,2589400,44.28
2014-10-22,44.50,44.90,44.41,44.76,1360100,44.09
2014-10-21,44.27,44.54,44.00,44.44,1345700,43.77
2014-10-20,43.54,44.16,43.50,44.16,1193900,43.50
2014-10-17,44.26,44.28,43.36,43.54,1777900,42.89
2014-10-16,43.57,44.12,43.15,43.97,2483700,43.31
2014-10-15,43.11,43.98,43.01,43.77,3628900,43.11
2014-10-14,42.71,43.76,42.66,43.25,2556300,42.60
2014-10-13,42.56,42.99,42.26,42.59,2036400,41.95
2014-10-10,42.82,43.30,42.45,42.53,2242400,41.89
2014-10-09,42.23,43.03,42.20,42.76,2818700,42.12
2014-10-08,41.18,42.18,41.13,42.17,2263500,41.54
2014-10-07,41.27,41.54,41.09,41.11,1242900,40.49
