Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,29.48,29.66,29.18,29.51,1225400,29.51
2015-02-12,29.15,29.50,28.88,29.45,685600,29.45
2015-02-11,29.35,29.60,28.70,29.04,581600,29.04
2015-02-10,29.77,29.96,29.11,29.35,811900,29.35
2015-02-09,30.04,30.32,29.76,29.76,892200,29.76
2015-02-06,30.45,30.57,29.89,30.07,1136700,30.07
2015-02-05,30.30,30.60,30.17,30.56,596800,30.56
2015-02-04,30.18,30.63,30.03,30.21,859700,30.21
2015-02-03,29.59,30.26,29.46,30.25,919700,30.25
2015-02-02,29.99,30.11,29.24,29.67,1038000,29.67
2015-01-30,30.39,30.42,29.88,30.00,863300,30.00
2015-01-29,30.38,30.53,30.17,30.42,845300,30.42
2015-01-28,30.53,30.74,30.30,30.34,1300000,30.34
2015-01-27,30.32,30.46,30.12,30.45,915800,30.45
2015-01-26,29.60,30.45,29.53,30.43,1112600,30.43
2015-01-23,29.83,29.83,29.44,29.56,612800,29.56
2015-01-22,29.28,29.69,29.26,29.64,524100,29.64
2015-01-21,29.32,29.41,29.13,29.22,390100,29.22
2015-01-20,29.76,29.78,29.18,29.39,643800,29.39
2015-01-16,29.33,29.70,29.19,29.67,531300,29.67
2015-01-15,29.68,29.81,29.12,29.35,671700,29.35
2015-01-14,29.03,29.73,28.89,29.64,1115100,29.64
2015-01-13,29.52,29.67,29.04,29.49,1059600,29.49
2015-01-12,29.30,29.53,29.19,29.23,584700,29.23
2015-01-09,29.13,29.41,28.88,29.21,673100,29.21
2015-01-08,29.05,29.25,28.93,29.06,803500,29.06
2015-01-07,29.26,29.27,28.76,29.05,1518200,29.05
2015-01-06,29.06,29.23,28.85,28.87,971000,28.87
2015-01-05,28.70,29.12,28.62,28.97,628300,28.97
2015-01-02,28.52,28.92,28.37,28.85,480600,28.85
2014-12-31,29.00,29.24,28.36,28.37,672700,28.37
2014-12-30,28.47,28.96,28.40,28.89,486100,28.89
2014-12-29,28.40,28.80,28.14,28.50,438200,28.50
2014-12-26,28.69,28.93,28.58,28.66,326800,28.38
2014-12-24,28.91,29.10,28.60,28.63,339500,28.36
2014-12-23,29.00,29.05,28.78,28.91,415100,28.63
2014-12-22,28.29,28.89,28.29,28.88,495100,28.60
2014-12-19,28.14,28.51,28.08,28.26,1604200,27.99
2014-12-18,28.26,28.26,27.68,28.19,1725300,27.92
2014-12-17,27.73,28.17,27.66,28.10,1617100,27.83
2014-12-16,27.77,28.02,27.50,27.63,1143800,27.36
2014-12-15,28.23,28.49,27.64,27.78,1134200,27.51
2014-12-12,28.69,28.85,28.17,28.19,868700,27.92
2014-12-11,28.66,28.81,28.50,28.77,634000,28.49
2014-12-10,28.55,28.69,28.35,28.51,326500,28.24
2014-12-09,28.33,28.71,28.14,28.64,485500,28.37
2014-12-08,28.47,28.77,28.31,28.38,609600,28.11
2014-12-05,28.35,28.58,28.10,28.48,509400,28.21
2014-12-04,28.27,28.60,28.08,28.47,549300,28.20
2014-12-03,28.22,28.42,28.18,28.33,518900,28.06
2014-12-02,27.94,28.31,27.67,28.20,544000,27.93
2014-12-01,28.04,28.20,27.79,27.94,764400,27.67
2014-11-28,27.93,28.30,27.93,28.11,293600,27.84
2014-11-26,27.80,28.05,27.62,27.96,457100,27.69
2014-11-25,27.82,27.85,27.64,27.70,1002000,27.43
2014-11-24,27.69,27.84,27.60,27.70,339900,27.43
2014-11-21,27.51,27.63,27.36,27.60,426400,27.34
2014-11-20,27.27,27.42,27.16,27.39,173500,27.13
2014-11-19,27.65,27.68,27.27,27.32,526500,27.06
2014-11-18,27.71,27.81,27.65,27.66,723800,27.39
2014-11-17,27.57,27.75,27.57,27.70,767700,27.43
2014-11-14,28.00,28.19,27.56,27.63,498700,27.36
2014-11-13,27.82,28.11,27.73,28.00,565200,27.73
2014-11-12,27.75,28.03,27.68,27.79,971000,27.52
2014-11-11,27.98,27.98,27.62,27.90,359100,27.63
2014-11-10,27.84,28.17,27.71,27.95,565100,27.68
2014-11-07,27.52,27.98,27.36,27.89,956600,27.62
2014-11-06,27.57,27.84,27.34,27.49,718200,27.23
2014-11-05,27.56,27.58,27.28,27.53,809300,27.27
2014-11-04,27.46,27.63,27.35,27.45,1517000,27.19
2014-11-03,27.32,27.71,27.30,27.50,2102700,27.24
2014-10-31,27.47,27.97,27.25,27.34,6310400,27.08
2014-10-30,27.75,27.98,27.66,27.97,269700,27.70
2014-10-29,28.08,28.21,27.51,27.80,629500,27.53
2014-10-28,27.89,28.13,27.65,28.09,459400,27.82
2014-10-27,27.30,27.85,27.29,27.85,509100,27.58
2014-10-24,27.36,27.59,27.07,27.40,411800,27.14
2014-10-23,27.28,27.45,27.03,27.30,542400,27.04
2014-10-22,26.90,27.16,26.79,26.99,373000,26.73
2014-10-21,26.86,26.91,26.27,26.90,419500,26.64
2014-10-20,25.75,26.30,25.69,26.30,691300,26.05
2014-10-17,26.08,26.08,25.49,25.74,582800,25.49
2014-10-16,25.47,25.91,25.29,25.81,835200,25.56
2014-10-15,26.06,26.46,25.74,25.80,927200,25.55
2014-10-14,26.12,26.50,26.07,26.27,1197600,26.02
2014-10-13,25.81,26.17,25.69,25.98,732500,25.73
2014-10-10,25.79,26.10,25.62,25.77,636700,25.52
2014-10-09,25.98,26.27,25.61,25.71,712300,25.46
2014-10-08,25.62,26.12,25.40,26.01,759900,25.76
2014-10-07,25.85,25.99,25.56,25.56,483600,25.31
2014-10-06,25.80,26.10,25.75,25.92,399000,25.67
2014-10-03,25.72,25.92,25.48,25.76,221800,25.51
2014-10-02,25.66,25.93,25.41,25.64,359700,25.39
2014-10-01,25.70,25.86,25.53,25.71,932700,25.46
2014-09-30,26.06,26.12,25.69,25.72,490300,25.47
2014-09-29,25.97,26.12,25.80,26.04,316100,25.79
2014-09-26,25.65,26.33,25.53,26.21,505400,25.96
2014-09-25,25.93,26.03,25.75,25.93,451900,25.41
2014-09-24,25.87,26.19,25.76,25.96,584900,25.44
2014-09-23,26.15,26.40,25.90,25.91,765400,25.39
2014-09-22,26.49,26.57,26.10,26.17,507600,25.64
2014-09-19,26.63,26.90,26.55,26.55,901800,26.02
2014-09-18,27.22,27.24,26.53,26.54,620800,26.01
2014-09-17,27.27,27.47,27.07,27.08,698000,26.54
2014-09-16,27.07,27.29,27.05,27.16,1250500,26.61
2014-09-15,27.45,27.78,27.08,27.09,670800,26.55
2014-09-12,28.60,28.60,27.29,27.44,430700,26.89
2014-09-11,28.46,28.75,28.41,28.69,287700,28.11
2014-09-10,28.80,28.80,28.38,28.40,272000,27.83
2014-09-09,28.97,28.97,28.71,28.87,238000,28.29
2014-09-08,29.15,29.25,28.97,29.03,462800,28.45
2014-09-05,28.38,29.24,28.38,29.21,764400,28.62
2014-09-04,28.56,28.71,28.34,28.39,289300,27.82
2014-09-03,28.48,28.63,28.40,28.59,489000,28.02
2014-09-02,28.37,28.60,28.23,28.31,568000,27.74
2014-08-29,28.15,28.46,27.99,28.38,378900,27.81
2014-08-28,28.15,28.24,27.98,28.08,851200,27.52
2014-08-27,28.32,28.46,28.08,28.15,374300,27.58
2014-08-26,28.01,28.39,28.01,28.28,274200,27.71
2014-08-25,28.32,28.35,27.93,28.00,277500,27.44
2014-08-22,28.42,28.44,28.04,28.18,360400,27.61
2014-08-21,28.23,28.50,28.14,28.39,910800,27.82
2014-08-20,28.26,28.43,28.14,28.20,699600,27.63
2014-08-19,28.30,28.39,28.17,28.29,444600,27.72
2014-08-18,28.11,28.31,27.96,28.21,474100,27.64
2014-08-15,28.31,28.39,27.94,27.98,344700,27.42
2014-08-14,28.48,28.51,28.18,28.18,276000,27.61
2014-08-13,28.08,28.52,28.07,28.44,353500,27.87
2014-08-12,28.01,28.16,27.81,28.00,235100,27.44
2014-08-11,28.05,28.24,27.93,28.07,360700,27.51
2014-08-08,27.53,28.02,27.35,27.98,465500,27.42
2014-08-07,27.73,27.80,27.41,27.44,440700,26.89
2014-08-06,27.45,27.61,27.29,27.60,666500,27.05
2014-08-05,27.83,28.00,27.50,27.52,538800,26.97
2014-08-04,27.94,27.95,27.68,27.93,383500,27.37
2014-08-01,28.35,28.35,27.89,27.91,452200,27.35
2014-07-31,28.36,28.56,28.19,28.37,735200,27.80
2014-07-30,28.83,28.98,28.39,28.51,376200,27.94
2014-07-29,29.09,29.15,28.75,28.77,533900,28.19
2014-07-28,29.25,29.36,28.97,29.07,396500,28.49
2014-07-25,28.31,29.44,28.31,29.25,1107600,28.66
2014-07-24,29.26,29.41,29.11,29.29,743300,28.70
2014-07-23,29.19,29.28,29.10,29.25,337100,28.66
