Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,46.39,47.15,45.10,45.47,825600,45.47
2015-02-12,44.52,45.74,44.30,45.40,556200,45.40
2015-02-11,44.44,44.74,43.81,44.20,475100,44.20
2015-02-10,45.35,45.48,44.00,44.63,527300,44.63
2015-02-09,45.05,45.36,44.12,44.60,698200,44.60
2015-02-06,45.58,45.58,44.62,44.94,570200,44.94
2015-02-05,44.43,45.67,43.64,45.15,726400,45.15
2015-02-04,44.40,44.50,43.12,43.91,644500,43.91
2015-02-03,43.39,44.53,42.83,44.53,950400,44.53
2015-02-02,41.90,43.35,41.50,42.82,1756100,42.82
2015-01-30,40.74,42.20,40.27,41.34,799800,41.34
2015-01-29,40.79,41.08,39.67,40.87,920200,40.87
2015-01-28,42.30,42.32,40.61,40.67,972000,40.67
2015-01-27,43.68,43.77,42.63,43.10,783700,42.31
2015-01-26,43.27,44.23,43.14,43.70,2358400,42.90
2015-01-23,42.63,42.80,41.26,42.80,1508400,42.02
2015-01-22,43.31,43.85,41.81,42.79,1220500,42.01
2015-01-21,41.42,43.38,41.30,42.80,933300,42.02
2015-01-20,41.25,42.82,40.75,41.25,1235700,40.49
2015-01-16,39.81,41.61,39.60,41.25,1088400,40.49
2015-01-15,39.62,39.91,38.77,39.49,1066900,38.77
2015-01-14,37.64,39.60,37.33,39.17,1438800,38.45
2015-01-13,38.26,38.87,37.00,38.00,915000,37.30
2015-01-12,39.81,39.88,37.72,38.37,1072200,37.67
2015-01-09,40.19,40.35,39.38,39.90,1105700,39.17
2015-01-08,39.50,40.42,39.36,40.05,799700,39.32
2015-01-07,39.47,39.75,38.17,39.24,730900,38.52
2015-01-06,38.74,39.56,37.20,38.98,1567600,38.27
2015-01-05,40.15,40.50,38.04,38.64,1114800,37.93
2015-01-02,39.99,40.61,39.50,40.33,849300,39.59
2014-12-31,40.55,40.79,39.56,39.63,1010000,38.90
2014-12-30,40.17,41.09,39.95,40.80,976100,40.05
2014-12-29,40.37,41.30,40.10,40.17,636000,39.43
2014-12-26,41.05,41.08,40.15,40.41,486600,39.67
2014-12-24,40.81,41.24,40.57,41.05,315100,40.30
2014-12-23,40.89,41.60,40.53,41.09,1068900,40.34
2014-12-22,41.00,41.50,40.30,41.03,1392700,40.28
2014-12-19,41.60,41.91,40.27,41.00,1758800,40.25
2014-12-18,43.40,43.42,40.81,41.58,1150500,40.82
2014-12-17,38.07,41.74,38.07,41.37,1489700,40.61
2014-12-16,37.80,39.09,36.67,38.23,1574000,37.53
2014-12-15,39.45,39.87,37.90,38.39,1021900,37.69
2014-12-12,39.15,39.57,38.10,39.41,1283800,38.69
2014-12-11,39.08,41.21,39.05,39.52,1359000,38.80
2014-12-10,41.61,41.61,38.71,38.98,1685000,38.27
2014-12-09,41.83,42.80,41.31,41.90,1584700,41.13
2014-12-08,44.49,44.74,41.20,42.37,2158500,41.59
2014-12-05,45.06,45.46,44.26,44.68,1727400,43.86
2014-12-04,44.75,46.02,44.47,45.43,1587000,44.60
2014-12-03,45.43,46.01,44.15,44.85,2464800,44.03
2014-12-02,41.40,44.25,41.30,43.96,2552600,43.15
2014-12-01,44.00,44.15,41.07,41.39,2903100,40.63
2014-11-28,46.22,46.32,44.05,44.08,904300,43.27
2014-11-26,47.24,47.36,46.60,46.82,1794000,45.96
2014-11-25,48.40,48.74,47.22,47.29,1327300,46.42
2014-11-24,49.94,49.97,48.00,48.24,1203100,47.36
2014-11-21,51.19,51.50,49.74,49.80,4476900,48.89
2014-11-20,50.00,50.71,49.90,50.50,1344600,49.57
2014-11-19,49.39,50.28,49.20,50.20,1217800,49.28
2014-11-18,48.63,49.42,48.38,49.41,1486900,48.50
2014-11-17,48.25,48.98,48.03,48.73,1046700,47.84
2014-11-14,48.50,48.57,47.61,48.25,1134100,47.37
2014-11-13,48.19,48.31,47.61,47.88,1114600,47.00
2014-11-12,47.50,48.46,47.30,47.98,1001700,47.10
2014-11-11,48.89,49.15,47.45,47.50,1651100,46.63
2014-11-10,48.35,48.98,47.88,48.06,1301700,47.18
2014-11-07,47.60,48.74,47.60,48.41,1185900,47.52
2014-11-06,49.00,49.35,47.12,47.77,2179400,46.89
2014-11-05,49.75,50.00,48.51,49.25,1707000,48.35
2014-11-04,50.51,50.76,48.58,49.47,704000,48.56
2014-11-03,50.81,51.77,50.77,51.00,614100,50.07
2014-10-31,49.69,51.35,49.20,51.10,830300,50.16
2014-10-30,50.62,50.92,49.14,49.64,643200,48.73
2014-10-29,51.76,52.25,51.02,51.58,415400,49.87
2014-10-28,52.88,52.88,50.80,51.76,805700,50.05
2014-10-27,53.25,53.40,51.95,53.10,457800,51.34
2014-10-24,52.49,53.21,52.38,53.17,392200,51.41
2014-10-23,51.95,52.83,51.58,52.75,636100,51.01
2014-10-22,53.10,53.35,51.71,51.88,504400,50.16
2014-10-21,52.75,53.73,52.31,52.80,793200,51.05
2014-10-20,51.43,52.29,50.73,52.27,681200,50.54
2014-10-17,50.79,52.77,49.40,51.43,1076400,49.73
2014-10-16,48.77,52.61,48.34,51.54,1546500,49.84
2014-10-15,47.66,49.74,47.01,49.26,1278400,47.63
2014-10-14,49.00,51.23,47.34,48.35,1660700,46.75
2014-10-13,52.04,53.07,49.08,49.25,960900,47.62
2014-10-10,52.50,53.23,50.05,52.10,1274700,50.38
2014-10-09,54.32,54.45,52.91,52.93,843300,51.18
2014-10-08,54.93,55.21,53.71,54.29,637800,52.49
2014-10-07,55.22,55.68,54.89,54.92,370200,53.10
2014-10-06,56.03,56.40,55.34,55.39,255300,53.56
2014-10-03,56.22,56.37,55.51,56.03,331100,54.18
2014-10-02,55.40,56.42,54.82,56.11,810300,54.25
2014-10-01,56.09,56.78,55.40,55.45,546000,53.62
2014-09-30,55.64,56.03,54.77,55.96,446500,54.11
2014-09-29,55.30,55.98,55.25,55.69,422000,53.85
2014-09-26,54.33,55.59,53.79,55.46,359900,53.63
2014-09-25,54.19,54.44,53.83,54.20,779600,52.41
2014-09-24,54.16,54.74,53.51,54.29,508000,52.49
2014-09-23,54.53,55.42,54.26,54.43,721900,52.63
2014-09-22,55.60,55.85,54.57,54.67,560100,52.86
2014-09-19,55.73,55.92,55.15,55.61,1085700,53.77
2014-09-18,56.64,56.64,55.70,55.74,512100,53.90
2014-09-17,56.20,56.93,56.10,56.58,232700,54.71
2014-09-16,56.00,56.38,55.84,56.17,557700,54.31
2014-09-15,56.76,56.82,55.80,56.05,360200,54.20
2014-09-12,57.81,57.96,56.31,56.80,279600,54.92
2014-09-11,57.98,58.29,57.42,58.06,286700,56.14
2014-09-10,58.48,58.61,57.95,58.29,220400,56.36
2014-09-09,58.16,58.54,57.68,58.42,640200,56.49
2014-09-08,58.25,58.52,57.93,58.41,376200,56.48
2014-09-05,58.00,58.49,57.50,58.46,279000,56.53
2014-09-04,58.36,58.62,57.51,57.88,380200,55.97
2014-09-03,59.09,59.57,58.14,58.54,334400,56.60
2014-09-02,59.43,59.67,58.84,59.04,429600,57.09
2014-08-29,58.88,59.53,58.73,59.43,287500,57.46
2014-08-28,58.44,58.83,58.01,58.83,214300,56.88
2014-08-27,57.74,58.88,57.74,58.44,477300,56.51
2014-08-26,57.37,57.91,57.21,57.64,409400,55.73
2014-08-25,56.89,57.40,56.35,57.21,343200,55.32
2014-08-22,57.05,57.46,56.56,56.66,273300,54.79
2014-08-21,57.29,57.29,56.05,57.00,346400,55.11
2014-08-20,56.90,57.34,56.59,57.32,380500,55.42
2014-08-19,56.99,57.02,56.58,56.78,295200,54.90
2014-08-18,56.54,57.01,56.30,56.83,274900,54.95
2014-08-15,55.89,56.55,55.61,56.50,364500,54.63
2014-08-14,56.18,56.44,55.50,55.58,441000,53.74
2014-08-13,55.35,56.42,55.06,55.85,461100,54.00
2014-08-12,55.74,55.74,54.85,55.27,457600,53.44
2014-08-11,55.75,57.47,55.53,55.84,653300,53.99
2014-08-08,55.63,55.75,54.89,54.93,335700,53.11
2014-08-07,55.25,55.85,53.61,55.69,1214800,53.85
2014-08-06,55.90,56.50,54.60,55.33,876300,53.50
2014-08-05,57.34,58.23,56.17,56.53,383000,54.66
2014-08-04,55.68,57.42,55.44,57.31,340400,55.41
2014-08-01,55.78,56.18,55.10,55.74,408100,53.90
2014-07-31,55.75,56.89,54.95,56.08,964800,54.22
2014-07-30,57.23,57.26,56.51,56.76,355300,54.15
2014-07-29,57.73,58.15,56.71,57.23,346200,54.60
2014-07-28,57.73,57.94,57.15,57.64,256100,54.99
2014-07-25,57.76,58.13,57.23,57.72,458900,55.06
2014-07-24,58.00,58.18,57.50,57.93,256100,55.26
2014-07-23,58.32,58.90,57.85,57.97,360400,55.30
2014-07-22,58.40,58.80,58.25,58.28,337300,55.60
2014-07-21,57.79,58.57,57.41,58.53,338400,55.84
2014-07-18,58.27,58.49,57.33,57.87,291600,55.21
2014-07-17,58.60,58.90,58.23,58.50,278400,55.81
2014-07-16,58.00,58.84,57.91,58.84,285700,56.13
2014-07-15,57.38,57.92,56.75,57.92,230000,55.25
2014-07-14,57.25,57.86,57.22,57.38,247500,54.74
2014-07-11,56.98,57.19,56.67,57.19,370200,54.56
2014-07-10,56.95,57.19,56.73,56.98,276100,54.36
2014-07-09,56.08,57.19,55.99,57.19,431400,54.56
2014-07-08,56.65,57.13,55.92,56.13,423200,53.55
2014-07-07,58.11,58.31,56.35,56.66,444400,54.05
2014-07-03,58.83,59.00,57.98,58.21,365500,55.53
2014-07-02,58.88,59.00,58.62,58.83,281000,56.12
2014-07-01,58.71,59.11,58.48,58.90,377200,56.19
