Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,16.20,16.67,16.20,16.52,90900,16.52
2015-02-12,16.18,16.47,15.60,16.23,257400,16.23
2015-02-11,15.94,16.34,15.82,16.07,92300,16.07
2015-02-10,15.98,16.17,15.57,16.00,82900,16.00
2015-02-09,15.91,16.04,15.75,15.85,58300,15.85
2015-02-06,16.20,16.20,15.74,16.00,55000,16.00
2015-02-05,16.10,16.25,15.73,16.20,86500,16.20
2015-02-04,16.01,16.19,16.00,16.12,77000,16.12
2015-02-03,16.00,16.38,15.70,16.02,89400,16.02
2015-02-02,15.24,16.04,15.07,15.98,130100,15.98
2015-01-30,15.28,15.41,14.94,15.16,199400,15.16
2015-01-29,15.26,15.47,15.17,15.45,179100,15.45
2015-01-28,15.28,15.36,15.09,15.19,88200,15.19
2015-01-27,15.32,15.67,15.12,15.29,136800,15.29
2015-01-26,15.63,15.74,15.11,15.46,239700,15.46
2015-01-23,16.32,16.32,15.36,15.66,126400,15.66
2015-01-22,15.91,16.49,15.71,16.27,144400,16.27
2015-01-21,15.99,16.05,15.69,15.77,123500,15.77
2015-01-20,15.79,16.11,15.57,16.05,109300,16.05
2015-01-16,15.48,15.80,15.22,15.77,126900,15.77
2015-01-15,15.54,15.77,15.25,15.56,155200,15.56
2015-01-14,15.50,15.88,15.41,15.55,134200,15.55
2015-01-13,15.48,16.32,15.23,15.64,352100,15.64
2015-01-12,15.34,15.52,15.10,15.40,151300,15.40
2015-01-09,15.47,15.54,15.10,15.40,127800,15.40
2015-01-08,15.54,15.71,15.22,15.51,195400,15.51
2015-01-07,15.39,15.65,15.26,15.54,137700,15.54
2015-01-06,15.99,16.11,15.05,15.47,271200,15.47
2015-01-05,16.01,16.11,15.50,15.90,139300,15.90
2015-01-02,16.34,16.50,15.91,16.12,60000,16.12
2014-12-31,16.24,16.63,16.15,16.24,184100,16.24
2014-12-30,16.20,16.32,15.83,16.22,123000,16.22
2014-12-29,16.21,16.48,16.14,16.25,112100,16.25
2014-12-26,16.26,16.70,16.10,16.25,279600,16.25
2014-12-24,16.23,16.29,15.87,16.16,89200,16.16
2014-12-23,16.50,16.71,16.17,16.23,195900,16.23
2014-12-22,16.76,16.76,16.00,16.44,450500,16.44
2014-12-19,16.57,16.94,16.15,16.68,1985300,16.68
2014-12-18,16.20,16.63,16.06,16.40,302000,16.40
2014-12-17,15.76,16.27,15.57,16.09,610000,16.09
2014-12-16,15.93,16.28,15.75,15.77,377600,15.77
2014-12-15,15.84,16.16,15.58,15.98,299800,15.98
2014-12-12,15.90,16.22,15.65,15.87,199000,15.87
2014-12-11,15.92,16.47,15.76,16.02,242700,16.02
2014-12-10,15.87,16.16,15.72,15.96,297000,15.96
2014-12-09,15.90,16.34,15.77,15.94,612800,15.94
2014-12-08,15.78,16.03,15.65,15.92,229400,15.92
2014-12-05,15.53,16.00,15.53,15.79,117000,15.79
2014-12-04,15.52,15.75,15.28,15.50,104000,15.50
2014-12-03,15.58,15.76,15.30,15.58,174600,15.58
2014-12-02,15.58,16.00,15.47,15.55,349300,15.55
2014-12-01,15.36,15.60,15.36,15.52,170200,15.52
2014-11-28,15.58,15.72,15.19,15.50,74000,15.50
2014-11-26,15.43,15.75,15.40,15.69,79600,15.69
2014-11-25,15.50,15.83,15.28,15.50,189600,15.50
2014-11-24,15.35,15.79,15.35,15.58,94400,15.58
2014-11-21,15.60,15.67,15.40,15.46,118100,15.46
2014-11-20,15.34,15.80,15.11,15.35,122600,15.35
2014-11-19,15.70,15.81,14.76,15.13,277300,15.13
2014-11-18,15.74,15.93,15.53,15.66,213500,15.66
2014-11-17,15.69,16.29,15.40,15.75,448500,15.75
2014-11-14,15.56,15.80,15.27,15.57,234700,15.57
2014-11-13,15.73,16.30,15.43,15.59,284900,15.59
2014-11-12,15.50,16.00,15.35,15.68,368900,15.68
2014-11-11,15.35,16.01,15.12,15.37,393600,15.37
2014-11-10,15.65,15.80,15.39,15.45,221900,15.45
2014-11-07,15.50,15.78,15.36,15.67,265400,15.67
2014-11-06,15.00,15.74,14.81,15.40,213800,15.40
2014-11-05,14.92,15.20,14.43,15.12,352100,15.12
2014-11-04,14.78,14.92,14.00,14.70,207100,14.70
2014-11-03,14.94,15.04,14.51,14.74,58400,14.74
2014-10-31,14.65,15.00,14.64,14.97,108700,14.97
2014-10-30,14.70,14.73,14.50,14.63,119200,14.63
2014-10-29,15.00,15.01,14.62,14.78,107200,14.78
2014-10-28,14.66,15.01,14.31,15.00,150500,15.00
2014-10-27,14.75,14.80,14.51,14.76,64400,14.76
2014-10-24,14.43,15.01,14.22,14.90,221700,14.90
2014-10-23,14.75,14.83,14.26,14.50,172600,14.50
2014-10-22,14.50,15.32,14.37,14.70,403900,14.70
2014-10-21,14.32,14.75,14.25,14.68,400500,14.68
2014-10-20,13.87,14.29,13.85,14.29,155500,14.29
2014-10-17,13.83,14.05,13.82,13.96,308200,13.96
2014-10-16,13.75,14.00,13.75,13.91,617800,13.91
2014-10-15,13.90,14.11,13.85,14.00,568900,14.00
2014-10-14,14.03,14.25,13.85,14.00,302000,14.00
2014-10-13,13.90,14.48,13.71,14.00,817700,14.00
2014-10-10,13.88,14.10,13.56,13.87,1786000,13.87
2014-10-09,14.00,14.50,13.25,13.95,9086800,13.95
