Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,46.11,47.21,46.05,46.70,526200,46.70
2015-02-12,46.27,46.34,45.86,46.01,405200,46.01
2015-02-11,45.75,46.00,45.22,45.85,309100,45.85
2015-02-10,46.38,46.43,45.49,45.87,400900,45.87
2015-02-09,46.14,46.88,46.11,46.34,486500,46.17
2015-02-06,45.67,46.38,45.57,46.34,927000,46.17
2015-02-05,44.83,45.79,44.48,45.62,775800,45.45
2015-02-04,44.67,45.20,44.49,44.60,741700,44.44
2015-02-03,44.05,45.15,44.05,44.89,947100,44.73
2015-02-02,42.93,43.97,42.80,43.49,854700,43.33
2015-01-30,42.88,43.24,42.11,42.85,1514400,42.69
2015-01-29,44.53,44.53,42.31,43.14,1948800,42.98
2015-01-28,44.94,44.94,43.62,44.48,2060300,44.32
2015-01-27,42.75,44.94,42.16,44.57,3072200,44.41
2015-01-26,41.51,42.54,41.24,42.13,1174500,41.98
2015-01-23,41.35,41.69,40.94,41.42,712500,41.27
2015-01-22,40.54,41.49,40.17,41.40,1085400,41.25
2015-01-21,39.89,40.29,39.72,40.21,1327800,40.06
2015-01-20,39.58,40.18,39.05,40.04,665800,39.89
2015-01-16,38.87,39.52,38.64,39.49,893800,39.35
2015-01-15,40.89,40.95,39.19,39.23,1126900,39.09
2015-01-14,41.33,41.61,40.46,40.62,1220100,40.47
2015-01-13,42.94,43.29,41.49,42.10,578400,41.95
2015-01-12,43.05,43.27,42.17,42.68,709800,42.52
2015-01-09,43.82,43.82,42.96,43.01,554700,42.85
2015-01-08,45.25,45.83,43.39,43.80,1835200,43.64
2015-01-07,46.00,46.24,45.42,46.16,460800,45.99
2015-01-06,46.84,47.12,45.34,45.65,875400,45.48
2015-01-05,47.90,47.92,46.59,46.83,623300,46.66
2015-01-02,49.05,49.06,47.57,48.31,508800,48.13
2014-12-31,49.10,49.44,48.56,48.65,521300,48.47
2014-12-30,49.15,49.40,48.59,49.08,369600,48.90
2014-12-29,48.59,49.50,48.37,49.28,353900,49.10
2014-12-26,48.75,48.96,48.50,48.65,223500,48.47
2014-12-24,48.61,48.81,48.37,48.54,168100,48.36
2014-12-23,48.26,49.04,47.95,48.64,453100,48.46
2014-12-22,47.47,48.12,47.30,47.89,674500,47.71
2014-12-19,46.78,47.46,46.54,47.22,1073000,47.05
2014-12-18,46.39,46.79,45.83,46.78,536200,46.61
2014-12-17,44.53,45.56,44.24,45.50,651900,45.33
2014-12-16,44.48,46.00,44.44,44.50,638100,44.34
2014-12-15,45.39,45.84,44.98,44.98,639700,44.81
2014-12-12,44.63,45.59,44.36,45.35,834800,45.18
2014-12-11,45.62,46.24,45.15,45.25,422100,45.08
2014-12-10,46.27,46.27,45.24,45.29,566700,45.12
2014-12-09,45.14,46.41,45.01,46.36,568500,46.19
2014-12-08,46.77,46.88,45.81,46.01,701800,45.84
2014-12-05,46.99,47.34,46.71,46.84,712800,46.67
2014-12-04,46.93,46.97,46.50,46.65,755200,46.48
2014-12-03,45.72,47.24,45.66,47.12,682500,46.95
2014-12-02,44.65,45.76,44.36,45.57,857800,45.40
2014-12-01,45.37,45.44,44.16,44.72,777800,44.56
2014-11-28,46.66,46.77,44.58,45.40,1177400,45.23
2014-11-26,47.27,47.27,46.50,46.67,640700,46.50
2014-11-25,47.69,47.84,47.18,47.30,432800,47.13
2014-11-24,47.83,48.08,47.15,47.70,479700,47.53
2014-11-21,47.75,48.93,47.53,47.78,1171400,47.60
2014-11-20,46.74,47.59,46.65,47.09,604500,46.92
2014-11-19,47.48,47.76,46.92,47.15,601600,46.98
2014-11-18,47.51,48.08,47.21,47.86,766700,47.68
2014-11-17,46.76,47.57,46.59,47.20,899100,47.03
2014-11-14,46.09,47.16,46.09,46.79,925300,46.62
2014-11-13,46.60,46.65,45.77,46.47,826000,46.13
2014-11-12,45.80,47.12,45.80,46.60,1111400,46.26
2014-11-11,45.55,45.84,45.21,45.69,563200,45.36
2014-11-10,45.25,46.29,45.13,45.47,814800,45.14
2014-11-07,44.80,45.68,44.73,45.19,800100,44.86
2014-11-06,43.84,44.89,43.67,44.81,977800,44.48
2014-11-05,43.88,44.06,43.32,43.75,744800,43.43
2014-11-04,43.43,43.77,43.25,43.40,1054500,43.08
2014-11-03,44.06,44.36,43.08,43.87,1722700,43.55
2014-10-31,46.33,48.45,44.19,44.76,2217200,44.43
2014-10-30,45.37,45.45,44.11,44.92,1359600,44.59
